unique_path_id,support_out_path_rank,consequence_replica_rank,consequence_replica_id,D_finite,D_nonnegative,C_domain_exact,D_persistent_nondecreasing,A_persistent_nonincreasing,C_nondecreasing_while_reachable,failed_line_persistent,closed_road_persistent,source_demand_zero,passed,formal_scenario_sha256
14,12,2,SO-P0012-R02,1,1,1,1,1,1,1,1,1,1,3e54cdd7815bcce2009ea42944a8f5e7c2e747ddb92cace546cc6029fced1a04
14,12,3,SO-P0012-R03,1,1,1,1,1,1,1,1,1,1,cc22a0933504b85c204d78b4fb0e7117cadacca026a0b273d7ff8b9493ee8d81
14,12,4,SO-P0012-R04,1,1,1,1,1,1,1,1,1,1,25b3ad39d66ae562d647398633af2d20531a38372a9cde32b7c789934c0e9d83
14,12,5,SO-P0012-R05,1,1,1,1,1,1,1,1,1,1,f8c69a47ef6eedd6c8acdd08c6dec6c182a3a1f8671c655a4c9d41bf4d5ac7b3
15,13,1,SO-P0013-R01,1,1,1,1,1,1,1,1,1,1,85f12f5aee8e8a115e58a082b1195dfe7d288551fe350a92032896e16e7f220c
15,13,2,SO-P0013-R02,1,1,1,1,1,1,1,1,1,1,55435522cfa9d15a852762d1fb5df4561bd1e5eb5097a63580607e0c3ddc1dee
15,13,3,SO-P0013-R03,1,1,1,1,1,1,1,1,1,1,11a7b57091704f9334a3f527a37f9c0378e8bf1679782a95c225eb537facbf10
15,13,4,SO-P0013-R04,1,1,1,1,1,1,1,1,1,1,3aa6a9a8754a4bbfc1b27d8b4a813e3011298891f557157434f151229f1b8bd3
15,13,5,SO-P0013-R05,1,1,1,1,1,1,1,1,1,1,ed41b20aa2c07673e44d7f594e67c8618336975a37317fb577cbb2c5f3dc6375
16,14,1,SO-P0014-R01,1,1,1,1,1,1,1,1,1,1,52ee38bb41a2cdf9a25023158460590fcc0b4a7250d78a1d700cc90b4520cec3
16,14,2,SO-P0014-R02,1,1,1,1,1,1,1,1,1,1,4487454df69be008eff0b505f8f3d5ea750dfe4ef9337a4b4ed2ed2c9fe76d37
16,14,3,SO-P0014-R03,1,1,1,1,1,1,1,1,1,1,378a4ca28886449986dc2e926a9c026f1bb573245cf29f8aa914839272fe9a2e
16,14,4,SO-P0014-R04,1,1,1,1,1,1,1,1,1,1,7eb6cea63658b8669c96962ac0fbd44f7b422e39b675de30070a3d20e7e6ffd1
16,14,5,SO-P0014-R05,1,1,1,1,1,1,1,1,1,1,559b222c30b46b99469ded699aba68a9fe619c93ecd6ba6bd6c9c580ee5b07f5
18,15,1,SO-P0015-R01,1,1,1,1,1,1,1,1,1,1,ddf81f24cb931df96429abf3372410c137309617a62b55d9cf5c64eb86d9e902
18,15,2,SO-P0015-R02,1,1,1,1,1,1,1,1,1,1,76792621e2be85ddf2246f873d976a6aa89d64ebdd7c1186650444cfe6fd4eab
18,15,3,SO-P0015-R03,1,1,1,1,1,1,1,1,1,1,c07df62232ca09ef03ca5dff9c471635ffd61db505f92cd0513baafc503709fd
