risk_proxy,quantile_level,risk_threshold,risk_value,a0,loc0,lfw0,unique_path_id,a_W1,a_W2,a_W3,loc_W1,loc_W2,loc_W3,lfw_W1,lfw_W2,lfw_W3,frequency,reportedProbabilityMin,reportedProbabilityMax,empirical_mass,path_probability,path_probability_reported_range,path_probability_recomputed_error,grid_max_wind_mps,grid_cumulative_excess_mps,road_max_wind_mps,road_cumulative_excess_mps,grid_longest_consecutive_exceedance_windows,road_longest_consecutive_exceedance_windows
road_cumulative_excess_mps,0.95,221.223028949118,900.644312921042,4,7,0,7459,5,4,6,7,5,4,1,2,2,1,2.444904e-08,2.444904e-08,6.66666666666667e-05,2.444904e-08,0,9.92616735063633e-24,55.2436058969182,1063.49655764404,55.2436058969182,900.644312921042,3,2
road_cumulative_excess_mps,0.95,221.223028949118,1043.6754256876,4,7,0,7943,5,6,5,5,4,1,1,2,3,1,7.4844e-08,7.4844e-08,6.66666666666667e-05,7.4844e-08,0,0,55.2436058969182,1240.09486899934,55.2436058969182,1043.6754256876,3,3
road_cumulative_excess_mps,0.95,221.223028949118,337.788958573057,4,7,0,7953,6,5,4,4,6,4,1,0,1,1,8.5995e-09,8.5995e-09,6.66666666666667e-05,8.5995e-09,0,1.65436122510606e-24,42.5270409331359,444.702201798302,42.5270409331359,337.788958573057,1,1
road_cumulative_excess_mps,0.95,221.223028949118,510.517732229352,4,7,0,8007,6,6,5,4,6,5,1,1,0,1,8.80308e-09,8.80308e-09,6.66666666666667e-05,8.80308e-09,0,0,42.5270409331359,714.169167002447,42.5270409331359,510.517732229352,3,2
road_cumulative_excess_mps,0.95,221.223028949118,1845.00935863391,4,7,0,8019,6,6,6,4,5,5,1,2,3,1,6.14061e-07,6.14061e-07,6.66666666666667e-05,6.14061e-07,0,2.11758236813575e-22,55.2141131970405,1911.68780590243,55.2141131970405,1845.00935863391,3,3
road_cumulative_excess_mps,0.95,221.223028949118,1335.78440833975,4,7,0,8020,6,6,6,6,4,3,1,2,1,1,9.828225e-08,9.828225e-08,6.66666666666667e-05,9.828225e-08,0,1.32348898008484e-23,55.2436058969182,1519.58202183938,55.2436058969182,1335.78440833975,3,3
grid_max_wind_mps,0.99,45.9865692331103,55.4697563798479,4,7,0,6689,4,4,6,5,3,3,1,2,2,1,5.39068612500001e-07,5.39068612500001e-07,6.66666666666667e-05,5.39068612500001e-07,0,4.2351647362715e-22,55.4697563798479,818.138012461823,55.4697563798479,669.090798432113,3,2
grid_max_wind_mps,0.99,45.9865692331103,55.2436058969182,4,7,0,7459,5,4,6,7,5,4,1,2,2,1,2.444904e-08,2.444904e-08,6.66666666666667e-05,2.444904e-08,0,9.92616735063633e-24,55.2436058969182,1063.49655764404,55.2436058969182,900.644312921042,3,2
grid_cumulative_excess_mps,0.99,780.336957131219,797.455245781334,4,7,0,7227,4,6,5,4,2,0,2,3,3,1,1.24773e-08,1.24773e-08,6.66666666666667e-05,1.24773e-08,0,6.61744490042422e-24,45.3470042537796,797.455245781334,45.3470042537796,579.814444744769,3,3
grid_cumulative_excess_mps,0.99,780.336957131219,1063.49655764404,4,7,0,7459,5,4,6,7,5,4,1,2,2,1,2.444904e-08,2.444904e-08,6.66666666666667e-05,2.444904e-08,0,9.92616735063633e-24,55.2436058969182,1063.49655764404,55.2436058969182,900.644312921042,3,2
grid_cumulative_excess_mps,0.99,780.336957131219,1240.09486899934,4,7,0,7943,5,6,5,5,4,1,1,2,3,1,7.4844e-08,7.4844e-08,6.66666666666667e-05,7.4844e-08,0,0,55.2436058969182,1240.09486899934,55.2436058969182,1043.6754256876,3,3
grid_cumulative_excess_mps,0.99,780.336957131219,1911.68780590243,4,7,0,8019,6,6,6,4,5,5,1,2,3,1,6.14061e-07,6.14061e-07,6.66666666666667e-05,6.14061e-07,0,2.11758236813575e-22,55.2141131970405,1911.68780590243,55.2141131970405,1845.00935863391,3,3
grid_cumulative_excess_mps,0.99,780.336957131219,1519.58202183938,4,7,0,8020,6,6,6,6,4,3,1,2,1,1,9.828225e-08,9.828225e-08,6.66666666666667e-05,9.828225e-08,0,1.32348898008484e-23,55.2436058969182,1519.58202183938,55.2436058969182,1335.78440833975,3,3
road_max_wind_mps,0.99,45.9865692331103,55.4697563798479,4,7,0,6689,4,4,6,5,3,3,1,2,2,1,5.39068612500001e-07,5.39068612500001e-07,6.66666666666667e-05,5.39068612500001e-07,0,4.2351647362715e-22,55.4697563798479,818.138012461823,55.4697563798479,669.090798432113,3,2
road_max_wind_mps,0.99,45.9865692331103,55.2436058969182,4,7,0,7459,5,4,6,7,5,4,1,2,2,1,2.444904e-08,2.444904e-08,6.66666666666667e-05,2.444904e-08,0,9.92616735063633e-24,55.2436058969182,1063.49655764404,55.2436058969182,900.644312921042,3,2
road_cumulative_excess_mps,0.99,574.883610088093,579.814444744769,4,7,0,7227,4,6,5,4,2,0,2,3,3,1,1.24773e-08,1.24773e-08,6.66666666666667e-05,1.24773e-08,0,6.61744490042422e-24,45.3470042537796,797.455245781334,45.3470042537796,579.814444744769,3,3
road_cumulative_excess_mps,0.99,574.883610088093,902.619059428766,4,7,0,7274,4,6,6,6,4,6,1,3,3,1,5.65013735e-08,5.65013735e-08,6.66666666666667e-05,5.65013735e-08,0,2.64697796016969e-23,53.1372388702307,971.485254330715,53.1372388702307,902.619059428766,2,2
road_cumulative_excess_mps,0.99,574.883610088093,900.644312921042,4,7,0,7459,5,4,6,7,5,4,1,2,2,1,2.444904e-08,2.444904e-08,6.66666666666667e-05,2.444904e-08,0,9.92616735063633e-24,55.2436058969182,1063.49655764404,55.2436058969182,900.644312921042,3,2
road_cumulative_excess_mps,0.99,574.883610088093,1043.6754256876,4,7,0,7943,5,6,5,5,4,1,1,2,3,1,7.4844e-08,7.4844e-08,6.66666666666667e-05,7.4844e-08,0,0,55.2436058969182,1240.09486899934,55.2436058969182,1043.6754256876,3,3
road_cumulative_excess_mps,0.99,574.883610088093,1845.00935863391,4,7,0,8019,6,6,6,4,5,5,1,2,3,1,6.14061e-07,6.14061e-07,6.66666666666667e-05,6.14061e-07,0,2.11758236813575e-22,55.2141131970405,1911.68780590243,55.2141131970405,1845.00935863391,3,3
road_cumulative_excess_mps,0.99,574.883610088093,1335.78440833975,4,7,0,8020,6,6,6,6,4,3,1,2,1,1,9.828225e-08,9.828225e-08,6.66666666666667e-05,9.828225e-08,0,1.32348898008484e-23,55.2436058969182,1519.58202183938,55.2436058969182,1335.78440833975,3,3
grid_max_wind_mps,0.995,46.1748242297112,55.4697563798479,4,7,0,6689,4,4,6,5,3,3,1,2,2,1,5.39068612500001e-07,5.39068612500001e-07,6.66666666666667e-05,5.39068612500001e-07,0,4.2351647362715e-22,55.4697563798479,818.138012461823,55.4697563798479,669.090798432113,3,2
grid_max_wind_mps,0.995,46.1748242297112,55.2436058969182,4,7,0,7459,5,4,6,7,5,4,1,2,2,1,2.444904e-08,2.444904e-08,6.66666666666667e-05,2.444904e-08,0,9.92616735063633e-24,55.2436058969182,1063.49655764404,55.2436058969182,900.644312921042,3,2
grid_cumulative_excess_mps,0.995,934.582289975251,1063.49655764404,4,7,0,7459,5,4,6,7,5,4,1,2,2,1,2.444904e-08,2.444904e-08,6.66666666666667e-05,2.444904e-08,0,9.92616735063633e-24,55.2436058969182,1063.49655764404,55.2436058969182,900.644312921042,3,2
grid_cumulative_excess_mps,0.995,934.582289975251,1240.09486899934,4,7,0,7943,5,6,5,5,4,1,1,2,3,1,7.4844e-08,7.4844e-08,6.66666666666667e-05,7.4844e-08,0,0,55.2436058969182,1240.09486899934,55.2436058969182,1043.6754256876,3,3
grid_cumulative_excess_mps,0.995,934.582289975251,1911.68780590243,4,7,0,8019,6,6,6,4,5,5,1,2,3,1,6.14061e-07,6.14061e-07,6.66666666666667e-05,6.14061e-07,0,2.11758236813575e-22,55.2141131970405,1911.68780590243,55.2141131970405,1845.00935863391,3,3
grid_cumulative_excess_mps,0.995,934.582289975251,1519.58202183938,4,7,0,8020,6,6,6,6,4,3,1,2,1,1,9.828225e-08,9.828225e-08,6.66666666666667e-05,9.828225e-08,0,1.32348898008484e-23,55.2436058969182,1519.58202183938,55.2436058969182,1335.78440833975,3,3
road_max_wind_mps,0.995,46.1748242297112,55.4697563798479,4,7,0,6689,4,4,6,5,3,3,1,2,2,1,5.39068612500001e-07,5.39068612500001e-07,6.66666666666667e-05,5.39068612500001e-07,0,4.2351647362715e-22,55.4697563798479,818.138012461823,55.4697563798479,669.090798432113,3,2
road_max_wind_mps,0.995,46.1748242297112,55.2436058969182,4,7,0,7459,5,4,6,7,5,4,1,2,2,1,2.444904e-08,2.444904e-08,6.66666666666667e-05,2.444904e-08,0,9.92616735063633e-24,55.2436058969182,1063.49655764404,55.2436058969182,900.644312921042,3,2
