check,observed,expected,tolerance,pass
candidate_set_S4_150_-16,9e4d7527c7d0b73ce623502fd730a6cab8961831cc6eccf4044ea93f6e06effa,9e4d7527c7d0b73ce623502fd730a6cab8961831cc6eccf4044ea93f6e06effa,exact,True
candidate_valid_n_S4_150_-16,470,470,exact,True
candidate_count_S4_150_-8,141,141,exact,True
candidate_set_S4_150_-8,a2506401e249f403b215ec90cc6f5dbae00c9c294e79d662b0127da4c23ccc07,a2506401e249f403b215ec90cc6f5dbae00c9c294e79d662b0127da4c23ccc07,exact,True
candidate_valid_n_S4_150_-8,473,473,exact,True
candidate_count_S4_150_-4,158,158,exact,True
candidate_set_S4_150_-4,f1af6a6ce2fa6c5db7edd9a31476b36b2939636e72facdf3acedfe72301457e1,f1af6a6ce2fa6c5db7edd9a31476b36b2939636e72facdf3acedfe72301457e1,exact,True
candidate_valid_n_S4_150_-4,473,473,exact,True
candidate_count_ALL_125_-16,18,18,exact,True
candidate_set_ALL_125_-16,c1096a371a802ba46b3abc269552fe2065f442a5977ed1b6bfde4a87ba0d7cea,c1096a371a802ba46b3abc269552fe2065f442a5977ed1b6bfde4a87ba0d7cea,exact,True
candidate_valid_n_ALL_125_-16,470,470,exact,True
candidate_count_ALL_125_-8,110,110,exact,True
candidate_set_ALL_125_-8,1b1c86e73d8f3a4e6263f5d973ea2acba685da1422d6c57efc5853b9f936667b,1b1c86e73d8f3a4e6263f5d973ea2acba685da1422d6c57efc5853b9f936667b,exact,True
candidate_valid_n_ALL_125_-8,473,473,exact,True
candidate_count_ALL_125_-4,147,147,exact,True
candidate_set_ALL_125_-4,490b4ed8f3f63613dfc8773e292971597cb883c813e42c30d56ad5d188edc83f,490b4ed8f3f63613dfc8773e292971597cb883c813e42c30d56ad5d188edc83f,exact,True
candidate_valid_n_ALL_125_-4,473,473,exact,True
candidate_count_ALL_150_-16,7,7,exact,True
candidate_set_ALL_150_-16,4d178a9e8640cea5d72eb266adaa9cd27fafb804ba3ac96be96462b66987787d,4d178a9e8640cea5d72eb266adaa9cd27fafb804ba3ac96be96462b66987787d,exact,True
candidate_valid_n_ALL_150_-16,470,470,exact,True
candidate_count_ALL_150_-8,66,66,exact,True
candidate_set_ALL_150_-8,e2e082a0847067aa7ab616ad8299bc7a211220e18af21305c19774cd206face9,e2e082a0847067aa7ab616ad8299bc7a211220e18af21305c19774cd206face9,exact,True
candidate_valid_n_ALL_150_-8,473,473,exact,True
candidate_count_ALL_150_-4,122,122,exact,True
candidate_set_ALL_150_-4,1cffbcef26c5ea2790a54982585b6d51fff4a31a0c13cc8d4f1e0bae6f0caa73,1cffbcef26c5ea2790a54982585b6d51fff4a31a0c13cc8d4f1e0bae6f0caa73,exact,True
candidate_valid_n_ALL_150_-4,473,473,exact,True
within_candidate_hourly_margin_monotone,True,True,exact,True
expanded_Pmax_set_monotonicity,True,True,exact,True
reported_monotonicity_violations,0,0,exact,True
exact_window_recompute,True,True,exact,True
ALL150_window_shift,212/4.8037037037/19,212/4.8037037037/19,exact,True
failure_summary_complete,99,99,exact,True
pure_location_zero_effect,0,0,exact,True
ALL150_checkpoint_counts,"[7, 66, 122]","[7, 66, 122]",exact,True
previous_site_mechanism_values_reused,True,True,exact,True
site4_need_evidence_highest,0.672304439746/0.751717758985,four-site maxima,exact,True
site_effectiveness_rows,8,8,exact,True
site4_125_efficiency,1.28,1.28,exact,True
grid_bus_mapping,"[24, 14, 18, 31]","[24, 14, 18, 31]",exact,True
grid_site3_warning,POTENTIALLY_VOLTAGE_LIMITED,POTENTIALLY_VOLTAGE_LIMITED,exact,True
incremental_grid_not_identifiable,['INCREMENTAL_GRID_HOSTING_CAPACITY_NOT_IDENTIFIABLE_FROM_SAVED_OOS'],NOT_IDENTIFIABLE,exact,True
bus18_current_binding_exists,4046,>0,exact,True
recovered_characteristics_closure,795,795,exact,True
recovered_claim_scope,['NOT_RULED_OUT_BY_OPTIMISTIC_BOUND'],['NOT_RULED_OUT_BY_OPTIMISTIC_BOUND'],exact,True
tail_partition_recompute,True,True,exact,True
ranking_candidates,10,10,exact,True
best_targeted,S4_125,S4_125,exact,True
best_uniform,ALL_125,ALL_125,exact,True
final_statuses,"{'PMAX_PHYSICAL_FLEXIBILITY_SIGNAL': 'STRONG', 'PMAX_SHIFTS_UNRECOVERABLE_WINDOW': 'YES', 'PMAX_PURE_QUANTITY_EFFECT': 'STRONG', 'PMAX_MIXED_EFFECT': 'STRONG', 'PMAX_PURE_LOCATION_EFFECT': 'NONE', 'GRID_HOSTING_FOR_SELECTED_CANDIDATE': 'NOT_IDENTIFIABLE', 'RECOMMEND_FRESH_PMAX_POLICY_PILOT': 'NEEDS_GRID_CHECK', 'NO_REOPTIMIZATION': 'YES', 'NO_RANDOM_DRAW': 'YES', 'NO_PARAMETER_WRITEBACK': 'YES', 'PENALTY1500_STARTED': 'NO'}","{'PMAX_PHYSICAL_FLEXIBILITY_SIGNAL': 'STRONG', 'PMAX_SHIFTS_UNRECOVERABLE_WINDOW': 'YES', 'PMAX_PURE_QUANTITY_EFFECT': 'STRONG', 'PMAX_MIXED_EFFECT': 'STRONG', 'PMAX_PURE_LOCATION_EFFECT': 'NONE', 'GRID_HOSTING_FOR_SELECTED_CANDIDATE': 'NOT_IDENTIFIABLE', 'RECOMMEND_FRESH_PMAX_POLICY_PILOT': 'NEEDS_GRID_CHECK', 'NO_REOPTIMIZATION': 'YES', 'NO_RANDOM_DRAW': 'YES', 'NO_PARAMETER_WRITEBACK': 'YES', 'PENALTY1500_STARTED': 'NO'}",exact,True
readme_20_answers,20,20,exact,True
readme_scope_guard,True,True,exact,True
no_optimizer_or_random_capabilities,"{'analyze_stage89q_pmax_flexibility_audit.py': [], 'audit_stage89q_pmax_flexibility.py': []}",all empty,exact,True
figure_count,13,13,exact,True
figure_dimensions_and_nonblank,True,True,exact,True
manual_visual_qa,{'PASS': 13},{'PASS': 13},exact,True
manifest_hashes,True,True,exact,True
accepted_raw_hashes_after,"{'path_summary/oos_path_summary.csv': '99ec55faba4e60e88b25d757deb1a8146515faf666d52979fe69c64362047502', 'path_summary/oos_stage_summary.csv': '969c373a9a2ff1b271cde6fda95a6fe8e64b10362518fe4b807c0dc86437c15d', 'path_summary/oos_stage_site_summary.csv': 'eab41bdf5d58fc971bc65af8c5745de3bd08cc25a0a4d44cc386aeba3f99c89e', 'hourly_site/oos_hour_site.csv': 'af3b3d5c4aa69e6d29b35a88008b4d82360c4b8391fc783141078f7ad68b0cda', 'grid_hourly/oos_hour_system.csv': 'b9eaa83ee3e8a720f3cb5afd5d54da050c2d3ef45c434efe74f8ba8b976b63c6'}","{'path_summary/oos_path_summary.csv': '99ec55faba4e60e88b25d757deb1a8146515faf666d52979fe69c64362047502', 'path_summary/oos_stage_summary.csv': '969c373a9a2ff1b271cde6fda95a6fe8e64b10362518fe4b807c0dc86437c15d', 'path_summary/oos_stage_site_summary.csv': 'eab41bdf5d58fc971bc65af8c5745de3bd08cc25a0a4d44cc386aeba3f99c89e', 'hourly_site/oos_hour_site.csv': 'af3b3d5c4aa69e6d29b35a88008b4d82360c4b8391fc783141078f7ad68b0cda', 'grid_hourly/oos_hour_system.csv': 'b9eaa83ee3e8a720f3cb5afd5d54da050c2d3ef45c434efe74f8ba8b976b63c6'}",exact,True
