state,intensity,loc,mode,road_only_T1,dual_T1,delta_T1,delta_percent_T1,road_only_T2,dual_T2,delta_T2,delta_percent_T2,road_only_T3,dual_T3,delta_T3,delta_percent_T3,road_only_T4,dual_T4,delta_T4,delta_percent_T4,road_only_T_total,dual_T_total,delta_T_total,delta_percent_T_total
19,4,5,SAA,129.28565583831104,126.01260126012605,-3.273054578184997,-2.5316455696201814,26.18443662548073,29.457491203665832,3.2730545781851035,12.500000000000048,16.365272890925453,22.911382047295625,6.546109156370171,39.999999999999936,57.278455118239094,54.55090963641819,-2.727545481820904,-4.761904761904753,229.11382047295632,232.9323841475057,3.818563674549381,1.6666666666667143
20,4,6,DRO,112.37481162340899,105.8300632001106,-6.544748423298387,-5.824035056210977,19.63832490766001,19.63841766505301,9.275739299852148e-05,0.00047232843653758407,12.001346359327913,22.911358148697754,10.910011789369841,90.90656550287923,39.27665980302801,40.97548224997815,1.698822446950139,4.325272198475414,183.29114269342494,189.3553212638395,6.064178570414555,3.3084951521948747
20,4,6,SAA,45.82276409459127,42.54970951640618,-3.2730545781850893,-7.142857142857139,9.819163734555273,9.819163734555271,-1.7763568394002505e-15,-1.8090714111925386e-14,8.182636445462727,11.45569102364782,3.273054578185093,40.00000000000003,26.18443662548073,27.275454818209084,1.091018192728356,4.166666666666638,90.00900090009,91.10001909281836,1.091018192728356,1.2121212121212035
21,4,7,DRO,3.2731482853095017,3.27305014181222,-9.814349728154426e-05,-0.0029984433556533483,0.0,0.0,0.0,,0.0,0.0,0.0,,7.886093517676136,7.910306458106844,0.024212940430707874,0.3070333920899649,11.159241802985639,11.183356599919064,0.024114796933424998,0.21609709117489612
21,4,7,SAA,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
22,5,1,DRO,213.83949659946245,213.67250824040363,-0.16698835905881992,-0.0780905126107745,102.55504657457055,99.82923580320612,-2.7258107713644364,-2.657900183763678,24.547909336063405,42.55003620492227,18.002126868858866,73.33466415574497,181.65463701678823,172.65225429285837,-9.002382723929856,-4.955768193849007,522.5970895268847,528.7040345413903,6.106945014505641,1.1685761625718876
22,5,1,SAA,206.20243842566074,206.20243842566077,2.842170943040401e-14,1.3783401228133627e-14,94.10031912282139,94.91858276736762,0.818263644546235,0.869565217391264,24.54790933638818,36.003600360036,11.455691023647823,46.66666666666669,175.10841993290242,171.017101710171,-4.091318222731417,-2.3364485981308705,499.9590868177727,508.14172326323535,8.182636445462663,1.636661211129283
23,5,2,DRO,225.8394126397046,229.66368647483336,3.824273835128764,1.693359803954973,93.82530672359077,96.28484127796864,2.4595345543778677,2.621397829930525,34.36722621457664,44.18632874642721,9.819102531850568,28.571123169916632,183.5676974784155,172.92200652298985,-10.645690955425664,-5.799326952214683,537.5996430562875,543.0568630222191,5.457219965931586,1.0151085545568723
23,5,2,SAA,223.65872950931447,225.8407658947712,2.1820363854567404,0.9756097560975672,92.46379183372883,92.46379183372882,-1.4210854715202004e-14,-1.5369102254379088e-14,28.91198210730164,43.3679731609524,14.455991053650763,49.99999999999981,186.01860186018598,172.65362899926365,-13.364972860922336,-7.184750733137767,531.053105310531,534.326159888716,3.273054578184997,0.6163328197226325
24,5,3,DRO,219.6513589272778,222.56773427122053,2.9163753439427182,1.3277292515673769,127.10335476098182,130.10390228078654,3.0005475198047264,2.3607146526126424,52.368810521354234,58.91498053506694,6.546170013712704,12.500131182172634,151.37842738629377,140.741346562064,-10.63708082422977,-7.026814195318349,550.5019515959077,552.3279636491379,1.8260120532302153,0.33169946953622925
24,5,3,SAA,220.1129203829472,221.20393857567575,1.0910181927285407,0.4956629491946285,127.10361945285436,130.10391948285738,3.000300030003018,2.360515021459242,39.276654938221085,48.82306412459428,9.546409186373197,24.305555555555596,151.10601969287865,142.37787415105126,-8.728145541827388,-5.776173285198862,537.5992144669012,542.5087963341787,4.9095818672774385,0.9132420091323832
25,5,4,DRO,217.11285404018312,220.3868017186024,3.2739476784192902,1.5079474188171973,137.4689066114733,137.4078320133077,-0.06107459816558958,-0.04442793623012073,63.82477271337325,70.1586416901174,6.3338689767441565,9.923841022025318,124.10219078141385,118.9781121984666,-5.124078582947249,-4.128918716650613,542.5087241464435,546.9313876204942,4.422663474050751,0.815224396807471
25,5,4,SAA,212.7485475820309,216.0216021602159,3.273054578184997,1.5384615384614944,136.37727409104542,140.19583776559475,3.818563674549324,2.8000000000000385,50.186836865504816,56.18743692551073,6.000600060005915,11.956521739130245,118.64822845920953,115.37517388102448,-3.2730545781850537,-2.7586206896551415,517.9608869977907,527.7800507323459,9.819163734555218,1.8957345971563875
26,5,5,DRO,216.48979614441325,222.56658102533876,6.076784880925516,2.8069613391256056,68.46147534448677,72.55272459079237,4.091249246305594,5.975987554634351,37.09444706122183,44.18626274628781,7.091815685065981,19.118267684005176,127.17926375427017,116.19376619566334,-10.985497558606824,-8.637805593711008,449.22498230439203,455.49933455808224,6.2743522536902105,1.3967059938440265
26,5,5,SAA,196.38327469110547,200.2018383656548,3.818563674549324,1.9444444444444704,56.4601914736928,57.82396421460327,1.3637727409104698,2.4154589371980952,24.54790933638818,36.003600360036,11.455691023647823,46.66666666666669,111.28385565829302,101.4646919237378,-9.819163734555218,-8.823529411764662,388.67523115947944,395.4940948640319,6.818863704552484,1.7543859649123357
27,5,6,DRO,179.3043427276317,181.1105317256639,1.8061889980321837,1.007331429097529,32.73046285372547,39.276655049707735,6.546192195982265,20.000304380777063,22.911387308903333,30.36560516625665,7.454217857353317,32.53499125501064,91.64550879106457,81.82636417084827,-9.819144620216306,-10.714267125301477,326.59170168132505,332.57915611247654,5.987454431151491,1.833314931251317
27,5,6,SAA,141.28685595832306,145.10541963287235,3.8185636745492957,2.7027027027027195,26.18443662548073,29.457491203665818,3.2730545781850893,12.499999999999993,16.365272890925453,24.547909336388184,8.18263644546273,50.00000000000002,73.64372800916455,65.46109156370181,-8.182636445462734,-11.11111111111112,257.4802934838938,264.5719117366282,7.091618252734406,2.7542372881356103
28,5,7,DRO,99.28267460479874,98.05066632385616,-1.2320082809425799,-1.2409096409284603,13.092219226349572,13.09226619348058,4.69671310074915e-05,0.00035874079249272604,9.81916414495188,18.0016621128455,8.182497967893621,83.33191957179284,33.821573718691134,32.73064031474119,-1.090933403949947,-3.225554827885061,156.01563169479132,161.87523494492342,5.859603250132096,3.7557795885447307
28,5,7,SAA,37.640127649128544,36.003600360036,-1.636527289092541,-4.34782608695651,6.546109156370182,6.546109156370182,0.0,0.0,8.182636445462727,11.45569102364782,3.273054578185093,40.00000000000003,16.365272890925453,19.092818372746365,2.7275454818209113,16.666666666666682,68.7341461418869,73.09821891280036,4.364072770913467,6.3492063492063675
29,6,1,DRO,221.4717657906626,223.6535388617262,2.1817730710635885,0.9851247012342977,105.28197318037695,108.97350674286636,3.6915335624894112,3.506330144634352,45.75446648456422,49.0958186211534,3.3413521365891796,7.302788980648309,200.0,191.4831637411737,-8.516836258826288,-4.258418129413144,572.5082054556037,573.2060279669197,0.6978225113159624,0.1218886479994873
29,6,1,SAA,217.65812944930855,220.93118402749369,3.273054578185139,1.5037593984962627,103.1012192128304,104.73774650192289,1.6365272890924842,1.5873015873015273,42.54970951640618,44.73174590186291,2.182036385456726,5.128205128205126,200.0,193.92848375746652,-6.071516242533477,-3.0357581212667384,563.3090581785451,564.329160188746,1.0201020102008442,0.1810910006487975
