subset,candidate,window_start_relative_hour,path_id,stage,global_hour,relative_hour,profile_id,requested_increment_from_realized_kw,grid_hostable_increment_kw,grid_hosting_ratio,full_to_candidate_hostable,resulting_min_voltage_pu,voltage_margin_pu,critical_bus,critical_branch_id,critical_branch_from,critical_branch_to,max_true_s_mva,max_true_s_utilization,max_octagon_utilization,voltage_limited_flag,branch_limited_flag,substation_limited_flag,site3_plus30_hostable,site3_voltage_limited_flag,site3_max_additional_hosting_kw,site1_full_to_candidate_hostable,site1_voltage_limited_flag,site1_hosting_ratio,site2_full_to_candidate_hostable,site2_voltage_limited_flag,site2_hosting_ratio,site3_full_to_candidate_hostable,site3_hosting_ratio,site4_full_to_candidate_hostable,site4_voltage_limited_flag,site4_hosting_ratio
BASE_UNRECOVERABLE_-16H,S4_125,-16,3724,2,16,-16,26,187.5,187.5,1,YES,0.926051161147,0.0260511611468,33,1,1,2,3.81596747025,0.635994578375,0.67176969161,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,4007,2,16,-16,26,187.5,187.5,1,YES,0.926051161147,0.0260511611468,33,1,1,2,3.81596747025,0.635994578375,0.67176969161,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,4689,2,16,-16,26,187.5,187.5,1,YES,0.926051161147,0.0260511611468,33,1,1,2,3.81596747025,0.635994578375,0.67176969161,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,4723,2,16,-16,26,187.5,187.5,1,YES,0.926051161147,0.0260511611468,33,1,1,2,3.81596747025,0.635994578375,0.67176969161,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,5666,2,16,-16,26,187.5,187.5,1,YES,0.926051161147,0.0260511611468,33,1,1,2,3.81596747025,0.635994578375,0.67176969161,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,5685,2,16,-16,26,187.5,187.5,1,YES,0.926051161147,0.0260511611468,33,1,1,2,3.81596747025,0.635994578375,0.67176969161,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,5887,2,16,-16,26,187.5,187.5,1,YES,0.926051161147,0.0260511611468,33,1,1,2,3.81596747025,0.635994578375,0.67176969161,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,6260,2,16,-16,26,187.5,187.5,1,YES,0.926051161147,0.0260511611468,33,1,1,2,3.81596747025,0.635994578375,0.67176969161,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,7699,2,16,-16,26,187.5,187.5,1,YES,0.926051161147,0.0260511611468,33,1,1,2,3.81596747025,0.635994578375,0.67176969161,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,7862,2,16,-16,26,187.5,187.5,1,YES,0.926051161147,0.0260511611468,33,1,1,2,3.81596747025,0.635994578375,0.67176969161,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,8332,2,16,-16,26,187.5,187.5,1,YES,0.926051161147,0.0260511611468,33,1,1,2,3.81596747025,0.635994578375,0.67176969161,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,8395,2,16,-16,26,187.5,187.5,1,YES,0.926051161147,0.0260511611468,33,1,1,2,3.81596747025,0.635994578375,0.67176969161,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,8707,2,16,-16,26,187.5,187.5,1,YES,0.926051161147,0.0260511611468,33,1,1,2,3.81596747025,0.635994578375,0.67176969161,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,8747,2,16,-16,26,187.5,187.5,1,YES,0.926051161147,0.0260511611468,33,1,1,2,3.81596747025,0.635994578375,0.67176969161,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,8898,2,16,-16,26,187.5,187.5,1,YES,0.926051161147,0.0260511611468,33,1,1,2,3.81596747025,0.635994578375,0.67176969161,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,9408,2,16,-16,26,187.5,187.5,1,YES,0.926051161147,0.0260511611468,33,1,1,2,3.81596747025,0.635994578375,0.67176969161,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,1165,3,17,-15,28,187.5,187.5,1,YES,0.925946052931,0.0259460529306,33,1,1,2,3.81616207051,0.636027011752,0.67080445174,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,1320,3,17,-15,28,187.5,187.5,1,YES,0.925946052931,0.0259460529306,33,1,1,2,3.81616207051,0.636027011752,0.67080445174,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,2000,3,17,-15,28,187.5,187.5,1,YES,0.925946052931,0.0259460529306,33,1,1,2,3.81616207051,0.636027011752,0.67080445174,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,4723,3,17,-15,28,187.5,187.5,1,YES,0.925946052931,0.0259460529306,33,1,1,2,3.81616207051,0.636027011752,0.67080445174,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,8332,3,17,-15,28,187.5,187.5,1,YES,0.925946052931,0.0259460529306,33,1,1,2,3.81616207051,0.636027011752,0.67080445174,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,1165,3,18,-14,38,187.5,187.5,1,YES,0.927557827398,0.0275578273983,33,1,1,2,3.72358602307,0.620597670512,0.652878201242,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,1320,3,18,-14,38,187.5,187.5,1,YES,0.927557827398,0.0275578273983,33,1,1,2,3.72358602307,0.620597670512,0.652878201242,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,2000,3,18,-14,38,187.5,187.5,1,YES,0.927557827398,0.0275578273983,33,1,1,2,3.72358602307,0.620597670512,0.652878201242,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,4723,3,18,-14,38,187.5,187.5,1,YES,0.927557827398,0.0275578273983,33,1,1,2,3.72358602307,0.620597670512,0.652878201242,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,8332,3,18,-14,38,187.5,187.5,1,YES,0.927557827398,0.0275578273983,33,1,1,2,3.72358602307,0.620597670512,0.652878201242,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,1165,3,19,-13,43,187.5,187.5,1,YES,0.923975874081,0.023975874081,33,1,1,2,3.90084204105,0.650140340176,0.681717191539,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,1320,3,19,-13,43,187.5,187.5,1,YES,0.923975874081,0.023975874081,33,1,1,2,3.90084204105,0.650140340176,0.681717191539,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,2000,3,19,-13,43,187.5,187.5,1,YES,0.923975874081,0.023975874081,33,1,1,2,3.90084204105,0.650140340176,0.681717191539,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,4723,3,19,-13,43,187.5,187.5,1,YES,0.923975874081,0.023975874081,33,1,1,2,3.90084204105,0.650140340176,0.681717191539,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,8332,3,19,-13,43,187.5,187.5,1,YES,0.923975874081,0.023975874081,33,1,1,2,3.90084204105,0.650140340176,0.681717191539,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,1165,3,20,-12,51,187.5,187.5,1,YES,0.913816673115,0.0138166731148,33,1,1,2,4.42402000361,0.737336667269,0.772609864292,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,1320,3,20,-12,51,187.5,187.5,1,YES,0.913816673115,0.0138166731148,33,1,1,2,4.42402000361,0.737336667269,0.772609864292,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,2000,3,20,-12,51,187.5,187.5,1,YES,0.913816673115,0.0138166731148,33,1,1,2,4.42402000361,0.737336667269,0.772609864292,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,4723,3,20,-12,51,187.5,187.5,1,YES,0.913816673115,0.0138166731148,33,1,1,2,4.42402000361,0.737336667269,0.772609864292,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,8332,3,20,-12,51,187.5,187.5,1,YES,0.913816673115,0.0138166731148,33,1,1,2,4.42402000361,0.737336667269,0.772609864292,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,1165,3,21,-11,65,187.5,187.5,1,YES,0.911763936027,0.0117639360269,33,1,1,2,4.52984616185,0.754974360308,0.791197996401,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,1320,3,21,-11,65,187.5,187.5,1,YES,0.911763936027,0.0117639360269,33,1,1,2,4.52984616185,0.754974360308,0.791197996401,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,2000,3,21,-11,65,187.5,187.5,1,YES,0.911763936027,0.0117639360269,33,1,1,2,4.52984616185,0.754974360308,0.791197996401,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,4723,3,21,-11,65,187.5,187.5,1,YES,0.911763936027,0.0117639360269,33,1,1,2,4.52984616185,0.754974360308,0.791197996401,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,8332,3,21,-11,65,187.5,187.5,1,YES,0.911763936027,0.0117639360269,33,1,1,2,4.52984616185,0.754974360308,0.791197996401,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,1165,3,22,-10,80,187.5,187.5,1,YES,0.913816673115,0.0138166731148,33,1,1,2,4.42402000361,0.737336667269,0.772609864292,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,1320,3,22,-10,80,187.5,187.5,1,YES,0.913816673115,0.0138166731148,33,1,1,2,4.42402000361,0.737336667269,0.772609864292,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,2000,3,22,-10,80,187.5,187.5,1,YES,0.913816673115,0.0138166731148,33,1,1,2,4.42402000361,0.737336667269,0.772609864292,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,4723,3,22,-10,80,187.5,187.5,1,YES,0.913816673115,0.0138166731148,33,1,1,2,4.42402000361,0.737336667269,0.772609864292,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,8332,3,22,-10,80,187.5,187.5,1,YES,0.913816673115,0.0138166731148,33,1,1,2,4.42402000361,0.737336667269,0.772609864292,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,1320,3,23,-9,96,187.5,187.5,1,YES,0.914818572114,0.0148185721142,33,1,1,2,4.37228244749,0.728713741249,0.763522196633,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,2000,3,23,-9,105,37.5,37.5,1,YES,0.913620431805,0.0136204318049,33,1,1,2,4.63335232533,0.772225387556,0.801790539869,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,2000,3,24,-8,125,37.5,37.5,1,YES,0.912748791787,0.0127487917865,18,1,1,2,4.41055960374,0.73509326729,0.759267962318,False,False,False,YES,False,30,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,3546,3,24,-16,125,37.5,37.5,1,YES,0.912748791787,0.0127487917865,18,1,1,2,4.41055960374,0.73509326729,0.759267962318,False,False,False,YES,False,30,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,3909,4,30,-10,466,187.5,187.5,1,YES,0.938698339763,0.0386983397631,33,1,1,2,3.12249569414,0.520415949024,0.543974918617,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,3909,4,31,-9,512,187.5,187.5,1,YES,0.939939529194,0.0399395291939,33,1,1,2,3.05666572287,0.509444287145,0.532408935648,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,2268,4,32,-8,552,187.5,187.5,1,YES,0.936211024363,0.0362110243634,33,1,1,2,3.25415971845,0.542359953075,0.567106884555,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,3909,4,32,-8,552,187.5,187.5,1,YES,0.936211024363,0.0362110243634,33,1,1,2,3.25415971845,0.542359953075,0.567106884555,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,5265,4,32,-8,552,187.5,187.5,1,YES,0.936211024363,0.0362110243634,33,1,1,2,3.25415971845,0.542359953075,0.567106884555,False,False,False,YES,False,150,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,152,3,24,-8,126,37.5,37.5,1,YES,0.902159747587,0.00215974758658,18,1,1,2,4.58872925527,0.764788209211,0.784780191142,False,False,False,YES,False,30,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,467,3,24,-8,126,37.5,37.5,1,YES,0.902159747587,0.00215974758658,18,1,1,2,4.58872925527,0.764788209211,0.784780191142,False,False,False,YES,False,30,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,488,3,24,-8,126,37.5,37.5,1,YES,0.902159747587,0.00215974758658,18,1,1,2,4.58872925527,0.764788209211,0.784780191142,False,False,False,YES,False,30,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,518,3,24,-8,126,37.5,37.5,1,YES,0.902159747587,0.00215974758658,18,1,1,2,4.58872925527,0.764788209211,0.784780191142,False,False,False,YES,False,30,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,643,3,24,-8,126,37.5,37.5,1,YES,0.902159747587,0.00215974758658,18,1,1,2,4.58872925527,0.764788209211,0.784780191142,False,False,False,YES,False,30,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,801,3,24,-8,126,37.5,37.5,1,YES,0.902159747587,0.00215974758658,18,1,1,2,4.58872925527,0.764788209211,0.784780191142,False,False,False,YES,False,30,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,904,3,24,-16,126,37.5,37.5,1,YES,0.902159747587,0.00215974758658,18,1,1,2,4.58872925527,0.764788209211,0.784780191142,False,False,False,YES,False,30,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,1145,3,24,-16,126,37.5,37.5,1,YES,0.902159747587,0.00215974758658,18,1,1,2,4.58872925527,0.764788209211,0.784780191142,False,False,False,YES,False,30,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,1165,3,24,-8,126,37.5,37.5,1,YES,0.902159747587,0.00215974758658,18,1,1,2,4.58872925527,0.764788209211,0.784780191142,False,False,False,YES,False,30,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,1320,3,24,-8,126,37.5,37.5,1,YES,0.902159747587,0.00215974758658,18,1,1,2,4.58872925527,0.764788209211,0.784780191142,False,False,False,YES,False,30,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,1628,3,24,-16,126,37.5,37.5,1,YES,0.902159747587,0.00215974758658,18,1,1,2,4.58872925527,0.764788209211,0.784780191142,False,False,False,YES,False,30,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,1633,3,24,-16,126,37.5,37.5,1,YES,0.902159747587,0.00215974758658,18,1,1,2,4.58872925527,0.764788209211,0.784780191142,False,False,False,YES,False,30,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,1666,3,24,-8,126,37.5,37.5,1,YES,0.902159747587,0.00215974758658,18,1,1,2,4.58872925527,0.764788209211,0.784780191142,False,False,False,YES,False,30,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,2052,3,24,-8,126,37.5,37.5,1,YES,0.902159747587,0.00215974758658,18,1,1,2,4.58872925527,0.764788209211,0.784780191142,False,False,False,YES,False,30,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,2103,3,24,-8,126,37.5,37.5,1,YES,0.902159747587,0.00215974758658,18,1,1,2,4.58872925527,0.764788209211,0.784780191142,False,False,False,YES,False,30,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,2268,3,24,-16,126,37.5,37.5,1,YES,0.902159747587,0.00215974758658,18,1,1,2,4.58872925527,0.764788209211,0.784780191142,False,False,False,YES,False,30,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,2316,3,24,-16,126,37.5,37.5,1,YES,0.902159747587,0.00215974758658,18,1,1,2,4.58872925527,0.764788209211,0.784780191142,False,False,False,YES,False,30,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,2420,3,24,-16,126,37.5,37.5,1,YES,0.902159747587,0.00215974758658,18,1,1,2,4.58872925527,0.764788209211,0.784780191142,False,False,False,YES,False,30,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,2435,3,24,-8,126,37.5,37.5,1,YES,0.902159747587,0.00215974758658,18,1,1,2,4.58872925527,0.764788209211,0.784780191142,False,False,False,YES,False,30,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,2467,3,24,-8,126,37.5,37.5,1,YES,0.902159747587,0.00215974758658,18,1,1,2,4.58872925527,0.764788209211,0.784780191142,False,False,False,YES,False,30,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,2501,3,24,-16,126,37.5,37.5,1,YES,0.902159747587,0.00215974758658,18,1,1,2,4.58872925527,0.764788209211,0.784780191142,False,False,False,YES,False,30,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,2962,3,24,-16,126,37.5,37.5,1,YES,0.902159747587,0.00215974758658,18,1,1,2,4.58872925527,0.764788209211,0.784780191142,False,False,False,YES,False,30,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,3349,3,24,-8,126,37.5,37.5,1,YES,0.902159747587,0.00215974758658,18,1,1,2,4.58872925527,0.764788209211,0.784780191142,False,False,False,YES,False,30,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,3645,3,24,-16,126,37.5,37.5,1,YES,0.902159747587,0.00215974758658,18,1,1,2,4.58872925527,0.764788209211,0.784780191142,False,False,False,YES,False,30,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,3724,3,24,-8,126,37.5,37.5,1,YES,0.902159747587,0.00215974758658,18,1,1,2,4.58872925527,0.764788209211,0.784780191142,False,False,False,YES,False,30,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,3909,3,24,-16,126,37.5,37.5,1,YES,0.902159747587,0.00215974758658,18,1,1,2,4.58872925527,0.764788209211,0.784780191142,False,False,False,YES,False,30,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,4007,3,24,-8,126,37.5,37.5,1,YES,0.902159747587,0.00215974758658,18,1,1,2,4.58872925527,0.764788209211,0.784780191142,False,False,False,YES,False,30,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,4689,3,24,-8,126,37.5,37.5,1,YES,0.902159747587,0.00215974758658,18,1,1,2,4.58872925527,0.764788209211,0.784780191142,False,False,False,YES,False,30,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,4711,3,24,-8,126,37.5,37.5,1,YES,0.902159747587,0.00215974758658,18,1,1,2,4.58872925527,0.764788209211,0.784780191142,False,False,False,YES,False,30,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,4723,3,24,-8,126,37.5,37.5,1,YES,0.902159747587,0.00215974758658,18,1,1,2,4.58872925527,0.764788209211,0.784780191142,False,False,False,YES,False,30,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,5152,3,24,-16,126,37.5,37.5,1,YES,0.902159747587,0.00215974758658,18,1,1,2,4.58872925527,0.764788209211,0.784780191142,False,False,False,YES,False,30,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,5212,3,24,-16,126,37.5,37.5,1,YES,0.902159747587,0.00215974758658,18,1,1,2,4.58872925527,0.764788209211,0.784780191142,False,False,False,YES,False,30,YES,False,1,YES,False,1,YES,1,YES,False,1
BASE_UNRECOVERABLE_-16H,S4_125,-16,5265,3,24,-16,126,37.5,37.5,1,YES,0.902159747587,0.00215974758658,18,1,1,2,4.58872925527,0.764788209211,0.784780191142,False,False,False,YES,False,30,YES,False,1,YES,False,1,YES,1,YES,False,1
