audit_scope,case_id,decision_label,eta,primary_group_sum_yuan,secondary_group_sum_service_distance,secondary_expected_service_distance,shortage_preservation_error_kg,primary_objective_preservation_error_yuan,max_demand_balance_error,max_site_capacity_violation,primary_reconstruction_error_yuan,secondary_reconstruction_error,primary_status,secondary_status,maximum_mechanical_residual,lexicographic_pass,validation_id,dataset_label,decision_id,C_y_in_primary_objective,C_y_in_Pearson_loss,validation_reoptimized_T,source_step,dataset_scope,distribution_label,seed_id
fixed_T_validation,,ETA_0.003,0.003,,,,7.105427357601e-14,0,1.77635683940025e-15,2.27373675443232e-13,1.50948762893677e-05,4.06987965106964e-06,OPTIMAL,OPTIMAL,3.09262068738496e-13,1,12,seed002-nominal,2,0,0,0,C3,markov-perturbation,nominal,2
fixed_T_validation,,ETA_0.01,0.01,,,,8.5265128291212e-14,0,1.77635683940025e-15,1.98951966012828e-13,1.11609697341919e-05,4.09595668315887e-06,OPTIMAL,OPTIMAL,3.10989822503468e-13,1,12,seed002-nominal,3,0,0,0,C3,markov-perturbation,nominal,2
fixed_T_validation,,SAA,0,,,,5.6843418860808e-14,0,3.73034936274053e-14,7.105427357601e-13,1.62124633789062e-05,4.50760126113892e-07,OPTIMAL,OPTIMAL,7.105427357601e-13,1,13,seed002-intensity-only,1,0,0,0,C3,markov-perturbation,intensity-only,2
fixed_T_validation,,ETA_0.003,0.003,,,,8.5265128291212e-14,0,1.77635683940025e-15,2.27373675443232e-13,2.71201133728027e-05,3.42726707458496e-07,OPTIMAL,OPTIMAL,2.27373675443232e-13,1,13,seed002-intensity-only,2,0,0,0,C3,markov-perturbation,intensity-only,2
fixed_T_validation,,ETA_0.01,0.01,,,,8.5265128291212e-14,0,3.5527136788005e-15,1.70530256582424e-13,3.08752059936523e-05,9.38773155212402e-07,OPTIMAL,OPTIMAL,1.70530256582424e-13,1,13,seed002-intensity-only,3,0,0,0,C3,markov-perturbation,intensity-only,2
fixed_T_validation,,SAA,0,,,,8.5265128291212e-14,0,4.61852778244065e-14,6.82121026329696e-13,1.20252370834351e-05,2.28546559810638e-06,OPTIMAL,OPTIMAL,6.82121026329696e-13,1,14,seed002-location-only,1,0,0,0,C3,markov-perturbation,location-only,2
fixed_T_validation,,ETA_0.003,0.003,,,,7.105427357601e-14,0,1.77635683940025e-15,1.4210854715202e-13,1.63763761520386e-05,2.28732824325562e-06,OPTIMAL,OPTIMAL,1.64904354752707e-13,1,14,seed002-location-only,2,0,0,0,C3,markov-perturbation,location-only,2
fixed_T_validation,,ETA_0.01,0.01,,,,8.5265128291212e-14,0,1.77635683940025e-15,2.27373675443232e-13,1.68532133102417e-05,2.52015888690948e-06,OPTIMAL,OPTIMAL,2.27373675443232e-13,1,14,seed002-location-only,3,0,0,0,C3,markov-perturbation,location-only,2
fixed_T_validation,,SAA,0,,,,8.5265128291212e-14,0,3.73034936274053e-14,7.105427357601e-13,1.45435333251953e-05,2.51457095146179e-06,OPTIMAL,OPTIMAL,7.105427357601e-13,1,15,seed002-lfw-only,1,0,0,0,C3,markov-perturbation,lfw-only,2
fixed_T_validation,,ETA_0.003,0.003,,,,7.105427357601e-14,0,3.5527136788005e-15,2.27373675443232e-13,8.82148742675781e-06,2.44751572608948e-06,OPTIMAL,OPTIMAL,2.27373675443232e-13,1,15,seed002-lfw-only,2,0,0,0,C3,markov-perturbation,lfw-only,2
fixed_T_validation,,ETA_0.01,0.01,,,,6.3948846218409e-14,0,1.77635683940025e-15,1.98951966012828e-13,1.28746032714844e-05,2.6114284992218e-06,OPTIMAL,OPTIMAL,1.98951966012828e-13,1,15,seed002-lfw-only,3,0,0,0,C3,markov-perturbation,lfw-only,2
fixed_T_validation,,SAA,0,,,,8.5265128291212e-14,0,3.73034936274053e-14,7.105427357601e-13,1.26957893371582e-05,2.14576721191406e-06,OPTIMAL,OPTIMAL,7.105427357601e-13,1,16,seed002-combined-mild,1,0,0,0,C3,markov-perturbation,combined-mild,2
fixed_T_validation,,ETA_0.003,0.003,,,,8.5265128291212e-14,0,1.77635683940025e-15,2.8421709430404e-13,8.19563865661621e-06,2.09733843803406e-06,OPTIMAL,OPTIMAL,2.8421709430404e-13,1,16,seed002-combined-mild,2,0,0,0,C3,markov-perturbation,combined-mild,2
fixed_T_validation,,ETA_0.01,0.01,,,,8.5265128291212e-14,0,1.77635683940025e-15,1.70530256582424e-13,9.05990600585938e-06,2.33389437198639e-06,OPTIMAL,OPTIMAL,1.70530256582424e-13,1,16,seed002-combined-mild,3,0,0,0,C3,markov-perturbation,combined-mild,2
fixed_T_validation,,SAA,0,,,,8.5265128291212e-14,0,7.105427357601e-14,6.82121026329696e-13,3.43918800354004e-05,7.15255737304688e-07,OPTIMAL,OPTIMAL,6.82121026329696e-13,1,17,seed002-combined-medium,1,0,0,0,C3,markov-perturbation,combined-medium,2
fixed_T_validation,,ETA_0.003,0.003,,,,1.13686837721616e-13,0,3.5527136788005e-15,1.56319401867222e-13,1.89542770385742e-05,9.76026058197021e-07,OPTIMAL,OPTIMAL,1.56319401867222e-13,1,17,seed002-combined-medium,2,0,0,0,C3,markov-perturbation,combined-medium,2
fixed_T_validation,,ETA_0.01,0.01,,,,8.5265128291212e-14,0,3.5527136788005e-15,1.98951966012828e-13,1.08480453491211e-05,2.79396772384644e-07,OPTIMAL,OPTIMAL,1.98951966012828e-13,1,17,seed002-combined-medium,3,0,0,0,C3,markov-perturbation,combined-medium,2
fixed_T_validation,,SAA,0,,,,1.13686837721616e-13,0,3.73034936274053e-14,6.82121026329696e-13,0.0001688599586486,3.66196036338806e-06,OPTIMAL,OPTIMAL,6.82121026329696e-13,1,18,seed002-combined-strong,1,0,0,0,C3,markov-perturbation,combined-strong,2
fixed_T_validation,,ETA_0.003,0.003,,,,1.13686837721616e-13,0,3.5527136788005e-15,3.12638803734444e-13,4.24981117248535e-05,3.98978590965271e-06,OPTIMAL,OPTIMAL,3.12638803734444e-13,1,18,seed002-combined-strong,2,0,0,0,C3,markov-perturbation,combined-strong,2
fixed_T_validation,,ETA_0.01,0.01,,,,1.13686837721616e-13,5.96046447753906e-08,3.5527136788005e-15,2.55795384873636e-13,2.5331974029541e-05,4.3138861656189e-06,OPTIMAL,OPTIMAL,2.55795384873636e-13,1,18,seed002-combined-strong,3,0,0,0,C3,markov-perturbation,combined-strong,2
fixed_T_validation,,SAA,0,,,,5.6843418860808e-14,0,5.32907051820075e-15,6.82121026329696e-13,1.55866146087646e-05,2.70456075668335e-06,OPTIMAL,OPTIMAL,6.82121026329696e-13,1,19,seed003-nominal,1,0,0,0,C3,markov-perturbation,nominal,3
fixed_T_validation,,ETA_0.003,0.003,,,,5.6843418860808e-14,0,3.5527136788005e-15,1.84741111297626e-13,1.71661376953125e-05,2.79024243354797e-06,OPTIMAL,OPTIMAL,2.09857008876991e-13,1,19,seed003-nominal,2,0,0,0,C3,markov-perturbation,nominal,3
fixed_T_validation,,ETA_0.01,0.01,,,,2.8421709430404e-14,0,3.5527136788005e-15,1.4210854715202e-13,1.34706497192383e-05,3.06777656078339e-06,OPTIMAL,OPTIMAL,2.30466647752698e-13,1,19,seed003-nominal,3,0,0,0,C3,markov-perturbation,nominal,3
fixed_T_validation,,SAA,0,,,,8.5265128291212e-14,0,5.06261699229071e-14,6.82121026329696e-13,6.31809234619141e-06,7.30156898498535e-07,OPTIMAL,OPTIMAL,6.82121026329696e-13,1,20,seed003-intensity-only,1,0,0,0,C3,markov-perturbation,intensity-only,3
fixed_T_validation,,ETA_0.003,0.003,,,,8.5265128291212e-14,0,3.5527136788005e-15,1.56319401867222e-13,2.60770320892334e-05,2.44006514549255e-07,OPTIMAL,OPTIMAL,1.56319401867222e-13,1,20,seed003-intensity-only,2,0,0,0,C3,markov-perturbation,intensity-only,3
fixed_T_validation,,ETA_0.01,0.01,,,,8.5265128291212e-14,0,3.5527136788005e-15,1.4210854715202e-13,2.69412994384766e-05,8.21426510810852e-07,OPTIMAL,OPTIMAL,1.4210854715202e-13,1,20,seed003-intensity-only,3,0,0,0,C3,markov-perturbation,intensity-only,3
fixed_T_validation,,SAA,0,,,,8.5265128291212e-14,0,5.32907051820075e-15,6.82121026329696e-13,5.27501106262207e-06,1.69314444065094e-06,OPTIMAL,OPTIMAL,6.82121026329696e-13,1,21,seed003-location-only,1,0,0,0,C3,markov-perturbation,location-only,3
fixed_T_validation,,ETA_0.003,0.003,,,,5.6843418860808e-14,0,1.77635683940025e-15,1.70530256582424e-13,1.28746032714844e-05,1.7508864402771e-06,OPTIMAL,OPTIMAL,1.70530256582424e-13,1,21,seed003-location-only,2,0,0,0,C3,markov-perturbation,location-only,3
fixed_T_validation,,ETA_0.01,0.01,,,,2.8421709430404e-14,0,1.77635683940025e-15,1.98951966012828e-13,1.50054693222046e-05,2.06008553504944e-06,OPTIMAL,OPTIMAL,1.98951966012828e-13,1,21,seed003-location-only,3,0,0,0,C3,markov-perturbation,location-only,3
fixed_T_validation,,SAA,0,,,,8.5265128291212e-14,2.98023223876953e-08,5.32907051820075e-15,6.82121026329696e-13,2.16662883758545e-05,1.73971056938171e-06,OPTIMAL,OPTIMAL,6.82121026329696e-13,1,22,seed003-lfw-only,1,0,0,0,C3,markov-perturbation,lfw-only,3
fixed_T_validation,,ETA_0.003,0.003,,,,5.6843418860808e-14,0,3.5527136788005e-15,1.70530256582424e-13,1.26361846923828e-05,1.86450779438019e-06,OPTIMAL,OPTIMAL,1.70530256582424e-13,1,22,seed003-lfw-only,2,0,0,0,C3,markov-perturbation,lfw-only,3
fixed_T_validation,,ETA_0.01,0.01,,,,5.6843418860808e-14,0,1.77635683940025e-15,1.84741111297626e-13,1.02818012237549e-05,2.11969017982483e-06,OPTIMAL,OPTIMAL,1.84741111297626e-13,1,22,seed003-lfw-only,3,0,0,0,C3,markov-perturbation,lfw-only,3
fixed_T_validation,,SAA,0,,,,5.6843418860808e-14,0,5.06261699229071e-14,6.82121026329696e-13,5.24520874023438e-06,1.96322798728943e-06,OPTIMAL,OPTIMAL,6.82121026329696e-13,1,23,seed003-combined-mild,1,0,0,0,C3,markov-perturbation,combined-mild,3
fixed_T_validation,,ETA_0.003,0.003,,,,8.5265128291212e-14,0,3.5527136788005e-15,2.27373675443232e-13,5.90085983276367e-06,2.30409204959869e-06,OPTIMAL,OPTIMAL,2.27373675443232e-13,1,23,seed003-combined-mild,2,0,0,0,C3,markov-perturbation,combined-mild,3
fixed_T_validation,,ETA_0.01,0.01,,,,5.6843418860808e-14,0,1.77635683940025e-15,2.27373675443232e-13,5.63263893127441e-06,2.27242708206177e-06,OPTIMAL,OPTIMAL,2.27373675443232e-13,1,23,seed003-combined-mild,3,0,0,0,C3,markov-perturbation,combined-mild,3
fixed_T_validation,,SAA,0,,,,8.5265128291212e-14,0,5.15143483426073e-14,6.82121026329696e-13,4.02927398681641e-05,5.77419996261597e-07,OPTIMAL,OPTIMAL,6.82121026329696e-13,1,24,seed003-combined-medium,1,0,0,0,C3,markov-perturbation,combined-medium,3
fixed_T_validation,,ETA_0.003,0.003,,,,8.5265128291212e-14,0,3.5527136788005e-15,2.55795384873636e-13,2.58684158325195e-05,9.49949026107788e-07,OPTIMAL,OPTIMAL,2.55795384873636e-13,1,24,seed003-combined-medium,2,0,0,0,C3,markov-perturbation,combined-medium,3
fixed_T_validation,,ETA_0.01,0.01,,,,8.5265128291212e-14,0,3.5527136788005e-15,1.98951966012828e-13,2.49147415161133e-05,2.30967998504639e-07,OPTIMAL,OPTIMAL,1.98951966012828e-13,1,24,seed003-combined-medium,3,0,0,0,C3,markov-perturbation,combined-medium,3
fixed_T_validation,,SAA,0,,,,1.13686837721616e-13,5.96046447753906e-08,8.97060203897126e-14,6.82121026329696e-13,0.0002110004425048,3.46451997756958e-06,OPTIMAL,OPTIMAL,6.82121026329696e-13,1,25,seed003-combined-strong,1,0,0,0,C3,markov-perturbation,combined-strong,3
fixed_T_validation,,ETA_0.003,0.003,,,,9.9475983006414e-14,0,3.5527136788005e-15,2.1316282072803e-13,2.11596488952637e-05,3.55765223503113e-06,OPTIMAL,OPTIMAL,2.1316282072803e-13,1,25,seed003-combined-strong,2,0,0,0,C3,markov-perturbation,combined-strong,3
fixed_T_validation,,ETA_0.01,0.01,,,,9.9475983006414e-14,0,3.5527136788005e-15,1.98951966012828e-13,1.80602073669434e-05,3.91155481338501e-06,OPTIMAL,OPTIMAL,1.98951966012828e-13,1,25,seed003-combined-strong,3,0,0,0,C3,markov-perturbation,combined-strong,3
fixed_T_validation,,SAA,0,,,,5.6843418860808e-14,0,1.77635683940025e-15,2.27373675443232e-13,4.77582216262817e-06,5.82076609134674e-10,OPTIMAL,OPTIMAL,2.27373675443232e-13,1,26,state19-27-path-135-replica,1,0,0,0,A2,fixed-pressure,fixed-pressure,
fixed_T_validation,,ETA_0.003,0.003,,,,5.6843418860808e-14,0,0,2.55795384873636e-13,4.7534704208374e-06,6.98491930961609e-10,OPTIMAL,OPTIMAL,2.55795384873636e-13,1,26,state19-27-path-135-replica,2,0,0,0,A2,fixed-pressure,fixed-pressure,
fixed_T_validation,,ETA_0.01,0.01,,,,5.6843418860808e-14,0,0,1.84741111297626e-13,4.73111867904663e-06,8.14907252788544e-10,OPTIMAL,OPTIMAL,1.84741111297626e-13,1,26,state19-27-path-135-replica,3,0,0,0,A2,fixed-pressure,fixed-pressure,
