validation_id,source_step,dataset_scope,dataset_label,seed_id,distribution_id,distribution_label,weighting_interpretation,decision_id,decision_label,eta,T1_kg,T2_kg,T3_kg,T4_kg,TerminalLOH_total_kg,T1_capacity_binding,T2_capacity_binding,T3_capacity_binding,T4_capacity_binding,capacity_binding_count,sample_count,c_H2_yuan_per_kg,production_cost_yuan,M_H2_yuan_per_kg,mean_shortage_kg,shortage_q95_kg,shortage_q99_kg,shortage_q995_kg,shortage_CVaR95_kg,shortage_CVaR99_kg,shortage_CVaR995_kg,maximum_shortage_kg,mean_EENS_kWh,EENS_q95_kWh,EENS_q99_kWh,EENS_q995_kWh,EENS_CVaR95_kWh,EENS_CVaR99_kWh,EENS_CVaR995_kWh,maximum_EENS_kWh,mean_unserved_cost_yuan,mean_economic_total_yuan,mean_electricity_service_rate,zero_shortage_service_share,mean_secondary_service_distance,primary_runtime_sec,secondary_runtime_sec,maximum_mechanical_residual,solver_status,validation_pass,TerminalLOH_total_kg_change_vs_SAA,production_cost_yuan_change_vs_SAA,mean_shortage_kg_change_vs_SAA,mean_EENS_kWh_change_vs_SAA,mean_unserved_cost_yuan_change_vs_SAA,mean_economic_total_yuan_change_vs_SAA,mean_electricity_service_rate_change_vs_SAA,shortage_q95_kg_change_vs_SAA,shortage_q99_kg_change_vs_SAA,shortage_q995_kg_change_vs_SAA,shortage_CVaR995_kg_change_vs_SAA,maximum_shortage_kg_change_vs_SAA,restored_energy_increment_vs_SAA_kWh,economic_increment_per_additional_restored_kWh,cost_per_restored_kWh_status
4,C2,independent-path,independent-path-C2-dataset-3,3,,independent-path-nominal,SEPARATE_EMPIRICAL_PROBABILITY_1_OVER_15000,2,ETA_0.003,0.003,225.290752999455,121.925712142017,41.4625527230357,137.464508019752,526.14352588426,0,0,0,0,0,15000,32.5213675213675,17110.9069742702,1283.205,5.66879296203118,41.1776462715154,100.919182827374,136.92278318741,83.1632883280078,151.369748444031,188.932868075447,325.119560033694,103.917478183474,754.848022626285,1850,2510,1524.50781998487,2774.83454360176,3463.42287112505,5959.92921475767,7274.22347284322,24385.130447114,0.985590792909112,0.855666666666667,872.575632224971,4.1733512,5.158934,3.40690428243148e-13,OPTIMAL,1,14.72874804284,478.999028230901,-0.34795416722721,-6.378521816526,-446.49652715679,32.5025010745994,0.000627059049250978,-2.4630814376191,-4.364072770913,-2.72754548182098,-2.616191136694,-5.45895236300004,6.378521816526,5.09561650951624,defined
4,C2,independent-path,independent-path-C2-dataset-3,3,,independent-path-nominal,SEPARATE_EMPIRICAL_PROBABILITY_1_OVER_15000,3,ETA_0.01,0.01,226.65914750245,121.966076719698,44.4140410940083,139.650354720371,532.689620036527,0,0,0,0,0,15000,32.5213675213675,17323.7949080255,1283.205,5.52905966091278,39.8221640345853,100.919156776233,136.92278318741,81.0366434206377,150.239330830064,187.844749405185,322.168071662722,101.355957174023,730,1849.99952244352,2510,1485.52322886542,2754.11229311131,3443.47602372114,5905.82400568518,7094.91700218158,24418.7119102082,0.985841135385623,0.856333333333333,873.427496216776,3.8778012,5.0625486,3.73341896002972e-13,OPTIMAL,1,21.274842195107,691.886961986198,-0.48768746834561,-8.940042825977,-625.80299781843,66.0839641687999,0.000877401525761989,-3.8185636745492,-4.364098822054,-2.72754548182098,-3.70430980695599,-8.410440733972,8.940042825977,7.39190689073438,defined
5,C3,markov-perturbation,seed001-nominal,1,1,nominal,SEPARATE_DISTRIBUTION_AND_SEED_PROBABILITY_1_OVER_15000,1,SAA,0,222.840465864768,119.193737555574,36.003600360036,133.376974061042,511.41477784142,0,0,0,0,0,15000,32.5213675213675,16631.9079460393,1283.205,6.01960196019603,41.7314458718599,110.192837465565,146.741946921965,87.9195775769323,161.830150504515,198.296145404014,401.76744947222,110.348333333333,765,2020,2690,1611.69773635153,2966.58940397351,3635.06578947369,7365,7724.38333333334,24356.2912793728,0.984523964575891,0.8524,874.740622103272,3.7438787,4.6804327,6.53699316899292e-13,OPTIMAL,1,0,0,0,0,0,0,0,0,0,0,0,0,-0,,undefined_near_zero_restored_energy
5,C3,markov-perturbation,seed001-nominal,1,1,nominal,SEPARATE_DISTRIBUTION_AND_SEED_PROBABILITY_1_OVER_15000,2,ETA_0.003,0.003,225.290752999455,121.925712142017,41.4625527230357,137.464508019752,526.14352588426,0,0,0,0,0,15000,32.5213675213675,17110.9069742702,1283.205,5.71001732493215,40.3676731309495,108.010801080108,141.559610506505,83.3593179691778,158.420225306493,195.378780042517,401.76744947222,104.673182591994,740,1980,2595,1528.10133735198,2904.08036020598,3581.58610634941,7365,7327.12278143956,24438.0297557104,0.985086039655992,0.8534,876.906207388933,3.6702633,4.3871546,2.51069789202039e-13,OPTIMAL,1,14.72874804284,478.999028230901,-0.30958463526388,-5.675150741339,-397.26055189378,81.7384763375994,0.000562075080100977,-1.3637727409104,-2.18203638545701,-5.18233641545999,-2.91736536149699,0,5.675150741339,14.4028731681432,defined
5,C3,markov-perturbation,seed001-nominal,1,1,nominal,SEPARATE_DISTRIBUTION_AND_SEED_PROBABILITY_1_OVER_15000,3,ETA_0.01,0.01,226.65914750245,121.966076719698,44.4140410940083,139.650354720371,532.689620036527,0,0,0,0,0,15000,32.5213675213675,17323.7949080255,1283.205,5.58761308246871,39.2766675013174,104.965563353529,139.377574121048,81.8292056632912,156.980148090223,194.053405517632,401.76744947222,102.429329221275,720.000230300401,1924.17622461521,2555,1500.05208361662,2877.68158471592,3557.29000324647,7365,7170.05304548925,24493.8479535157,0.985307429893548,0.854133333333333,877.602666037288,3.4849071,4.350597,2.53417451228124e-13,OPTIMAL,1,21.274842195107,691.886961986198,-0.43198887772732,-7.919004112058,-554.33028784409,137.556674142899,0.000783465317657051,-2.4547783705425,-5.227274112036,-7.36437280091698,-4.242739886382,0,7.919004112058,17.3704511572922,defined
6,C3,markov-perturbation,seed001-intensity-only,1,2,intensity-only,SEPARATE_DISTRIBUTION_AND_SEED_PROBABILITY_1_OVER_15000,1,SAA,0,222.840465864768,119.193737555574,36.003600360036,133.376974061042,511.41477784142,0,0,0,0,0,15000,32.5213675213675,16631.9079460393,1283.205,14.9044358981352,101.191937375556,224.204238605679,256.93478438753,174.691116369838,262.048480585566,285.566834195381,401.76744947222,273.220666666667,1855,4110,4710,3202.35019973369,4803.74172185431,5234.86842105263,7365,19125.4466666667,35757.3546127049,0.964507287464122,0.775866666666667,1082.36769825978,4.1249367,5.5126184,6.82121026329696e-13,OPTIMAL,1,0,0,0,0,0,0,0,0,0,0,0,0,-0,,undefined_near_zero_restored_energy
6,C3,markov-perturbation,seed001-intensity-only,1,2,intensity-only,SEPARATE_DISTRIBUTION_AND_SEED_PROBABILITY_1_OVER_15000,2,ETA_0.003,0.003,225.290752999455,121.925712142017,41.4625527230357,137.464508019752,526.14352588426,0,0,0,0,0,15000,32.5213675213675,17110.9069742702,1283.205,14.3918832219382,98.7371464419169,223.658729509315,253.657868409987,172.043288310749,260.689828833124,284.181145029233,401.76744947222,263.824807282961,1810,4100,4649.92921475767,3153.8115396685,4778.83559725441,5209.46666010338,7365,18467.7365098072,35578.643484078,0.965443016914063,0.777066666666667,1088.36249799786,4.5194463,5.552691,3.12638803734444e-13,OPTIMAL,1,14.72874804284,478.999028230901,-0.512552676197,-9.39585938370601,-657.710156859499,-178.711128626899,0.000935729449941025,-2.45479093363909,-0.545509096363986,-3.27691597754298,-1.38568916614798,0,9.39585938370601,-19.0202004232645,defined
6,C3,markov-perturbation,seed001-intensity-only,1,2,intensity-only,SEPARATE_DISTRIBUTION_AND_SEED_PROBABILITY_1_OVER_15000,3,ETA_0.01,0.01,226.65914750245,121.966076719698,44.4140410940083,139.650354720371,532.689620036527,0,0,0,0,0,15000,32.5213675213675,17323.7949080255,1283.205,14.1833272250407,96.0095749089555,223.658729509315,253.11622071298,170.934462617417,260.085265625534,283.631803239059,401.76744947222,260.001663025834,1759.99952244352,4100,4640,3133.48510147118,4767.75304681447,5199.39640107682,7365,18200.1164118084,35523.9113198363,0.965822357748073,0.778066666666667,1090.56987400279,4.6769652,5.8244798,2.8421709430404e-13,OPTIMAL,1,21.274842195107,691.886961986198,-0.7211086730945,-13.219003640833,-925.330254858298,-233.4432928686,0.00131507028395106,-5.18236246660049,-0.545509096363986,-3.81856367454998,-1.93503095632195,0,13.219003640833,-17.6596738461817,defined
7,C3,markov-perturbation,seed001-location-only,1,3,location-only,SEPARATE_DISTRIBUTION_AND_SEED_PROBABILITY_1_OVER_15000,1,SAA,0,222.840465864768,119.193737555574,36.003600360036,133.376974061042,511.41477784142,0,0,0,0,0,15000,32.5213675213675,16631.9079460393,1283.205,6.4906490649065,45.8227640945913,113.193137495568,150.01500150015,89.2979770336535,166.333310031786,203.988102159498,401.76744947222,118.983333333333,840,2075,2750,1636.96586599242,3049.13907284768,3739.40789473684,7365,8328.83333333334,24960.7412793727,0.983379611626792,0.843733333333333,920.022150148776,3.7996612,4.7091122,6.53699316899292e-13,OPTIMAL,1,0,0,0,0,0,0,0,0,0,0,0,0,-0,,undefined_near_zero_restored_energy
7,C3,markov-perturbation,seed001-location-only,1,3,location-only,SEPARATE_DISTRIBUTION_AND_SEED_PROBABILITY_1_OVER_15000,2,ETA_0.003,0.003,225.290752999455,121.925712142017,41.4625527230357,137.464508019752,526.14352588426,0,0,0,0,0,15000,32.5213675213675,17110.9069742702,1283.205,6.14123885740654,45.8227640945913,108.560169134824,146.741946921965,85.9639738230925,162.775277000579,201.332716298774,401.76744947222,112.578120114548,840,1990.07074049502,2690,1575.84858613802,2983.91499033611,3690.73068883098,7365,7880.46840801837,24991.3753822892,0.984015773282716,0.844733333333333,922.744810213443,3.9401515,4.7073751,1.70530256582424e-13,OPTIMAL,1,14.72874804284,478.999028230901,-0.34941020749996,-6.40521321878499,-448.36492531497,30.6341029164978,0.000636161655924061,0,-4.632968360744,-3.273054578185,-2.65538586072401,0,6.40521321878499,4.78268277262888,defined
7,C3,markov-perturbation,seed001-location-only,1,3,location-only,SEPARATE_DISTRIBUTION_AND_SEED_PROBABILITY_1_OVER_15000,3,ETA_0.01,0.01,226.65914750245,121.966076719698,44.4140410940083,139.650354720371,532.689620036527,0,0,0,0,0,15000,32.5213675213675,17323.7949080255,1283.205,6.00263050343757,45.2772549982271,105.828764694651,146.741946921965,84.8092794025665,161.953827801471,200.093483209612,401.76744947222,110.037221073766,830,1940,2690,1554.68130536814,2968.85659434266,3668.013687457,7365,7702.60547516359,25026.4003831902,0.984266800982363,0.845666666666667,923.756432231823,3.8839929,4.7334549,1.70530256582424e-13,OPTIMAL,1,21.274842195107,691.886961986198,-0.48801856146893,-8.94611225956699,-626.227858169749,65.6591038174993,0.000887189355570972,-0.545509096364199,-7.364372800917,-3.273054578185,-3.894618949886,0,8.94611225956699,7.33940083831201,defined
8,C3,markov-perturbation,seed001-lfw-only,1,4,lfw-only,SEPARATE_DISTRIBUTION_AND_SEED_PROBABILITY_1_OVER_15000,1,SAA,0,222.840465864768,119.193737555574,36.003600360036,133.376974061042,511.41477784142,0,0,0,0,0,15000,32.5213675213675,16631.9079460393,1283.205,7.0351216939876,47.4592913836842,117.829964814664,164.743747101983,98.9408951789746,177.263539751104,217.715551459452,403.403976761313,128.964333333333,870.000000000007,2160.00000000001,3020,1813.73501997337,3249.50657894737,3991.05263157895,7395,9027.50333333334,25659.4112793726,0.982738144129584,0.840466666666667,928.394278068028,4.1434684,5.144869,6.25277607468888e-13,OPTIMAL,1,0,0,0,0,0,0,0,0,0,0,0,0,-0,,undefined_near_zero_restored_energy
8,C3,markov-perturbation,seed001-lfw-only,1,4,lfw-only,SEPARATE_DISTRIBUTION_AND_SEED_PROBABILITY_1_OVER_15000,2,ETA_0.003,0.003,225.290752999455,121.925712142017,41.4625527230357,137.464508019752,526.14352588426,0,0,0,0,0,15000,32.5213675213675,17110.9069742702,1283.205,6.60174898290299,45.8227640945913,112.374873851021,159.284794738983,88.7533119603961,173.791699463695,214.245350757945,403.403976761313,121.019961480086,840,2060,2919.92921475767,1626.981338202,3185.86253871872,3927.43864741927,7395,8471.39730360603,25582.3042778769,0.983513016295022,0.841866666666667,932.274345092652,4.2774166,4.8420065,2.27373675443232e-13,OPTIMAL,1,14.72874804284,478.999028230901,-0.43337271108461,-7.94437185324701,-556.106029727309,-77.1070014957004,0.000774872165437923,-1.6365272890929,-5.455090963643,-5.45895236299998,-3.470200701507,0,7.94437185324701,-9.70586509796686,defined
