group,relative_hour,path_count_available,real_hour_count,mean_utilization,median_utilization,q95_utilization,mean_HTT_kg,mean_capacity_kg,binding_fraction
mixed,-1,152,152,0.017324278357,0,0.114850851373,1.99943918498,122.739598997,0
surplus_gt100,-24,520,520,0.0296776075517,0,0.245627897201,3.90462207989,147.186593407,0
surplus_gt100,-16,520,520,0.0993495340301,0.0235811342552,0.368341952538,12.4057479378,132.79970696,0
surplus_gt100,-8,520,520,0.129177391966,0.105848125719,0.363949514097,14.6867519415,115.252527473,0
surplus_gt100,-4,520,520,0.00403220578498,0,0,0.415905993047,115.252527473,0
surplus_gt100,-2,520,520,0.0116002788802,0,0.0850125593991,1.1989984974,115.252527473,0
surplus_gt100,-1,520,520,0.0219204851531,0,0.162640465806,2.33973968206,115.252527473,0
surplus_gt200,-24,312,312,0.039440506917,0,0.271058752164,5.1808381258,144.772161172,0
surplus_gt200,-16,312,312,0.1116911606,0.0579378899616,0.392148054133,13.7945045692,129.324786325,0
surplus_gt200,-8,312,312,0.14168281571,0.113926471043,0.373967630926,15.6301589886,110.405738706,0
surplus_gt200,-4,312,312,0.00489511359903,0,0,0.46886186525,110.405738706,0
surplus_gt200,-2,312,312,0.0122954579703,0,0.0872266865366,1.25105776257,110.405738706,0
surplus_gt200,-1,312,312,0.0243794592238,0,0.171531600175,2.56210609906,110.405738706,0
difficult_5pct,-24,306,306,0.02085268898,0,0.170554320592,2.71627622536,150.041705571,0
difficult_5pct,-16,307,307,0.0651820959958,0,0.287946677543,8.24808709688,138.036792306,0
difficult_5pct,-8,307,307,0.1205429941,0.0791032902447,0.396762056455,13.5190607983,120.642903676,0
difficult_5pct,-4,307,307,0.00636330554639,0,0,0.66903664575,120.642903676,0
difficult_5pct,-2,307,307,0.00977075641859,0,0.0460796408383,1.09933167615,120.642903676,0
difficult_5pct,-1,307,307,0.0245260079667,0,0.164986692724,2.66744134385,120.642903676,0
extreme_1pct,-24,62,62,0.00119035063321,0,0,0.161615605972,153.448233487,0
extreme_1pct,-16,62,62,0.0396724664708,0,0.177744569419,5.16609502135,143.383102919,0
extreme_1pct,-8,62,62,0.152773361439,0.132617290675,0.314934732286,17.8866222781,119.525038402,0
extreme_1pct,-4,62,62,0.00349722353764,0,0,0.389690622765,119.525038402,0
extreme_1pct,-2,62,62,0.00603255744147,0,0.0204931912305,0.736341985654,119.525038402,0
extreme_1pct,-1,62,62,0.0123563894406,0,0.0828674896911,1.41755502431,119.525038402,0
