group,path_id,real_hour_count,first_HTT_hour_gt0,first_meaningful_HTT_hour_ge1kg,first_meaningful_HTT_hour_ge5kg,peak_HTT_hour,peak_HTT_kg,last_HTT_hour,final16h_HTT_kg,final8h_HTT_kg,final4h_HTT_kg,cumulative_HTT_by_-24h_kg,checkpoint_-24h_available,cumulative_HTT_by_-16h_kg,checkpoint_-16h_available,cumulative_HTT_by_-8h_kg,checkpoint_-8h_available,cumulative_HTT_by_-4h_kg,checkpoint_-4h_available,cumulative_HTT_by_0h_kg,checkpoint_0h_available
surplus_gt100,3140,40,-24,-24,-24,-24,36.6684241779,-1,33.1157436787,29.0942660555,8.22336996089,0,True,36.6684241779,True,40.6899018011,True,61.5607978957,True,69.7841678565,True
surplus_gt100,3148,32,-8,-8,-8,-8,42.1294497797,-8,42.1294497797,42.1294497797,0,0,True,0,True,0,True,42.1294497797,True,42.1294497797,True
surplus_gt100,3159,48,-24,-24,-24,-8,33.2342309175,-1,82.7920629044,49.7768831876,16.5426522701,0,True,30.5871319434,True,63.6023116603,True,96.8365425777,True,113.379194848,True
surplus_gt100,3162,40,-16,-16,-16,-16,25.0295115044,-2,49.2793746303,18.775105915,10.9715989649,0,True,0,True,30.5042687153,True,38.3077756654,True,49.2793746303,True
surplus_gt100,3166,40,-17,-17,-16,-16,40.6255319547,-1,63.7106497935,23.0851178388,12.1435339418,0,True,2.93892441302,True,43.5644563677,True,54.5060402647,True,66.6495742065,True
surplus_gt100,3175,32,-8,-8,-8,-8,18.5246012316,-2,36.0858640206,36.0858640206,17.561262789,0,True,0,True,0,True,18.5246012316,True,36.0858640206,True
surplus_gt100,3229,40,-8,-8,-8,-8,36.6509821808,-8,36.6509821808,36.6509821808,0,0,True,0,True,0,True,36.6509821808,True,36.6509821808,True
surplus_gt100,3250,32,-8,-8,-8,-8,27.9033633657,-5,36.8105526189,36.8105526189,0,0,True,0,True,0,True,36.8105526189,True,36.8105526189,True
surplus_gt100,3318,32,,,,-32,0,,0,0,0,0,True,0,True,0,True,0,True,0,True
surplus_gt100,3332,32,-8,-8,-8,-8,27.7727839858,-5,35.7873459907,35.7873459907,0,0,True,0,True,0,True,35.7873459907,True,35.7873459907,True
surplus_gt100,3365,24,,,,-24,0,,0,0,0,0,True,0,True,0,True,0,True,0,True
surplus_gt100,3414,32,-16,-16,-16,-8,45.1140300984,-8,61.2576824669,45.1140300984,0,0,True,0,True,16.1436523684,True,61.2576824669,True,61.2576824669,True
surplus_gt100,3434,32,-16,-16,-16,-8,36.9597382659,-8,46.1603367618,36.9597382659,0,0,True,0,True,9.20059849591,True,46.1603367618,True,46.1603367618,True
surplus_gt100,3439,40,-16,-16,-16,-8,32.6350216747,-6,53.0800072066,40.3461301482,0,0,True,0,True,12.7338770584,True,53.0800072066,True,53.0800072066,True
surplus_gt100,3454,40,-24,-24,-24,-8,21.9015797781,-8,30.6936818212,21.9015797781,0,0,True,29.3141664871,True,38.1062685301,True,60.0078483083,True,60.0078483083,True
surplus_gt100,3473,40,-16,-16,-16,-14,30.6929947724,-4,73.1874675317,34.6317706455,9.44689250611,0,True,0,True,38.5556968861,True,63.7405750256,True,73.1874675317,True
surplus_gt100,3477,40,-16,-16,-16,-16,20.5006802447,-16,20.5006802447,0,0,0,True,0,True,20.5006802447,True,20.5006802447,True,20.5006802447,True
surplus_gt100,3483,48,-24,-24,-24,-2,35.7212921884,-1,98.1519443461,83.4093445748,60.7511622821,0,True,62.847828149,True,77.5904279203,True,100.248610213,True,160.999772495,True
surplus_gt100,3497,32,-16,-16,-16,-8,24.223225694,-8,46.1212796715,24.223225694,0,0,True,0,True,21.8980539775,True,46.1212796715,True,46.1212796715,True
surplus_gt100,3580,32,-8,-8,-8,-8,54.2383923875,-8,54.2383923875,54.2383923875,0,0,True,0,True,0,True,54.2383923875,True,54.2383923875,True
surplus_gt100,3598,40,-21,-21,-16,-16,63.2786848334,-7,81.6590511015,18.3803662681,0,0,True,2.34950036567,True,65.6281851991,True,84.0085514671,True,84.0085514671,True
surplus_gt100,3612,40,-8,-8,-8,-8,14.8653832492,-6,27.0799997769,27.0799997769,0,0,True,0,True,0,True,27.0799997769,True,27.0799997769,True
surplus_gt100,3623,32,-13,-13,-8,-8,18.969034738,-8,21.3185351037,18.969034738,0,0,True,0,True,2.34950036567,True,21.3185351037,True,21.3185351037,True
surplus_gt100,3636,40,-24,-24,-24,-24,16.267466523,-1,28.4238711224,20.0997486907,13.942697174,0,True,16.267466523,True,24.5915889547,True,30.7486404713,True,44.6913376454,True
surplus_gt100,3637,32,-1,-1,-1,-1,5.89373750838,-1,5.89373750838,5.89373750838,5.89373750838,0,True,0,True,0,True,0,True,5.89373750838,True
surplus_gt100,3684,32,-9,-9,-8,-8,44.5058262953,-1,47.313778193,44.9217427284,0.415916433034,0,True,0,True,2.39203546461,True,46.8978617599,True,47.313778193,True
surplus_gt100,3692,40,-16,-16,-16,-16,21.3297697462,-6,29.7021712119,8.37240146565,0,0,True,0,True,21.3297697462,True,29.7021712119,True,29.7021712119,True
