role,source_role,relative_path,size_bytes,sha256
output,,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\16_htt_flexibility_audit\09_economics\htt_cost_signal_summary.csv,482,279709c90cd53101498192db951c72301237c3b2c943eb3c871a041b42067704
output,,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\16_htt_flexibility_audit\10_summary\final_status.csv,168,353e2c48ed5a43e026172b775924feb72c1c4ed7c9fb2869c8ea7a5044caa759
output,,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\16_htt_flexibility_audit\10_summary\htt_aggregate_utilization_by_relative_hour.csv,5626,9f4c9528a522c8cf850fa18acc9e5f064ef0114ce9f8ccf50ef457ff6c519dd7
output,,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\16_htt_flexibility_audit\10_summary\htt_aggregate_utilization_summary.csv,1311,c19a157f74e60391898ff324fbc0ac8b5fe552bbc5dbbbb8272b4187e1736473
output,,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\16_htt_flexibility_audit\10_summary\htt_timing_by_group.csv,1569,2084ff5515e9322357bac435b215170307dd6a1c11fee60531bdba493701e13d
output,,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\16_htt_flexibility_audit\10_summary\htt_timing_by_path.csv,287682,2f7766247c1d83bb309342966e1574bcbfcb9551dddf252ef6890654f858c509
output,,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\16_htt_flexibility_audit\10_summary\htt_timing_last24h_profile.csv,7905,fe2c799fbf6a577a0c271e764680f6847912e1f4fcdb0d9f50596e7f504c28da
output,,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\16_htt_flexibility_audit\10_summary\README.md,5458,b1301b4a845196e1417c9bc66ec174c0f3ca8b7270b0c386b3cbb03e89527b73
output,,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\16_htt_flexibility_audit\11_qa\main_qa.csv,4116,7339110cd8d315bfcedd3be644b4a5182bab17e83a004988d49b6a5d84afd0fb
output,,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\16_htt_flexibility_audit\11_qa\visual_audit.csv,1516,ea267f50c4476792e66dcaa5870f0cf1e3c47aa191bfea82f4bbcdd8d1a9a679
figure,,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\10_penalty1000_htt_flexibility_audit\01_HTT总运力利用率分布.png,40971,4f5b46a311af4d8c1bfd7621b98bb2c5c40502f5dab4dcae4ac2db23abbf2a99
figure,,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\10_penalty1000_htt_flexibility_audit\02_Stage7前24小时HTT利用率.png,133077,59d55c9f274b178c07ee9e9f1ad30d210c9a8b39d119f82ebfe7e9ef577613ec
figure,,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\10_penalty1000_htt_flexibility_audit\03_三类路径HTT时序.png,139707,bdf21b7114c6306c9ebc72590bc55d4e17a5d1c4c047412dbd0669fc2d11404d
figure,,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\10_penalty1000_htt_flexibility_audit\04_当前与无限HTT可恢复上界.png,54192,ba65db964cc647a7112dbee6779b7aef0497a5d3666553dabba33934ef94f3be
figure,,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\10_penalty1000_htt_flexibility_audit\05_HTT容量倍数敏感性.png,55380,eb6b5ac0c962a6bc7ba27fdf9ef3359728c202af1fa0b582b3656fd13a4d8fbc
figure,,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\10_penalty1000_htt_flexibility_audit\06_underdispatch重分类.png,62239,ff16e8e6c4b110000456b7659e34ba7d0033ccbd5494400a7a28664c84893147
figure,,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\10_penalty1000_htt_flexibility_audit\07_有向OD总流量.png,40959,9095e4f5eb93a9bab3b63ede3ef540256e07547412ccd0211f133b2cee9d3210
figure,,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\10_penalty1000_htt_flexibility_audit\08_盈余缺口OD热图.png,62265,69059cea3278f12421795b5c0c05824b9d6a0d84305ad64bd77b96b38075e8b0
figure,,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\10_penalty1000_htt_flexibility_audit\09_事后与信息一致性对照.png,47100,d0575dd516435da3f27c1129697ae09577dac99c9981a9edca9b5a17aede490b
figure,,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\10_penalty1000_htt_flexibility_audit\10_purelocation物理限制分解.png,56632,43a6b23edde45e9cb51d3d935f6cc8dbda0dc17e9679185547c59077777f4b99
figure,,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\10_penalty1000_htt_flexibility_audit\11_生产与空间灵活性分类.png,43927,c59b83c844bc131d194ff46114544a86405e447706550addb31cd2ed56544c47
figure,,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\10_penalty1000_htt_flexibility_audit\12_HTT机制总结.png,91758,ee29df7b14a52612f67a9fed9bab1d0586328abe9f95eb5ca54ecaaf37faf773
figure,,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\10_penalty1000_htt_flexibility_audit\contact_sheet.png,319089,7b3e8941056f6bfc4f3c547a0bd7ada5206bb9054a6a7212f8b72aa69209b373
