structural_pattern_signature,full_consequence_signature,scenario_count,ordinary_scenario_count,observed_candidate_scenario_count,unobserved_candidate_scenario_count,structural_seen_in_ordinary,full_seen_in_ordinary,novel_structural_vs_ordinary,novel_full_vs_ordinary,D_total_min_kg,D_total_mean_kg,D_total_max_kg
15d2473f57dd9273e7f1d943f8ca78440f0a58cc040a44b6558bbf46320c42ce,3a2c8556826b63366f7337e82a1d2b76296fb4ff8a8981180b88018de490bf89,1,0,1,0,0,0,1,1,405.313258598587,405.313258598587,405.313258598587
15ee2b66898a038e95433c55fe41d7c8fec06b390b93840fa812b92828ee1841,7275bded9edefaf04ae9e46e911dfd67a90cb8d01b919f8d9808222959ffe4cc,1,0,1,0,0,0,1,1,490.685432179582,490.685432179582,490.685432179582
15f065cbb57bb791945ef05ddf96309f9033d6c1652ec54b7789f3c3b03c8b94,88e17e795eb3998ae5d9f35ee2650b51923f475e1d9398ea9f0ec1c41efd5418,1,0,1,0,0,0,1,1,126.830864904672,126.830864904672,126.830864904672
1670b1f2d80b8e6d1ba9e19c9b6c4c2e5a20c773bb547fb43f0368e35bf19e9d,f6df87635a6a62e8e278f9879ec37822d66a74abf3899386344153f2156a97a2,1,0,0,1,0,0,1,1,487.412377601396,487.412377601396,487.412377601396
17a312b89659a98a29aea146015f62ba8743ef458525b09630d18609e60e3655,c9ee8bb88d66eb7929733799c9cccad56effa5c84d90b0bc0a3e8cfdd96e08f5,1,0,1,0,0,0,1,1,238.932984207512,238.932984207512,238.932984207512
17ab367e0301926a3b1fde5ffa50e6376b0481c690a9e9611dbfebc60b4d33b1,29fdc45da7c8db028b21bb5f776ef96e48c552c8ee911057b4527d091867b79c,1,0,1,0,0,0,1,1,297.302457518479,297.302457518479,297.302457518479
17e508622102302965e43cd3612bcf259c6d15d64060e4f952eaf1b77e2cc0fd,b6cd96a622213febf5a9186369b1327f533931a0dcef0744e5ed5d33e8938418,1,0,1,0,0,0,1,1,131.74044677195,131.74044677195,131.74044677195
1a419ce9f2a7426b8dc54f3cb26b0436dae2f6b5726a0efb2d767641cdfdf50c,ba4c01352c53525c12db8e67dc16a3a22b7a08ad9f7c1ece67f9dad8a99a3be0,1,0,1,0,0,0,1,1,355.126421733082,355.126421733082,355.126421733082
1ac7b53fb399f1b448e28b6d8d43b5ab1e7d92dc34d4cec4dd0c04408bd35d38,38c7030c38c36136626c52f283aa91f8b9a9504dbb73ea91527529097e8aa77f,1,0,0,1,0,0,1,1,607.969887897881,607.969887897881,607.969887897881
1c1dc487e17b13cb3a4e635cc7ca949b76786b175afe1032cfd8cd54309cdee4,b47ddd26e746d9bd756933d3c0279cfd3ddb43029b4b95ad12eff0d06ad1f963,1,0,1,0,0,0,1,1,582.876469465128,582.876469465128,582.876469465128
1c1f31702296bda605a407a2e65296d4f798f82edaf0309c9812b2045fdd277c,6b137735ac7c3d2e3a05ee03b73c290dd776e456165f032715b61d3012c2f477,1,0,0,1,0,0,1,1,602.514796934239,602.514796934239,602.514796934239
1c617676b3dcfa9968310c684e08639ffdf0a93184f4bfe6d55c8854dec22254,0f329bb7fe077d0d5efdfb70d2560b8ada90b9e3068c3d576bd0a4b8d41ef8cf,1,0,0,1,0,0,1,1,568.147723863295,568.147723863295,568.147723863295
1d0fb5db3014d47545c9b0f6d0022c9b91d8e72cf22ab73f299363524eab3ffe,cfd2221c78b21e412e44bac7bf268874567dbd245cdbb9b5aa95f0cb28fc2a72,1,0,1,0,0,0,1,1,607.969887897881,607.969887897881,607.969887897881
1d49a71af57a4f257d18aa68d666baab802b10268fd8770ee28b65a3520eb9c5,53efab841b571a89566061eb0e9cb299cf06f6e278a3844e44a70a7b84ee9857,1,0,1,0,0,0,1,1,243.842566074789,243.842566074789,243.842566074789
1ebf05cd7ee7d8cfbe02e7e4d32291e26dcad6c252ddfb5fc35da01848eda4d4,749947c38501b79d18767cd2943be67af8a1e79ba7cd2442cc992fc820a6e0f0,1,0,0,1,0,0,1,1,607.969887897881,607.969887897881,607.969887897881
1f1a3987bc3d9c0ab7f2f52c42b1322353d15f8c2d4f59a134df1d0efe8ba769,bf9097768bb2fca7e3125786352fc01c48fa9e53c12935c57226b84ac3df5b2f,1,0,1,0,0,0,1,1,405.313258598587,405.313258598587,405.313258598587
1f929e9173e5dc764dae4cafe45e84371c6a6aeb4a8a22cab98163989f5f40f1,6cffdbaf9ba94bcc1c8447c625df324a79cf33272de7235a741cb9b706de89da,1,0,1,0,0,0,1,1,607.969887897881,607.969887897881,607.969887897881
1ffa0c2398db46aac424b2877d8123c067df231e94f2a287583cac5558256505,f34719254c8b4b26473c54e9d698641b889538bf3cbbe5cf4106c46767121cf6,1,0,0,1,0,0,1,1,607.969887897881,607.969887897881,607.969887897881
1ffe5d9555db88da21a546e60f582c2fccf0abb3594986fe7f2a1ea040f97e3c,47dd79cdc6163510d7f982af387fec27b6c1d722eb0d14197e82820460bacf81,1,0,1,0,0,0,1,1,146.741946921965,146.741946921965,146.741946921965
2016060419d1452451e62f1d5077ec486e6846950d647f3666a66f10bd30b7d9,2807834a9b2bf5d532add24a8691723776205ee3fe56cffe1c34ebf1976db80a,1,0,0,1,0,0,1,1,607.969887897881,607.969887897881,607.969887897881
2093d5a43c03c3b1e9ee0e518069648933c9b0d3f18a1c7a2fefae328a4e5bd2,177575c2200cb2657b415ab025dabd2d8b88bdfbf75f3d82df2d3e88a95c9698,1,0,0,1,0,0,1,1,607.969887897881,607.969887897881,607.969887897881
20e5e0b0674f710527ac5ffc15c24eb3e5ca9d0710120b08ef30478766e4b9d6,ef5f842dba0e3eef5d9a9434cdfdaca29f28439d414df19b3793a88600fe20ca,1,0,1,0,0,0,1,1,405.313258598587,405.313258598587,405.313258598587
23cb356813f6222c3788465314587750263b3f4ff80de1cb76bf2739542ac469,574a82b85a44a944a499dae0f836615b5b6d05089e49ea9bd37aa9e2f0a7ff66,1,0,0,1,0,0,1,1,607.969887897881,607.969887897881,607.969887897881
23fa34336165cae821975453581a6a4eca3b9d9e49a70381d4a32e34985c71d8,5abc6cc511532beabde92b1ace2820a7e1b3bf31d5e53839d4b70264c152d853,1,0,0,1,0,0,1,1,607.969887897881,607.969887897881,607.969887897881
240dbe7a49fabb8792fcb872fdd16c4bc8993d0cee6ae025d07d531cf9dfc136,9eac8587790de53bccce47fd349ff53da6f83a9c81a6fcf5a2c0864aa5a5f1c0,1,0,1,0,0,0,1,1,332.215039685787,332.215039685787,332.215039685787
2467055297728836143c24274095e968308a1952090b27da483b63806f4caf3f,094f232d46cf189efb2c5f58bfcc49b4a4ba3d1e4b0d5193cea8bfa1bbbc767c,1,0,0,1,0,0,1,1,607.969887897881,607.969887897881,607.969887897881
252511ebc67c685476d6c10d2fbae1c547c2e8e881b0d7c28ecd49e47caad7a1,18856cc476ebad8bfd22a21617f67b05fc67f0750467b66f2b890f1af7573601,1,0,0,1,0,0,1,1,252.297957068434,252.297957068434,252.297957068434
2544128cf014023abeb7be54ceac10d601650a4a0bd1b6c5fbbc6576fde53159,81497398ceab609059a0a5eb61cd811126655c7f218d9b4d242b82baab94442d,1,0,0,1,0,0,1,1,568.147723863295,568.147723863295,568.147723863295
27b2be6a3d70e2d7d7b604b527bb4abb95c0e883a7137ddc4059d2fc8f631034,ff23ef48baf805add26a2fa1c1b0d8d5bd6fc4e65e62218e495eb64d1af209b5,1,0,0,1,0,0,1,1,343.670730709435,343.670730709435,343.670730709435
27f4a821a201a7716e426b02c5fd35a24f9885b412869babe0d7fb635cd20be0,fc5b4558963d4d0637c6acab223c77d08d869833639718b5e0664251414fb21f,1,0,0,1,0,0,1,1,576.875869405122,576.875869405122,576.875869405122
29ff3922a47397c4aa87d1c9891f157c6376a268780d672b4144a9308652371a,3f144cda77d6f034217da394b18f41954bce68a41b4cf3785eed1ca48a7f1a3b,1,0,1,0,0,0,1,1,384.583912936748,384.583912936748,384.583912936748
2a846e4cf18d393f89ce3bf4541fc571cba165615cf3a85b24e2c0e690dcea0a,be9d52d5bcf540602307c0aba2b23b1669544d5b59e9ddb78ca4e29633690123,1,0,0,1,0,0,1,1,607.969887897881,607.969887897881,607.969887897881
2ab92d1e1e7aefe41f1c6b12e0a631244d0cbe9c326c1affaf017ef642c5bc11,f706f0a3a8d96c5ed2919572e5cd1dd7d889ca1913f5c50b6e7b269cd17f6e8d,1,0,1,0,0,0,1,1,607.969887897881,607.969887897881,607.969887897881
2af6783a70c365825db49c6e78a8d347b9d3e102c4cf7dcb03c40021ae85b3dd,bc86230dbc9ab92aa7c6ab1308a1bc0cfc78b15adf85be24f067292a82d7b342,1,0,0,1,0,0,1,1,607.969887897881,607.969887897881,607.969887897881
2b26d023f3f5f65460cad3ce29614e5c578af5077daa92b0f73795872fdfa7fb,471bdd6f634860e7d0a147c7d88fb7b2d036c7d8ff858c1d5ae52569f97ecd13,1,0,0,1,0,0,1,1,607.969887897881,607.969887897881,607.969887897881
2be434e4a51b414893ded114c72406b7eefa8fbdfb41fa7ae3bc0f43dc840dae,0b79413f3d4a3fb9c9681a82828c5d8c99406a809bffe1dade739fddbe232a11,1,0,1,0,0,0,1,1,607.969887897881,607.969887897881,607.969887897881
2c4e1117adb385a085302ee2e751bbe6132edfda771d17ca682eb6619e9a7b89,4ab49005fab1b17bb55548adad3019fdc90ca684c2ec817dc4f942211ab64d32,1,0,0,1,0,0,1,1,567.602214766931,567.602214766931,567.602214766931
2d0c492eb30ead543b3e10c681681d0c8d5f97471c00351d1e19f5e49a0a9f98,98207196e29756f583ab8203f33c6461d4eac52eaa1a73c3e5e28f63b688b924,1,0,1,0,0,0,1,1,45.004500450045,45.004500450045,45.004500450045
2df6e9b36ec494a07452c310175969d2fd1970095f365877a9011ceec400a147,5c172375454baef158dce7cdecbcf31e661f382d64a2cb787eb45c355b802e53,1,0,1,0,0,0,1,1,200.201838365655,200.201838365655,200.201838365655
2ed9de964375802add8eb968c5275e42808c38775481da597db1f0815c966422,dbc2ae645f645ba5d73b914afa57d38e011925d8f8eefde61286cf7381a44ef6,1,0,1,0,0,0,1,1,202.656629299294,202.656629299294,202.656629299294
2f6ad13f8a472970eab252cac606e760bf1c6dac5a14c42aa2f04e2f5f8973fd,0d008bc977537cfbf1218159f812f714ebd87cdfe6164de402075362d609f597,1,0,1,0,0,0,1,1,520.688432479611,520.688432479611,520.688432479611
2ff5ae2b4a0d7045c40c431544610a4fce59ce0ff7897a324ef8c8ac09532f50,06a9079154de8ad7d9e6adfe0b57c6524b152728c8b552cc2a69e5bff247d291,1,0,0,1,0,0,1,1,607.969887897881,607.969887897881,607.969887897881
308fdef6c910dec7813c00a5fb8e54f210ad09842b5597a41dd17e98715fc2ba,6a6ace6ed4170c3f03d927fa94d18577972e0d0c129b7fe2fe09d01efc14cba7,1,0,0,1,0,0,1,1,552.873469165098,552.873469165098,552.873469165098
31d842ed735ef888bcf3e968fc2c54942e8765e816386367c261688116de5ff8,b03e904de51a241859ef8bd012b4dd0142e66a805456af45ffee586ade77af79,1,0,1,0,0,0,1,1,172.653628999264,172.653628999264,172.653628999264
3218e2303506af393057b4acb54fc5314e2454bf37121dab58f84cfc6548c9eb,d6129cf5851fbec17bcfe0742018ec7450dd47490a5dbef717c775a5eeec1456,1,0,0,1,0,0,1,1,312.576712216676,312.576712216676,312.576712216676
32d0338d83949c516f8203688e2b031bf52cf919ac3c4c5757aade96f4418586,0043f2b82e6fb6d1f72136b83441643b7886a2a364fe4132e77bef1f0f8780a4,1,0,0,1,0,0,1,1,607.969887897881,607.969887897881,607.969887897881
32ddce4acc696535c5afb9d4950b33cabef273691d7719bcf3637e9db25202b4,78b3af23191f9855e199b91b9e9140cfb96c210b3073500f9fb9721f1e5e3f46,1,0,1,0,0,0,1,1,109.101819272836,109.101819272836,109.101819272836
341240e941a27c1e3443f8a745a42a08d668385b4eb77041d706b5101b1ba368,80228b268b0f311e3d81ea14b2bf2750431790ecd66c058007431f12c551ed30,1,0,1,0,0,0,1,1,306.030603060306,306.030603060306,306.030603060306
348fde09d68add3c68f80f78f547c21cc296e1924ae732d1fdfe62f82555397b,2b03738db350d89d460df363974dcf39454d6ae3b0fb7ec8de34a1c6d9ce4cf8,1,0,0,1,0,0,1,1,235.659929629327,235.659929629327,235.659929629327
34bfc41f4dd5654389d2995cafb03dbc9d114480a5f7387f1ddb6c5a574b65e0,4de7364c1cbdfb03cd114ac2ba14042e3c3d001d40f4aace6172709bdd855950,1,0,1,0,0,0,1,1,73.6437280091645,73.6437280091645,73.6437280091645
354f5874b38ffb66ade78243398378f0570c7f2d3fe41024e5462c70b05d98ab,d6d702a3e7def2fc8323570a7feb35422f9e551f0c19f7dc8100bcc74be058d8,1,0,0,1,0,0,1,1,121.921283037395,121.921283037395,121.921283037395
3564278b814642f87e3363d0573f61c79b44221142768a1a9643cb3393e4f952,22e696ebaac6403655a728b077649a1ddd3a24088f1e755c0c4c406b324b6170,1,0,0,1,0,0,1,1,389.766249352208,389.766249352208,389.766249352208
357f9dd9c986652eaca043396423ced821c16372a39797c9bf73589a335b2335,213e160536f98b0a608b96d3fb7ea0e9c7577ffb3c7bac98386d60124ad53f9e,1,0,0,1,0,0,1,1,607.969887897881,607.969887897881,607.969887897881
3610a15dcae8a50bc7cf5352eee0b95c2183620cf5f468b234d8ad8ee576a9f4,e41a387ee61fb838a8c3a742b257af195aa662d1f8aead973f38d47d20160734,1,0,1,0,0,0,1,1,129.558410386493,129.558410386493,129.558410386493
363b28be0f32295026f9513450448639c2205941fd43320c937ea57dfceb316c,34651691342b7cfc4414b9653337cb8b4596eeedfb6d1c0a257773653ed154a0,1,0,1,0,0,0,1,1,503.232141395958,503.232141395958,503.232141395958
366303206267759043c17803a02351d179a2c51d899baad8143bb9ce4431f17a,341e2fe3c7b7721eb06cac2cea7956cbad8af5ccd42682be2455006c51bd0b53,1,0,1,0,0,0,1,1,405.313258598587,405.313258598587,405.313258598587
3725f0d15d683f0fbe75b8e6bf601f0b00de2c52ef5335e2448c62c0eff1de3c,23c4ac3fa994c908d6c048a944ada98ab7c8346773db7669f9cb907a2971f8aa,1,0,1,0,0,0,1,1,58.6422278591495,58.6422278591495,58.6422278591495
3754c5dadc9704e89914c6d56f7601e8713693a2fbea3c3a748f66f089100530,d6e36b6881068e09f37e7dd389012d10f6a6b4d3044e514e27a539ccab55e750,1,0,0,1,0,0,1,1,607.969887897881,607.969887897881,607.969887897881
3792b0c5a3f2f3d697f6e9ab418bade470cf118995933cf7701c0b49f83af2b0,a0bfcbe2c0d7bf7dc0d5f7816cfff1e2d9780e325787ad6f5b75edeea12d452e,1,0,0,1,0,0,1,1,541.963287237815,541.963287237815,541.963287237815
3817bc558152e86fc747c931fb37cdaa8e655a2060972221c8b45162fdc58ca8,3f9f8a388b24095cc8e2b4cbd84dbd6e9de4e000723c9da69c22742a88681a78,1,0,0,1,0,0,1,1,587.240542236042,587.240542236042,587.240542236042
381eaebfdd59c3200001c340ac138b33374b63ac6bbb14e22889637bc2006481,fa1ce5e985855f7166c5e5fb7eb1e0277228de34c8dd2cc28f811193d6627441,1,0,1,0,0,0,1,1,405.313258598587,405.313258598587,405.313258598587
3844eb34c2f58bfcdc43ce16487a20bddffe5d4b7c01fab4b1cf057179d26244,eb7c1f6d6909ad344bcad61f7b7dc9f87bc9e6b0952d29c1142246a6db2ac853,1,0,1,0,0,0,1,1,405.313258598587,405.313258598587,405.313258598587
39505e89277187ca9e6d9428c43c3a3665628aba17bcc4ea957adfc045824ba3,e152ca94b04ebf1eaf688bed79cabad57e625c4c3707f85599f45a7b94088eb3,1,0,1,0,0,0,1,1,88.0997190628154,88.0997190628154,88.0997190628154
3980711ab311aff0f5906b54212564070c4d83a732663277232cd8ecd9e448ab,1ba4669546cd7e1cf3afdffc05fd862cc9c8613cade1d83716eff6e700540d2c,1,0,1,0,0,0,1,1,546.872869105092,546.872869105092,546.872869105092
3a3f8d54821173a09ed522a8962fc4e2396ce834a93904339c41f2e53cdf7c67,ac89072d89568d6728bec0efd0e25b0aa20b6821e50ddefd920fda2321e635ac,1,0,1,0,0,0,1,1,607.969887897881,607.969887897881,607.969887897881
3b066d9f67fddb556500d31b5eb084497ff5b3c616e96f092a6665dc21885dd0,bd12e696d4d92e6872178a1e69fcc751f40ae949ca69b5980b31e721c2403b4d,1,0,1,0,0,0,1,1,520.688432479611,520.688432479611,520.688432479611
3b75968cf221e014edd5e61e45efeda85560c55292da57e45ba93b4b0e6deaf7,6f3559b1b3ed1d6016d8381173119c39eb26fe2279cb105cd7d4ce63e0e61da0,1,0,0,1,0,0,1,1,557.783051032376,557.783051032376,557.783051032376
3bd6cc4ceb544aae27fc04537001a5f9fe9b9066749563bb8f02b5a238041fe7,a0fa57d9b81a2a98222742891517dbe1d843b3fae90af03d6941cecad84ab71f,1,0,0,1,0,0,1,1,310.940184927584,310.940184927584,310.940184927584
3ec464c541a2f93224ee569333bbef36d6d3555ff4b39a8b180e2fba423995ed,13d9ef681abf7fba7b10fd298bf11e5fcb56fc52637c33263a70b37e572bef1e,1,0,1,0,0,0,1,1,607.969887897881,607.969887897881,607.969887897881
3f33c9a68346429bf190c707866d4f4eaf0bb8d19575be71014c10cf53adff2f,73f35bfe1d8844dd146bd462078ce9323a20993dcd1aa81d3bf19411368e9c90,1,0,0,1,0,0,1,1,433.406977061342,433.406977061342,433.406977061342
3f4b9bfe62e83f0da7b282a9549c1fcda640883990158f16e0333d079e3a13ab,c1acdabff3f376aeee430f92a001c8a264100fcf72d56a98ea591084a42aaa57,1,0,0,1,0,0,1,1,105.010501050105,105.010501050105,105.010501050105
3f7520cac0863300169732273897880ef2317231a5286734871f2991a2fad055,6a0b0364cefaef267d99f1f6cfb20bbb292f3069626695f3e733822ca989d55a,1,0,1,0,0,0,1,1,135.013501350135,135.013501350135,135.013501350135
3f767968d74ff9e4af99df1fb65c04cccd9c2185545a4ee949ce6970a9e26392,aaf6142db138f205702fa87d330007c278bdfdcfe8c39b1ead0a52881e34008d,1,0,0,1,0,0,1,1,607.969887897881,607.969887897881,607.969887897881
3fc67e5f812969799480d4eaa52f0d3fafecb07b19948220dcefd2d5d705bbc6,cc585e687fb4bb4f0a9949bb7ab4a9f635edef5cc98894fcd66dbef8af4e1203,1,0,0,1,0,0,1,1,60.5515096964242,60.5515096964242,60.5515096964242
3fd695d42bdaa6c3fa231cbf560821931953fcf13dde437ebbc427ae4599ccd5,7adf6dfbef851dc73dd6349dedc5f6bf8b2c094425a192288d607f000fa9b379,1,0,1,0,0,0,1,1,416.768949622235,416.768949622235,416.768949622235
407af4f94833ab686b52bb265a43b3419ee3220a35b65393efb5faeae7c17459,2524858524fea7b19315c4bd7eec9083d38d76461ce2e1aa1c7ce5663e1dd986,1,0,0,1,0,0,1,1,463.955486457737,463.955486457737,463.955486457737
