state,intensity,loc,mode,road_only_road_service_kg,road_only_electrical_service_kg,road_only_shortage_kg,inventory_use_site1_kg,inventory_use_site2_kg,inventory_use_site3_kg,inventory_use_site4_kg,dual_shortage_kg,dual_road_service_kg,dual_electrical_service_kg,road_service_share,electrical_service_share,fc_binding_frequency,fc_binding_any_share,inventory_binding_frequency,inventory_binding_site1,inventory_binding_site2,inventory_binding_site3,inventory_binding_site4,road_service_change_kg,electrical_service_change_kg,shortage_change_kg,total_service_change_kg,T_total_change_kg
11,3,4,SAA,1.6596023238687505,0.0,3.575248433934302,0.6624662466246627,0.24144232605078703,0.17394466719399201,0.5817490839993085,3.5584831210393766,1.468565038322014,0.2078025984416622,0.8760399605167533,0.1239600394832467,0.0012666666666666,0.0120666666666666,0.0321833333333333,0.0278666666666665,0.0345999999999998,0.0346666666666664,0.0315999999999998,-0.1910372855467366,0.2078025984416622,-0.016765312894925444,0.01676531289492561,0.545509096364178
12,3,5,SAA,0.08629953904481347,0.0,2.127976434007037,0.0862995390448135,0.0,0.0,0.0,2.127976434007037,0.0795352262498976,0.0067643127949158,0.9216182048040452,0.0783817951959545,0.0,0.0,0.7565666666666668,0.0262666666666665,0.9999999999999044,0.9999999999999044,0.9999999999999044,-0.006764312794915864,0.0067643127949158,0.0,-6.418476861114186e-17,0.0
13,3,6,SAA,0.0,0.0,0.7484748474847485,0.0,0.0,0.0,0.0,0.7484748474847485,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999044,0.9999999999999044,0.9999999999999044,0.9999999999999044,0.0,0.0,0.0,0.0,0.0
14,3,7,SAA,0.0,0.0,0.09830073916482554,0.0,0.0,0.0,0.0,0.0983007391648255,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.9999999999999044,0.9999999999999044,0.9999999999999044,0.9999999999999044,0.0,0.0,-4.163336342344337e-17,0.0,0.0
15,4,1,SAA,26.9394393984853,0.0,3.6666030239387566,10.967787687859694,3.0640700433679724,1.8093991217303518,11.098182545527282,2.973915573375517,22.174944767203986,5.4571820818445484,0.8025058978754487,0.1974941021245513,0.0456444444444444,0.1279333333333333,0.0496166666666666,0.0288666666666665,0.0568666666666663,0.0772666666666677,0.0354666666666664,-4.764494631281313,5.4571820818445484,-0.6926874505632394,0.6926874505632359,6.546109156370221
16,4,2,SAA,36.768022256771125,0.0,4.534835301711989,15.08639954904581,4.565983871114388,2.3856021965832896,14.73003664002762,3.572684541181389,30.43142496067788,7.298748056623843,0.8065540793232806,0.1934459206767192,0.0612055555555555,0.168,0.0634833333333333,0.0320666666666665,0.0764666666666676,0.1044666666666704,0.0409333333333331,-6.336597296093245,7.298748056623843,-0.9621507605306001,0.9621507605305979,6.546109156370221
17,4,3,SAA,39.44058042167852,0.0,4.477211357499386,16.43442526070789,9.680095282255488,2.7427833692460095,10.583276509469124,3.471674440171289,32.405895134968034,8.040222204038582,0.8012115195966036,0.1987884804033962,0.0689722222222222,0.1962666666666667,0.066,0.0297999999999998,0.0673333333333334,0.0968666666666696,0.0700000000000003,-7.034685286710484,8.040222204038582,-1.0055369173280972,1.0055369173280972,9.54640918637324
18,4,4,SAA,36.5106510651065,0.0,4.4041313222231295,12.580094373073669,11.518970078826055,3.4655465546554707,8.946040058551304,3.59345025411632,29.585631290401764,7.735700842811553,0.7927270973286794,0.2072729026713205,0.0675888888888888,0.1788666666666667,0.0618333333333333,0.0427333333333331,0.0367999999999998,0.1012666666666701,0.0665333333333333,-6.925019774704737,7.735700842811553,-0.8106810681068097,0.810681068106816,3.273054578184997
19,4,5,SAA,14.9567138532035,0.0,3.6112338506577926,6.5273072761821584,2.1042286046786494,1.5247888425206135,4.800389129822067,3.265472001745628,11.691132749638598,3.611342952477064,0.7640026997737513,0.2359973002262486,0.0295999999999999,0.0984666666666666,0.0528333333333333,0.0279333333333331,0.052733333333333,0.077000000000001,0.0536666666666663,-3.2655811035649016,3.611342952477064,-0.34576184891216455,0.34576184891216233,3.818563674549381
20,4,6,SAA,3.5102601169207825,0.0,3.0285937684677555,1.4895307712589443,0.4761930738528395,0.3955486457736677,1.1489876260353313,2.9830983098309822,2.8715053323514166,0.6842502432061388,0.8075654446245659,0.192434555375434,0.0046444444444444,0.0339333333333333,0.03695,0.0260666666666665,0.0415999999999997,0.0434666666666664,0.0366666666666664,-0.638754784569366,0.6842502432061388,-0.04549545863677329,0.045495458636772845,1.091018192728356
21,4,7,SAA,0.0,0.0,1.2152487976070332,0.0,0.0,0.0,0.0,1.2152487976070332,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.9999999999999094,0.9999999999999094,0.9999999999999094,0.9999999999999094,0.0,0.0,0.0,0.0,0.0
22,5,1,SAA,80.50345034503448,0.0,11.72557255725572,31.775213885024847,15.177645037230999,5.739701242851543,27.810890179927057,9.144823573266416,67.06941603251232,16.014783296511464,0.8072463425555692,0.1927536574444308,0.1348499999999999,0.2994666666666667,0.0737833333333333,0.0339999999999998,0.0792666666666679,0.1457333333333368,0.0361333333333331,-13.434034312522158,16.014783296511464,-2.580748983989304,2.580748983989306,8.182636445462663
23,5,2,SAA,107.99236287265087,0.0,16.12606715216976,42.95713207684405,19.107092527434553,8.370800716435262,37.55733755193696,12.738801152842557,89.83632908745417,21.543299784523896,0.8065777377541257,0.1934222622458743,0.1814222222222221,0.3931333333333335,0.0863333333333333,0.0353333333333331,0.10086666666667,0.1641333333333348,0.0449999999999997,-18.156033785196698,21.543299784523896,-3.3872659993272034,3.387265999327198,3.273054578184997
24,5,3,SAA,118.7068888707052,0.0,14.58100355490094,45.62959932356868,26.454645464546438,11.539517588122443,35.083126494467635,11.223395066779403,98.94143959850528,23.12305776032148,0.8105668866816548,0.1894331133183452,0.197311111111111,0.4485333333333334,0.0835333333333333,0.0386666666666664,0.0744666666666674,0.1701333333333341,0.0508666666666663,-19.765449272199916,23.12305776032148,-3.357608488121537,3.3576084881215635,4.9095818672774385
25,5,4,SAA,101.58735873587355,0.0,13.983889298020708,37.50236841866003,23.76290356308357,12.810844720835766,27.511242033294234,10.50695978688778,84.18263644546269,20.881651801543786,0.8012488148927355,0.1987511851072645,0.1782777777777777,0.4037333333333334,0.0732166666666666,0.0362666666666664,0.0505999999999997,0.1474666666666699,0.058533333333333,-17.40472229041086,20.881651801543786,-3.476929511132928,3.4769295111329264,9.819163734555218
26,5,5,SAA,53.383483802925724,0.0,9.607415286983244,21.48222094936767,8.434716198892609,5.208302648446651,18.258244006218785,7.716535289892622,43.273436434552536,12.000927365463816,0.7828843872562081,0.2171156127437918,0.1008833333333333,0.2689333333333334,0.0701,0.0295333333333331,0.0776000000000011,0.1123333333333378,0.0609333333333329,-10.110047368373188,12.000927365463816,-1.8908799970906216,1.8908799970906287,6.818863704552484
27,5,6,SAA,19.844111683895658,0.0,4.479029721153934,8.178708779968902,2.6425551646073684,1.936520924819752,7.086326814499629,3.909881897280637,15.70831628617407,4.704943221594886,0.7695153378222492,0.2304846621777507,0.0374722222222222,0.1248,0.0563666666666666,0.0264666666666665,0.0638666666666664,0.0805333333333347,0.0545999999999997,-4.135795397721589,4.704943221594886,-0.5691478238732968,0.5691478238732968,7.091618252734406
28,5,7,SAA,2.7691678258734957,0.0,2.907090709070906,1.275545736391821,0.3372337233723375,0.39220285664930077,0.764185509460036,2.7831328587404194,2.3813472256316537,0.51177845057233,0.823105351149548,0.1768946488504519,0.0033333333333333,0.0244666666666666,0.0381833333333333,0.0256666666666665,0.0463999999999997,0.0428666666666664,0.0377999999999998,-0.38782060024184206,0.51177845057233,-0.12395785033048679,0.1239578503304879,4.364072770913467
29,6,1,SAA,150.77499531771355,0.0,30.62279900717344,58.03394193964843,26.678394748565733,13.588263189955429,52.474395439543876,24.731291310949278,126.29026539017536,30.376237623762364,0.8061089190134029,0.1938910809865971,0.2541666666666666,0.5016666666666667,0.1046499999999999,0.0558666666666663,0.1213333333333387,0.192266666666665,0.049133333333333,-24.484729927538183,30.376237623762364,-5.8915076962241635,5.891507696224181,1.0201020102008442
30,6,2,SAA,186.7260122375873,0.0,43.39418159997817,74.77242196946953,31.814186873232774,16.53187209630065,63.60753129858434,36.13695915046048,156.01749265835667,37.96574202874831,0.8042833851596141,0.1957166148403858,0.312561111111111,0.6129333333333331,0.1177999999999999,0.0551999999999996,0.1503333333333363,0.2061999999999968,0.0594666666666663,-30.708519579230625,37.96574202874831,-7.257222449517691,7.257222449517684,-5.455090963641737
31,6,3,SAA,210.13985034867113,0.0,47.14855121875822,84.42300593695732,38.430388493394744,23.77308639954904,63.513369518770006,39.19759248652137,176.2852103392157,41.805598741692336,0.808311047504147,0.191688952495853,0.3434777777777777,0.6909999999999998,0.1011499999999999,0.0477999999999997,0.1140000000000047,0.1839999999999992,0.0587999999999996,-33.85464000945544,41.805598741692336,-7.950958732236849,7.950958732236899,-9.819163734555218
32,6,4,SAA,178.08771786269529,0.0,40.818063624544266,70.29566593022932,34.07162534435257,21.256980243478967,52.46344634463445,33.54028130085735,148.2691814636009,37.09631872278136,0.7998747410630266,0.2001252589369735,0.3053722222222222,0.6237999999999997,0.0909333333333333,0.044733333333333,0.0905333333333357,0.1652000000000013,0.0632666666666663,-29.8185363990944,37.09631872278136,-7.277782323686914,7.277782323686964,-5.59146823773267
33,6,5,SAA,115.35804489539859,0.0,23.464200965551097,47.36049968633229,18.746656483830193,10.93907572575443,38.31181299948177,18.972351780632607,94.73380065279252,25.11609342752456,0.790437082817169,0.209562917182831,0.2059555555555555,0.4689333333333334,0.0912666666666666,0.0332666666666664,0.0954000000000028,0.1787999999999998,0.0575999999999996,-20.624244242606068,25.11609342752456,-4.49184918491849,4.491849184918493,2.1820363854566267
34,6,6,SAA,55.947631126749016,0.0,9.140186745947322,23.045995508641777,7.931720444771755,5.323641455054583,19.646273718280934,7.476838592950204,44.937930156652016,12.673049123094122,0.7800237162858037,0.2199762837141963,0.1074055555555555,0.2694000000000001,0.0808833333333333,0.0292666666666665,0.0776666666666678,0.1514000000000028,0.0651999999999999,-11.009700970097,12.673049123094122,-1.6633481529971172,1.6633481529971217,4.909581867277666
35,6,7,SAA,18.456463828201,0.0,3.849912263953667,7.804780478047794,2.535599014446897,1.8361290674521968,6.2799552682541,3.4818754602733,14.49103092127394,4.333469710607424,0.76979629922994,0.23020370077006,0.0338444444444444,0.1040666666666666,0.0577833333333333,0.0269999999999998,0.062933333333333,0.0858000000000019,0.0553999999999996,-3.9654329069270595,4.333469710607424,-0.3680368036803672,0.36803680368036407,5.455090963641851
1,2,1,DRO,0.0,0.0,0.17752684359345022,0.0,0.0,0.0,0.0,0.1775268435934502,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999476,0.9999999999999476,0.9999999999999476,0.9999999999999476,0.0,0.0,-2.7755575615628914e-17,0.0,0.0
2,2,2,DRO,0.0,0.0,0.2153851748811245,0.0,0.0,0.0,0.0,0.2153851748811245,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999478,0.9999999999999478,0.9999999999999478,0.9999999999999478,0.0,0.0,0.0,0.0,0.0
3,2,3,DRO,0.0,0.0,0.29092000109101823,0.0,0.0,0.0,0.0,0.2909200010910182,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.999999999999948,0.999999999999948,0.999999999999948,0.999999999999948,0.0,0.0,-5.551115123125783e-17,0.0,0.0
4,2,4,DRO,0.0,0.0,0.255716480738983,0.0,0.0,0.0,0.0,0.255716480738983,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999486,0.9999999999999486,0.9999999999999486,0.9999999999999486,0.0,0.0,0.0,0.0,0.0
5,2,5,DRO,0.0,0.0,0.1004100410041004,0.0,0.0,0.0,0.0,0.1004100410041004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999472,0.9999999999999472,0.9999999999999472,0.9999999999999472,0.0,0.0,0.0,0.0,0.0
6,2,6,DRO,0.0,0.0,0.01652892561983471,0.0,0.0,0.0,0.0,0.0165289256198347,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999482,0.9999999999999482,0.9999999999999482,0.9999999999999482,0.0,0.0,-1.0408340855860843e-17,0.0,0.0
7,2,7,DRO,0.0,0.0,0.025838947531116756,0.0,0.0,0.0,0.0,0.0258389475311167,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999476,0.9999999999999476,0.9999999999999476,0.9999999999999476,0.0,0.0,-5.551115123125783e-17,0.0,0.0
8,3,1,DRO,2.4623648526757,0.0,1.3940935204343372,0.8746731878654349,0.2532141487031706,0.175033962716972,1.1594435533901222,1.3548093422617615,1.9857979938547736,0.5158510369935024,0.7937956001691475,0.2062043998308524,0.0029944444444444,0.0167999999999999,0.0151166666666666,0.0118666666666666,0.0160666666666665,0.0195333333333332,0.0129999999999999,-0.4765668588209262,0.5158510369935024,-0.03928417817257568,0.039284178172576234,2.3715338696526373
9,3,2,DRO,3.454111653371542,0.0,1.3821901586278387,1.5170968212487066,0.4072370641257138,0.25573091211359694,1.2740468558835245,1.299378041465752,2.7061126611538806,0.8308111093797481,0.7651034731646477,0.2348965268353523,0.0062444444444444,0.0253333333333333,0.0151666666666666,0.0114666666666666,0.0154666666666665,0.0185333333333332,0.0151999999999999,-0.7479989922176613,0.8308111093797481,-0.08281211716208658,0.0828121171620868,4.855387259989669
10,3,3,DRO,3.416318551245994,0.0,1.2749505756666966,1.5805582291207214,0.4801530360882543,0.2743176283401702,1.0812896576968478,1.2162870854272012,2.615470502541312,0.8595115389441769,0.7526572716972224,0.2473427283027776,0.0065888888888888,0.0294666666666666,0.0168666666666666,0.0117999999999999,0.0157999999999999,0.0205333333333332,0.0193333333333332,-0.8008480487046823,0.8595115389441769,-0.05866349023949535,0.058663490239494576,3.118229011317851
11,3,4,DRO,3.855070208200547,0.0,1.3797805496025046,1.5707635844267127,0.9175637252055064,0.2785463539467535,1.0881965446215751,1.2941136493948169,2.980813921821642,0.9599231865865928,0.7564102450431335,0.2435897549568666,0.0077833333333333,0.0301333333333333,0.0164333333333333,0.0124666666666666,0.0137333333333332,0.0201333333333332,0.0193999999999999,-0.874256286378905,0.9599231865865928,-0.08566690020768775,0.08566690020768786,4.441195266133548
12,3,5,DRO,0.9422915190558692,0.0,1.271984453995981,0.3376704973680415,0.1854997972136,0.09382755614562041,0.32529366832860734,1.2304809697464298,0.8178620562296974,0.1659329470757229,0.8313338180025206,0.1686661819974794,0.0008722222222222,0.0079333333333333,0.0153499999999999,0.0124666666666666,0.0169999999999999,0.0175333333333332,0.0143999999999999,-0.12442946282617173,0.1659329470757229,-0.04150348424955119,0.041503484249551165,3.0988658521031027
13,3,6,DRO,0.0,0.0,0.7484748474847485,0.0,0.0,0.0,0.0,0.7484748474847485,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999044,0.9999999999999044,0.9999999999999044,0.9999999999999044,0.0,0.0,0.0,0.0,0.0
14,3,7,DRO,0.0,0.0,0.09830073916482554,0.0,0.0,0.0,0.0,0.0983007391648255,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.9999999999999044,0.9999999999999044,0.9999999999999044,0.9999999999999044,0.0,0.0,-4.163336342344337e-17,0.0,0.0
15,4,1,DRO,27.526083981539657,0.0,3.079958440884394,11.003078283066662,3.356126031775368,2.2582840843832144,10.908595582314414,2.457972828653711,22.633806041997826,5.514263551772518,0.8040979850002601,0.1959020149997398,0.0464666666666666,0.1280666666666666,0.0383333333333333,0.0203999999999999,0.049333333333333,0.0589999999999996,0.0245999999999998,-4.892277939541831,5.514263551772518,-0.621985612230683,0.621985612230687,3.2730437977835436
16,4,2,DRO,37.36000641735389,0.0,3.94285114112922,15.005211085942934,5.3100152199899915,2.987587390870558,14.057192720550377,3.030572876775269,30.81626746082541,7.456017220882427,0.8051849456364956,0.1948150543635043,0.0637166666666666,0.1686666666666667,0.0464833333333333,0.0221999999999998,0.0594666666666663,0.0778000000000011,0.0264666666666665,-6.543738956528475,7.456017220882427,-0.9122782643539509,0.9122782643539518,5.4865078568336685
17,4,3,DRO,40.08686958013892,0.0,3.8309221990389917,16.05594448923023,8.899354554957776,3.478881176898606,11.652689359052266,3.011381194016586,32.81553630480265,8.090874280358669,0.8022101141454437,0.1977898858545562,0.0691611111111111,0.1963333333333334,0.0566166666666666,0.0188666666666665,0.0627999999999996,0.0928666666666692,0.051933333333333,-7.271333275336268,8.090874280358669,-0.8195410050224057,0.8195410050224012,1.3090084153660655
18,4,4,DRO,37.28307087406439,0.0,3.6317115132652456,12.985860608433457,10.771905066681247,4.057411706549645,9.467893492400043,2.6153406441265243,30.47555015117277,7.823891592030336,0.7957178685660916,0.2042821314339084,0.0689777777777777,0.1791333333333333,0.0398833333333333,0.0204666666666665,0.0203333333333332,0.0804000000000014,0.0383333333333331,-6.807520722891624,7.823891592030336,-1.0163708691387212,1.0163708691387114,18.181132635012034
19,4,5,DRO,16.35696968035064,0.0,2.2109780235106453,6.638704029827212,2.8258440044381157,1.5988236794524822,5.293597966632839,1.7396187701369756,13.073384392691434,3.754944541032882,0.7768676524079645,0.2231323475920355,0.0315555555555555,0.1020666666666666,0.03385,0.0140666666666666,0.0297999999999998,0.0567999999999996,0.0347333333333331,-3.283585287659207,3.754944541032882,-0.4713592533736697,0.471359253373675,12.189444762941434
20,4,6,DRO,5.102929559241422,0.0,1.435924326147115,2.3519785926461654,0.7394912834166881,0.5045818947777423,1.5068777884008262,1.3032018541571966,3.971945020587976,1.2637070106433643,0.758634263105113,0.241365736894887,0.0090777777777777,0.0421999999999999,0.0220833333333333,0.0119333333333332,0.0248666666666665,0.0289999999999998,0.0225333333333332,-1.1309845386534456,1.2637070106433643,-0.1327224719899185,0.1327224719899187,6.064178570414555
21,4,7,DRO,0.1675862244166046,0.0,1.0476625731904288,0.04606757269161569,0.0,0.0,0.12151865172498885,1.047353904085439,0.1460007266649485,0.0218941668566456,0.869595993079863,0.130404006920137,0.0,0.0,0.5068666666666666,0.0135999999999999,0.9999999999999094,0.9999999999999094,0.0138666666666666,-0.02158549775165608,0.0218941668566456,-0.0003086691049898338,0.00030866910498952155,0.024114796933424998
22,5,1,DRO,81.02941734507495,0.0,11.19960555721526,31.82440690477248,15.70740241188333,5.7387921072442385,27.758815921174865,8.66472144182132,67.41812506306906,16.146176397399813,0.8067814112580363,0.1932185887419637,0.1366777777777777,0.3001333333333334,0.0625166666666666,0.0288666666666665,0.0665333333333333,0.1230666666666722,0.0315999999999998,-13.611292282005891,16.146176397399813,-2.5348841153939414,2.534884115393922,6.106945014505641
23,5,2,DRO,108.13960573897127,0.0,15.978824285849356,42.8754691024408,18.835209670922058,9.252493392223187,37.176433573385225,12.528943089331726,89.9814441221018,21.60804281338708,0.8063613033199183,0.1936386966800818,0.1826388888888889,0.3931333333333334,0.0769833333333333,0.0319999999999998,0.0926000000000026,0.1415333333333372,0.0417999999999997,-18.158161616869464,21.60804281338708,-3.44988119651763,3.449881196517616,5.457219965931586
24,5,3,DRO,118.99266618674164,0.0,14.295226238864508,45.352622339370534,25.19916475161514,13.572681696247821,34.86819739950812,11.008573501009842,99.04094058765094,23.238378336945395,0.8099565933036038,0.1900434066963961,0.1987222222222221,0.4484000000000001,0.0724666666666666,0.0355333333333331,0.0663333333333333,0.1390000000000042,0.0489999999999997,-19.951725599090707,23.238378336945395,-3.2866527378546664,3.2866527378546877,1.8260120532302153
25,5,4,DRO,102.12681050813846,0.0,13.444437525755802,37.330357801059165,22.424956218708473,14.637490633592392,27.734005854778438,10.08835065668256,84.52411568431198,20.958781692899723,0.8013063518918129,0.1986936481081871,0.1791888888888888,0.4039333333333335,0.0619833333333333,0.0308666666666665,0.0436666666666664,0.1216666666666721,0.051733333333333,-17.602694823826482,20.958781692899723,-3.356086869073243,3.3560868690732413,4.422663474050751
26,5,5,DRO,54.62897281702275,0.0,8.361926272886226,20.976020059972512,8.776195254526563,6.332597673627891,18.544159828895772,6.490715906145868,44.35358660093842,12.146596582824683,0.7850166867013744,0.2149833132986256,0.1029333333333333,0.2696666666666668,0.0468499999999999,0.0182666666666665,0.0590666666666663,0.0741333333333341,0.0359333333333331,-10.275386216084328,12.146596582824683,-1.8712103667403577,1.871210366740355,6.2743522536902105
27,5,6,DRO,21.187444726120987,0.0,3.1356966789286016,8.351844901661774,2.7815977466064203,2.336785302959002,7.717216774893787,2.5951502671876447,16.818139628851068,4.909851509010878,0.7740310423610559,0.225968957638944,0.0398611111111111,0.1312,0.0381333333333333,0.0159333333333332,0.0423333333333331,0.057933333333333,0.0363333333333331,-4.369305097269919,4.909851509010878,-0.5405464117409569,0.5405464117409586,5.987454431151491
28,5,7,DRO,4.285556170994807,0.0,1.3907023639495955,2.0037640705632964,0.5443635396540348,0.43126131947951546,1.3061672412979612,1.2798539567113942,3.3893883132779794,1.0070162649550285,0.7709454971590067,0.2290545028409932,0.0069388888888888,0.0338666666666666,0.0246999999999999,0.0115999999999999,0.0291999999999998,0.0311999999999998,0.0267999999999998,-0.8961678577168279,1.0070162649550285,-0.11084840723820122,0.11084840723820055,5.859603250132096
29,6,1,DRO,150.99059619802597,0.0,30.407198126861026,58.13458115526913,26.62857452477685,14.123361764428024,52.10407875355185,24.522690167447504,126.41825227986529,30.4568518775742,0.8058528659397237,0.1941471340602762,0.2550944444444443,0.5014666666666667,0.0976833333333333,0.0517999999999997,0.1110000000000044,0.183266666666666,0.0446666666666664,-24.572343918160684,30.4568518775742,-5.884507959413522,5.884507959413515,0.6978225113159624
30,6,2,DRO,186.98566151496757,0.0,43.13453232259788,74.65102618312734,31.89138476955538,17.381311156267753,63.06193940601702,35.90527188792699,156.1275725369692,38.087349412669255,0.803890715346035,0.196109284653965,0.313611111111111,0.6127999999999998,0.1069499999999999,0.0500666666666663,0.1338000000000048,0.1917333333333317,0.0521999999999997,-30.858088977998364,38.087349412669255,-7.229260434670884,7.229260434670891,-6.545519186473257
31,6,3,DRO,210.62651838242084,0.0,46.661883185008556,84.07161732989573,37.98748916141033,25.13994377440894,63.42746811670581,38.80239666282969,176.54968389270422,41.93632101189548,0.8080594634415753,0.1919405365584247,0.3449111111111111,0.6909333333333332,0.0881499999999999,0.043733333333333,0.0975333333333364,0.1612666666666684,0.0500666666666663,-34.07683448971662,41.93632101189548,-7.859486522178862,7.859486522178862,-13.641862467066403
32,6,4,DRO,178.55612243793172,0.0,40.34965904930785,70.13629500865173,33.46537738870971,22.662103007512314,52.29234703305798,33.162091125679645,148.56323751225844,37.18045284930147,0.7998292551583973,0.2001707448416027,0.3063777777777777,0.623933333333333,0.0797499999999999,0.0414666666666664,0.0761333333333343,0.144133333333337,0.0572666666666663,-29.99288492567328,37.18045284930147,-7.187567923628208,7.187567923628187,-9.608576471820129
33,6,5,DRO,115.700815467871,0.0,23.121430393078697,46.9535310548546,18.78650488416098,12.080538263678145,37.880241265177354,18.670934080504683,94.89874451181188,25.25256726863313,0.7898269532439424,0.2101730467560576,0.2070444444444444,0.4696666666666668,0.0745833333333333,0.0293999999999998,0.0884000000000021,0.1262666666666723,0.0542666666666663,-20.80207095605911,25.25256726863313,-4.450496312574014,4.450496312574018,0.07703192916494572
34,6,6,DRO,57.026721519762944,0.0,8.061096352933392,22.72174943952368,8.870232290193972,5.312788596941895,20.12195119310337,6.353035489556664,46.00236297816289,12.732419404976785,0.7832218169819638,0.2167781830180362,0.1078722222222222,0.2699333333333333,0.0697833333333333,0.0192666666666665,0.0630666666666663,0.1503333333333363,0.0464666666666664,-11.024358541600051,12.732419404976785,-1.708060863376728,1.7080608633767334,6.606812224906832
35,6,7,DRO,20.008975404419182,0.0,2.2974006877354847,8.303229729506173,2.5061037921567455,2.2542759982491978,6.94536588450705,1.9244821317984464,15.781214847069688,4.60067911328653,0.7742761726542648,0.2257238273457352,0.03625,0.1149333333333333,0.0417333333333333,0.0140666666666666,0.0417333333333331,0.0680000000000001,0.0431333333333331,-4.2277605573494945,4.60067911328653,-0.37291855593703827,0.3729185559370354,6.286544626036346
