state,intensity,loc,mode,solver_status,objective,T1,T2,T3,T4,T_total,LB,UB,absolute_gap,relative_gap,iterations,cuts,runtime_sec,case_pass,no_electrical_service
6,2,6,SAA,OPTIMAL,21.209999999999983,0.0,0.0,0.0,0.0,0.0,21.209999999999983,21.209999999999983,0.0,0.0,1,0,0.7151615,1,1
7,2,7,DRO,OPTIMAL,599.6375613698044,0.0,0.0,0.0,0.0,0.0,599.6375613698044,599.6375613698044,0.0,0.0,1,3,0.9194416999999999,1,1
7,2,7,SAA,OPTIMAL,33.156666666666645,0.0,0.0,0.0,0.0,0.0,33.156666666666645,33.156666666666645,0.0,0.0,1,0,0.8359985000000001,1,1
8,3,1,DRO,OPTIMAL,9942.771196140558,48.90607844627881,13.09221824892455,8.18267380358933,70.37077943059047,140.55174992938316,9942.77112464258,9942.771196140558,7.149797784222756e-05,7.190950735141186e-09,49,51,23.2686041,1,1
8,3,1,SAA,OPTIMAL,4851.945615512337,11.455691023647818,0.0,0.0,3.273054578185092,14.728745601832909,4851.945615512337,4851.945615512337,0.0,0.0,1,0,2.1115668000000003,1,1
9,3,2,DRO,OPTIMAL,10879.986778806293,85.15560402707636,19.638352208796608,9.819163734635657,61.09724929742699,175.71036926793562,10879.98667352859,10879.986778806293,0.00010527770245971624,9.676271175695939e-09,49,51,24.5969689,1,1
9,3,2,SAA,OPTIMAL,5875.5568454978375,22.365872950931454,0.0,0.0,11.455691023647818,33.82156397457927,5875.5568454978375,5875.5568454978375,0.0,0.0,1,0,2.1240088000000004,1,1
10,3,3,DRO,OPTIMAL,9706.311513003,85.64636819554602,19.638140330485353,9.819165288650808,38.185612778785845,153.28928659346803,9706.311430891732,9706.311513003,8.211126805690583e-05,8.459574777391595e-09,46,48,23.4187443,1,1
10,3,3,SAA,OPTIMAL,5475.835970056057,27.27545481820909,3.545809126367184,3.818563674549271,16.638027439107546,51.277855058233094,5475.835970056057,5475.835970056057,0.0,0.0,1,0,2.1956078999999997,1,1
11,3,4,DRO,OPTIMAL,10966.02017857615,85.06413504114684,43.326140158259825,9.819163746926195,38.185644056288666,176.3950830026215,10966.020070610226,10966.02017857615,0.00010796592323458754,9.84549740711913e-09,58,60,30.9724947,1,1
11,3,4,SAA,OPTIMAL,6148.95842586841,20.183836565474728,6.546109156370182,4.909581867277637,16.365272890925453,48.004800480048004,6148.95842586841,6148.95842586841,0.0,0.0,1,0,2.4196365,1,1
12,3,5,DRO,OPTIMAL,6864.192418277136,21.932766511485276,9.8191739354298,4.909581669331015,18.43529992854691,55.096822044793,6864.192344989128,6864.192418277136,7.328800802497426e-05,1.067685804229961e-08,54,56,23.090469600000002,1,1
12,3,5,SAA,OPTIMAL,2837.074210854742,3.273054578185091,0.0,0.0,0.0,3.273054578185091,2837.074210854742,2837.074210854742,0.0,0.0,1,0,1.7031535,1,1
13,3,6,DRO,OPTIMAL,3413.3330655882846,0.0,0.0,0.0,0.0,0.0,3413.3330655882846,3413.3330655882846,0.0,0.0,1,3,1.9876269999999998,1,1
13,3,6,SAA,OPTIMAL,960.4466666666865,0.0,0.0,0.0,0.0,0.0,960.4466666666865,960.4466666666865,0.0,0.0,1,0,1.5130362000000002,1,1
14,3,7,DRO,OPTIMAL,829.3797464677324,0.0,0.0,0.0,0.0,0.0,829.3797464677324,829.3797464677324,0.0,0.0,1,3,1.8880274,1,1
14,3,7,SAA,OPTIMAL,126.13999999999992,0.0,0.0,0.0,0.0,0.0,126.13999999999992,126.13999999999992,0.0,0.0,1,0,1.4005492999999998,1,1
15,4,1,DRO,OPTIMAL,20366.060572989118,157.10657259669154,40.520676659774004,22.911422719905488,150.9530626316618,371.49173460803286,20366.06050825551,20366.060572989118,6.4733609178802e-05,3.1785042054061355e-09,58,60,82.570419,1,1
15,4,1,SAA,OPTIMAL,15828.423367645037,146.1964378256007,33.82156397457927,16.365272890925453,145.65092872923657,342.034203420342,15828.423367645037,15828.423367645037,0.0,0.0,1,0,6.429267100000001,1,1
16,4,2,DRO,OPTIMAL,22594.00479433885,172.38087439588497,52.36903735552646,22.911356383489274,142.37758872965782,390.0388568645585,22594.00476479392,22594.00479433885,2.954492811113596e-05,1.3076445889105384e-09,56,58,100.97164910000001,1,1
16,4,2,SAA,OPTIMAL,17474.76442191805,159.8341652347053,39.276654938221085,16.365272890925453,142.92338324741561,358.39947631126745,17474.76442191805,17474.76442191805,0.0,0.0,1,0,8.8803399,1,1
17,4,3,DRO,OPTIMAL,22167.576813539537,182.96387494599475,88.15409324642867,22.91149146030107,91.42746248214011,385.4569221348646,22167.576709552355,22167.576813539537,0.00010398718222859316,4.690958470710238e-09,58,60,113.0232674,1,1
17,4,3,SAA,OPTIMAL,17187.93266687505,171.83536535471725,89.46349180372583,16.365272890925453,74.18923710552872,351.8533671548972,17187.93266687505,17187.93266687505,0.0,0.0,1,0,8.975956400000001,1,1
18,4,4,DRO,OPTIMAL,22299.637592558476,157.10625024528588,140.79628672897448,30.861039848190824,76.91681730772001,405.6803941301712,22299.637388511037,22299.637592558476,0.00020404743918334134,9.150258085424367e-09,62,64,117.7564656,1,1
18,4,4,SAA,OPTIMAL,17413.488632773642,137.46829228377382,132.55871041649618,24.002400240024002,67.64312794915854,361.6725308894526,17413.488632773642,17413.488632773642,0.0,0.0,1,0,8.4826844,1,1
19,4,5,DRO,OPTIMAL,16481.054408110213,168.7391496264098,46.72582572604259,18.001607116891318,71.28470426163564,304.75128673097936,16481.054299005875,16481.054408110213,0.00010910433775279671,6.6199852904500585e-09,73,75,72.55369,1,1
19,4,5,SAA,OPTIMAL,12085.04809315675,129.28565583831104,26.18443662548073,16.365272890925453,57.278455118239094,229.11382047295632,12085.04809315675,12085.04809315675,0.0,0.0,1,0,4.698989,1,1
20,4,6,DRO,OPTIMAL,11029.362430368987,112.37481162340899,19.63832490766001,12.001346359327913,39.27665980302801,183.29114269342494,11029.362418620485,11029.362430368987,1.1748501492547803e-05,1.0652022332858234e-09,48,50,29.687002999999997,1,1
20,4,6,SAA,OPTIMAL,6813.522465169051,45.82276409459127,9.819163734555273,8.182636445462727,26.18443662548073,90.00900090009,6813.522465169051,6813.522465169051,0.0,0.0,1,0,2.8344750999999997,1,1
21,4,7,DRO,OPTIMAL,4862.022238492193,3.2731482853095017,0.0,0.0,7.886093517676136,11.159241802985639,4862.022193612227,4862.022238492193,4.4879965571453795e-05,9.230719928868928e-09,19,21,9.063148,1,1
21,4,7,SAA,OPTIMAL,1559.413333333377,0.0,0.0,0.0,0.0,0.0,1559.413333333377,1559.413333333377,0.0,0.0,1,0,1.7369625999999998,1,1
22,5,1,DRO,OPTIMAL,40021.59256613084,213.83949659946245,102.55504657457055,24.547909336063405,181.65463701678823,522.5970895268847,40021.59249717777,40021.59256613084,6.895307160448283e-05,1.7228967460639207e-09,56,58,191.98752979999998,1,1
22,5,1,SAA,OPTIMAL,31305.66654139392,206.20243842566074,94.10031912282139,24.54790933638818,175.10841993290242,499.9590868177727,31305.66654139392,31305.66654139392,0.0,0.0,1,0,15.7860378,1,1
23,5,2,DRO,OPTIMAL,48698.591331839416,225.8394126397046,93.82530672359077,34.36722621457664,183.5676974784155,537.5996430562875,48698.59085526476,48698.591331839416,0.0004765746562043205,9.786210302406288e-09,53,55,261.9887615,1,1
23,5,2,SAA,OPTIMAL,37963.623211197686,223.65872950931447,92.46379183372883,28.91198210730164,186.01860186018598,531.053105310531,37963.623211197686,37963.623211197686,0.0,0.0,1,0,21.3317418,1,1
24,5,3,DRO,OPTIMAL,45392.85141281987,219.6513589272778,127.10335476098182,52.368810521354234,151.37842738629377,550.5019515959077,45392.85129027884,45392.85141281987,0.0001225410305778496,2.6995667107010927e-09,66,68,393.39660660000004,1,1
24,5,3,SAA,OPTIMAL,36193.87829955581,220.1129203829472,127.10361945285436,39.276654938221085,151.10601969287865,537.5992144669012,36193.87829955581,36193.87829955581,0.0,0.0,1,0,27.5429817,1,1
25,5,4,DRO,OPTIMAL,43844.98583759257,217.11285404018312,137.4689066114733,63.82477271337325,124.10219078141385,542.5087241464435,43844.98565897568,43844.98583759257,0.00017861688684206456,4.073826993665463e-09,54,56,278.92099399999995,1,1
25,5,4,SAA,OPTIMAL,34788.993034429484,212.7485475820309,136.37727409104542,50.186836865504816,118.64822845920953,517.9608869977907,34788.993034429484,34788.993034429484,0.0,0.0,1,0,24.1854349,1,1
26,5,5,DRO,OPTIMAL,32620.557815746855,216.48979614441325,68.46147534448677,37.09444706122183,127.17926375427017,449.22498230439203,32620.557644578468,32620.557815746855,0.0001711683871690184,5.24725506338186e-09,68,70,175.0851311,1,1
26,5,5,SAA,OPTIMAL,24968.533372323982,196.38327469110547,56.4601914736928,24.54790933638818,111.28385565829302,388.67523115947944,24968.533372323982,24968.533372323982,0.0,0.0,1,0,13.0945012,1,1
27,5,6,DRO,OPTIMAL,19204.15517844649,179.3043427276317,32.73046285372547,22.911387308903333,91.64550879106457,326.59170168132505,19204.155071100147,19204.15517844649,0.00010734634270193055,5.5897456412146255e-09,58,60,69.66524179999999,1,1
27,5,6,SAA,OPTIMAL,14121.124587230011,141.28685595832306,26.18443662548073,16.365272890925453,73.64372800916455,257.4802934838938,14121.124587230011,14121.124587230011,0.0,0.0,1,0,5.7782219,1,1
28,5,7,DRO,OPTIMAL,10239.35567750609,99.28267460479874,13.092219226349572,9.81916414495188,33.821573718691134,156.01563169479132,10239.35567236656,10239.35567750609,5.139529093867168e-06,5.019387211206788e-10,44,46,26.6892682,1,1
28,5,7,SAA,OPTIMAL,5965.7217612807735,37.640127649128544,6.546109156370182,8.182636445462727,16.365272890925453,68.7341461418869,5965.7217612807735,5965.7217612807735,0.0,0.0,1,0,2.7835348,1,1
29,6,1,DRO,OPTIMAL,72918.90453956912,221.4717657906626,105.28197318037695,45.75446648456422,200.0,572.5082054556037,72918.90383589442,72918.90453956912,0.0007036746974335983,9.650099680964795e-09,48,50,297.22098689999996,1,1
29,6,1,SAA,OPTIMAL,57614.90970916613,217.65812944930855,103.1012192128304,42.54970951640618,200.0,563.3090581785451,57614.90970916613,57614.90970916613,0.0,0.0,1,0,28.1547132,1,1
30,6,2,DRO,OPTIMAL,93092.24983932385,239.28178273410117,104.3942967459894,49.56391576318882,200.0,593.2399952432794,93092.24910630603,93092.24983932385,0.0007330178195843473,7.874101451512104e-09,49,51,366.5618355,1,1
30,6,2,SAA,OPTIMAL,74621.82998125495,236.9527861877095,100.64642827919157,44.73174590186291,200.0,582.330960368764,74621.82998125495,74621.82998125495,0.0,0.0,1,0,33.6062808,1,1
31,6,3,DRO,OPTIMAL,99143.15800596112,253.66184924574327,121.92083660363147,76.91673488474194,193.11063668216227,645.610057416279,99143.1575578327,99143.15800596112,0.00044812841224484146,4.520013496220255e-09,63,65,583.9000719,1,1
31,6,3,SAA,OPTIMAL,80823.23058903222,252.025202520252,117.82996481466334,67.64312794915847,187.3823746010964,624.8806698851702,80823.23058903222,80823.23058903222,0.0,0.0,1,0,46.1277503,1,1
32,6,4,DRO,OPTIMAL,89290.27426586606,251.47146471167514,125.46843379489654,74.1855024469777,169.93215867923007,621.0575596327794,89290.27340436006,89290.27426586606,0.0008615059923613444,9.648374354816844e-09,68,70,491.7098313,1,1
32,6,4,SAA,OPTIMAL,71919.32637608258,247.11562065297434,121.64852848921257,64.37007337097346,167.74404713198575,600.8782696451461,71919.32637608258,71919.32637608258,0.0,0.0,1,0,35.8416078,1,1
33,6,5,DRO,OPTIMAL,60430.52047208842,254.08864477054735,89.58160100206015,44.18604535690962,157.9239864176921,545.7802775472092,60430.51988095605,60430.52047208842,0.0005911323678446934,9.782016822405573e-09,61,63,262.02103650000004,1,1
33,6,5,SAA,OPTIMAL,47362.21250944231,253.6617298093445,84.28115538826626,34.6398276191255,157.9248833974305,530.5075962141668,47362.21250944231,47362.21250944231,0.0,0.0,1,0,20.6775491,1,1
34,6,6,DRO,OPTIMAL,32489.46820876139,240.5107338845379,64.97489602467901,24.547913729345737,131.4084664115908,461.4420100501535,32489.468178245654,32489.46820876139,3.051573730772361e-05,9.392501321241839e-10,59,61,138.17470169999999,1,1
34,6,6,SAA,OPTIMAL,25105.222497402974,219.29465673840096,50.18683686550472,24.54790933638818,117.28445571829914,411.31385865859295,25105.222497402974,25105.222497402974,0.0,0.0,1,0,11.4788443,1,1
35,6,7,DRO,OPTIMAL,17955.553912325726,207.3062487811082,29.45756027645857,22.802018216960743,81.00731426604014,340.5731415405677,17955.55384624192,17955.553912325726,6.608380499528721e-05,3.680410268486537e-09,62,64,87.0520384,1,1
35,6,7,SAA,OPTIMAL,13375.930376895836,150.83326514469627,26.18443662548073,16.365272890925453,66.006600660066,259.3895753211684,13375.930376895836,13375.930376895836,0.0,0.0,1,0,8.352703799999999,1,1
