state,intensity,loc,mode,T1,T2,T3,T4,max_inventory_violation_kg,max_demand_balance_error_kg,q_weighted_electrical_service_kg,inventory_qa
27,5,6,DRO,179.3043427276317,32.73046285372547,22.911387308903333,91.64550879106457,2.1316282072803006e-13,1.7763568394002505e-15,0.0,PASS
27,5,6,SAA,141.28685595832306,26.18443662548073,16.365272890925453,73.64372800916455,1.4210854715202004e-13,1.0658141036401503e-14,0.0,PASS
28,5,7,DRO,99.28267460479874,13.092219226349572,9.81916414495188,33.821573718691134,1.5631940186722204e-13,1.7763568394002505e-15,0.0,PASS
28,5,7,SAA,37.640127649128544,6.546109156370182,8.182636445462727,16.365272890925453,1.3500311979441904e-13,3.019806626980426e-14,0.0,PASS
29,6,1,DRO,221.4717657906626,105.28197318037695,45.75446648456422,200.0,2.2737367544323206e-13,3.552713678800501e-15,0.0,PASS
29,6,1,SAA,217.65812944930855,103.1012192128304,42.54970951640618,200.0,1.7053025658242404e-13,9.059419880941277e-14,0.0,PASS
30,6,2,DRO,239.28178273410117,104.3942967459894,49.56391576318882,200.0,1.9895196601282805e-13,3.552713678800501e-15,0.0,PASS
30,6,2,SAA,236.9527861877095,100.64642827919157,44.73174590186291,200.0,1.9895196601282805e-13,8.881784197001252e-14,0.0,PASS
31,6,3,DRO,253.66184924574327,121.92083660363147,76.91673488474194,193.11063668216227,2.5579538487363607e-13,3.552713678800501e-15,0.0,PASS
31,6,3,SAA,252.025202520252,117.82996481466334,67.64312794915847,187.3823746010964,2.1316282072803006e-13,9.681144774731365e-14,0.0,PASS
32,6,4,DRO,251.47146471167514,125.46843379489654,74.1855024469777,169.93215867923007,1.9895196601282805e-13,3.552713678800501e-15,0.0,PASS
32,6,4,SAA,247.11562065297434,121.64852848921257,64.37007337097346,167.74404713198575,2.8421709430404007e-13,9.059419880941277e-14,0.0,PASS
33,6,5,DRO,254.08864477054735,89.58160100206015,44.18604535690962,157.9239864176921,1.4210854715202004e-13,3.552713678800501e-15,0.0,PASS
33,6,5,SAA,253.6617298093445,84.28115538826626,34.6398276191255,157.9248833974305,1.9895196601282805e-13,9.947598300641403e-14,0.0,PASS
34,6,6,DRO,240.5107338845379,64.97489602467901,24.547913729345737,131.4084664115908,1.4210854715202004e-13,1.7763568394002505e-15,0.0,PASS
34,6,6,SAA,219.29465673840096,50.18683686550472,24.54790933638818,117.28445571829914,2.2737367544323206e-13,9.85878045867139e-14,0.0,PASS
35,6,7,DRO,207.3062487811082,29.45756027645857,22.802018216960743,81.00731426604014,1.7053025658242404e-13,1.7763568394002505e-15,0.0,PASS
35,6,7,SAA,150.83326514469627,26.18443662548073,16.365272890925453,66.006600660066,1.6342482922482304e-13,7.815970093361102e-14,0.0,PASS
