pair_id,initial_state_id,scenario_r,path_id_r,scenario_s,path_id_s,neighbor_categories,nearest_all_rank,pair_type,r_tail95,r_tail99,r_tail995,s_tail95,s_tail99,s_tail995,loss_T50_r,loss_T50_s,d_D,d_Ctilde,d_new,D_l1_difference_kg,max_D_difference_node_id,max_D_difference_kg,A_reachability_change_count,C_common_reachable_l1_km,changed_local_count,max_local_Ctilde,local_dilution_ratio,T_r1,T_r2,T_r3,T_r4,T_s1,T_s2,T_s3,T_s4,d_T_normalized,T_L1_difference_kg,max_single_site_T_difference_kg,max_difference_site_id,optimal_objective_r,optimal_objective_s,own_operating_loss_r,own_operating_loss_s,cross_objective_r_to_s,cross_objective_s_to_r,regret_obj_r_to_s,regret_obj_s_to_r,regret_loss_r_to_s,regret_loss_s_to_r,relative_regret_obj_r_to_s,relative_regret_obj_s_to_r,multiple_optimum_r,multiple_optimum_s,capacity_saturated_r,capacity_saturated_s,tier_0,tier_1,tier_2,tier_3,historical_step03R_false_near,group_type,selection_rule,bidirectional_severity,relative_regret_loss_r_to_s,relative_regret_loss_s_to_r,relative_regret_loss_source
11,30,10710,10710,9931,9931,all;loss_similar_spatial;tail,9,TAIL_TAIL,1,0,0,1,0,0,710139.571101572,706753.229576394,0,0.137355503684975,0.0549422014739899,0,1,0,18,46.7607408904356,23,1,1.26855072834977,98.1916373455527,19.6383274691105,14.7287456018329,149.999999999995,216.021602160216,19.6383274691105,14.7287456018329,24.5479093363833,0.307278455118239,243.282055478275,125.452090663612,4,562180.008132303,576864.053436984,561614.89071148,576314.180267859,810750.505052281,811359.108519643,233886.451615288,249179.10038733,233871.20736359,249194.344639028,0.405444662779345,0.443237213673177,0,0,1,0,0,1,1,1,0,TIER1,CATEGORY_REPRESENTATIVE,0.405444662779345,0.405805054553562,0.443710358753731,derived_from_frozen_absolute_regret_and_own_operating_loss
12,30,11691,11691,9716,9716,all;tail,9,TAIL_TAIL,1,0,0,1,0,0,731757.943070453,730241.914511001,0,0.116644292667826,0.0466577170671303,0,1,0,12,1213.26418898401,54,1,3.50716610075299,68.7341461418869,200,100,24.5479093363832,68.7341461418869,200,100,24.5479093363831,1.36187357687353e-16,8.17124146124115e-14,8.17124146124115e-14,4,440393.827831604,433984.237698856,439607.263720658,433197.67358791,433984.237698856,440393.827831604,-1.00117176771164e-08,-9.83709469437599e-09,-1.00117176771164e-08,-9.83709469437599e-09,-2.30693117570398e-14,-2.23370403323119e-14,0,0,1,1,0,0,0,0,0,CONTROL,LOW_REGRET_DISTANCE_MATCHED,-2.30693117570398e-14,-2.31111990842321e-14,-2.2377006719859e-14,derived_from_frozen_absolute_regret_and_own_operating_loss
13,31,3295,3295,3225,3225,all;tail,10,TAIL_TAIL,1,1,0,1,0,0,820685.008457068,735270.704561884,0,0.0227286969441855,0.00909147877767422,0,1,0,3,0.0671434944971883,5,1,1.6665622306376,68.7341461418869,39.2766549382211,14.7287456018329,91.6455281891775,137.468292283774,29.4574912036658,14.7287456018329,58.9149824073267,0.124103319422851,111.283855658293,68.7341461418869,1,787889.664350573,735751.843584877,787460.894200841,735270.704561894,872867.593604696,872880.288861734,137115.750019809,84990.624511151,137168.11889306,84938.2556379001,0.186361408694166,0.107871226590089,0,0,0,0,0,1,1,1,0,TIER1,MINIMUM_D_NEW,0.107871226590089,0.186554581927469,0.107863458697971,derived_from_frozen_absolute_regret_and_own_operating_loss
14,31,11336,11336,6188,6188,all;non_tail,9,NONTAIL_TAIL,1,0,0,0,0,0,699882.968274612,538115.801478492,0,0.085987730762521,0.0343950923050084,0,1,0,11,125.139308187919,41,1,3.6122137176045,68.7341461418869,200,14.7287456018329,136.306357908513,166.92578348744,128.467392194899,14.7287456018329,130.92218312627,0.180215748848077,175.108419932898,98.1916373455527,1,381315.35493591,338083.321456446,380475.816436615,337201.233247636,533675.602720678,533395.657055031,195592.281264221,152080.302119111,195634.830973738,152037.752409594,0.578532772399459,0.3988307844164,0,0,1,0,0,1,1,1,0,TIER1,MAXIMUM_BIDIRECTIONAL_SEVERITY,0.3988307844164,0.580172347205108,0.399598991161959,derived_from_frozen_absolute_regret_and_own_operating_loss
15,31,11578,11578,5253,5253,all;tail,10,TAIL_TAIL,1,0,0,1,0,0,709189.511489208,748629.386116598,0,0.12878892588668,0.051515570354672,0,1,0,17,0.0493645820143152,18,1,1.05881492080787,68.7341461418869,200,14.7287456018329,24.5479093363831,68.7341461418869,29.4574912036658,14.7287456018329,111.283855658288,0.357738046531926,257.278455118239,170.542508796334,2,512567.365162805,676691.344439748,511951.343560655,676242.935962547,850000.289050388,849832.191206516,173308.94461063,337264.826043701,173141.331485682,337432.439168649,0.256112252705279,0.657991220210771,0,0,1,0,0,1,1,1,0,TIER1,CATEGORY_REPRESENTATIVE,0.256112252705279,0.256034218293515,0.659110369399139,derived_from_frozen_absolute_regret_and_own_operating_loss
16,31,8102,8102,1750,1750,all;tail,7,TAIL_TAIL,1,0,0,1,0,0,715797.672207525,712416.927861116,0,0.0861253000886397,0.0344501200354559,0,1,0,11,131.624897010859,25,1,2.19905114059418,68.7341461418869,200,24.5479093363882,57.2784551182341,68.7341461418869,200,24.5479093363882,58.9149824073267,0.00272754548182101,1.63652728909261,1.63652728909261,4,519692.991232706,515416.321484502,518991.870211523,514711.927408741,518680.555159241,519696.264287284,3264.23367472918,3.273054568097,3267.50672930735,-1.00699253380299e-08,0.00633319811318251,6.29805408830564e-06,0,0,1,1,0,0,0,0,0,CONTROL,LOW_REGRET_DISTANCE_MATCHED,6.29805408830564e-06,0.00634822423050743,-1.94028575706316e-14,derived_from_frozen_absolute_regret_and_own_operating_loss
17,11,7036,7036,14693,14693,all;tail,4,TAIL_TAIL,1,0,0,1,0,0,63754.5464363397,63325.2938199287,0,0.0106074837207532,0.00424299348830129,0,1,0,0,500.080794169514,128,0.0980638502524693,8.96463486817255,141.832365054687,50.7323460911775,66.5521096271215,146.196437825601,194.201238305649,80.1898372101036,66.5521097118613,64.3700733709735,0.216839865910687,163.652728909255,81.8263644546273,4,4301.72324914789,4154.2781608559,3491.09673196071,3343.65164366872,4615.89930605304,5397.62620301057,461.621145187141,1095.90295385268,461.621145187142,1095.90295385268,0.111119459822335,0.254759055935832,0,0,0,0,0,1,1,1,0,TIER1,MINIMUM_D_NEW,0.111119459822335,0.138058982927014,0.313913660374912,derived_from_frozen_absolute_regret_and_own_operating_loss
18,11,10407,10407,11668,11668,all;non_tail,1,NONTAIL_TAIL,1,0,0,0,0,0,2305.34879795687,422.546779057789,0.192911619560024,0.0305187539862429,0.127954473330511,117.284455718299,20,14.7287456018329,4,10.1701094870472,49,1,12.1634101241307,54.0054005425254,0,0,140.741346859488,9.74253566710104e-10,0,9.81916373455527,87.2814554172949,0.158652228858002,117.284455718299,54.0054005415511,1,1846.06229123684,490.139923083217,1456.56879644281,295.938684787569,20323.7596486921,215293.595793155,19833.6197255989,213447.533501908,19638.3274691005,213642.825758406,40.4652198099498,115.623147991255,0,0,0,0,0,1,1,1,0,TIER1,MAXIMUM_BIDIRECTIONAL_SEVERITY,40.4652198099498,66.3594470023319,146.675410238197,derived_from_frozen_absolute_regret_and_own_operating_loss
19,11,3520,3520,8359,8359,all;tail,10,TAIL_TAIL,1,1,1,1,1,1,499462.379091995,467241.295687041,0,0.575603803686572,0.230241521474629,0,1,0,75,349.903191297892,128,1,1.68466046173835,152.197037885607,200,100,58.9149824073266,291.301857458473,76.0985190183202,99.8281645591284,140.741346861959,0.407604396897721,345.00450045005,139.104819572866,1,200597.933108374,5302.24319979788,199575.709067798,4086.30342401211,198933.909454463,444962.727296044,193631.666254655,244364.79418766,193825.381989865,244171.07845245,36.5188202347397,1.21818201414682,0,0,1,0,0,1,1,1,0,TIER1,CATEGORY_REPRESENTATIVE,1.21818201414682,47.4329392308217,1.2234508878508,derived_from_frozen_absolute_regret_and_own_operating_loss
20,11,3957,3957,14538,14538,all;tail,9,TAIL_TAIL,1,0,0,1,0,0,41220.5274556534,2028.34095597521,0.0323014804844691,0.0651605073704504,0.0454450912388616,19.6383274691105,20,9.81916373455527,8,214.715517355243,128,1,14.8816669610022,124.376073971033,50.7323460155618,66.5521097027373,93.8275645746393,124.376073971033,50.7323460064394,66.5521097118597,93.8275645746393,3.4209168831012e-11,1.82448900432064e-08,9.1224450216032e-09,2,41699.2233680372,2548.68816983017,41028.2471795193,1877.71198131223,2548.68816984222,41699.2233680455,2.04636307898909e-09,-1.70257408171892e-09,2.04659045266453e-09,-1.70257408171892e-09,8.02908375847885e-13,-4.08298750960323e-14,0,0,0,0,0,0,0,0,0,CONTROL,LOW_REGRET_DISTANCE_MATCHED,-4.08298750960323e-14,1.08993843200291e-12,-4.14976071063748e-14,derived_from_frozen_absolute_regret_and_own_operating_loss
21,21,4757,4757,5018,5018,all;tail,5,TAIL_TAIL,1,0,0,1,0,0,130141.496549668,129670.690398354,0,0.00824141501089638,0.00329656600435855,0,1,0,0,388.534498117237,89,0.0593749086029454,4.85754961528968,188.215639751914,50.7323459618689,16.3652728909255,149.999999993879,200.747347470102,100.919182827374,16.3652728909255,87.2814554101862,0.177707543486526,125.437089167386,62.7185445836929,4,3727.75870242973,3594.0329644336,2917.13218524255,2783.40644724643,4381.29622900607,4256.43963852035,787.263264562466,528.680936080625,787.263264562465,528.680936080624,0.21904731324142,0.141822735397175,0,0,1,0,0,1,1,1,0,TIER1,MINIMUM_D_NEW,0.141822735397175,0.282841647270484,0.181233109269152,derived_from_frozen_absolute_regret_and_own_operating_loss
22,21,353,353,10381,10381,all;non_tail,5,NONTAIL_TAIL,1,0,0,0,0,0,184591.45737134,2584.13371583107,0.0161507402422345,0.250781719567071,0.110003131972169,9.81916373455527,20,9.81916373455527,33,36.8535038289983,59,1,1.78230573480917,39.2766549382211,191.473692823828,16.3652728909255,16.3652728909204,97.1006191538562,85.6449281281447,16.3652728909255,74.1892371055287,0.27684586640698,221.476693125927,105.828764695683,2,4533.60303646766,3130.73383038798,4006.64124938987,2584.13371584107,119291.322091499,213549.724124156,116160.588261101,209016.121087678,116180.22658857,208996.482760209,37.1033101355456,46.1037544323844,0,0,0,0,0,1,1,1,0,TIER1,MAXIMUM_BIDIRECTIONAL_SEVERITY,37.1033101355456,44.9590614744006,52.1625146229488,derived_from_frozen_absolute_regret_and_own_operating_loss
23,21,8542,8542,2987,2987,all;loss_similar_spatial;tail,8,TAIL_TAIL,1,1,1,1,1,1,467692.722675086,467683.67670254,0,0.437066763717756,0.174826705487102,0,1,0,56,604.592572409624,128,1,2.21864724155317,162.016201620162,170.845266348561,99.9999999962555,101.464691923738,300,76.0985189817589,91.1300220541628,140.741346861959,0.321055969277301,280.877178626954,137.983798379838,1,153753.176374309,6432.38231855226,152684.524054541,5216.4425427665,153513.794120483,281187.168444124,147081.411801921,127433.992069805,147228.69925794,127286.704613787,22.8657757760264,0.828821849895065,0,0,1,1,0,1,1,1,0,TIER1,CATEGORY_REPRESENTATIVE,0.828821849895065,28.2239664389859,0.833658194253653,derived_from_frozen_absolute_regret_and_own_operating_loss
24,21,4441,4441,11613,11613,all;tail,10,TAIL_TAIL,1,0,0,1,0,0,183601.634689855,144077.025632228,0.0323014804844691,0.16219650325936,0.0842594895944253,19.6383274691105,14,6.54610915637018,21,146.410594539823,88,1,4.11024068503275,161.470692523798,90.009000931072,78.007800749096,39.2766549382211,154.924583367428,83.4628917882194,91.1000190483188,39.2766549382211,0.0463682731402644,26.1844365984455,13.0922182992228,3,126114.050033702,86461.6778400874,125376.521735428,85724.149541813,86633.8821616561,126120.061461355,172.204321558675,6.01142764324322,172.204321558675,6.01142764324322,0.00199168378246314,4.76665973508604e-05,0,0,0,0,0,0,0,0,0,CONTROL,LOW_REGRET_DISTANCE_MATCHED,4.76665973508604e-05,0.00200881924730767,4.79469964554341e-05,derived_from_frozen_absolute_regret_and_own_operating_loss
