pair_id,group_type,initial_state_id,rank,site_id,node_id,local_Ctilde_difference,A_r,A_s,C_r_km,C_s_km,D_r_kg,D_s_kg
9,TIER1,30,9,3,1,0,0,0,NaN,NaN,0,0
9,TIER1,30,10,4,1,0,0,0,NaN,NaN,0,0
10,TIER1,30,1,1,1,1,1,0,24.8788817841971,NaN,0,0
10,TIER1,30,2,1,2,1,1,0,19.2801259284907,NaN,0,0
10,TIER1,30,3,1,5,1,1,0,43.2724809276469,NaN,9.81916373455527,9.81916373455527
10,TIER1,30,4,1,6,1,1,0,42.1150804413589,NaN,9.81916373455527,9.81916373455527
10,TIER1,30,5,2,12,1,0,1,NaN,5.90939075614667,9.81916373455527,9.81916373455527
10,TIER1,30,6,2,13,1,0,1,NaN,3.107288509002,9.81916373455527,9.81916373455527
10,TIER1,30,7,1,16,1,1,0,37.2583461520321,NaN,9.81916373455527,9.81916373455527
10,TIER1,30,8,1,17,1,1,0,40.2652943048351,NaN,9.81916373455527,9.81916373455527
10,TIER1,30,9,3,17,1,0,1,NaN,2.98190218818732,9.81916373455527,9.81916373455527
10,TIER1,30,10,1,25,1,1,0,3.68054460295997,NaN,68.7341461418869,68.7341461418869
11,TIER1,30,1,4,4,1,1,0,28.8695404068588,NaN,19.6383274691105,19.6383274691105
11,TIER1,30,2,4,5,1,1,0,25.8997275210526,NaN,9.81916373455527,9.81916373455527
11,TIER1,30,3,4,6,1,1,0,22.8854816041442,NaN,9.81916373455527,9.81916373455527
11,TIER1,30,4,4,7,1,1,0,20.496437310423,NaN,32.7305457818509,32.7305457818509
11,TIER1,30,5,4,8,1,1,0,24.716558008486,NaN,32.7305457818509,32.7305457818509
11,TIER1,30,6,4,9,1,1,0,27.8473903281124,NaN,9.81916373455527,9.81916373455527
11,TIER1,30,7,4,10,1,1,0,27.2460794860872,NaN,9.81916373455527,9.81916373455527
11,TIER1,30,8,1,15,1,0,1,NaN,40.0892667909201,9.81916373455527,9.81916373455527
11,TIER1,30,9,1,16,1,0,1,NaN,36.7550874569668,9.81916373455527,9.81916373455527
11,TIER1,30,10,1,20,1,0,1,NaN,16.8530609712514,0,0
12,CONTROL,30,1,2,1,1,0,1,NaN,36.6136685323562,0,0
12,CONTROL,30,2,3,1,1,0,1,NaN,36.3893095579972,0,0
12,CONTROL,30,3,2,11,1,0,1,NaN,6.79110966554534,7.36437280091645,7.36437280091645
12,CONTROL,30,4,3,11,1,0,1,NaN,15.3488019732376,7.36437280091645,7.36437280091645
12,CONTROL,30,5,2,21,1,0,1,NaN,21.9893492681716,14.7287456018329,14.7287456018329
12,CONTROL,30,6,3,21,1,0,1,NaN,21.7649902938126,14.7287456018329,14.7287456018329
12,CONTROL,30,7,2,27,1,0,1,NaN,23.4269096520936,9.81916373455527,9.81916373455527
12,CONTROL,30,8,3,27,1,0,1,NaN,23.2843243807654,9.81916373455527,9.81916373455527
12,CONTROL,30,9,2,29,1,0,1,NaN,24.1344757634089,19.6383274691105,19.6383274691105
12,CONTROL,30,10,3,29,1,0,1,NaN,26.2154452469279,19.6383274691105,19.6383274691105
13,TIER1,31,1,2,15,1,1,0,2.72477536011772,NaN,9.81916373455527,9.81916373455527
13,TIER1,31,2,1,25,1,0,1,NaN,4.3671654854726,68.7341461418869,68.7341461418869
13,TIER1,31,3,4,30,1,1,0,2.9565114401297,NaN,32.7305457818509,32.7305457818509
13,TIER1,31,4,4,32,0.000156737973773983,1,1,4.02162799326607,4.07760737513088,34.3670730709435,34.3670730709435
13,TIER1,31,5,2,13,3.12586587184496e-05,1,1,3.00772209932937,3.01888621196174,9.81916373455527,9.81916373455527
13,TIER1,31,6,1,1,0,0,0,NaN,NaN,0,0
13,TIER1,31,7,2,1,0,0,0,NaN,NaN,0,0
13,TIER1,31,8,3,1,0,0,0,NaN,NaN,0,0
13,TIER1,31,9,4,1,0,0,0,NaN,NaN,0,0
13,TIER1,31,10,1,2,0,0,0,NaN,NaN,16.3652728909255,16.3652728909255
14,TIER1,31,1,2,7,1,1,0,17.2316132905486,NaN,32.7305457818509,32.7305457818509
14,TIER1,31,2,4,7,1,1,0,24.0412396165224,NaN,32.7305457818509,32.7305457818509
14,TIER1,31,3,1,19,1,0,1,NaN,14.2791086755707,14.7287456018329,14.7287456018329
14,TIER1,31,4,1,20,1,0,1,NaN,18.4546694452004,14.7287456018329,14.7287456018329
14,TIER1,31,5,2,20,1,1,0,22.5140646631902,NaN,14.7287456018329,14.7287456018329
14,TIER1,31,6,4,20,1,1,0,44.8832702624834,NaN,14.7287456018329,14.7287456018329
14,TIER1,31,7,2,21,1,1,0,26.2864397936044,NaN,14.7287456018329,14.7287456018329
14,TIER1,31,8,4,21,1,1,0,48.6556453928976,NaN,14.7287456018329,14.7287456018329
14,TIER1,31,9,2,22,1,1,0,32.3434348417284,NaN,14.7287456018329,14.7287456018329
14,TIER1,31,10,4,22,1,1,0,54.7126404410216,NaN,14.7287456018329,14.7287456018329
15,TIER1,31,1,2,7,1,1,0,18.7504829749673,NaN,32.7305457818509,32.7305457818509
15,TIER1,31,2,2,8,1,1,0,14.6132133851829,NaN,32.7305457818509,32.7305457818509
15,TIER1,31,3,2,9,1,1,0,17.560090544357,NaN,9.81916373455527,9.81916373455527
15,TIER1,31,4,2,10,1,1,0,20.3910966813368,NaN,9.81916373455527,9.81916373455527
15,TIER1,31,5,2,11,1,1,0,35.2503694782135,NaN,7.36437280091645,7.36437280091645
15,TIER1,31,6,2,12,1,1,0,36.0544140231475,NaN,9.81916373455527,9.81916373455527
