pair_id,group_type,initial_state_id,primary_failure_type,secondary_failure_type,failure_family,real_bidirectional_high_regret,not_merely_alternative_optimum,demand_relocation_share,A_change_affected_demand_ratio,exclusive_D_change_ratio,shared_D_change_ratio,unreachable_D_change_ratio,best_site_changed_demand_ratio,ranking_change_node_count,both_capacity_saturated,local_average_dilution_supported,r_to_s_main_regret_nodes,s_to_r_main_regret_nodes,r_to_s_most_changed_service_site,s_to_r_most_changed_service_site,r_to_s_unused_T_by_site_kg,s_to_r_unused_T_by_site_kg,bidirectional_cause_explanation
11,TIER1,30,TYPE_3_STATION_IDENTITY_OR_EXCLUSIVE_COVERAGE,NONE,SERVICE_COUPLING,1,1,0,0.576419213973799,0.576419213973799,0,0.157205240174672,0,18,0,0,25;23;3;21;22,30;7;29;28;27,1,4,0;-4.61852778e-14;-8.8817842e-15;125.452091,117.829965;-4.61852778e-14;-8.8817842e-15;0,Cross layouts alter node shortage/service at nodes 25;23;3;21;22 (r-to-s) and 30;7;29;28;27 (s-to-r); the directions are diagnosed separately.
12,CONTROL,30,CONTROL_LOW_REGRET,NONE,CONTROL,0,1,0,0.141318977119785,0,0.141318977119785,0.141318977119785,0.0484522207267833,9,1,0,1;2;3;4;5,1;2;3;4;5,1,1,-1.42108547e-14;0;0;-4.98090458e-12,-1.42108547e-14;0;0;-5.08038056e-12,Cross layouts alter node shortage/service at nodes 1;2;3;4;5 (r-to-s) and 1;2;3;4;5 (s-to-r); the directions are diagnosed separately.
13,TIER1,31,TYPE_3_STATION_IDENTITY_OR_EXCLUSIVE_COVERAGE,NONE,SERVICE_COUPLING,1,1,0,0.183041722745626,0.183041722745626,0,0.0430686406460297,0,3,0,0,25;1;2;3;4,32;13;1;2;3,1,4,-1.42108547e-14;9.81916373;-8.8817842e-15;32.7305458,68.7341461;0;-8.8817842e-15;0,Cross layouts alter node shortage/service at nodes 25;1;2;3;4 (r-to-s) and 32;13;1;2;3 (s-to-r); the directions are diagnosed separately.
14,TIER1,31,TYPE_3_STATION_IDENTITY_OR_EXCLUSIVE_COVERAGE,NONE,SERVICE_COUPLING,1,1,0,0.263795423956931,0.161507402422611,0.126514131897712,0.034993270524899,0.0242261103633917,6,0,0,25;19;20;1;2,7;20;21;22;30,1,2,-1.42108547e-14;71.5326078;-8.8817842e-15;5.38417478,98.1916373;0;-8.8817842e-15;0,Cross layouts alter node shortage/service at nodes 25;19;20;1;2 (r-to-s) and 7;20;21;22;30 (s-to-r); the directions are diagnosed separately.
15,TIER1,31,TYPE_3_STATION_IDENTITY_OR_EXCLUSIVE_COVERAGE,TYPE_5_ROAD_IMPEDANCE_RANKING_CHANGE,SERVICE_COUPLING,1,1,0,0.423580786026201,0.577874818049491,0,0.269286754002911,0.15429403202329,14,0,0,32;30;29;1;2,8;7;30;29;13,4,2,-1.42108547e-14;170.542509;-8.8817842e-15;0,-1.42108547e-14;0;-8.8817842e-15;86.7359463,Cross layouts alter node shortage/service at nodes 32;30;29;1;2 (r-to-s) and 8;7;30;29;13 (s-to-r); the directions are diagnosed separately.
16,CONTROL,31,CONTROL_LOW_REGRET,NONE,CONTROL,0,1,0,0.278600269179004,0.0201884253028264,0,0.0201884253028264,0,11,1,0,32;1;2;3;4,1;2;3;4;5,4,1,-1.42108547e-14;0;2.13162821e-14;0,-1.42108547e-14;0;2.13162821e-14;1.63652729,Cross layouts alter node shortage/service at nodes 32;1;2;3;4 (r-to-s) and 1;2;3;4;5 (s-to-r); the directions are diagnosed separately.
17,TIER1,11,TYPE_5_ROAD_IMPEDANCE_RANKING_CHANGE,NONE,SERVICE_COUPLING,1,1,0,0,0,0,0,0.201884253028264,15,0,0,8;19;32;7;33,4;29;26;6;3,4,4,0;-7.10542736e-15;0;-1.13686838e-13,2.84217094e-13;7.10542736e-14;0;0,Cross layouts alter node shortage/service at nodes 8;19;32;7;33 (r-to-s) and 4;29;26;6;3 (s-to-r); the directions are diagnosed separately.
18,TIER1,11,TYPE_9_MIXED_STRUCTURAL_CAUSE,NONE,MIXED,1,1,0.167441860465116,0,0.0672897196261682,0.736448598130841,0,0,1,0,0,18;1;2;3;4,29;20;21;22;33,3,1,54.0054005;0;0;53.4598914,0;0;9.81916373;0,Cross layouts alter node shortage/service at nodes 18;1;2;3;4 (r-to-s) and 29;20;21;22;33 (s-to-r); the directions are diagnosed separately.
19,TIER1,11,TYPE_3_STATION_IDENTITY_OR_EXCLUSIVE_COVERAGE,TYPE_5_ROAD_IMPEDANCE_RANKING_CHANGE,SERVICE_COUPLING,1,1,0,1,0.347240915208614,0.395693135935397,0.0484522207267833,0.314939434724092,33,0,0,29;4;2;3;22,7;4;2;3;5,1,2,0;0;0;0,139.10482;0;0;81.8263645,Cross layouts alter node shortage/service at nodes 29;4;2;3;22 (r-to-s) and 7;4;2;3;5 (s-to-r); the directions are diagnosed separately.
20,CONTROL,11,CONTROL_LOW_REGRET,NONE,CONTROL,0,1,2.71360711678881e-15,0.0568720379146919,0,0,0.0568720379146919,0,7,0,0,7;1;2;3;4,1;2;3;4;5,2,2,-4.54747351e-13;1.42108547e-14;0;2.84217094e-14,-4.54747351e-13;1.42108547e-14;0;2.84217094e-14,Cross layouts alter node shortage/service at nodes 7;1;2;3;4 (r-to-s) and 1;2;3;4;5 (s-to-r); the directions are diagnosed separately.
21,TIER1,21,TYPE_5_ROAD_IMPEDANCE_RANKING_CHANGE,NONE,SERVICE_COUPLING,1,1,0,0,0,0,0,0.156123822341857,15,0,0,8;7;11;26;27,7;27;28;20;21,4,4,0;0;4.61852778e-14;2.84217094e-13,-2.84217094e-14;6.11066753e-13;4.61852778e-14;0,Cross layouts alter node shortage/service at nodes 8;7;11;26;27 (r-to-s) and 7;27;28;20;21 (s-to-r); the directions are diagnosed separately.
22,TIER1,21,TYPE_3_STATION_IDENTITY_OR_EXCLUSIVE_COVERAGE,TYPE_5_ROAD_IMPEDANCE_RANKING_CHANGE,SERVICE_COUPLING,1,1,0,0.896341463414634,1.07520325203252,0.68089430894309,0,0.394308943089431,30,0,0,32;30;29;7;5,32;30;7;29;28,2,2,0;48.0048005;4.61852778e-14;0,57.8239642;0;4.61852778e-14;57.8239642,Cross layouts alter node shortage/service at nodes 32;30;29;7;5 (r-to-s) and 32;30;7;29;28 (s-to-r); the directions are diagnosed separately.
23,TIER1,21,TYPE_3_STATION_IDENTITY_OR_EXCLUSIVE_COVERAGE,TYPE_5_ROAD_IMPEDANCE_RANKING_CHANGE,SERVICE_COUPLING,1,1,0,1,0.266487213997308,0.387617765814266,0.121130551816958,0.226110363391655,33,1,0,7;33;5;26;6,4;2;3;19;10,1,2,0;-2.84217094e-14;1.42108547e-14;0,137.983798;0;0;0,Cross layouts alter node shortage/service at nodes 7;33;5;26;6 (r-to-s) and 4;2;3;19;10 (s-to-r); the directions are diagnosed separately.
24,CONTROL,21,CONTROL_LOW_REGRET,NONE,CONTROL,0,1,0,0.14025974025974,0,0,0.0467532467532467,0,7,0,0,8;26;5;1;2,9;20;1;2;3,3,3,1.70530257e-13;1.42108547e-14;0;1.42108547e-14,0;0;3.55271368e-13;1.42108547e-14,Cross layouts alter node shortage/service at nodes 8;26;5;1;2 (r-to-s) and 9;20;1;2;3 (s-to-r); the directions are diagnosed separately.
