pair_id,group_type,initial_state_id,rank,node_id,node_x_km,node_y_km,D_r_kg,D_s_kg,absolute_difference_kg,relative_difference
18,TIER1,11,4,32,-10,35,34.3670730709435,22.9113820472956,11.4556910236478,0.333333333333333
18,TIER1,11,5,30,-14.6153846153846,32.9166666666667,32.7305457818509,21.8203638545673,10.9101819272836,0.333333333333333
19,TIER1,11,1,1,-40,22.5,0,0,0,0
19,TIER1,11,2,2,-35.3846153846154,22.5,16.3652728909255,16.3652728909255,0,0
19,TIER1,11,3,3,-30.7692307692308,22.5,14.7287456018329,14.7287456018329,0,0
19,TIER1,11,4,4,-28.4615384615385,22.5,19.6383274691105,19.6383274691105,0,0
19,TIER1,11,5,5,-26.1538461538462,22.5,9.81916373455527,9.81916373455527,0,0
20,CONTROL,11,1,20,-30.7692307692308,16.25,9.81916373455527,0,9.81916373455527,1
20,CONTROL,11,2,23,-33.0769230769231,26.6666666666667,9.81916373455527,0,9.81916373455527,1
20,CONTROL,11,3,1,-40,22.5,0,0,0,0
20,CONTROL,11,4,2,-35.3846153846154,22.5,0,0,0,0
20,CONTROL,11,5,3,-30.7692307692308,22.5,0,0,0,0
21,TIER1,21,1,1,-40,22.5,0,0,0,0
21,TIER1,21,2,2,-35.3846153846154,22.5,10.9101819272836,10.9101819272836,0,0
21,TIER1,21,3,3,-30.7692307692308,22.5,9.81916373455527,9.81916373455527,0,0
21,TIER1,21,4,4,-28.4615384615385,22.5,13.0922183127404,13.0922183127404,0,0
21,TIER1,21,5,5,-26.1538461538462,22.5,6.54610915637018,6.54610915637018,0,0
22,TIER1,21,1,20,-30.7692307692308,16.25,0,9.81916373455527,9.81916373455527,1
22,TIER1,21,2,1,-40,22.5,0,0,0,0
22,TIER1,21,3,2,-35.3846153846154,22.5,0,0,0,0
22,TIER1,21,4,3,-30.7692307692308,22.5,0,0,0,0
22,TIER1,21,5,4,-28.4615384615385,22.5,13.0922183127404,13.0922183127404,0,0
23,TIER1,21,1,1,-40,22.5,0,0,0,0
23,TIER1,21,2,2,-35.3846153846154,22.5,16.3652728909255,16.3652728909255,0,0
23,TIER1,21,3,3,-30.7692307692308,22.5,14.7287456018329,14.7287456018329,0,0
23,TIER1,21,4,4,-28.4615384615385,22.5,19.6383274691105,19.6383274691105,0,0
23,TIER1,21,5,5,-26.1538461538462,22.5,9.81916373455527,9.81916373455527,0,0
24,CONTROL,21,1,14,-14.6153846153846,16.25,19.6383274691105,13.0922183127404,6.54610915637018,0.333333333333333
24,CONTROL,21,2,15,-14.6153846153846,14.1666666666667,9.81916373455527,6.54610915637018,3.27305457818509,0.333333333333333
24,CONTROL,21,3,16,-16.9230769230769,14.1666666666667,9.81916373455527,6.54610915637018,3.27305457818509,0.333333333333333
24,CONTROL,21,4,17,-16.9230769230769,12.0833333333333,9.81916373455527,6.54610915637018,3.27305457818509,0.333333333333333
24,CONTROL,21,5,33,-10,30.8333333333333,9.81916373455527,6.54610915637018,3.27305457818509,0.333333333333333
