state,intensity,loc,old_saa_T1,new_saa_T1,delta_saa_T1,old_saa_T2,new_saa_T2,delta_saa_T2,old_saa_T3,new_saa_T3,delta_saa_T3,old_saa_T4,new_saa_T4,delta_saa_T4,old_saa_T_total,new_saa_T_total,delta_saa_total,delta_saa_percent,old_dro_T1,new_dro_T1,delta_dro_T1,old_dro_T2,new_dro_T2,delta_dro_T2,old_dro_T3,new_dro_T3,delta_dro_T3,old_dro_T4,new_dro_T4,delta_dro_T4,old_dro_T_total,new_dro_T_total,delta_dro_total,delta_dro_percent
19,4,5,231.5686114065952,126.01260126012605,-105.55601014646916,47.7320459318659,29.457491203665832,-18.274554728200066,24.54790933638818,22.911382047295625,-1.6365272890925553,80.7353462618989,54.55090963641819,-26.184436625480707,384.58391293674816,232.9323841475057,-151.65152878924246,-39.43262411347516,238.3876217952668,169.26816371710586,-69.11945807816093,74.18927522245592,50.75501685972449,-23.434258362731427,24.54791201026633,29.457472476362053,4.909560466095723,98.73720709405993,67.46007844072838,-31.277128653331545,435.862016122049,316.9407314939208,-118.9212846281282,-27.284158800116263
20,4,6,145.1054196328724,42.54970951640618,-102.55571011646623,25.36617298093445,9.819163734555273,-15.547009246379178,16.365272890925453,11.455691023647821,-4.909581867277632,55.096418732782354,27.275454818209084,-27.82096391457327,241.93328423751467,91.10001909281837,-150.8332651446963,-62.344983089064264,214.9305999128448,105.8300632001106,-109.1005367127342,29.45749064599234,19.63841766505301,-9.819072980939332,16.365273680079234,22.911358148697754,6.5460844686185204,82.09911896324493,40.97548224997815,-41.123636713266784,342.85248320216135,189.3553212638395,-153.49716193832185,-44.77061402755336
21,4,7,37.64012764912855,0.0,-37.64012764912855,6.546109156370182,0.0,-6.546109156370182,6.818863704552273,0.0,-6.818863704552273,16.09251834274335,0.0,-16.09251834274335,67.09761885279435,0.0,-67.09761885279435,-100.0,82.21065438760732,3.2730501418122198,-78.9376042457951,8.687751256659665,0.0,-8.687751256659665,9.81916373447354,0.0,-9.81916373447354,30.548509381532064,7.910306458106844,-22.63820292342522,131.2660787602726,11.183356599919064,-120.08272216035353,-91.48039104577589
22,5,1,257.4802934838938,206.20243842566074,-51.27785505823303,121.03210321032095,94.91858276736762,-26.11352044295333,29.45749120366581,36.003600360035996,6.546109156370186,200.0,171.017101710171,-28.982898289828995,607.9698878978805,508.14172326323535,-99.82816463464519,-16.419919246298775,257.40968008606615,213.67250824040363,-43.737171845662516,121.10271018066722,99.82923580320612,-21.2734743774611,29.45749719932972,42.55003620492227,13.092539005592553,200.0,172.65225429285837,-27.347745707141627,607.969887466063,528.7040345413903,-79.26585292467269,-13.03779258789315
23,5,2,271.6635299893623,225.8407658947712,-45.82276409459109,104.73774650192296,92.46379183372882,-12.273954668194136,31.568611406595178,43.367973160952396,11.799361754357218,200.0,172.65362899926365,-27.346371000736355,607.9698878978804,534.326159888716,-73.64372800916442,-12.113055181695811,267.84491727551216,229.66368647483338,-38.181230800678776,104.46289587270812,96.28484127796864,-8.178054594739478,35.66215281078686,44.18632874642721,8.52417593564035,200.0,172.92200652298985,-27.077993477010153,607.9699659590071,543.0568630222191,-64.91310293678805,-10.677024618213602
24,5,3,279.0279027902787,221.20393857567578,-57.82396421460291,134.1952377055886,130.10391948285738,-4.091318222731218,31.63952758912278,48.823064124594275,17.183536535471497,163.1072198128904,142.37787415105126,-20.729345661839147,607.9698878978804,542.5087963341787,-65.46109156370176,-10.767160161507396,275.2047259564101,222.56773427122053,-52.63699168518954,135.56411207657334,130.10390228078654,-5.460209795786795,51.549401939632375,58.91498053506694,7.365578595434563,167.74362506162544,140.741346562064,-27.00227849956144,630.0618650342412,552.3279636491379,-77.73390138510331,-12.337502981691932
25,5,4,262.66262989935365,216.0216021602159,-46.64102773913774,143.4688923437798,140.19583776559475,-3.2730545781850537,44.73174590186291,56.18743692551073,11.455691023647823,157.10661975288434,115.37517388102447,-41.731445871859876,607.9698878978807,527.7800507323459,-80.18983716553475,-13.189771197846571,264.5769291946268,220.3868017186024,-44.1901274760244,141.5588082589963,137.4078320133077,-4.150976245688582,55.71757466808648,70.1586416901174,14.441067022030929,157.10585684363184,118.97811219846659,-38.12774464516525,618.9591689653414,546.9313876204942,-72.0277813448472,-11.636919680057343
26,5,5,282.02820282028176,200.2018383656548,-81.82636445462697,77.46229168371364,57.82396421460327,-19.638327469110372,40.36767313094962,36.003600360036,-4.364072770913616,175.38117448108463,101.46469192373779,-73.91648255734684,575.2393421160297,395.49409486403187,-179.7452472519978,-31.247036510194388,285.84629637380607,222.56658102533873,-63.279715348467334,85.37219389404223,72.55272459079237,-12.81946930324986,51.27776578064417,44.18626274628781,-7.091503034356357,169.10824266280048,116.19376619566334,-52.914476467137135,591.604498711293,455.49933455808224,-136.10516415321075,-23.00610702753141
27,5,6,259.3895753211684,145.10541963287235,-114.28415568829607,39.276654938221085,29.457491203665818,-9.819163734555268,24.547909336388184,24.547909336388184,0.0,117.82996481466324,65.46109156370181,-52.36887325096143,441.0441044104409,264.5719117366282,-176.47219267381274,-40.01236858379715,290.48619874621545,181.1105317256639,-109.37566702055156,60.49362436158034,39.276655049707735,-21.216969311872603,24.54790926595143,30.365605166256646,5.8176959003052175,144.01271637008728,81.82636417084827,-62.18635219923901,519.5404487438345,332.57915611247654,-186.961292631358,-35.98589736052321
28,5,7,164.4709925538008,36.003600360035996,-128.46739219376482,22.63862749911353,6.546109156370182,-16.092518342743347,16.365272890925453,11.45569102364782,-4.909581867277634,51.27785505823309,19.092818372746365,-32.18503668548672,254.75274800207288,73.09821891280036,-181.6545290892725,-71.30620985010707,250.27728477259103,98.05066632385615,-152.22661844873488,26.18435048178473,13.09226619348058,-13.09208428830415,16.365272895051636,18.0016621128455,1.636389217793866,71.30132443664522,32.73064031474119,-38.57068412190403,364.1282325860726,161.87523494492342,-202.2529976411492,-55.544442737859015
29,6,1,256.59111365682014,220.93118402749366,-35.659929629326484,120.28475574830196,104.73774650192287,-15.54700924637909,40.09491858276739,44.73174590186291,4.6368273190955165,200.0,193.92848375746655,-6.071516242533448,616.9707879878895,564.329160188746,-52.64162779914352,-8.532272325375772,256.93438136677287,223.6535388617262,-33.28084250504668,124.37559028725256,108.97350674286635,-15.402083544386215,49.095766432232814,49.0958186211534,5.2188920584228526e-05,200.0,191.48316374117374,-8.51683625882626,630.4057380862582,573.2060279669197,-57.19971011933853,-9.07347548786301
30,6,2,275.4111774813844,237.2964569184191,-38.11472056296532,116.66803043940764,100.64642827919157,-16.021602160216077,52.36887325096153,49.09581867277632,-3.27305457818521,200.0,189.83716553473522,-10.16283446526478,644.4480811717535,576.8758694051222,-67.57221176663131,-10.485284034637768,273.64527378031084,240.16444051935298,-33.480833260957866,119.5958899973986,104.04990290174926,-15.545987095649338,60.89627064504125,54.00508628626244,-6.891184358778808,200.0,188.4750463494415,-11.524953650558501,654.1374344227506,586.6944760568061,-67.44295836594449,-10.310212321889225
31,6,3,285.23034121593963,255.025502550255,-30.204838665684633,126.3562719908356,120.5575102964842,-5.798761694351398,78.55330987644221,70.37067343097947,-8.182636445462748,200.0,169.10781987289627,-30.892180127103728,690.1399230832174,615.061506150615,-75.07841693260241,-10.878723925604493,285.2302262182412,255.55377462446657,-29.676451593774658,133.64969676731076,124.11413852701722,-9.53555824029354,83.46254491078825,78.11580387333615,-5.346741037452105,200.0,174.18447792439275,-25.815522075607248,702.3424678963402,631.9681949492126,-70.37427294712757,-10.019937019886175
32,6,4,291.30185745847314,251.47969342388788,-39.822164034585256,126.012601260126,122.87592395603201,-3.1366773040939933,75.28025529825709,69.68878706052425,-5.59146823773284,190.65542917928144,151.24239696696935,-39.41303221231209,683.2501431961377,595.2868014074135,-87.96334178872428,-12.874251497005982,292.94346726487345,253.05358091100223,-39.88988635387122,133.37674494318665,126.62086656800822,-6.755878375178426,78.55226039809418,77.94487716162122,-0.6073832364729554,193.10945855022527,153.82965852032763,-39.27980002989764,697.9819311563795,611.4489831609593,-86.53294799542016,-12.397591417883406
33,6,5,300.0,257.2075389357117,-42.79246106428832,90.55450999645416,86.46319177372283,-4.091318222731331,36.00360036003599,44.186236805498716,8.182636445462727,190.13992308321747,144.8326650846902,-45.30725799852726,616.6980334397076,532.6896325996235,-84.00840084008416,-13.62229102167185,300.0,261.11748277994593,-38.88251722005407,94.37306344681868,90.08359379113791,-4.289469655680762,49.09582155590478,49.0963034325765,0.0004818766717207268,189.0489162109229,145.55992947271378,-43.48898673820912,632.5178012136463,545.8573094763741,-86.6604917372722,-13.700877915371237
34,6,6,300.0,221.74944767203985,-78.25055232796015,88.37247361099747,56.46019147369281,-31.912282137304665,31.09401849275836,34.36707307094344,3.273054578185082,180.32075934866216,103.64672830919457,-76.6740310394676,599.787251452418,416.2234405258706,-183.56381092654738,-30.6048203728968,300.0,244.66085999126307,-55.33914000873693,93.27774528383944,68.73498680801302,-24.542758475826417,37.13050555921664,34.367073119808325,-2.7634324394083123,177.56160905399568,120.28590235597589,-57.27570669801979,607.9698598970517,468.04882227506033,-139.9210376219914,-23.014469441903646
35,6,7,300.0,147.01470147014697,-152.98529852985303,58.64222785914955,29.457491203665818,-29.184736655483732,24.54790933638811,24.54790933638818,7.105427357601002e-14,149.4994954040859,63.82456427460926,-85.67493112947665,532.6896325996236,264.8446662848103,-267.8449663148133,-50.281618023553506,300.0,201.6983627616998,-98.3016372383002,85.5060153634444,37.64058872465344,-47.865426638790964,24.54790938733147,31.093402847164192,6.5454934598327235,155.366446845419,76.42733183308661,-78.9391150123324,565.4203715961949,346.85968616660404,-218.56068542959082,-38.6545473790746
