state_id,intensity,loc,main_msp_terminal_k,site,arrival_count,arrival_frequency_full_oos,arrival_frequency_given_terminal_hit,T_saa_kg,T_dro_kg,DeltaT_dro_minus_saa_kg,mean_I_saa_kg,mean_I_dro_kg,DeltaI_dro_minus_saa_kg,increment_class,increment_realization_ratio,saa_mean_attainment,dro_mean_attainment,attainment_delta_dro_minus_saa,weighted_DeltaT_per_full_oos_path_kg,weighted_DeltaI_per_full_oos_path_kg,weighted_DeltaT_per_terminal_hit_path_kg,weighted_DeltaI_per_terminal_hit_path_kg,unrealized_increment_DeltaT_minus_DeltaI_kg,weighted_unrealized_increment_per_terminal_hit_path_kg
8,3,1,119,1,81,0.0081,0.0133817941516603,193.11022011292,195.980588261073,2.87036814815269,205.209315899015,210.73008796509,5.52077206607464,positive_delta_target,1.92336724110727,0.979105934237194,0.979580722300833,0.00047478806363932,0.0232499820000368,0.0447182537352046,0.0384106756980618,0.0738778353464474,-2.65040391792195,-0.0354671596483856
8,3,1,119,2,81,0.0081,0.0133817941516603,80.1898371655347,97.5192645430117,17.329427377477,95.4021511247438,95.75393181583,0.351780691086191,positive_delta_target,0.0202996142586569,0.987338645159525,0.915248871556962,-0.0720897736025635,0.140368361757564,0.00284942359779814,0.231898829931544,0.00470745679464422,16.9776466863908,0.2271913731369
8,3,1,119,3,81,0.0081,0.0133817941516603,16.3652728909255,16.3652728831405,-7.78497977194093e-09,26.2290478151316,29.9610462762138,3.73199846108224,negative_delta_target,,0.999441047483926,0.999791408211579,0.000350360727653709,-6.30583361527215e-11,0.0302291875347662,-1.04176996782953e-10,0.0499408351805157,-3.73199846886722,-0.0499408352846927
8,3,1,119,4,81,0.0081,0.0133817941516603,81.8263644546273,95.4481399001905,13.6217754455632,101.423489221012,104.009172528829,2.58568330781786,positive_delta_target,0.189819845302181,0.970942453879868,0.953963001961945,-0.0169794519179237,0.110336381109062,0.0209440347933247,0.182283794992668,0.0346010817666028,11.0360921377454,0.147682713226065
9,3,2,127,1,133,0.0133,0.0219725755823559,181.38177454109,181.109015453749,-0.272759087341797,206.814354887559,211.997495585063,5.18314069750431,negative_delta_target,,0.986145919838515,0.990253199865082,0.00410728002656713,-0.0036276958616459,0.0689357712768074,-0.00599321966239203,0.113886950729898,-5.45589978484611,-0.11988017039229
9,3,2,127,2,133,0.0133,0.0219725755823559,78.2805553282601,85.6457634485623,7.36520812030221,97.442412560596,97.6153377968611,0.172925236265129,positive_delta_target,0.0234786625768878,0.997142841856088,0.984838679919289,-0.0123041619367985,0.0979572680000194,0.00229990564232622,0.161832592103121,0.0037996128239323,7.19228288403708,0.158032979279189
9,3,2,127,3,133,0.0133,0.0219725755823559,21.2748547582031,28.3643588926193,7.08950413441623,26.8625019922965,31.2012898405332,4.33878784823665,positive_delta_target,0.612001596440836,0.972627726681513,0.909177464103787,-0.0634502625777262,0.0942904049877359,0.0577058783815474,0.155774665434885,0.0953343439311868,2.75071628617959,0.0604403215036982
9,3,2,127,4,133,0.0133,0.0219725755823559,101.191937375556,110.194137130854,9.00219975529862,102.3466436157,104.462004569616,2.11536095391594,positive_delta_target,0.234982672170861,0.899473725283783,0.886163561634848,-0.0133101636489347,0.119729256745472,0.028134300687082,0.197801514530764,0.0464799284438824,6.88683880138268,0.151321586086882
10,3,3,135,1,131,0.0131,0.0216421609119445,198.29255652838,207.714537766758,9.42198123837792,201.867762853129,208.043723571954,6.17596071882483,positive_delta_target,0.655484293862601,0.961205856186099,0.958073072371879,-0.00313278381421933,0.123427954222751,0.0809050854166052,0.203912034070297,0.133661135662655,3.2460205195531,0.0702508984076418
10,3,3,135,2,131,0.0131,0.0216421609119445,77.7350462318959,86.042681642297,8.3076354104011,91.0258587153516,93.3685111019898,2.34265238663828,positive_delta_target,0.281987866692524,0.999388202324561,0.985856136462028,-0.0135320658625337,0.108830023876254,0.0306887462649614,0.179795182349669,0.0507000599123764,5.96498302376283,0.129095122437292
10,3,3,135,3,131,0.0131,0.0216421609119445,22.0931184027493,27.2746757992166,5.1815573964673,24.8425435365809,28.9436261526733,4.10108261609239,positive_delta_target,0.791476828740417,0.970423963458803,0.921384501466354,-0.049039461992449,0.0678784018937217,0.0537241822708103,0.112140098948821,0.0887562898906498,1.08047478037491,0.0233838090581717
10,3,3,135,4,131,0.0131,0.0216421609119445,74.1892371055287,84.2813634386846,10.0921263331559,95.8502923310731,97.7273847176557,1.87709238658255,positive_delta_target,0.185995728215936,0.98629939401936,0.96234095029734,-0.0239584437220201,0.132206854964342,0.0245899102642314,0.218415422045831,0.0406243354770054,8.21503394657331,0.177791086568826
11,3,4,143,1,139,0.0139,0.02296381959359,192.564711016556,202.228721913838,9.66401089728171,206.720099176608,211.664666055056,4.94456687844834,positive_delta_target,0.511647485811419,0.979484577121641,0.979485372480127,7.95358485516928e-07,0.134329751472216,0.068729479610432,0.221922602795665,0.113546141765128,4.71944401883337,0.108376461030537
11,3,4,143,2,139,0.0139,0.02296381959359,72.007200720072,73.7990228568447,1.79182213677265,94.0827615690927,93.5013110744252,-0.581450494667493,positive_delta_target,-0.324502350280578,0.999999999999997,0.990546078819412,-0.0094539211805843,0.0249063277011399,-0.00808216187587815,0.041147080292648,-0.0133523242621479,2.37327263144014,0.054499404554796
11,3,4,143,3,139,0.0139,0.02296381959359,16.3652728909255,24.5479067527522,8.18263386182679,25.0070355458055,28.9915470768918,3.98451153108625,positive_delta_target,0.486947307965787,0.99874544939713,0.945099742788036,-0.0536457066090944,0.113738610679392,0.0553847102820989,0.187904527803391,0.0914996039684436,4.19812233074054,0.0964049238349472
11,3,4,143,4,139,0.0139,0.02296381959359,74.1892371055287,95.4648007624855,21.2755636569568,99.949110859234,101.610409838282,1.66129897904817,positive_delta_target,0.0780848397642782,0.995089325541864,0.944219624224082,-0.0508697013177827,0.295730334831699,0.0230920558087695,0.488568205570294,0.0381497700458773,19.6142646779086,0.450418435524417
12,3,5,151,1,117,0.0117,0.0193292582190649,202.383874751111,234.531627132872,32.1477523817604,203.065161703004,213.354888652239,10.2897269492353,positive_delta_target,0.320076092009262,0.951849151568852,0.90574801936972,-0.0461011321991316,0.376128702866596,0.120389805306053,0.621392206949606,0.19889278920544,21.8580254325251,0.422499417744165
12,3,5,151,2,117,0.0117,0.0193292582190649,32.7305457818509,39.2765472048076,6.54600142295667,93.18977090921,91.9362106067289,-1.25356030248111,positive_delta_target,-0.191500157345658,1,0.999999999523697,-4.76302552954166e-10,0.0765882166485931,-0.0146666555390289,0.126529351806696,-0.0242303907798264,7.79956172543778,0.150759742586522
12,3,5,151,3,117,0.0117,0.0193292582190649,16.3652728909255,16.3652905806895,1.76897640216112e-05,25.1151623236592,28.9198521652883,3.80468984162907,positive_delta_target,215078.609131302,0.99923140062177,0.994406203031547,-0.00482519759022315,2.06970239052851e-07,0.0445148711470601,3.41930016608046e-07,0.0735418323923015,-3.80467215186505,-0.0735414904622849
12,3,5,151,4,117,0.0117,0.0193292582190649,74.1892371055287,92.1910086220283,18.0017715164995,97.5493667910157,99.6972187635183,2.14785197250264,positive_delta_target,0.119313367050238,0.986274971372417,0.939256688782317,-0.0470182825900993,0.210620726743045,0.0251298680782808,0.347960890043028,0.0415163853928314,15.8539195439969,0.306444504650196
