weighted_unrealized_rank,state_id,saa_arrival_count,saa_target_total_kg,saa_mean_final_total_kg,saa_mean_gap_total_kg,saa_mean_attainment,saa_positive_gap_probability,dro_arrival_count,dro_target_total_kg,dro_mean_final_total_kg,dro_mean_gap_total_kg,dro_mean_attainment,dro_positive_gap_probability,arrival_count,arrival_frequency_full_oos,arrival_frequency_given_terminal_hit,DeltaT_total_kg,DeltaI_total_kg,increment_realization_ratio_total,attainment_delta_dro_minus_saa,weighted_DeltaT_per_terminal_hit_path_kg,weighted_DeltaI_per_terminal_hit_path_kg,weighted_unrealized_increment_per_terminal_hit_path_kg,ordinary_shortage_worse_count,ordinary_shortage_worse_share_of_all_280,ordinary_shortage_worse_probability_given_state,unrealized_increment_total_kg,weighted_unrealized_mass,share_of_weighted_unrealized_increment
11,10,131,372.309958268554,413.586457436134,9.41001245854881,0.97472532697672,0.572519083969466,131,405.313258646956,428.083245544273,15.2439766298896,0.962389642320663,0.641221374045801,131,0.0131,0.0216421609119445,33.003300378402,14.4967881081384,0.439252679032833,-0.0123356846560566,0.714262737414615,0.313741820942694,0.40052091647192,10,0.0357142857142857,0.0763358778625954,18.5065122702636,2424.35310740453,0.0115731483845663
12,20,37,427.406377001336,496.979273667032,5.03950537155846,0.988209101120776,0.243243243243243,37,491.859710751919,499.955772506745,24.6698204990185,0.949843786836484,0.621621621621622,37,0.0037,0.00611267140261028,64.453333750583,2.97649883971314,0.0461806809129748,-0.0383653142842915,0.393982050020084,0.0181943593374172,0.375787690682667,4,0.0142857142857143,0.108108108108108,61.4768349108699,2274.64289170218,0.0108584758660636
13,8,81,371.491694624008,428.264004059902,7.43699039090368,0.979980735778142,0.345679012345679,81,405.313265587416,440.454238585963,16.6642092611642,0.958885606082957,0.604938271604938,81,0.0081,0.0133817941516603,33.821570963408,12.1902345260611,0.360427803287135,-0.0210951296951857,0.452593300518098,0.163127209088212,0.289466091429886,10,0.0357142857142857,0.123456790123457,21.6313364373469,1752.1382514251,0.00836419245698341
14,9,133,382.129122003109,433.465913056151,13.4913272054248,0.964694323388116,0.556390977443609,133,405.313274925785,445.276127792073,18.1839673128556,0.955136018389269,0.593984962406015,133,0.0133,0.0219725755823559,23.184152922676,11.8102147359219,0.509408938739814,-0.00955830499884747,0.509415552406395,0.259500835928898,0.249914716477497,12,0.0428571428571429,0.0902255639097744,11.3739381867541,1512.73377883829,0.00722134594806779
15,18,55,546.327360008728,483.59048574974,70.3212862293169,0.871283608735624,0.981818181818182,55,571.966287503776,487.317733335945,88.8296570875601,0.844694243300181,0.927272727272727,55,0.0055,0.00908640343631257,25.6389274950481,3.72724758620478,0.145374551526177,-0.0265893654354431,0.232965638894374,0.0338672752752789,0.199098363619095,9,0.0321428571428571,0.163636363636364,21.9116799088433,1205.14239498638,0.00575299518832912
16,19,44,511.414777841421,495.639884466051,41.017948175864,0.919795144854842,0.75,44,542.961636332278,501.639009455649,56.7495565234086,0.895481461808695,0.772727272727273,44,0.0044,0.00726912274905006,31.5468584908569,5.99912498959833,0.190165527617814,-0.0243136830461471,0.229317986716951,0.0436083759362839,0.185709610780667,9,0.0321428571428571,0.204545454545455,25.5477335012586,1124.10027405538,0.00536612394912315
17,17,78,562.147123803289,490.218929552177,78.3043445815853,0.860704891538348,0.948717948717949,78,578.512356224272,494.023446049531,88.5665265702392,0.846906421933182,1,78,0.0078,0.0128861721460433,16.365232420983,3.80451649735346,0.232475555463265,-0.0137984696051654,0.210885202186796,0.0490256545173583,0.161859547669438,7,0.025,0.0897435897435897,12.5607159236296,979.735842043107,0.00467697062899465
18,16,78,571.966287537845,502.744965573318,76.7078313478918,0.865887495435968,0.974358974358974,78,585.059146032685,505.691717904656,85.0169340354788,0.854686599445572,0.858974358974359,78,0.0078,0.0128861721460433,13.09285849484,2.94675233133813,0.225065621269753,-0.0112008959903952,0.168716828448294,0.0379723578133776,0.130744470634916,11,0.0392857142857143,0.141025641025641,10.1461061635019,791.396280753147,0.00377789298109114
19,28,40,570.875269345116,535.417219057724,48.3218301395306,0.915354837152144,0.8,40,581.922529232857,535.819615175238,54.1007506664632,0.907031008512794,0.875,40,0.004,0.00660829340822733,11.047259887741,0.402396117514172,0.0364249706808025,-0.00832382863935088,0.073003534695133,0.00265915161086517,0.0703443830842679,2,0.00714285714285714,0.05,10.6448637702268,425.794550809073,0.00203261789827669
20,25,24,607.969887897881,548.28416035111,62.8823009949775,0.896570040314991,1,24,622.130683296519,550.399086906015,72.8373297932542,0.882922781742082,0.958333333333333,24,0.0024,0.0039649760449364,14.160795398638,2.11492655490451,0.149350830611388,-0.0136472585729087,0.0561472145328453,0.00838563312699626,0.047761581405849,3,0.0107142857142857,0.125,12.0458688437335,289.100852249604,0.0013800824025883
21,24,28,613.424978861523,559.432333320788,55.8243505031652,0.908995635282457,1,28,626.532860250673,562.593811844631,65.3235980962125,0.895737953680391,1,28,0.0028,0.00462580538575913,13.1078813891501,3.16147852384347,0.24118913117877,-0.0132576816020653,0.0606345083258222,0.0146243843825569,0.0460101239432653,6,0.0214285714285714,0.214285714285714,9.9464028653066,278.499280228585,0.00132947361720378
22,23,20,615.046504650465,569.890981504172,47.9083246508232,0.922106175242716,1,20,629.790794569232,572.252596995935,58.4223652369166,0.907235282349789,1,20,0.002,0.00330414670411366,14.7442899187671,2.36161549176347,0.160171531133386,-0.014870892892927,0.0487172969395906,0.00780312404349405,0.0409141728960966,6,0.0214285714285714,0.3,12.3826744270036,247.653488540072,0.00118222488385703
23,15,34,576.875869405122,490.2302884301,89.8080031815841,0.844320055761399,1,34,586.147377878832,492.660930435655,95.9535420368096,0.836297924962064,1,34,0.0034,0.00561704939699323,9.27150847371001,2.43064200555494,0.262162517830533,-0.00802213079933456,0.0520785210814704,0.0136530362116088,0.0384254848698616,3,0.0107142857142857,0.0882352941176471,6.84086646815507,232.589459917272,0.00111031364370453
24,27,9,603.461937102801,519.497978822465,88.9236946433399,0.852644070527034,1,9,607.969887920531,519.497978822465,90.6908228621625,0.850830074541427,1,9,0.0009,0.00148686601685115,4.50795081773003,2.27373675443232e-13,5.04383664854901e-14,-0.00181399598560705,0.00670271887651913,3.38074191143084e-16,0.00670271887651879,0,0,0,4.50795081772981,40.5715573595683,0.000193676676916882
25,33,1,648.610315577012,551.895101509697,96.7152140673151,0.850888566301515,1,1,657.066471259913,551.895101509697,105.171369750216,0.839938005741562,1,1,0.0001,0.000165207335205683,8.456155682901,0,0,-0.010950560559953,0.00139701894645647,0,0.00139701894645647,0,0,0,8.456155682901,8.456155682901,4.03671990611874e-05
26,31,1,671.79445217249,601.688280672679,70.1061714998113,0.895643419987918,1,1,677.010264286793,601.688280672679,75.3219836141142,0.888743217662345,1,1,0.0001,0.000165207335205683,5.21581211430305,0,0,-0.00690020232557298,0.000861690420337527,0,0.000861690420337527,0,0,0,5.21581211430305,5.21581211430305,2.48987523147862e-05
27,22,9,607.96988789788,525.000084594039,87.6933321844008,0.855760402069238,1,9,610.156830237183,526.9036022144,88.027696471275,0.855729392659496,1,9,0.0009,0.00148686601685115,2.18694233930307,1.90351762036096,0.87040137554224,-3.10094097415448e-05,0.00325169024512269,0.00283027566219207,0.000421414582930618,2,0.00714285714285714,0.222222222222222,0.283424718942115,2.55082247047903,1.21768759110939e-05
28,26,22,607.96988789788,560.37058410323,53.5331596549773,0.911947679119317,1,22,607.969905340432,560.534051113348,51.0572255707447,0.916020143230354,0.954545454545455,22,0.0022,0.00363456137452503,1.74425520071964e-05,0.163467010117643,9371.73700558268,0.00407246411103734,6.33960257984999e-08,0.000594130880982676,-0.000594067484956877,2,0.00714285714285714,0.0909090909090909,-0.163449567565635,-3.59589048644398,-1.71657231148228e-05
29,35,2,607.96988789788,600.715052446265,28.7039673736568,0.952787189061446,1,2,607.969890500707,603.183125409494,27.5986377978394,0.954605255574235,1,2,0.0002,0.000330414670411366,2.60282706676662e-06,2.46807296322856,948227.792288384,0.00181806651278948,8.60012247403477e-10,0.00081548751469637,-0.000815486654684123,0,0,0,-2.4680703604015,-4.936140720803,-2.35636833737112e-05
30,6,445,0,354.442680163253,0,,0,445,0.71367875842609,381.423457415542,0,1,0,445,0.0445,0.073517264166529,0.71367875842609,26.9807772522893,37.8052126867154,,0.0524677098132513,1.98355292867483,-1.93108521886158,1,0.00357142857142857,0.00224719101123596,-26.2670984938632,-11688.8588297691,-0.0557991726823951
