evaluation_id,pair_id,pair_group,initial_state_id,scenario_id,path_id,scenario_role,T_source,replay_case,identity_and_fixed_T_match,period_operating_loss,flat_operating_loss,operating_loss_abs_error,service_cost_abs_error,shortage_kg_abs_error,shortage_loss_abs_error,site_service_max_abs_error,period_site_node_service_max_abs_error,period_node_shortage_max_abs_error,flat_objective_decomposition_abs_error,evaluation_max_required_error,within_solver_tolerance
45,12,STEP03T_CONTROL,30,11691,11691,xi_r,T_r,T_R_ON_R,1,438680.900547877,438680.900547877,1.16415321826935e-10,0,5.6843418860808e-14,1.16415321826935e-10,8.5265128291212e-14,0.889179827068643,8.88178419700125e-16,2.20552465179935e-11,0.889179827068643,0
46,12,STEP03T_CONTROL,30,9716,9716,xi_s,T_r,T_R_ON_S,1,433137.989111908,433137.989111908,5.82076609134674e-11,0,2.8421709430404e-14,5.82076609134674e-11,1.4210854715202e-13,1.4210854715202e-14,1.4210854715202e-14,2.20552465179935e-11,5.82076609134674e-11,1
47,12,STEP03T_CONTROL,30,11691,11691,xi_r,T_s,T_S_ON_R,1,438680.900547877,438680.900547877,5.82076609134674e-11,1.81898940354586e-12,2.8421709430404e-14,5.82076609134674e-11,1.13686837721616e-13,0.889179827068544,8.88178419700125e-16,2.22826201934367e-11,0.889179827068544,0
48,12,STEP03T_CONTROL,30,9716,9716,xi_s,T_s,T_S_ON_S,1,433137.989111908,433137.989111908,0,0,0,0,1.4210854715202e-13,1.4210854715202e-14,1.4210854715202e-14,2.22826201934367e-11,1.4210854715202e-13,1
49,13,STEP03T_TIER1,31,3295,3295,xi_r,T_r,T_R_ON_R,1,787460.894200841,787460.894200841,1.16415321826935e-10,5.6843418860808e-14,5.6843418860808e-14,1.16415321826935e-10,1.4210854715202e-14,0,0,1.63709046319127e-11,1.16415321826935e-10,1
50,13,STEP03T_TIER1,31,3225,3225,xi_s,T_r,T_R_ON_S,1,807770.403723228,807770.403723228,1.16415321826935e-10,0,5.6843418860808e-14,1.16415321826935e-10,3.5527136788005e-15,1.77635683940025e-15,1.77635683940025e-15,1.63709046319127e-11,1.16415321826935e-10,1
51,13,STEP03T_TIER1,31,3295,3295,xi_r,T_s,T_S_ON_R,1,872398.397007898,872398.397007898,1.16415321826935e-10,0,5.6843418860808e-14,1.16415321826935e-10,7.105427357601e-15,0,0,4.21209733758587e-11,1.16415321826935e-10,1
52,13,STEP03T_TIER1,31,3225,3225,xi_s,T_s,T_S_ON_S,1,735270.704561894,735270.704561894,1.16415321826935e-10,1.13686837721616e-13,5.6843418860808e-14,1.16415321826935e-10,3.5527136788005e-15,1.77635683940025e-15,1.77635683940025e-15,4.21209733758587e-11,1.16415321826935e-10,1
53,14,STEP03T_TIER1,31,11336,11336,xi_r,T_r,T_R_ON_R,1,380050.280715279,380050.280715279,5.82076609134674e-11,0,2.8421709430404e-14,5.82076609134674e-11,2.8421709430404e-14,0,0,2.28510543820448e-11,5.82076609134674e-11,1
54,14,STEP03T_TIER1,31,6188,6188,xi_s,T_r,T_R_ON_S,1,381778.405904792,381778.405904792,1.16415321826935e-10,9.09494701772928e-13,5.6843418860808e-14,1.16415321826935e-10,8.5265128291212e-14,0,0,2.28510543820448e-11,1.16415321826935e-10,1
55,14,STEP03T_TIER1,31,11336,11336,xi_r,T_s,T_S_ON_R,1,336510.022581261,336510.022581261,0,0,0,0,2.8421709430404e-14,0,0,1.98951966012828e-11,2.8421709430404e-14,1
56,14,STEP03T_TIER1,31,6188,6188,xi_s,T_s,T_S_ON_S,1,337009.707883047,337009.707883047,0,4.54747350886464e-13,0,0,2.8421709430404e-14,0,0,1.98951966012828e-11,4.54747350886464e-13,1
57,15,STEP03T_TIER1,31,11578,11578,xi_r,T_r,T_R_ON_R,1,511669.900525456,511669.900525456,5.82076609134674e-11,0,2.8421709430404e-14,5.82076609134674e-11,0,5.65692932929653,5.65692932929653,2.47837306233123e-11,5.65692932929653,0
58,15,STEP03T_TIER1,31,5253,5253,xi_s,T_r,T_R_ON_S,1,849384.267448228,849384.267448228,1.16415321826935e-10,0,5.6843418860808e-14,1.16415321826935e-10,0,7.105427357601e-15,0,2.47837306233123e-11,1.16415321826935e-10,1
59,15,STEP03T_TIER1,31,11578,11578,xi_r,T_s,T_S_ON_R,1,849383.782729305,849383.782729305,2.3283064365387e-10,0,1.13686837721616e-13,2.3283064365387e-10,0,0,0,2.38742359215394e-11,2.3283064365387e-10,1
60,15,STEP03T_TIER1,31,5253,5253,xi_s,T_s,T_S_ON_S,1,676242.935962537,676242.935962537,1.16415321826935e-10,5.6843418860808e-14,5.6843418860808e-14,1.16415321826935e-10,4.2632564145606e-14,0,0,2.38742359215394e-11,1.16415321826935e-10,1
61,16,STEP03T_CONTROL,31,8102,8102,xi_r,T_r,T_R_ON_R,1,518755.717839108,518755.717839108,0,9.09494701772928e-13,0,0,7.105427357601e-15,0,0,2.63753463514149e-11,9.09494701772928e-13,1
62,16,STEP03T_CONTROL,31,1750,1750,xi_s,T_r,T_R_ON_S,1,517565.516949756,517565.516949756,1.16415321826935e-10,0,5.6843418860808e-14,1.16415321826935e-10,1.13686837721616e-13,1.09101819273335,1.09101819273335,2.63753463514149e-11,1.09101819273335,0
63,16,STEP03T_CONTROL,31,8102,8102,xi_r,T_s,T_S_ON_R,1,515492.998959662,515492.998959662,1.16415321826935e-10,4.54747350886464e-13,5.6843418860808e-14,1.16415321826935e-10,2.8421709430404e-14,7.105427357601e-15,7.105427357601e-15,8.07176547823474e-12,1.16415321826935e-10,1
64,16,STEP03T_CONTROL,31,1750,1750,xi_s,T_s,T_S_ON_S,1,514300.057102174,514300.057102174,5.82076609134674e-11,0,2.8421709430404e-14,5.82076609134674e-11,8.5265128291212e-14,0.616425278886593,0.616425278886593,8.07176547823474e-12,0.616425278886593,0
