state,a,loc,saa_target_total_kg,dro_target_total_kg,delta_target_kg,saa_target_rank_desc_35,dro_target_rank_desc_35,lf,oos_count,saa_infeasible_path_count,dro_infeasible_path_count,saa_infeasible_share,dro_infeasible_share,saa_conditional_mean_capacity_gap_kg,dro_conditional_mean_capacity_gap_kg,saa_unconditional_mean_capacity_gap_kg,dro_unconditional_mean_capacity_gap_kg,saa_actual_final_inventory_mean_kg,dro_actual_final_inventory_mean_kg,delta_actual_inventory_kg,saa_target_total_kg_reached,dro_target_total_kg_reached,delta_target_kg_reached,saa_max_feasible_inventory_mean_kg,dro_max_feasible_inventory_mean_kg,delta_max_feasible_inventory_kg,delta_unconditional_capacity_gap_kg,saa_gap_greater_than_dro_path_count,saa_infeasible_dro_feasible_path_count,oos_reached,saa_headroom_mean_kg,dro_headroom_mean_kg,saa_headroom_rank_ascending_reached,dro_headroom_rank_ascending_reached
11,3,4,355.126421733082,396.04045228592,40.9140305528379,25,25,7,139,7,34,0.0503597122302158,0.244604316546763,39.94932859242,29.992013095663,2.0118366917046,7.33617586512621,425.75900715074,435.767934044655,10.0089268939153,355.126421733082,396.04045228592,40.914030552838,444.475794477399,445.398661889925,0.922867412525818,5.32433917342161,0,0,True,89.3493727443168,49.3582096040047,20,20
12,3,5,325.668930529416,382.364473540397,56.6955430109806,26,26,7,117,12,16,0.102564102564103,0.136752136752137,13.2878366913346,55.1498777844114,1.36285504526509,7.54186362863745,418.919461726889,433.908170187775,14.9887084608861,325.668930529416,382.364473540397,56.695543010981,443.610501456452,445.543613340759,1.93311188430721,6.17900858337237,0,0,True,117.941570927036,63.1791398003625,22,21
13,3,6,240.569511496604,355.126452344801,114.556940848197,27,27,7,89,0,5,0,0.0561797752808989,0,46.6597575303322,0,2.62133469271529,433.927998341484,449.619092656361,15.6910943148774,240.569511496604,355.126452344801,114.556940848197,460.488513058397,462.42244503751,1.9339319791128,2.62133469271529,0,0,True,219.919001561793,107.295992692708,23,23
14,3,7,185.745847312004,299.484469224306,113.738621912302,28,28,7,188,0,0,0,0,0,0,0,0,413.956951586481,431.15580006794,17.1988484814592,185.745847312004,299.484469224306,113.738621912302,445.527602376407,447.238955811251,1.71135343484394,0,0,0,True,259.781755064403,147.754486586945,24,24
15,4,1,576.875869405122,586.147377878832,9.27150847370922,14,14,7,34,29,29,0.852941176470588,0.852941176470588,101.492284030089,110.252968307433,86.566948143311,94.0392964975162,490.2302884301,492.660930435655,2.43064200555494,576.875869405122,586.147377878832,9.27150847371001,492.67232986917,493.483435649962,0.811105780792388,7.4723483542052,1,1,True,-84.2035395359522,-92.6639422288691,2,2
16,4,2,571.966287537845,585.059146032685,13.0928584948405,15,15,7,78,62,63,0.794871794871795,0.807692307692308,93.1076478749133,104.048297737574,74.0086431826234,84.0390097111175,502.744965573318,505.691717904656,2.94675233133819,571.966287537845,585.059146032685,13.0928584948401,506.02374658232,507.278915992361,1.25516941004128,10.0303665284941,1,0,True,-65.9425409555249,-77.7802300403241,7,7
17,4,3,562.147123803289,578.512356224272,16.3652324209822,17,17,7,78,65,67,0.833333333333333,0.858974358974359,86.8313596478806,100.134001432178,72.3594663732338,86.0125396917426,490.218929552177,494.02344604953,3.80451649735335,562.147123803289,578.512356224272,16.365232420983,495.599432763175,496.425891252173,0.826458488998242,13.6530733185088,0,0,True,-66.5476910401147,-82.0864649720987,6,4
18,4,4,546.327360008728,571.966287503776,25.6389274950484,18,18,7,55,44,49,0.8,0.890909090909091,80.6401881345863,96.1660067463955,64.512150507669,85.6751696467887,483.59048574974,487.317733335945,3.72724758620484,546.327360008728,571.966287503776,25.6389274950483,488.816357853066,490.063578772536,1.2472209194699,21.1630191391197,0,0,True,-57.5110021556616,-81.9027087312401,8,6
19,4,5,511.414777841421,542.961636332278,31.5468584908569,19,19,7,44,20,26,0.454545454545455,0.590909090909091,72.5134947664565,86.2121339576539,32.9606794392984,50.94353370225,495.639884466051,501.639009455649,5.99912498959833,511.414777841421,542.961636332278,31.5468584908568,505.149042484906,507.046340828563,1.89729834365761,17.9828542629516,0,0,True,-6.26573535651477,-35.9152955037141,14,14
20,4,6,427.406377001336,491.859710751919,64.4533337505822,20,20,7,37,6,17,0.162162162162162,0.459459459459459,25.2026873049877,49.7629536748915,4.08692226567368,22.8640597965718,496.979273667032,499.955772506745,2.97649883971314,427.406377001336,491.859710751919,64.4533337505831,502.32626847576,503.003842000174,0.677573524413845,18.7771375308981,0,0,True,74.9198914744237,11.1441312482553,19,16
21,4,7,405.313258598587,434.497947905568,29.1846893069812,21,21,7,124,16,23,0.129032258064516,0.185483870967742,13.0497141449151,33.3338315591551,1.68383408321485,6.18288811177877,502.120622225864,506.648723161689,4.52810093582491,405.313258598587,434.497947905568,29.1846893069812,508.25712894652,510.246652305286,1.98952335876561,4.49905402856392,0,0,True,102.943870347933,75.7487043997177,21,22
22,5,1,607.969887897881,610.156830237183,2.18694233930205,9,10,7,9,7,7,0.777777777777778,0.777777777777778,109.481880447056,111.668822786358,85.1525736810432,86.8535288338339,525.000084594039,526.9036022144,1.90351762036096,607.96988789788,610.156830237183,2.18694233930307,526.608562904709,528.20738627094,1.59882336623048,1.70095515279067,0,0,True,-81.3613249931715,-81.9494439662431,4,5
23,5,2,615.046504650465,629.790794569232,14.7442899187673,7,7,7,20,15,20,0.75,1,61.1879933661813,57.5381975732969,45.890995024636,57.5381975732969,569.890981504172,572.252596995935,2.36161549176359,615.046504650465,629.790794569232,14.744289918767,569.890981504172,572.252596995935,2.36161549176359,11.6472025486609,0,0,True,-45.155523146293,-57.5381975732968,12,11
24,5,3,613.424978861523,626.532860250673,13.1078813891509,8,8,7,28,23,24,0.821428571428571,0.857142857142857,65.5221150841906,74.8979143038219,53.8217373905851,64.1982122604188,559.432333320788,562.593811844631,3.16147852384336,613.424978861523,626.532860250673,13.1078813891501,561.500148475698,563.094800418655,1.5946519429574,10.3764748698337,0,0,True,-51.9248303858246,-63.4380598320181,10,10
25,5,4,607.969887897881,622.130683296519,14.160795398638,10,9,7,24,21,21,0.875,0.875,68.0837615346265,81.422677399394,59.5732913427982,71.2448427244698,548.284160351111,550.399086906015,2.1149265549044,607.969887897881,622.130683296519,14.160795398638,550.849675650389,552.304309905197,1.45463425480807,11.6715513816715,1,0,True,-57.1202122474918,-69.8263733913218,9,9
