method,state,resource,observation_count,mean_utilization,median_utilization,q95_utilization,max_utilization,util_ge95_share,util_ge99_share,min_utilization
chi2_eta003,20,electrolyzer_production,664,0.990943997356463,1,1,1,0.984939759036145,0.983433734939759,0
chi2_eta003,20,htt,166,0.124769227254663,0.0645605072854599,0.476944299044153,0.548119808730794,0,0,0
chi2_eta003,20,storage,664,0.469801066912016,0.422495446437372,0.814617824449643,1,0.0135542168674699,0.0135542168674699,0.120881992615168
saa,20,electrolyzer_production,664,0.984246553986466,1,1,1,0.974397590361446,0.974397590361446,0
saa,20,htt,166,0.127955576599139,0.061614101073677,0.476635282649878,0.558352189503504,0,0,0
saa,20,storage,664,0.465964897988745,0.39914260456392,0.847655068726325,1,0.019578313253012,0.0105421686746988,0.141343901002278
chi2_eta003,21,electrolyzer_production,2272,0.989891491148252,1,1,1,0.983274647887324,0.981514084507042,0
chi2_eta003,21,htt,568,0.124494202407909,0.0753004314426832,0.417652063932582,0.903516005632699,0,0,0
chi2_eta003,21,storage,2272,0.476435346295248,0.432472099876375,0.824458930574639,1,0.019806338028169,0.0145246478873239,0
saa,21,electrolyzer_production,2272,0.982575768885053,1,1,1,0.975352112676056,0.974911971830986,0
saa,21,htt,568,0.129345104012773,0.0783172926268089,0.442616976597358,0.667353981084074,0,0,0
saa,21,storage,2272,0.472760656587848,0.407292635100843,0.862729386836774,1,0.0250880281690141,0.0176056338028169,0.12722735129256
chi2_eta003,22,electrolyzer_production,172,0.997035689017787,1,1,1,0.994186046511628,0.988372093023256,0.523762841375512
chi2_eta003,22,htt,43,0.109678790933415,0.0377455668096444,0.460362101502467,0.50034699881508,0,0,0
chi2_eta003,22,storage,172,0.494469009816186,0.436817065851129,0.881513091434613,1,0.0232558139534884,0.0232558139534884,0.142320696488558
saa,22,electrolyzer_production,172,0.996403223813349,1,1,1,0.994186046511628,0.994186046511628,0.381354495895987
saa,22,htt,43,0.130098613662543,0.106505271653023,0.448404062005343,0.499897015032639,0,0,0
saa,22,storage,172,0.490426038724805,0.421933239607376,0.910054001339811,1,0.0348837209302326,0.0232558139534884,0.152917249842742
chi2_eta003,23,electrolyzer_production,412,1,1,1,1,1,1,1
chi2_eta003,23,htt,103,0.115342525944917,0.0776734940628637,0.372300150187955,0.469963206229271,0,0,0
chi2_eta003,23,storage,412,0.51866116895863,0.47412283395495,0.935601668227558,1,0.0412621359223301,0.0388349514563107,0.122587769860541
saa,23,electrolyzer_production,412,1,1,1,1,1,1,1
saa,23,htt,103,0.139883782042419,0.124272395123817,0.445753699194638,0.499897015032639,0,0,0
saa,23,storage,412,0.515434873652009,0.446638605818422,0.973466876984901,1,0.058252427184466,0.0364077669902913,0.141343901002278
chi2_eta003,24,electrolyzer_production,548,0.998872533774377,1,1,1,0.994525547445255,0.994525547445255,0.556376432384783
chi2_eta003,24,htt,137,0.116572672261995,0.0882296365174297,0.341564054215386,0.50034699881508,0,0,0
chi2_eta003,24,storage,548,0.514625020289047,0.47412283395495,0.932084938180952,1,0.0364963503649635,0.0291970802919708,0.120881992615168
saa,24,electrolyzer_production,548,0.994633538164994,1,1,1,0.992700729927007,0.989051094890511,0
saa,24,htt,137,0.135337299644488,0.111347931193149,0.373652355319114,0.498347443359992,0,0,0
saa,24,storage,548,0.509566941780002,0.449548208507591,0.931475199994674,1,0.0456204379562044,0.031021897810219,0.141343901002278
chi2_eta003,25,electrolyzer_production,464,0.994993652785632,1,1,1,0.989224137931034,0.989224137931034,0.014152343990548
chi2_eta003,25,htt,116,0.11745565109406,0.0695753458791602,0.345231233963988,0.681340340433306,0,0,0
chi2_eta003,25,storage,464,0.504159432252651,0.46381195876316,0.890004797856194,1,0.0237068965517241,0.0237068965517241,0.120881992615168
saa,25,electrolyzer_production,464,0.993284208304024,1,1,1,0.987068965517241,0.987068965517241,0
saa,25,htt,116,0.144381750924563,0.130383700872673,0.369710343940571,0.558352189503504,0,0,0
saa,25,storage,464,0.499817409755546,0.441720427069718,0.92948707832811,1,0.0431034482758621,0.0237068965517241,0.154562409441399
chi2_eta003,26,electrolyzer_production,420,0.996951369031791,1,1,1,0.992857142857143,0.990476190476191,0.396181315647181
chi2_eta003,26,htt,105,0.118588266838905,0.0728930072770527,0.334015728571811,0.517951837290054,0,0,0
chi2_eta003,26,storage,420,0.51609466035412,0.483529073685739,0.912508897860647,1,0.0357142857142857,0.0285714285714286,0.163852130343329
saa,26,electrolyzer_production,420,0.998009944211115,1,1,1,0.995238095238095,0.995238095238095,0.493547862940287
saa,26,htt,105,0.150211545813529,0.130383700872673,0.406480660760218,0.684431762281615,0,0,0
saa,26,storage,420,0.513027959900386,0.446673400520103,0.953365934025552,1,0.05,0.0261904761904762,0.152917249842742
chi2_eta003,27,electrolyzer_production,156,1,1,1,1,1,1,1
chi2_eta003,27,htt,39,0.141948907362613,0.0812758453280935,0.496108916649379,0.643725293399093,0,0,0
chi2_eta003,27,storage,156,0.481748265896718,0.446638605818422,0.85749211564825,0.999997065721265,0.0256410256410256,0.0192307692307692,0.017313777971857
saa,27,electrolyzer_production,156,1,1,1,1,1,1,1
saa,27,htt,39,0.147166382236154,0.0901817409737783,0.46787000799585,0.497617622802204,0,0,0
saa,27,storage,156,0.48034695471091,0.402899768412603,0.879324256952754,0.987358338395323,0.032051282051282,0,0.150517205919916
chi2_eta003,28,electrolyzer_production,748,0.997329689832163,1,1,1,0.994652406417112,0.994652406417112,0.014152343990548
chi2_eta003,28,htt,187,0.123393546218224,0.0779114396274505,0.365950303234104,0.548119808730794,0,0,0
chi2_eta003,28,storage,748,0.494424822464104,0.446638605818422,0.853995075970881,1,0.0240641711229947,0.018716577540107,0.120881992615168
saa,28,electrolyzer_production,748,0.996370245779098,1,1,1,0.99331550802139,0.99331550802139,0
saa,28,htt,187,0.148307587483827,0.130383700872673,0.433950360364401,0.558352189503504,0,0,0
saa,28,storage,748,0.491893653909145,0.435036746750605,0.907171872476293,1,0.0280748663101604,0.018716577540107,0.141343901002278
chi2_eta003,31,electrolyzer_production,20,1,1,1,1,1,1,1
chi2_eta003,31,htt,5,0.122357988578319,0.114244156723316,0.228966365679225,0.228966365679225,0,0,0
chi2_eta003,31,storage,20,0.545906483793516,0.496692281063351,0.950375048591523,0.999961124671609,0.05,0.05,0.293414603374571
saa,31,electrolyzer_production,20,1,1,1,1,1,1,1
saa,31,htt,5,0.117271948989257,0.109548098097124,0.334600514354449,0.334600514354449,0,0,0
saa,31,storage,20,0.540163522910497,0.489547525502768,0.953711730699612,0.997141681801918,0.05,0.05,0.164023527076365
chi2_eta003,33,electrolyzer_production,20,1,1,1,1,1,1,1
chi2_eta003,33,htt,5,0.183520072653162,0.0798907520324129,0.548119808730794,0.548119808730794,0,0,0
chi2_eta003,33,storage,20,0.485324501780978,0.420887784401736,0.87813020948239,0.922527474719089,0,0,0.192895181960023
saa,33,electrolyzer_production,20,1,1,1,1,1,1,1
saa,33,htt,5,0.170312803689571,0.0734138317096002,0.486884982665479,0.486884982665479,0,0,0
saa,33,storage,20,0.483237061715419,0.413094114057065,0.904773247300212,0.949737274739503,0,0,0.161264199894064
chi2_eta003,35,electrolyzer_production,48,0.99244411430006,1,1,1,0.958333333333333,0.958333333333333,0.800779805804623
chi2_eta003,35,htt,12,0.112192529698902,0.0509088152201622,0.464515349488122,0.47952483773052,0,0,0
chi2_eta003,35,storage,48,0.538555476510487,0.50225135974555,0.982799562966005,1,0.0625,0.0416666666666667,0.174969012779318
saa,35,electrolyzer_production,48,0.989082433534493,1,1,1,0.958333333333333,0.958333333333333,0.716128291350965
saa,35,htt,12,0.150914062842652,0.119937372708502,0.479481099248327,0.495086799681611,0,0,0
saa,35,storage,48,0.540248033550989,0.457371845237766,0.980351062032542,0.999308655940294,0.104166666666667,0.0416666666666667,0.230817208152346
