state,a,loc,lf,oos_count,saa_infeasible_path_count,dro_infeasible_path_count,saa_infeasible_share,dro_infeasible_share,saa_conditional_mean_capacity_gap_kg,dro_conditional_mean_capacity_gap_kg,saa_unconditional_mean_capacity_gap_kg,dro_unconditional_mean_capacity_gap_kg,saa_actual_final_inventory_mean_kg,dro_actual_final_inventory_mean_kg,delta_actual_inventory_kg,saa_target_total_kg,dro_target_total_kg,delta_target_kg,saa_max_feasible_inventory_mean_kg,dro_max_feasible_inventory_mean_kg,delta_max_feasible_inventory_kg,delta_unconditional_capacity_gap_kg,saa_gap_greater_than_dro_path_count,saa_infeasible_dro_feasible_path_count,saa_inventory_entering_last_preterminal_stage_mean_kg,saa_cumulative_normal_h2_service_mean_kg,saa_cumulative_production_mean_kg,saa_cumulative_available_production_capacity_mean_kg,saa_initial_inventory_total_mean_kg,saa_production_mean_utilization,saa_production_q95_utilization,saa_production_util_ge99_share,saa_storage_mean_utilization,saa_storage_q95_utilization,saa_storage_util_ge99_share,saa_htt_mean_utilization,saa_htt_q95_utilization,saa_htt_util_ge99_share,dro_inventory_entering_last_preterminal_stage_mean_kg,dro_cumulative_normal_h2_service_mean_kg,dro_cumulative_production_mean_kg,dro_cumulative_available_production_capacity_mean_kg,dro_initial_inventory_total_mean_kg,dro_production_mean_utilization,dro_production_q95_utilization,dro_production_util_ge99_share,dro_storage_mean_utilization,dro_storage_q95_utilization,dro_storage_util_ge99_share,dro_htt_mean_utilization,dro_htt_q95_utilization,dro_htt_util_ge99_share,saa_target_rank_desc_35,dro_target_rank_desc_35,delta_normal_service_kg,delta_production_kg
11,3,4,7,139,7,34,0.0503597122302158,0.244604316546763,39.94932859242,29.992013095663,2.0118366917046,7.33617586512621,425.75900715074,435.767934044655,10.0089268939153,355.126421733082,396.04045228592,40.914030552838,444.475794477399,445.398661889925,0.922867412525818,5.32433917342161,0,0,356.130901278757,104.559017672345,363.679615551038,382.396402877698,166.638409272046,0.942730409128689,1,0.922457627118644,0.422892321491158,0.714341301062157,0.0029661016949152,0.105082364526313,0.442616976597358,0,361.371501646864,103.636150259819,372.765675032428,382.396402877698,166.638409272046,0.970677540732692,1,0.952118644067797,0.428715942043102,0.734627580872362,0.0025423728813559,0.109543531188405,0.417652063932582,0,25,25,-0.922867412525818,9.08605948138938
12,3,5,7,117,12,16,0.102564102564103,0.136752136752137,13.2878366913346,55.1498777844114,1.36285504526509,7.54186362863745,418.919461726889,433.908170187775,14.9887084608861,325.668930529416,382.364473540397,56.695543010981,443.610501456452,445.543613340759,1.93311188430721,6.17900858337237,0,0,355.732829012602,114.187907815594,366.468960270437,391.16,166.638409272046,0.925518553663215,1,0.896161417322835,0.42151408989872,0.711527133174088,0.0034448818897637,0.0933977138897947,0.430284139116951,0,363.002560054824,112.254795931287,379.524556847015,391.16,166.638409272046,0.964637880353396,1,0.94242125984252,0.427987260297559,0.739174428307749,0.0024606299212598,0.104062318603632,0.424478542021147,0,26,26,-1.93311188430731,13.0555965765786
13,3,6,7,89,0,5,0,0.0561797752808989,0,46.6597575303322,0,2.62133469271529,433.927998341484,449.619092656361,15.6910943148774,240.569511496604,355.126452344801,114.556940848197,460.488513058397,462.42244503751,1.9339319791128,2.62133469271529,0,0,367.348867836047,109.024278236121,376.313867305559,402.874382022472,166.638409272046,0.922595267334975,1,0.896984924623116,0.429679090160876,0.730425680223192,0.0037688442211055,0.095794905456233,0.398875268888078,0,376.006537533407,107.090346257009,390.071029641323,402.874382022472,166.638409272046,0.963542239859421,1,0.936557788944724,0.435889545647463,0.769226971715807,0.0037688442211055,0.106006038644907,0.423287135757866,0,27,27,-1.9339319791127,13.7571623357646
14,3,7,7,188,0,0,0,0,0,0,0,0,413.956951586481,431.15580006794,17.1988484814592,185.745847312004,299.484469224306,113.738621912302,445.527602376407,447.238955811251,1.71135343484394,0,0,0,356.784592935522,112.139743065852,359.458285380287,391.028936170213,166.638409272046,0.904679117935834,1,0.878063725490196,0.422141191791573,0.711527133174088,0.0036764705882352,0.0884931021886826,0.400814627240475,0,364.38982453679,110.428389631008,374.945780426902,391.028936170213,166.638409272046,0.951897224555867,1,0.925245098039216,0.42800811575221,0.734486201672552,0.0012254901960784,0.105479017446424,0.425241633213403,0,28,28,-1.71135343484394,15.487495046615
15,4,1,7,34,29,29,0.852941176470588,0.852941176470588,101.492284030089,110.252968307433,86.566948143311,94.0392964975162,490.2302884301,492.660930435655,2.43064200555494,576.875869405122,586.147377878832,9.27150847371001,492.67232986917,493.483435649962,0.811105780792388,7.4723483542052,1,1,401.940828135857,63.4728441087586,387.064723266812,389.506764705882,166.638409272046,0.992802420250771,1,0.991496598639456,0.462696346474637,0.808214916152762,0.0085034013605442,0.127732244496529,0.477234769593293,0,404.064008777173,62.6617383279662,388.684259491575,389.506764705882,166.638409272046,0.997040225742776,1,0.994897959183674,0.465454895900904,0.793404189282154,0.0102040816326531,0.121496404821879,0.470132768910094,0,14,14,-0.811105780792424,1.61953622476256
16,4,2,7,78,62,63,0.794871794871795,0.807692307692308,93.1076478749133,104.048297737574,74.0086431826234,84.0390097111175,502.744965573318,505.691717904656,2.94675233133819,571.966287537845,585.059146032685,13.0928584948401,506.02374658232,507.278915992361,1.25516941004128,10.0303665284941,1,0,419.044426963059,61.3996626897266,397.506218990998,400.785,166.638409272046,0.990514373347433,1,0.981268011527378,0.474464544704846,0.88113370476569,0.0187319884726225,0.135644248921125,0.434125481210265,0,420.815271175339,60.1444932796853,399.197801912295,400.785,166.638409272046,0.995352410590023,1,0.987752161383285,0.478039517987251,0.822396156253826,0.0180115273775216,0.120846131906615,0.418929246000802,0,15,15,-1.25516941004133,1.69158292129686
17,4,3,7,78,65,67,0.833333333333333,0.858974358974359,86.8313596478806,100.134001432178,72.3594663732338,86.0125396917426,490.218929552177,494.02344604953,3.80451649735335,562.147123803289,578.512356224272,16.365232420983,495.599432763175,496.425891252173,0.826458488998242,13.6530733185088,0,0,402.017288361735,72.9789765088715,396.559496789002,401.94,166.638409272046,0.983825823121487,1,0.979166666666667,0.459040129584356,0.824052513891458,0.0158045977011494,0.132756373723545,0.456997332603843,0,405.355931260654,72.1525180198733,399.537554797358,401.94,166.638409272046,0.992770934527676,1,0.987787356321839,0.463099567928731,0.807188651560356,0.0114942528735632,0.119930333355537,0.486835315004398,0,17,17,-0.826458488998242,2.97805800835522
18,4,4,7,55,44,49,0.8,0.890909090909091,80.6401881345863,96.1660067463955,64.512150507669,85.6751696467887,483.59048574974,487.317733335945,3.72724758620484,546.327360008728,571.966287503776,25.6389274950483,488.816357853066,490.063578772536,1.2472209194699,21.1630191391197,0,0,397.390667044975,70.9420514189797,387.894127896674,393.12,166.638409272046,0.984169108481855,1,0.977083333333333,0.459138603621543,0.804926900050584,0.0083333333333333,0.125534314387441,0.406480660760218,0,400.235162802437,69.6948304995099,390.374154563408,393.12,166.638409272046,0.99163230135196,1,0.984375,0.462121468764167,0.801489325146243,0.0083333333333333,0.116369612491543,0.373065877996868,0,18,18,-1.24722091946985,2.48002666673489
19,4,5,7,44,20,26,0.454545454545455,0.590909090909091,72.5134947664565,86.2121339576539,32.9606794392984,50.94353370225,495.639884466051,501.639009455649,5.99912498959833,511.414777841421,542.961636332278,31.5468584908568,505.149042484906,507.046340828563,1.89729834365761,17.9828542629516,0,0,410.413378660104,77.1318667871404,406.133341981145,415.6425,166.638409272046,0.973038715165378,1,0.96551724137931,0.467601995038576,0.858008149024002,0.0123152709359606,0.125031777145288,0.434125481210265,0,415.08221085229,75.2345684434828,410.235168627086,415.6425,166.638409272046,0.985757138806435,1,0.977832512315271,0.471138585087588,0.824362349252816,0.0160098522167488,0.119012793763761,0.444671035311707,0,19,19,-1.8972983436576,4.10182664594055
20,4,6,7,37,6,17,0.162162162162162,0.459459459459459,25.2026873049877,49.7629536748915,4.08692226567368,22.8640597965718,496.979273667032,499.955772506745,2.97649883971314,427.406377001336,491.859710751919,64.4533337505831,502.32626847576,503.003842000174,0.677573524413845,18.7771375308981,0,0,411.45629317815,68.4997083638537,398.840572758839,404.187567567568,166.638409272046,0.984246553986466,1,0.974397590361446,0.465964897988745,0.847655068726325,0.0105421686746988,0.127955576599139,0.476635282649878,0,414.243409383261,67.8221348394398,401.139498074138,404.187567567568,166.638409272046,0.990943997356463,1,0.983433734939759,0.469801066912016,0.814617824449643,0.0135542168674699,0.124769227254663,0.476944299044153,0,20,20,-0.677573524413916,2.29892531529919
21,4,7,7,124,16,23,0.129032258064516,0.185483870967742,13.0497141449151,33.3338315591551,1.68383408321485,6.18288811177877,502.120622225864,506.648723161689,4.52810093582491,405.313258598587,434.497947905568,29.1846893069812,508.25712894652,510.246652305286,1.98952335876561,4.49905402856392,0,0,419.030041464348,71.0516029061711,406.533815859989,412.670322580645,166.638409272046,0.982575768885053,1,0.974911971830986,0.472760656587848,0.862729386836774,0.0176056338028169,0.129345104012773,0.442616976597358,0,422.473254108114,69.0620795474055,409.072393437048,412.670322580645,166.638409272046,0.989891491148252,1,0.981514084507042,0.476435346295248,0.824458930574639,0.0145246478873239,0.124494202407909,0.417652063932582,0,21,21,-1.98952335876555,2.53857757705924
22,5,1,7,9,7,7,0.777777777777778,0.777777777777778,109.481880447056,111.668822786358,85.1525736810432,86.8535288338339,525.000084594039,526.9036022144,1.90351762036096,607.96988789788,610.156830237183,2.18694233930307,526.608562904709,528.20738627094,1.59882336623048,1.70095515279067,0,0,446.131998805669,70.459846367337,428.82152168933,430.43,166.638409272046,0.996403223813349,1,0.994186046511628,0.490426038724805,0.910054001339811,0.0232558139534884,0.130098613662543,0.448404062005343,0,446.989778250717,68.8610230011065,429.12621594346,430.43,166.638409272046,0.997035689017787,1,0.988372093023256,0.494469009816186,0.881513091434613,0.0232558139534884,0.109678790933415,0.460362101502467,0,9,10,-1.59882336623048,0.304694254130425
23,5,2,7,20,15,20,0.75,1,61.1879933661813,57.5381975732969,45.890995024636,57.5381975732969,569.890981504172,572.252596995935,2.36161549176359,615.046504650465,629.790794569232,14.744289918767,569.890981504172,572.252596995935,2.36161549176359,11.6472025486609,0,0,487.590422219147,60.7109277678745,463.9635,463.9635,166.638409272046,1,1,1,0.515434873652009,0.973466876984901,0.0364077669902913,0.139883782042419,0.445753699194638,0,487.838524397384,58.3493122761111,463.9635,463.9635,166.638409272046,1,1,1,0.51866116895863,0.935601668227558,0.0388349514563107,0.115342525944917,0.372300150187955,0,7,7,-2.36161549176346,0
24,5,3,7,28,23,24,0.821428571428571,0.857142857142857,65.5221150841906,74.8979143038219,53.8217373905851,64.1982122604188,559.432333320788,562.593811844631,3.16147852384336,613.424978861523,626.532860250673,13.1078813891501,561.500148475698,563.094800418655,1.5946519429574,10.3764748698337,0,0,475.919136001569,45.9357607963486,438.72968484509,440.7975,166.638409272046,0.994633538164994,1,0.989051094890511,0.509566941780002,0.931475199994674,0.031021897810219,0.135337299644488,0.373652355319114,0,477.825726168666,44.3411088533912,440.296511425976,440.7975,166.638409272046,0.998872533774377,1,0.994525547445255,0.514625020289047,0.932084938180952,0.0291970802919708,0.116572672261995,0.341564054215386,0,8,8,-1.5946519429574,1.56682658088596
25,5,4,7,24,21,21,0.875,0.875,68.0837615346265,81.422677399394,59.5732913427982,71.2448427244698,548.284160351111,550.399086906015,2.1149265549044,607.969887897881,622.130683296519,14.160795398638,550.849675650389,552.304309905197,1.45463425480807,11.6715513816715,1,0,463.13875395576,51.2237336216577,432.869484700722,435.435,166.638409272046,0.993284208304024,1,0.987068965517241,0.499817409755546,0.92948707832811,0.0237068965517241,0.144381750924563,0.369710343940571,0,464.011573008522,49.7690993668496,433.529777000818,435.435,166.638409272046,0.994993652785632,1,0.989224137931034,0.504159432252651,0.890004797856194,0.0237068965517241,0.11745565109406,0.345231233963988,0,10,9,-1.45463425480806,0.660292300096387
26,5,5,7,22,19,19,0.863636363636364,0.863636363636364,57.6726980157787,57.6727154583298,49.8082391954452,49.8082542594666,560.37058410323,560.534051113348,0.163467010117756,607.96988789788,607.969905340432,1.74425523482569e-05,561.434761941237,562.113166225802,0.678404284564976,1.50640214044984e-05,0,0,476.829065010341,35.1786473308094,428.910822161993,429.975,166.638409272046,0.998009944211115,1,0.995238095238095,0.513027959900386,0.953365934025552,0.0261904761904762,0.150211545813529,0.406480660760218,0,477.236739573409,34.5002430462443,428.395884887546,429.975,166.638409272046,0.996951369031791,1,0.990476190476191,0.51609466035412,0.912508897860647,0.0285714285714286,0.118588266838905,0.334015728571811,0,11,11,-0.678404284565069,-0.514937274447277
27,5,6,7,9,9,9,1,1,83.9639582803364,88.4719090980663,83.9639582803364,88.4719090980663,519.497978822465,519.497978822465,2.27373675443232e-13,603.461937102801,607.969887920531,4.50795081773003,519.497978822465,519.497978822465,0,4.50795081772996,0,0,429.407978822465,37.5304304495817,390.39,390.39,166.638409272046,1,1,1,0.48034695471091,0.879324256952754,0,0.147166382236154,0.46787000799585,0,429.407978822465,37.5304304495817,390.39,390.39,166.638409272046,1,1,1,0.481748265896718,0.85749211564825,0.0192307692307692,0.141948907362613,0.496108916649379,0,13,13,0,0
28,5,7,7,40,27,27,0.675,0.675,65.9691093799427,77.0163692676837,44.5291488314613,51.9860492556865,535.417219057724,535.819615175239,0.402396117514172,570.875269345116,581.922529232857,11.047259887741,536.702075025909,536.765731939218,0.0636569133084777,7.45690042422518,0,0,448.580010063622,51.1070842461373,419.885894031815,421.17075,166.638409272046,0.996370245779098,1,0.99331550802139,0.491893653909145,0.907171872476293,0.018716577540107,0.148307587483827,0.433950360364401,0,448.854707936469,51.0434273328288,420.224633236021,421.17075,166.638409272046,0.997329689832163,1,0.994652406417112,0.494424822464104,0.853995075970881,0.018716577540107,0.123393546218224,0.365950303234104,0,16,16,-0.0636569133085061,0.338739204205638
31,6,3,7,1,1,1,1,1,70.1061714998114,75.3219836141141,70.1061714998114,75.3219836141141,601.688280672679,601.688280672679,0,671.79445217249,677.010264286793,5.21581211430305,601.688280672679,601.688280672679,0,5.21581211430271,0,0,511.598280672679,15.4001285993677,450.45,450.45,166.638409272046,1,1,1,0.540163522910497,0.953711730699612,0.05,0.117271948989257,0.334600514354449,0,511.598280672679,15.4001285993677,450.45,450.45,166.638409272046,1,1,1,0.545906483793516,0.950375048591523,0.05,0.122357988578319,0.228966365679225,0,2,2,0,0
33,6,5,7,1,1,1,1,1,96.7152140673149,105.171369750216,96.7152140673149,105.171369750216,551.895101509697,551.895101509697,0,648.610315577012,657.066471259913,8.456155682901,551.895101509697,551.895101509697,0,8.4561556829011,0,0,461.805101509697,65.1933077623491,450.45,450.45,166.638409272046,1,1,1,0.483237061715419,0.904773247300212,0,0.170312803689571,0.486884982665479,0,461.805101509697,65.1933077623491,450.45,450.45,166.638409272046,1,1,1,0.485324501780978,0.87813020948239,0,0.183520072653162,0.548119808730794,0,5,5,0,0
35,6,7,7,2,1,1,0.5,0.5,22.5227947572182,22.5227973600447,11.2613973786091,11.2613986800223,600.715052446265,603.183125409494,2.46807296322856,607.96988789788,607.969890500707,2.60282706676662e-06,606.016033025496,606.016033025496,0,1.30141324916622e-06,0,0,540.822622606987,101.16237624655,535.239019420769,540.54,166.638409272046,0.989082433534493,1,0.958333333333333,0.540248033550989,0.980351062032542,0.0416666666666667,0.150914062842652,0.479481099248327,0,540.822622606987,101.16237624655,537.707092383998,540.54,166.638409272046,0.99244411430006,1,0.958333333333333,0.538555476510487,0.982799562966005,0.0416666666666667,0.112192529698902,0.464515349488122,0,11,12,0,2.46807296322856
