state,a,loc,lf,oos_count,saa_infeasible_path_count,dro_infeasible_path_count,saa_infeasible_share,dro_infeasible_share,saa_conditional_mean_capacity_gap_kg,dro_conditional_mean_capacity_gap_kg,saa_unconditional_mean_capacity_gap_kg,dro_unconditional_mean_capacity_gap_kg,saa_actual_final_inventory_mean_kg,dro_actual_final_inventory_mean_kg,delta_actual_inventory_kg,saa_target_total_kg,dro_target_total_kg,delta_target_kg,saa_max_feasible_inventory_mean_kg,dro_max_feasible_inventory_mean_kg,delta_max_feasible_inventory_kg,delta_unconditional_capacity_gap_kg,saa_gap_greater_than_dro_path_count,saa_infeasible_dro_feasible_path_count
17,4,3,7,78,65,67,0.833333333333333,0.858974358974359,86.8313596478806,100.134001432178,72.3594663732338,86.0125396917426,490.218929552177,494.02344604953,3.80451649735335,562.147123803289,578.512356224272,16.365232420983,495.599432763175,496.425891252173,0.826458488998242,13.6530733185088,0,0
18,4,4,7,55,44,49,0.8,0.890909090909091,80.6401881345863,96.1660067463955,64.512150507669,85.6751696467887,483.59048574974,487.317733335945,3.72724758620484,546.327360008728,571.966287503776,25.6389274950483,488.816357853066,490.063578772536,1.2472209194699,21.1630191391197,0,0
19,4,5,7,44,20,26,0.454545454545455,0.590909090909091,72.5134947664565,86.2121339576539,32.9606794392984,50.94353370225,495.639884466051,501.639009455649,5.99912498959833,511.414777841421,542.961636332278,31.5468584908568,505.149042484906,507.046340828563,1.89729834365761,17.9828542629516,0,0
20,4,6,7,37,6,17,0.162162162162162,0.459459459459459,25.2026873049877,49.7629536748915,4.08692226567368,22.8640597965718,496.979273667032,499.955772506745,2.97649883971314,427.406377001336,491.859710751919,64.4533337505831,502.32626847576,503.003842000174,0.677573524413845,18.7771375308981,0,0
21,4,7,7,124,16,23,0.129032258064516,0.185483870967742,13.0497141449151,33.3338315591551,1.68383408321485,6.18288811177877,502.120622225864,506.648723161689,4.52810093582491,405.313258598587,434.497947905568,29.1846893069812,508.25712894652,510.246652305286,1.98952335876561,4.49905402856392,0,0
22,5,1,7,9,7,7,0.777777777777778,0.777777777777778,109.481880447056,111.668822786358,85.1525736810432,86.8535288338339,525.000084594039,526.9036022144,1.90351762036096,607.96988789788,610.156830237183,2.18694233930307,526.608562904709,528.20738627094,1.59882336623048,1.70095515279067,0,0
23,5,2,7,20,15,20,0.75,1,61.1879933661813,57.5381975732969,45.890995024636,57.5381975732969,569.890981504172,572.252596995935,2.36161549176359,615.046504650465,629.790794569232,14.744289918767,569.890981504172,572.252596995935,2.36161549176359,11.6472025486609,0,0
24,5,3,7,28,23,24,0.821428571428571,0.857142857142857,65.5221150841906,74.8979143038219,53.8217373905851,64.1982122604188,559.432333320788,562.593811844631,3.16147852384336,613.424978861523,626.532860250673,13.1078813891501,561.500148475698,563.094800418655,1.5946519429574,10.3764748698337,0,0
25,5,4,7,24,21,21,0.875,0.875,68.0837615346265,81.422677399394,59.5732913427982,71.2448427244698,548.284160351111,550.399086906015,2.1149265549044,607.969887897881,622.130683296519,14.160795398638,550.849675650389,552.304309905197,1.45463425480807,11.6715513816715,1,0
26,5,5,7,22,19,19,0.863636363636364,0.863636363636364,57.6726980157787,57.6727154583298,49.8082391954452,49.8082542594666,560.37058410323,560.534051113348,0.163467010117756,607.96988789788,607.969905340432,1.74425523482569e-05,561.434761941237,562.113166225802,0.678404284564976,1.50640214044984e-05,0,0
27,5,6,7,9,9,9,1,1,83.9639582803364,88.4719090980663,83.9639582803364,88.4719090980663,519.497978822465,519.497978822465,2.27373675443232e-13,603.461937102801,607.969887920531,4.50795081773003,519.497978822465,519.497978822465,0,4.50795081772996,0,0
28,5,7,7,40,27,27,0.675,0.675,65.9691093799427,77.0163692676837,44.5291488314613,51.9860492556865,535.417219057724,535.819615175239,0.402396117514172,570.875269345116,581.922529232857,11.047259887741,536.702075025909,536.765731939218,0.0636569133084777,7.45690042422518,0,0
31,6,3,7,1,1,1,1,1,70.1061714998114,75.3219836141141,70.1061714998114,75.3219836141141,601.688280672679,601.688280672679,0,671.79445217249,677.010264286793,5.21581211430305,601.688280672679,601.688280672679,0,5.21581211430271,0,0
33,6,5,7,1,1,1,1,1,96.7152140673149,105.171369750216,96.7152140673149,105.171369750216,551.895101509697,551.895101509697,0,648.610315577012,657.066471259913,8.456155682901,551.895101509697,551.895101509697,0,8.4561556829011,0,0
35,6,7,7,2,1,1,0.5,0.5,22.5227947572182,22.5227973600447,11.2613973786091,11.2613986800223,600.715052446265,603.183125409494,2.46807296322856,607.96988789788,607.969890500707,2.60282706676662e-06,606.016033025496,606.016033025496,0,1.30141324916622e-06,0,0
