selection_path_id,path_set,source_category,candidate_pool_unique_path_id,a0,loc0,lfw0,a1,loc1,lfw1,a2,loc2,lfw2,a3,loc3,lfw3,path_probability,observed_frequency,empirical_weight,nominal_inclusion_status,selection_rule,risk_envelope_percentile,risk_mean_percentile,risk_band,available_reference_path_count,grid_max_wind_mps,grid_cumulative_excess_mps,road_max_wind_mps,road_cumulative_excess_mps,is_observed_candidate,is_unobserved_candidate,selection_population,physical_path_key,damage_mode,theoretical_path_probability,run005_unique_path_id,B3_scenario_count,B3_stage_row_count,D_Hres3h_mean_kg,D_Hres3h_max_kg,D_Hres3h_q95_kg,full_loss_upper_hit_share,A0_pair_share,reachable_pair_share,C_reachable_mean_km,C_reachable_max_km,failed_lines_W3_mean,failed_lines_W3_max,closed_roads_W3_mean,closed_roads_W3_max,joint_line_road_damage_share,road_disconnection_share,exact_full_DAC_novel_share,binned_DAC_novel_share,A_pattern_novel_share,line_failure_novel_share,road_disconnect_novel_share,line_road_joint_novel_share,structural_novel_share,raw_probability_weighted_D_contribution,raw_probability_weighted_full_loss_contribution,raw_probability_weighted_A0_contribution,probability_renormalized
460,candidate,unobserved_candidate,460,3,7,0,5,4,2,6,1,2,6,4,2,7.296e-13,0,0,pending_after_B3,all_run005_candidates,NaN,NaN,candidate,7727,55.2436058969182,2098.05688006652,55.2436058969182,2061.64396555014,0,1,run005_complete_candidate_pool,3|7|0|5|4|2|6|1|2|6|4|2,persistent_fixed_resistance,7.296e-13,460,20,60,595.859585958596,607.969887897881,607.969887897881,0.45,0.725505050505051,0.27449494949495,23.6135870790543,86.6034764978226,32,32,28.65,35,1,1,1,1,1,1,1,1,1,4.34739153915392e-10,3.2832e-13,5.29328484848485e-13,0
461,candidate,unobserved_candidate,461,3,7,0,5,4,2,6,1,3,6,4,2,6.84e-13,0,0,pending_after_B3,all_run005_candidates,NaN,NaN,candidate,7727,55.4927759888396,1774.47382133052,55.4927759888396,1669.72295313536,0,1,run005_complete_candidate_pool,3|7|0|5|4|2|6|1|3|6|4|2,persistent_fixed_resistance,6.84e-13,461,20,60,595.204975042959,607.969887897881,607.969887897881,0.55,0.732323232323232,0.267676767676768,21.6151536076352,82.233237555869,31.5,32,28.15,34,1,1,1,1,1,1,1,1,1,4.07120202929384e-10,3.762e-13,5.00909090909091e-13,0
462,candidate,unobserved_candidate,462,3,7,0,5,4,2,6,2,1,4,-1,3,1.92e-15,0,0,pending_after_B3,all_run005_candidates,NaN,NaN,candidate,7727,45.9865692331103,1085.36744970693,45.9865692331103,850.006642837661,0,1,run005_complete_candidate_pool,3|7|0|5|4|2|6|2|1|4|-1|3,persistent_fixed_resistance,1.92e-15,462,20,60,588.986171344407,607.969887897881,607.969887897881,0.5,0.62449494949495,0.375505050505051,24.6483262283213,88.9806062634009,21.4,26,14.45,19,1,1,1,1,1,1,1,1,1,1.13085344898126e-12,9.6e-16,1.1990303030303e-15,0
463,candidate,unobserved_candidate,463,3,7,0,5,4,2,6,2,1,4,5,3,2.4e-15,0,0,pending_after_B3,all_run005_candidates,NaN,NaN,candidate,7727,45.9865692331103,1182.99010065713,45.9865692331103,923.4640238336,0,1,run005_complete_candidate_pool,3|7|0|5|4|2|6|2|1|4|5|3,persistent_fixed_resistance,2.4e-15,463,20,60,591.031830455773,607.969887897881,607.969887897881,0.55,0.600631313131313,0.399368686868687,25.7537175106118,97.3533432938931,19.85,24,14.15,22,1,1,1,1,0.95,1,1,1,1,1.41847639309385e-12,1.32e-15,1.44151515151515e-15,0
464,candidate,unobserved_candidate,464,3,7,0,5,4,2,6,2,1,6,-1,3,3.648e-14,0,0,pending_after_B3,all_run005_candidates,NaN,NaN,candidate,7727,51.9667788761672,1547.15110908295,51.9667788761672,1372.31656681605,0,1,run005_complete_candidate_pool,3|7|0|5|4|2|6|2|1|6|-1|3,persistent_fixed_resistance,3.648e-14,464,20,60,597.823418705507,607.969887897881,607.969887897881,0.7,0.567550505050505,0.432449494949495,28.5076392795362,103.345873419299,23.9,27,16.85,23,1,1,1,1,0.95,1,1,1,1,2.18085983143769e-11,2.5536e-14,2.07042424242424e-14,0
465,candidate,unobserved_candidate,465,3,7,0,5,4,2,6,2,1,6,5,3,4.56e-14,0,0,pending_after_B3,all_run005_candidates,NaN,NaN,candidate,7727,54.5213928208875,1693.38746880592,54.5213928208875,1549.1847157582,0,1,run005_complete_candidate_pool,3|7|0|5|4|2|6|2|1|6|5|3,persistent_fixed_resistance,4.56e-14,465,20,60,593.81392684723,607.969887897881,607.969887897881,0.45,0.636111111111111,0.363888888888889,25.9798142589446,100.828497925161,28.1,31,22.5,28,1,1,1,1,1,1,1,1,1,2.70779150642337e-11,2.052e-14,2.90066666666667e-14,0
466,candidate,unobserved_candidate,466,3,7,0,5,4,2,6,3,1,4,0,3,4.224e-15,0,0,pending_after_B3,all_run005_candidates,NaN,NaN,candidate,7727,45.9865692331103,1188.86329528368,45.9865692331103,922.742284159959,0,1,run005_complete_candidate_pool,3|7|0|5|4|2|6|3|1|4|0|3,persistent_fixed_resistance,4.224e-15,466,20,60,600.114556910237,607.969887897881,607.969887897881,0.7,0.535858585858586,0.464141414141414,27.9803758031637,106.155059328002,21.25,26,13.05,18,1,1,1,1,1,1,1,1,1,2.53488388838884e-12,2.9568e-15,2.26346666666667e-15,0
467,candidate,unobserved_candidate,467,3,7,0,5,4,2,6,3,1,6,0,3,8.0256e-14,0,0,pending_after_B3,all_run005_candidates,NaN,NaN,candidate,7727,54.4752973178521,1699.40510829388,54.4752973178521,1571.30115663272,0,1,run005_complete_candidate_pool,3|7|0|5|4|2|6|3|1|6|0|3,persistent_fixed_resistance,8.0256e-14,467,20,60,597.332460518779,607.969887897881,607.969887897881,0.65,0.685479797979798,0.314520202020202,22.8639523045573,90.896878032928,27.85,30,22,29,1,1,1,1,1,1,1,1,1,4.79395139513952e-11,5.21664e-14,5.50138666666667e-14,0
468,candidate,observed_candidate,468,3,7,0,5,6,2,6,7,2,6,7,3,3.792096e-10,1,6.66666666666667e-05,included_in_main_empirical_distribution,all_run005_candidates,NaN,NaN,candidate,7727,43.5124061032725,1173.73289612225,43.5124061032725,904.879058966704,1,0,run005_complete_candidate_pool,3|7|0|5|6|2|6|7|2|6|7|3,persistent_fixed_resistance,3.792096e-10,468,20,60,494.326705397812,607.969887897881,607.969887897881,0.3,0.319444444444444,0.680555555555556,26.9765699310902,92.8541182072587,15.65,21,8.95,12,1,0.75,1,1,0.8,1,1,1,1,1.87453432223222e-07,1.1376288e-10,1.211364e-10,0
469,candidate,unobserved_candidate,469,3,7,0,5,7,2,4,4,1,6,1,3,2.8224e-14,0,0,pending_after_B3,all_run005_candidates,NaN,NaN,candidate,7727,55.4927759888396,700.964784454477,55.4927759888396,494.105277007144,0,1,run005_complete_candidate_pool,3|7|0|5|7|2|4|4|1|6|1|3,persistent_fixed_resistance,2.8224e-14,469,20,60,390.829992090118,591.604615006955,562.147123803289,0,0.301388888888889,0.698611111111111,20.8801616932318,90.5995356154593,18,20,13.4,17,1,1,1,1,1,1,1,1,1,1.10307856967515e-11,0,8.5064e-15,0
