evaluation_pair_id,pair_group,initial_state_id,scenario_r,scenario_s,path_id_r,path_id_s,replay_source,d_D,d_Ctilde,d_new,T_r1,T_r2,T_r3,T_r4,T_s1,T_s2,T_s3,T_s4,Q_Tr_xi_r,Q_Tr_xi_s,Q_Ts_xi_r,Q_Ts_xi_s,DeltaQ_Tr,DeltaQ_Ts,RelDeltaQ_Tr,RelDeltaQ_Ts,PairRelDeltaQ,large_fixed_loss_mismatch,LossSlope,loss_slope_status,relative_regret_obj_r_to_s,relative_regret_obj_s_to_r,bidirectional_regret_severity,small_distance_q25,small_distance_high_fixed_loss
11,STEP03T_TIER1,30,10710,9931,10710,9931,STEP03T_REUSED,0,0.137355503684975,0.0549422014739899,98.1916373455527,19.6383274691105,14.7287456018329,149.999999999995,216.021602160216,19.6383274691105,14.7287456018329,24.5479093363833,561614.89071148,810185.387631448,810809.235350508,576314.180267849,248570.496919968,234495.055082659,0.306806936677365,0.289211129892086,0.306806936677365,1,4524218.00094129,FINITE_POSITIVE_DISTANCE,0.405444662779345,0.443237213673177,0.405444662779345,0,0
12,STEP03T_CONTROL,30,11691,9716,11691,9716,STEP03T_REUSED,0,0.116644292667826,0.0466577170671303,68.7341461418869,200,100,24.5479093363832,68.7341461418869,200,100,24.5479093363831,439607.263720648,433197.6735879,439607.263720648,433197.6735879,6409.59013274801,6409.59013274801,0.0145802643898556,0.0145802643898556,0.0145802643898556,0,137374.705314579,FINITE_POSITIVE_DISTANCE,-2.30693117570398e-14,-2.23370403323119e-14,-2.30693117570398e-14,0,0
13,STEP03T_TIER1,31,3295,3225,3295,3225,STEP03T_REUSED,0,0.0227286969441855,0.00909147877767422,68.7341461418869,39.2766549382211,14.7287456018329,91.6455281891775,137.468292283774,29.4574912036658,14.7287456018329,58.9149824073267,787460.894200831,872438.823454954,872399.149838741,735270.704561884,84977.929254123,137128.445276857,0.0974027369822918,0.157185441207966,0.157185441207966,1,15083183.7845347,FINITE_POSITIVE_DISTANCE,0.186361408694166,0.107871226590089,0.107871226590089,0,0
14,STEP03T_TIER1,31,11336,6188,11336,6188,STEP03T_REUSED,0,0.085987730762521,0.0343950923050084,68.7341461418869,200,14.7287456018329,136.306357908513,166.92578348744,128.467392194899,14.7287456018329,130.92218312627,380475.816436605,532836.064221373,532513.568846209,337201.233247636,152360.247784768,195312.335598573,0.285942071146048,0.366774382898363,0.366774382898363,1,5678494.29990141,FINITE_POSITIVE_DISTANCE,0.578532772399459,0.3988307844164,0.3988307844164,0,0
15,STEP03T_TIER1,31,11578,5253,11578,5253,STEP03T_REUSED,0,0.12878892588668,0.051515570354672,68.7341461418869,200,14.7287456018329,24.5479093363831,68.7341461418869,29.4574912036658,14.7287456018329,111.283855658288,511951.343560645,849384.267448228,849383.782729305,676242.935962537,337432.923887583,173140.846766768,0.397267687687835,0.203842892091039,0.397267687687835,1,6550115.26737335,FINITE_POSITIVE_DISTANCE,0.256112252705279,0.657991220210771,0.256112252705279,0,0
16,STEP03T_CONTROL,31,8102,1750,8102,1750,STEP03T_REUSED,0,0.0861253000886397,0.0344501200354559,68.7341461418869,200,24.5479093363882,57.2784551182341,68.7341461418869,200,24.5479093363882,58.9149824073267,518991.870211513,517979.434138048,518991.870211513,514711.927408731,1012.43607346504,4279.942802782,0.00195077443708786,0.00824664710265639,0.00824664710265639,0,124235.93294819,FINITE_POSITIVE_DISTANCE,0.00633319811318251,6.29805408830564e-06,6.29805408830564e-06,0,0
17,STEP03T_TIER1,11,7036,14693,7036,14693,STEP03T_REUSED,0,0.0106074837207532,0.00424299348830129,141.832365054687,50.7323460911775,66.5521096271215,146.196437825601,194.201238305649,80.1898372101036,66.5521097118613,64.3700733709735,3491.09673196071,3805.27278885587,4586.99968581339,3343.65164366872,314.17605689516,1243.34804214467,0.082563346789554,0.271059107762767,0.271059107762767,1,293035.576314884,FINITE_POSITIVE_DISTANCE,0.111119459822335,0.254759055935832,0.111119459822335,1,1
18,STEP03T_TIER1,11,10407,11668,10407,11668,STEP03T_REUSED,0.192911619560024,0.0305187539862429,0.127954473330511,54.0054005425254,0,0,140.741346859488,9.74253566710104e-10,0,9.81916373455527,87.2814554172949,1456.56879644281,19934.2661538881,215099.394554849,295.938684777569,18477.6973574453,214803.455870071,0.926931406192813,0.998624177044338,0.998624177044338,1,1678749.0916025,FINITE_POSITIVE_DISTANCE,40.4652198099498,115.623147991255,40.4652198099498,0,0
19,STEP03T_TIER1,11,3520,8359,3520,8359,STEP03T_REUSED,0,0.575603803686572,0.230241521474629,152.197037885607,200,100,58.9149824073266,291.301857458473,76.0985190183202,99.8281645591284,140.741346861959,199575.709067788,197911.685413877,443746.787520248,4086.30342401212,1664.02365391099,439660.484096236,0.00833780654811947,0.990791362238705,0.990791362238705,1,1909562.1036568,FINITE_POSITIVE_DISTANCE,36.5188202347397,1.21818201414682,1.21818201414682,0,0
20,STEP03T_CONTROL,11,3957,14538,3957,14538,STEP03T_REUSED,0.0323014804844691,0.0651605073704504,0.0454450912388616,124.376073971033,50.7323460155618,66.5521097027373,93.8275645746393,124.376073971033,50.7323460064394,66.5521097118597,93.8275645746393,41028.2471795193,1877.71198131427,41028.2471795176,1877.71198131223,39150.535198205,39150.5351982054,0.954233677761121,0.954233677761169,0.954233677761169,1,861490.958229752,FINITE_POSITIVE_DISTANCE,8.02908375847885e-13,-4.08298750960323e-14,-4.08298750960323e-14,0,0
21,STEP03T_TIER1,21,4757,5018,4757,5018,STEP03T_REUSED,0,0.00824141501089638,0.00329656600435855,188.215639751914,50.7323459618689,16.3652728909255,149.999999993879,200.747347470102,100.919182827374,16.3652728909255,87.2814554101862,2917.13218524255,3570.66971180889,3445.81312132318,2783.40644724643,653.53752656634,662.40667407675,0.183029397651921,0.192235228886234,0.192235228886234,1,200938.392618546,FINITE_POSITIVE_DISTANCE,0.21904731324142,0.141822735397175,0.141822735397175,1,1
22,STEP03T_TIER1,21,353,10381,353,10381,STEP03T_REUSED,0.0161507402422345,0.250781719567071,0.110003131972169,39.2766549382211,191.473692823828,16.3652728909255,16.3652728909204,97.1006191538562,85.6449281281447,16.3652728909255,74.1892371055287,4006.64124937986,118764.360304411,213003.124009599,2584.13371584107,114757.719055031,210418.990293758,0.966263942826701,0.987868094762194,0.987868094762194,1,1912845.44831864,FINITE_POSITIVE_DISTANCE,37.1033101355456,46.1037544323844,37.1033101355456,0,0
23,STEP03T_TIER1,21,8542,2987,8542,2987,STEP03T_REUSED,0,0.437066763717756,0.174826705487102,162.016201620162,170.845266348561,99.9999999962555,101.464691923738,300,76.0985189817589,91.1300220541628,140.741346861959,152684.524054541,152445.141800705,279971.228668328,5216.44254276649,239.382253835996,274754.786125562,0.00156782264160895,0.981367933528105,0.981367933528105,1,1571583.61681666,FINITE_POSITIVE_DISTANCE,22.8657757760264,0.828821849895065,0.828821849895065,0,0
24,STEP03T_CONTROL,21,4441,11613,4441,11613,STEP03T_REUSED,0.0323014804844691,0.16219650325936,0.0842594895944253,161.470692523798,90.009000931072,78.007800749096,39.2766549382211,154.924583367428,83.4628917882194,91.1000190483188,39.2766549382211,125376.521735428,85896.3538633717,125382.533163071,85724.149541813,39480.1678720563,39658.383621258,0.31489283101479,0.316299109778543,0.316299109778543,1,470669.639848873,FINITE_POSITIVE_DISTANCE,0.00199168378246314,4.76665973508604e-05,4.76665973508604e-05,0,0
25,HOLDOUT_TIER1,7,3576,12748,3576,12748,NEW_HOLDOUT_REPLAY,0.00772698003861666,9.4198159956727e-20,0.00463618802316999,0,2.27737204666177e-09,8.18263644318536,0,0,1.16853942252807e-09,4.9095818661091,0,6.81886371455225,0,6546.10915637774,1.00000008274037e-08,6.81886371455225,6546.10915636774,1,0.999999999998472,1,1,1411959.37775877,FINITE_POSITIVE_DISTANCE,0.666666664969305,281.776470466592,0.666666664969305,1,1
26,HOLDOUT_CONTROL,7,3952,9192,3952,9192,NEW_HOLDOUT_REPLAY,0,0.00693180391974328,0.00277272156789731,97.1006191528244,25.3661755226242,33.2760523365253,46.9137822873196,97.1006191528244,25.3661730255091,33.2760548336404,46.9137822873196,1307.82236947206,1385.73010833301,1307.82236946224,1385.73010777276,77.9077388609478,77.9077383105221,0.0562214376323745,0.0562214372578949,0.0562214376323745,0,28097.9308427384,FINITE_POSITIVE_DISTANCE,3.12806298443734e-10,-5.73485775512776e-12,-5.73485775512776e-12,1,0
27,HOLDOUT_TIER1,18,9141,9796,9141,9796,NEW_HOLDOUT_REPLAY,0,0.00954558774480803,0.00381823509792321,300,66.2793552449404,34.3670730342511,146.771949922265,230.750347762049,76.098518993758,99.8281645836906,140.741346861959,4177.53079429007,3877.62640170842,4882.10591069458,3362.0241087617,299.904392581648,1520.08180193288,0.0717898699852944,0.311357809465591,0.311357809465591,1,398111.107081822,FINITE_POSITIVE_DISTANCE,0.115687320862253,0.133635432209559,0.115687320862253,1,1
28,HOLDOUT_CONTROL,18,11027,13105,11027,13105,NEW_HOLDOUT_REPLAY,0,0.00953991787869008,0.00381596715147603,255.126421746568,66.2793552082481,100,140.741346848473,245.479093363882,66.6680305141284,99.9999999252792,150,3966.25064406011,3960.80803433307,4010.01512455217,3932.25479628733,5.44260972704706,77.7603282648397,0.00137223040485299,0.0193915299193601,0.0193915299193601,0,20377.6199265137,FINITE_POSITIVE_DISTANCE,0.00564678356679256,0.00859720941930912,0.00564678356679256,1,0
29,HOLDOUT_TIER1,30,10786,4869,10786,4869,NEW_HOLDOUT_REPLAY,0,0.0227315120429804,0.00909260481719216,83.4628917437198,19.6383274691105,24.5479093363882,57.2784551182341,152.197037885607,19.6383274691105,14.7287456018329,24.5479093363833,835385.679831479,920335.675793808,920340.709387875,783158.014494082,84949.9959623289,137182.694893793,0.0923032738995561,0.149056423881363,0.149056423881363,1,15087282.2092092,FINITE_POSITIVE_DISTANCE,0.174998405629644,0.101713234157351,0.101713234157351,0,0
30,HOLDOUT_CONTROL,30,4413,3941,4413,3941,NEW_HOLDOUT_REPLAY,0,0.0227410546526013,0.00909642186104051,168.562310776532,19.6383274691105,14.7287456018329,58.9149824073266,166.92578348744,19.6383274691105,14.7287456018329,58.9149824073266,693173.66382287,696207.954235862,696415.996368104,696207.954235862,3034.29041299189,208.042132241535,0.00435831046532963,0.000298732558307823,0.00435831046532963,0,333569.667210312,FINITE_POSITIVE_DISTANCE,4.6977483759106e-06,0.00466926892356489,4.6977483759106e-06,0,0
31,HOLDOUT_TIER1,31,2677,11805,2677,11805,NEW_HOLDOUT_REPLAY,0,0.0227293225749143,0.00909172902996574,68.7341461418869,49.0958186727764,14.7287456018329,57.2784551182341,137.468292283774,39.2766549382211,14.7287456018329,24.5479093363832,836502.597533888,921466.212420115,921433.036018631,784306.55475361,84963.6148862268,137126.481265021,0.092204807665254,0.148818715961741,0.148818715961741,1,15082552.5940183,FINITE_POSITIVE_DISTANCE,0.174717146767123,0.101546908346622,0.101546908346622,0,0
32,HOLDOUT_CONTROL,31,12300,1040,12300,1040,NEW_HOLDOUT_REPLAY,0,0.0227448988856547,0.00909795955426186,99.8281646346453,19.6383274691105,14.7287456018329,24.5479093363831,98.1916373455527,19.6383274691105,14.7287456018329,24.5479093363831,899016.611859443,902251.564760087,902254.95299865,902251.564760087,3234.95290064369,3.38823856308591,0.00358542232232524,3.75530059638362e-06,0.00358542232232524,0,355569.057144061,FINITE_POSITIVE_DISTANCE,3.62638895481285e-06,0.00359718161611001,3.62638895481285e-06,0,0
33,HOLDOUT_TIER1,11,8255,3251,8255,3251,NEW_HOLDOUT_REPLAY,0,0.0120182531676247,0.0048073012670499,150.560510596514,19.6383275028521,73.0982188790588,111.829364754657,150.560510596514,92.1910373301174,66.5521097118595,45.8227640945913,3287.69575572101,3068.72225623235,3815.58135405212,2672.66629827143,218.973499488658,1142.91505578069,0.0666039426268736,0.299538903702557,0.299538903702557,1,237745.668991963,FINITE_POSITIVE_DISTANCE,0.117075206756934,0.132039115870183,0.117075206756934,0,0
34,HOLDOUT_CONTROL,11,6042,13138,6042,13138,NEW_HOLDOUT_REPLAY,0,0.0117743500157074,0.00470974000628295,148.378474213639,50.7323459618689,66.5521097564302,93.8275645720579,128.740146741947,50.7323459876152,92.7365463819109,87.2814553925227,94361.9293696778,95048.8783821159,94414.9244241595,94953.466866722,686.949012438054,538.542442562466,0.0072273237110319,0.00567164591597663,0.0072273237110319,0,145857.098591778,FINITE_POSITIVE_DISTANCE,0.000997272647792833,0.000557367975146241,0.000557367975146241,0,0
35,HOLDOUT_TIER1,21,13657,14463,13657,14463,NEW_HOLDOUT_REPLAY,0,0.00835392959813146,0.00334157183925259,194.201238308195,107.465291983744,9.81916373455527,93.8275645720933,207.853967221799,37.6401276491285,9.81916373455527,149.999999993104,2688.13996885342,4182.36462949348,3192.452261296,3422.55255725768,1494.22466064006,230.100295961674,0.357267907753185,0.0672306099357731,0.357267907753185,1,447162.213628864,FINITE_POSITIVE_DISTANCE,0.179489707114187,0.14414002605011,0.14414002605011,1,1
36,HOLDOUT_CONTROL,21,5390,11340,5390,11340,NEW_HOLDOUT_REPLAY,0,0.00830999898845462,0.00332399959538185,291.301857462826,76.0985189428034,99.8281646302928,140.741346861959,291.301857458473,76.0985189873692,99.8281645900794,140.741346861959,4076.54478092528,3860.98124887212,4076.54478103673,3860.98124886895,215.563532053161,215.563532167778,0.0528789805184561,0.0528789805451264,0.0528789805451264,0,64850.6493404114,FINITE_POSITIVE_DISTANCE,6.24134101275713e-13,2.10577207304878e-11,6.24134101275713e-13,1,0
