arm,penalty,iteration,budget_s,elapsed_seconds,lower_bound,lower_bound_increment,forward_sampled_objective,cuts_before,cut_count,cuts_added,forward_stage_solve_count,backward_cut_solve_count,forward_time_s,backward_time_s,iteration_wall_time_s,cut_violation_flag,warning_id,warning_message,training_identity,convergence_scope,stage1_total_production,stage1_site1_production,stage1_site2_production,stage1_site3_production,stage1_site4_production,stage1_end_inventory_total,stage2_end_inventory_total,stage3_end_inventory_total
Arm-A,1000,29,18000,1361.3298376,56408.6722393719,0,58335.0494703129,29428,30479,1051,4,1051,0.0876862,46.6544242,47.2290342,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,109.98,46.8,23.4,16.38,23.4,237.607481134483,178.114475203772,148.657582825357
Arm-A,1000,30,18000,1416.4865626,56409.0938529459,0.421613573984359,58100.9718968907,30479,31530,1051,4,1051,0.0871854,53.9695642,54.7250739,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,109.98,46.8,23.4,16.38,23.4,237.607481134483,178.114475203772,143.733409272046
Arm-A,1000,31,18000,1464.8668592,56409.1741454595,0.0802925136376871,49721.3197426305,31530,32581,1051,3,1051,0.0727106,47.1555974,47.8668088,0,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,109.98,46.8,23.4,16.38,23.4,237.607481134483,178.114475203772,150.558409272046
Arm-A,1000,32,18000,1514.8312973,56409.2437794083,0.0696339488131343,67027.7887678504,32581,33632,1051,4,1051,0.091388,48.6684673,49.4818125,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,109.98,46.8,23.4,16.38,23.4,237.607481134483,178.114475203772,247.286343624812
Arm-A,1000,33,18000,1564.7423621,56430.265763366,21.0219839576894,99506.7519716337,33632,34683,1051,6,1051,0.1511153,48.4659489,49.2366623,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,109.98,46.8,23.4,16.38,23.4,237.607481134483,181.039475203772,162.258409272046
Arm-A,1000,34,18000,1615.6973137,56450.5412653975,20.2755020314944,58314.8442404103,34683,35734,1051,4,1051,0.103885,49.7527732,50.5737802,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,109.98,46.8,23.4,16.38,23.4,237.607481134483,186.889475203772,152.508409272046
Arm-A,1000,35,18000,1668.7619339,56451.607506949,1.06624155148165,9704.96321740672,35734,36785,1051,1,1051,0.0286789,51.6119352,52.3986593,0,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,109.98,46.8,23.4,16.38,23.4,237.607481134483,237.607481134483,237.607481134483
Arm-A,1000,36,18000,1716.8953712,56451.617940647,0.010433697985718,49705.1615995,36785,37836,1051,3,1051,0.0701633,46.8474056,47.6282829,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,109.98,46.8,23.4,16.38,23.4,237.607481134483,181.039475203772,146.658409272046
Arm-A,1000,37,18000,1766.0675178,56456.8440472114,5.22610656438337,49994.3047426305,37836,38887,1051,3,1051,0.0641205,48.0256657,48.7132362,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,109.98,46.8,23.4,16.38,23.4,237.607481134483,181.039475203772,159.333409272046
Arm-A,1000,38,18000,1806.2660944,56457.1154958323,0.271448620929732,58266.3403434471,38887,39938,1051,4,1051,0.0852929,39.4377981,39.7722006,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,109.98,46.8,23.4,16.38,23.4,237.607481134483,188.076512982081,153.695447050355
Arm-A,1000,39,18000,1844.9397186,56457.2147597445,0.0992639122123364,58298.1572313372,39938,40989,1051,4,1051,0.0779892,38.0351171,38.6054381,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,109.98,46.8,23.4,16.38,23.4,237.607481134483,178.114475203772,152.508409272046
Arm-A,1000,40,18000,1888.2442838,56458.0600134998,0.84525375533849,78127.3926169894,40989,42040,1051,5,1051,0.1257653,42.0035727,42.7904958,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,109.98,46.8,23.4,16.38,23.4,237.607481134483,183.507403697117,155.951337765391
Arm-A,1000,41,18000,1932.2339279,56458.4972886862,0.437275186384795,77416.2852521845,42040,43091,1051,5,1051,0.1354958,42.9670283,43.48514,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,109.98,46.8,23.4,16.38,23.4,237.607481134483,178.114475203772,143.733409272046
Arm-A,1000,42,18000,1975.6562295,56459.109632897,0.612344210763695,58588.810707734,43091,44142,1051,4,1051,0.0817883,42.8450614,43.3521144,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,109.98,46.8,23.4,16.38,23.4,237.607481134483,181.320588573138,162.539522641412
Arm-A,1000,43,18000,2025.7687696,56459.350094218,0.240461320994655,75420.4704653425,44142,45193,1051,4,1051,0.081296,47.2965614,49.6406346,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,113.88,46.8,27.3,16.38,23.4,237.607481134483,298.234475203772,351.798910359838
Arm-A,1000,44,18000,2072.5828716,56639.1467904736,179.79669625558,9797.55821740672,45193,46244,1051,1,1051,0.0267291,45.5887164,46.1903129,0,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,113.88,46.8,27.3,16.38,23.4,241.507481134483,241.507481134483,241.507481134483
Arm-A,1000,45,18000,2118.0381079,56639.4008661861,0.254075712524354,57395.7874600372,46244,47295,1051,4,1051,0.0851155,44.7570479,45.3538009,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,113.88,46.8,27.3,16.38,23.4,241.507481134483,182.014475203772,151.533409272046
Arm-A,1000,46,18000,2165.8106378,56752.0949945836,112.694128397467,58355.1672782357,47295,48346,1051,4,1051,0.0990361,46.8072704,47.3720982,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,113.88,46.8,27.3,16.38,23.4,241.507481134483,182.014475203772,151.533409272046
Arm-A,1000,47,18000,2212.5776249,56752.7784838671,0.683489283539529,49613.7064926305,48346,49397,1051,3,1051,0.063982,45.9046988,46.585573,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,113.88,46.8,27.3,16.38,23.4,241.507481134483,182.014475203772,145.293409272046
Arm-A,1000,48,18000,2260.8659011,56752.8201397523,0.0416558851720765,78461.419830731,49397,50448,1051,5,1051,0.1251287,47.1378118,47.8217963,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,113.88,46.8,27.3,16.38,23.4,241.507481134483,182.014475203772,160.308409272046
Arm-A,1000,49,18000,2309.5820451,56764.9715942253,12.1514544730817,58159.7554802868,50448,51499,1051,4,1051,0.0939121,47.9391836,48.5973636,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,113.88,46.8,27.3,16.38,23.4,241.507481134483,182.014475203772,147.633409272046
Arm-A,1000,50,18000,2359.2310093,56765.7539898529,0.782395627567894,58216.3108347767,51499,52550,1051,4,1051,0.0826452,48.8378105,49.5474321,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,113.88,46.8,27.3,16.38,23.4,241.507481134483,182.014475203772,151.533409272046
Arm-A,1000,51,18000,2408.0168504,56766.5143565165,0.760366663555033,57322.9974600372,52550,53601,1051,4,1051,0.1051562,47.6467472,48.4188719,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,113.88,46.8,27.3,16.38,23.4,241.507481134483,182.014475203772,147.633409272046
Arm-A,1000,52,18000,2455.1112977,56766.6027253847,0.0883688682806678,58569.6803111164,53601,54652,1051,4,1051,0.0949096,46.0919494,46.7101269,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,113.88,46.8,27.3,16.38,23.4,241.507481134483,184.939475203772,163.233409272046
Arm-A,1000,53,18000,2503.2764199,56766.9225453364,0.319819951611862,98658.8050416012,54652,55703,1051,6,1051,0.1405586,47.0656208,47.824037,1,,,FIXED_5H_BUDGET_TRAINING,NOT_CONVERGENCE_CERTIFICATE,113.88,46.8,27.3,16.38,23.4,241.507481134483,182.014475203772,160.308409272046
