remaining_gap_rank,state_id,terminal_state_k,intensity,loc,site,arrival_count,arrival_frequency_full_oos,T_saa_kg,T_dro_kg,delta_T_kg_per_path,positive_delta_T_mass_kg,saa_surplus_total_kg,new_target_covered_by_saa_surplus_kg,covered_share_of_positive_delta_T,uncovered_new_target_increment_kg,preexisting_saa_gap_kg,required_extra_total_kg,mean_actual_extra_kg,positive_actual_extra_total_kg,required_extra_realized_kg,effective_realization_ratio,unrealized_required_extra_kg,remaining_gap_total_kg,remaining_gap_C_D_total_kg,A_count,A_dro_falls_below_target_count,B_count,C_count,D_count,share_of_C_D_remaining_gap,cumulative_share_of_C_D_remaining_gap
11,15,175,4,1,2,34,0.0034,143.46889234378,142.378525477599,-1.090366866181,0,17.675368138704,0,,0,1098.58725436871,1065.87624838328,-2.73297737808575,56.7338007795848,56.7338007795848,0.0532273806322622,1009.1424476037,1136.76064363477,1127.65322163396,4,4,0,11,19,0.0239369403097564,0.431146697571908
12,10,135,3,3,1,131,0.0131,198.29255652838,207.714537766758,9.42198123837801,1234.27954222752,1476.08131267178,581.984006743832,0.471517178104984,652.295535483688,1007.72928412964,1660.02481961333,6.17596071882485,954.549868963561,617.193159603691,0.371797549236315,1042.83166000964,1140.85704338545,1125.59112701213,54,7,8,42,27,0.023893167778513,0.455039865350421
13,18,199,4,4,2,55,0.0055,123.300057278455,124.532268421669,1.232211143214,67.7716128767701,154.002427874744,13.554322575354,0.2,54.2172903014161,959.40060474907,1013.61789505049,-2.95242466609651,143.316392423986,139.761374669963,0.137883689063127,873.856520380523,1127.91692418655,1122.59597588293,11,3,0,19,25,0.0238295890537571,0.478869454404178
14,16,183,4,2,3,78,0.0078,42.8074625644382,52.3694238524147,9.5619612879765,745.832980462167,59.0308804303322,58.4182866313573,0.0783262314240348,687.41469383081,861.025717905395,1548.4404117362,7.16521211038665,605.511426356205,543.178867379002,0.350790939878634,1005.2615443572,1051.88642610325,1051.88642610325,2,0,12,51,13,0.0223286220543868,0.501198076458564
15,15,175,4,1,4,34,0.0034,150,150,0,0,0,0,,0,944.607730152156,944.607730152156,-2.68255480348187,69.485538029501,69.485538029501,0.0735602047405524,875.122192122654,1035.81459347054,1014.60556354639,4,3,3,10,17,0.0215372530726829,0.522735329531247
16,28,279,5,7,1,40,0.004,264.299157188446,266.387722760742,2.08856557229603,83.5426228918413,86.6621197525253,19.3712423831273,0.231872566512621,64.171380508714,930.390050645072,994.561431153786,-0.972168044999482,97.738643270406,94.1188721296981,0.0946335431693859,900.442559024088,993.135263804829,992.874647307867,9,1,0,14,17,0.0210759661851021,0.543811295716349
17,19,207,4,5,4,44,0.0044,133.376974061042,139.650041540419,6.273067479377,276.014969092588,254.621575807008,111.682077479379,0.404623263174961,164.332891613209,739.607853430856,903.940745044065,1.21530011547216,141.939164122786,117.042686031245,0.129480484946543,786.89805901282,852.28404035763,846.539133375201,17,2,1,16,10,0.017969670388662,0.561780966105011
18,14,167,3,7,1,188,0.0188,121.103019392848,204.293031921316,83.190012528468,15639.722355352,15227.1890616488,13368.6305459243,0.854786948398066,2271.09180942765,0,2271.09180942765,12.4875174453236,2485.24028407629,1485.72817803548,0.654191156811891,785.363631392165,820.466448125806,820.466448125798,97,0,49,36,6,0.0174162198255308,0.579197185930542
19,24,247,5,3,1,28,0.0028,277.406377001336,278.513576350821,1.10719934948497,31.0015817855792,7.10956573994093,3.32159804845492,0.107142857142857,27.6799837371243,775.256191371289,802.936175108413,0.218256668298006,70.1798506862991,56.870630460272,0.0708283325914333,746.065544648141,809.027867491198,809.027867491198,3,0,2,15,8,0.0171734105853975,0.59637059651594
20,25,255,5,4,1,24,0.0024,272.209039085727,276.300390904299,4.09135181857198,98.1924436457275,21.853440688705,13.275872106589,0.135202583963462,84.9165715391385,617.505850169637,702.422421708776,-1.35989472270058,52.0138330473421,46.5213906910091,0.0662299340870084,655.901031017767,739.956845455309,739.956845455309,3,0,0,8,13,0.0157072249709839,0.612077821486924
21,11,143,3,4,4,139,0.0139,74.1892371055287,95.4648007624855,21.2755636569568,2957.30334831699,3631.26281941449,1998.22684683585,0.675692213980363,959.076501481143,50.6403676494531,1009.7168691306,1.6612989790481,593.237093502837,349.058281483741,0.345699167910598,660.658587646855,740.183681926741,710.314485905879,83,11,7,29,20,0.015078000154735,0.627155821641659
22,19,207,4,5,2,44,0.0044,119.193737555574,121.918688071935,2.72495051636099,119.897822719884,277.057851718562,41.5984669810589,0.346949310983278,78.2993557388247,590.638076880688,668.937432619513,-2.86947730334474,99.4029709281668,97.5474893505008,0.145824533945591,571.389943269012,711.226406437643,698.710690126449,15,2,0,11,18,0.0148316838567721,0.641987505498431
23,17,191,4,3,3,78,0.0078,32.7305457818509,44.7316160596879,12.001070277837,936.083481671286,142.736591789058,119.778226626634,0.12795677839842,816.305255044652,313.569201017933,1129.87445606259,6.79533356015,557.690925782802,474.375441535435,0.419847921147408,655.49901452715,681.462374565864,681.462374565864,4,0,20,40,14,0.0144655501091832,0.656453055607614
24,28,279,5,7,4,40,0.004,146.741946921965,149.154677546133,2.41273062416801,96.5092249667202,39.646169019088,33.7929299154651,0.350152329242288,62.7162950512552,423.984041327828,486.700336379083,-4.89834545363282,20.5278370378893,18.7504637720583,0.0385256848424569,467.949872607025,680.399512205563,676.596453167955,10,4,4,5,21,0.0143622601368591,0.670815315744473
25,12,151,3,5,4,117,0.0117,74.1892371055287,92.1910086220283,18.0017715164996,2106.20726743045,2852.27035336841,1305.82417949577,0.61998845018176,800.383087934686,119.135180166438,919.518268101124,2.14785197250268,545.911493253389,321.485617079886,0.349623958797229,598.032651021237,655.198493999396,654.464338210604,65,3,11,24,17,0.0138924569167742,0.684707772661247
26,8,119,3,1,2,81,0.0081,80.1898371655347,97.5192645430117,17.329427377477,1403.68361757564,1314.43770131511,619.371578087423,0.441247279894287,784.312039488214,82.2402706191696,866.552310107384,0.351780691086141,332.65821777294,313.848668412674,0.362180868658444,552.70364169471,669.454284911387,645.629899308085,29,6,9,32,11,0.0137049263598417,0.698412699021089
27,15,175,4,1,1,34,0.0034,240.857267544936,242.490845037318,1.63357749238199,55.5416347409876,83.308745730235,10.1969826314089,0.183591690791268,45.3446521095787,622.70650816204,668.051160271619,1.44605522083159,110.874799702182,96.052216272947,0.143779731231802,571.998943998672,619.322283535746,619.322283535746,4,0,5,12,13,0.0131464888753799,0.711559187896469
