selected_pair_id,focal_state_id,focal_site,selection_reason,method,path_count,C_count,D_count,stage,observed_site,active_decision_count,active_decision_rate,terminal_event_count,terminal_event_rate,mean_start_inventory_kg,mean_end_inventory_kg,mean_production_kg,mean_electrolyzer_power_kw,mean_normal_served_kg,mean_normal_shortage_kg,mean_htt_inflow_kg,mean_htt_outflow_kg,mean_net_htt_inflow_kg,mean_total_htt_flow_kg,mean_htt_capacity_kg,mean_beta,mean_terminal_target_kg,mean_terminal_gap_kg
7,9,4,top8_C_D_remaining_gap,saa,74,48,26,4,3,48,0.648648648648649,26,0.351351351351351,28.3833888384853,21.887234643536,4.25168188118778,36.3391613776733,2.86889923621803,0.956299745406011,0,7.8789368399191,-7.8789368399191,12.8606599779797,133.452767052767,0.165920205920206,7.47494896909838,0.36073231948014
7,9,4,top8_C_D_remaining_gap,saa,74,48,26,4,4,48,0.648648648648649,26,0.351351351351351,68.1319006356759,79.6934976084527,10.7710312006871,92.0600957323686,2.04217775919497,0.680725919731656,2.84489586509468,0.0121523338099888,2.83274353128469,12.8606599779797,133.452767052767,0.165920205920206,35.5539239427628,7.29310588327614
7,9,4,top8_C_D_remaining_gap,saa,74,48,26,5,1,18,0.243243243243243,30,0.405405405405405,182.905590261549,190.157782902898,8.10686175999106,69.2894167520604,1.17625665611448,0.0691915680067339,0.321587537472966,0,0.321587537472966,0.679542698174083,121.876962676963,0.238268983268983,73.5331518409826,0.725825193180485
7,9,4,top8_C_D_remaining_gap,saa,74,48,26,5,2,18,0.243243243243243,30,0.405405405405405,80.3914426044107,81.302659406573,2.63680474142625,22.5367926617629,1.33842538190364,0.0787309048178613,0,0.38716255736033,-0.38716255736033,0.679542698174083,121.876962676963,0.238268983268983,31.7353602682136,0.115017292942377
7,9,4,top8_C_D_remaining_gap,saa,74,48,26,5,3,18,0.243243243243243,30,0.405405405405405,21.887234643536,22.3527613599204,1.10705886817742,9.462041608354,0.364304664916576,0.0214296861715633,0,0.277227486876461,-0.277227486876461,0.679542698174083,121.876962676963,0.238268983268983,8.62494111819044,0.553048411650354
7,9,4,top8_C_D_remaining_gap,saa,74,48,26,5,4,18,0.243243243243243,30,0.405405405405405,79.6934976084527,83.3492910209311,3.97187158371576,33.947620373639,0.658880678001137,0.0387576869412434,0.357955160701116,0.015152653937292,0.342802506763824,0.679542698174083,121.876962676963,0.238268983268983,41.0237583954955,7.19977778216303
7,9,4,top8_C_D_remaining_gap,saa,74,48,26,6,1,3,0.0405405405405405,15,0.202702702702703,190.157782902898,190.393472563363,0.862188163428181,7.36912960195027,0.814447656864718,0,0.18794915390106,0,0.18794915390106,0.200187825712698,111.827541827542,0.301077863577864,36.7665759204913,0
7,9,4,top8_C_D_remaining_gap,saa,74,48,26,6,2,3,0.0405405405405405,15,0.202702702702703,81.302659406573,80.79287066524,0,0,0.496810475071345,0,0.0103767484447532,0.0233550147063787,-0.0129782662616255,0.200187825712698,111.827541827542,0.301077863577864,15.8676801341068,0.00737174454814781
7,9,4,top8_C_D_remaining_gap,saa,74,48,26,6,3,3,0.0405405405405405,15,0.202702702702703,22.3527613599204,21.8900166320287,0,0,0.28753281420695,0,0.00151736335741988,0.176729277042134,-0.175211913684714,0.200187825712698,111.827541827542,0.301077863577864,4.31247055909522,0.0665137236441616
7,9,4,top8_C_D_remaining_gap,saa,74,48,26,6,4,3,0.0405405405405405,15,0.202702702702703,83.3492910209311,82.9871358760543,0.0574552814341094,0.491070781488114,0.419851452356232,0,0.000344560009464701,0.000103533964185174,0.000241026045279526,0.200187825712698,111.827541827542,0.301077863577864,20.5118791977478,2.91892462104289
7,9,4,top8_C_D_remaining_gap,saa,74,48,26,7,1,0,0,3,0.0405405405405405,190.393472563363,190.393472563363,0,0,0,0,0,0,0,0,105.440926640927,0.340994208494209,7.35331518409826,0
7,9,4,top8_C_D_remaining_gap,saa,74,48,26,7,2,0,0,3,0.0405405405405405,80.79287066524,80.79287066524,0,0,0,0,0,0,0,0,105.440926640927,0.340994208494209,3.17353602682135,0.0847750622728206
7,9,4,top8_C_D_remaining_gap,saa,74,48,26,7,3,0,0,3,0.0405405405405405,21.8900166320287,21.8900166320287,0,0,0,0,0,0,0,0,105.440926640927,0.340994208494209,0.862494111819044,0.0663457009091593
7,9,4,top8_C_D_remaining_gap,saa,74,48,26,7,4,0,0,3,0.0405405405405405,82.9871358760543,82.9871358760543,0,0,0,0,0,0,0,0,105.440926640927,0.340994208494209,4.10237583954955,0.837350914950728
7,9,4,top8_C_D_remaining_gap,saa,74,48,26,8,1,0,0,0,0,190.393472563363,190.393472563363,0,0,0,0,0,0,0,0,102.392792792793,0.360045045045045,0,0
7,9,4,top8_C_D_remaining_gap,saa,74,48,26,8,2,0,0,0,0,80.79287066524,80.79287066524,0,0,0,0,0,0,0,0,102.392792792793,0.360045045045045,0,0
7,9,4,top8_C_D_remaining_gap,saa,74,48,26,8,3,0,0,0,0,21.8900166320287,21.8900166320287,0,0,0,0,0,0,0,0,102.392792792793,0.360045045045045,0,0
7,9,4,top8_C_D_remaining_gap,saa,74,48,26,8,4,0,0,0,0,82.9871358760543,82.9871358760543,0,0,0,0,0,0,0,0,102.392792792793,0.360045045045045,0,0
8,18,1,top8_C_D_remaining_gap,saa,51,29,22,1,1,51,1,0,0,58.0445570448695,88.0243810123712,35.1,300,5.12017603249831,0,0,0,0,0,160,0,0,0
8,18,1,top8_C_D_remaining_gap,saa,51,29,22,1,2,51,1,0,0,50.3081379386248,67.882050982103,23.4,200,5.82608695652174,0,0,0,0,0,160,0,0,0
8,18,1,top8_C_D_remaining_gap,saa,51,29,22,1,3,51,1,0,0,25.2621334423093,37.7163366656137,14.04,120,1.58579677669568,0,0,0,0,0,160,0,0,0
8,18,1,top8_C_D_remaining_gap,saa,51,29,22,1,4,51,1,0,0,33.0235808462428,47.7055120125908,17.55,150,2.86806883365201,0,0,0,0,0,160,0,0,0
8,18,1,top8_C_D_remaining_gap,saa,51,29,22,2,1,51,1,0,0,88.0243810123712,125.116640665286,35.1,300,12.211391665671,7.87831720365871,14.2036513185855,0,14.2036513185855,17.403824132021,152.592343604108,0.0462978524743231,0,0
