method,path_count,stage,site,active_decision_count,active_decision_rate,mean_start_inventory_kg,mean_end_inventory_kg,mean_production_kg,mean_normal_served_kg,mean_normal_shortage_kg,mean_htt_inflow_kg,mean_htt_outflow_kg,mean_net_htt_inflow_kg,mean_total_htt_flow_kg,mean_htt_capacity_kg,tank_binding_rate,electrolyzer_binding_rate,htt_binding_rate
saa,1023,6,4,72,0.0703812316715543,75.0949802557337,74.3632718949592,0.0602481041977039,0.718768175522856,0.0101234954298994,0.0373567360602602,0.110545025509558,-0.0731882894492976,0.552883494984824,132.597086068054,0.000977517106549365,0.00293255131964809,0
saa,1023,7,1,0,0,177.386860371229,177.386860371229,0,0,0,0,0,0,0,133.302127263417,0,0,0
saa,1023,7,2,0,0,77.0768609193041,77.0768609193041,0,0,0,0,0,0,0,133.302127263417,0,0,0
saa,1023,7,3,0,0,20.63234370672,20.63234370672,0,0,0,0,0,0,0,133.302127263417,0,0,0
saa,1023,7,4,0,0,74.3632718949592,74.3632718949592,0,0,0,0,0,0,0,133.302127263417,0.000977517106549365,0,0
saa,1023,8,1,0,0,177.386860371229,177.386860371229,0,0,0,0,0,0,0,134.468556533073,0,0,0
saa,1023,8,2,0,0,77.0768609193041,77.0768609193041,0,0,0,0,0,0,0,134.468556533073,0,0,0
saa,1023,8,3,0,0,20.63234370672,20.63234370672,0,0,0,0,0,0,0,134.468556533073,0,0,0
saa,1023,8,4,0,0,74.3632718949592,74.3632718949592,0,0,0,0,0,0,0,134.468556533073,0.000977517106549365,0,0
chi2_eta003,1023,1,1,1023,1,58.0445570448697,88.0243810123717,35.1000000000002,5.12017603249833,0,0,0,0,0,160,0,1,0
chi2_eta003,1023,1,2,1023,1,50.3081379386245,67.8820509821033,23.3999999999999,5.82608695652175,0,0,0,0,0,160,0,1,0
chi2_eta003,1023,1,3,1023,1,25.2621334423093,37.7163366656134,14.04,1.58579677669569,0,0,0,0,0,160,0,1,0
chi2_eta003,1023,1,4,1023,1,33.0235808462428,47.7055120125909,17.5500000000001,2.86806883365201,0,0,0,0,0,160,0,1,0
chi2_eta003,1023,2,1,1023,1,88.0243810123717,107.946535810384,35.1000000000002,19.5202058808541,0.569502988475622,4.34236067886695,0,4.34236067886695,4.67193112077163,154.361942000652,0,1,0
chi2_eta003,1023,2,2,1023,1,67.8820509821033,78.559458175112,23.3999999999999,11.907263377109,0.347395007984068,0,0.81532942988224,-0.81532942988224,4.67193112077163,154.361942000652,0,1,0
chi2_eta003,1023,2,3,1023,1,37.7163366656134,41.0083163752437,14.04,6.89141859948079,0.201057484290686,0,3.85660169088939,-3.85660169088939,4.67193112077163,154.361942000652,0,1,0
chi2_eta003,1023,2,4,1023,1,47.7055120125909,55.5223279971755,17.5500000000001,10.06275445732,0.293581367467082,0.329570441904672,0,0.329570441904672,4.67193112077163,154.361942000652,0,1,0
chi2_eta003,1023,3,1,1015,0.992179863147605,107.946535810384,148.184407346277,34.8255131964811,20.7011815580842,0.783173535428542,26.1135398974962,0,26.1135398974962,26.755086777253,147.727449611321,0,0.992179863147605,0
chi2_eta003,1023,3,2,1015,0.992179863147605,78.559458175112,79.150995677767,23.1489412966471,13.2713429627876,0.502085572211799,0.000437862916232618,9.28649869412029,-9.28606083120406,26.755086777253,147.727449611321,0,0.988269794721408,0
chi2_eta003,1023,3,3,1015,0.992179863147605,41.0083163752437,29.6752461871505,13.9288970008121,8.05396420128981,0.304700077144912,0.00671848721800205,17.2147214748333,-17.2080029876153,26.755086777253,147.727449611321,0,0.991202346041056,0
chi2_eta003,1023,3,4,1015,0.992179863147605,55.5223279971755,61.2910980356589,17.4127565982406,12.0245104810801,0.454915018200373,0.634390529622663,0.253866608299428,0.380523921323235,26.755086777253,147.727449611321,0,0.992179863147605,0
chi2_eta003,1023,4,1,844,0.825024437927664,148.184407346277,186.271613756093,28.5657162006832,6.45823778219438,0.254511833781059,16.031466800693,0.0517388093656592,15.9797279913273,18.1375717102795,140.613247684215,0,0.801564027370479,0
chi2_eta003,1023,4,2,844,0.825024437927664,79.150995677767,75.8934145528038,7.72544148056896,3.20850257736652,0.122341426689253,0.0480838445597137,7.82260387272547,-7.77452002816576,18.1375717102795,140.613247684215,0,0.15347018572825,0
chi2_eta003,1023,4,3,844,0.825024437927664,29.6752461871505,20.4972747883858,5.49826771859739,4.68661659197754,0.178702477676881,0.04539161915372,10.0350141445382,-9.98962252538452,18.1375717102795,140.613247684215,0,0.207233626588465,0
chi2_eta003,1023,4,4,844,0.825024437927664,61.2910980356589,73.8737508442893,14.1220172972966,3.32377905088916,0.139516651518805,2.01262944587306,0.228214883650112,1.78441456222294,18.1375717102795,140.613247684215,0,0.790811339198436,0
chi2_eta003,1023,5,1,395,0.386119257086999,186.271613756093,197.618221566711,13.3051726874326,1.92725375407229,0.04974481175061,0.0390005124877486,0.0703116352305957,-0.0313111227428471,0.434183377331786,135.205846483266,0,0.341153470185728,0
chi2_eta003,1023,5,2,395,0.386119257086999,75.8934145528038,78.9452106276149,5.52779314713835,2.1812231714055,0.0683411959709295,0.0172864078675825,0.312060308789419,-0.294773900921837,0.434183377331786,135.205846483266,0,0.0977517106549365,0
chi2_eta003,1023,5,3,395,0.386119257086999,20.4972747883858,22.7857669561177,2.9309375332862,0.595255095064655,0.0170515782440396,0.0046211628220782,0.0518114333117708,-0.0471902704896926,0.434183377331786,135.205846483266,0,0.0557184750733138,0
chi2_eta003,1023,5,4,395,0.386119257086999,73.8737508442893,79.6479183433576,6.47466577606608,1.07377357115222,0.0336430361718711,0.373275294154377,0,0.373275294154377,0.434183377331786,135.205846483266,0,0.335288367546432,0
chi2_eta003,1023,6,1,72,0.0703812316715543,197.618221566711,197.446836680993,1.21287556611737,1.39700657787746,0.0169318762689095,0.0640354846079154,0.0512893585655523,0.0127461260423631,0.337034842204031,132.597086068054,0,0.00293255131964809,0
chi2_eta003,1023,6,2,72,0.0703812316715543,78.9452106276149,78.006746446492,0.0686579621207385,0.85051881265065,0.0119791382063472,0.0141109887393842,0.170714319332385,-0.156603330593001,0.337034842204031,132.597086068054,0,0.00293255131964809,0
chi2_eta003,1023,6,3,72,0.0703812316715543,22.7857669561177,22.2556982512278,0.0472082366995167,0.492244185677197,0.00693301669967883,0.0263691828070635,0.111401938719228,-0.0850327559121643,0.337034842204031,132.597086068054,0,0.00293255131964809,0
chi2_eta003,1023,6,4,72,0.0703812316715543,79.6479183433576,79.6723014447613,0.512475476795175,0.716982335854268,0.0119093350984876,0.232519186049667,0.00362922558686524,0.228889960462802,0.337034842204031,132.597086068054,0,0.00879765395894428,0
chi2_eta003,1023,7,1,0,0,197.446836680993,197.446836680993,0,0,0,0,0,0,0,133.302127263417,0,0,0
chi2_eta003,1023,7,2,0,0,78.006746446492,78.006746446492,0,0,0,0,0,0,0,133.302127263417,0,0,0
chi2_eta003,1023,7,3,0,0,22.2556982512278,22.2556982512278,0,0,0,0,0,0,0,133.302127263417,0,0,0
chi2_eta003,1023,7,4,0,0,79.6723014447613,79.6723014447613,0,0,0,0,0,0,0,133.302127263417,0,0,0
chi2_eta003,1023,8,1,0,0,197.446836680993,197.446836680993,0,0,0,0,0,0,0,134.468556533073,0,0,0
chi2_eta003,1023,8,2,0,0,78.006746446492,78.006746446492,0,0,0,0,0,0,0,134.468556533073,0,0,0
chi2_eta003,1023,8,3,0,0,22.2556982512278,22.2556982512278,0,0,0,0,0,0,0,134.468556533073,0,0,0
chi2_eta003,1023,8,4,0,0,79.6723014447613,79.6723014447613,0,0,0,0,0,0,0,134.468556533073,0,0,0
