selected_pair_id,focal_state_id,focal_site,selection_reason,method,stage,observed_site,constraint_type,path_count,eligible_count,binding_count,binding_rate,mean_slack,min_slack,max_slack
1,17,2,top8_C_D_remaining_gap,saa,6,4,electrolyzer_capacity,73,4,4,1,0,0,0
1,17,2,top8_C_D_remaining_gap,saa,6,4,ordinary_shortage_positive,73,4,3,0.75,-7.1583944409143,-10.3563358247871,-0
1,17,2,top8_C_D_remaining_gap,saa,6,0,htt_aggregate_capacity,73,4,0,0,99.0926407501576,83.629720121619,124.091419743073
1,17,2,top8_C_D_remaining_gap,saa,7,1,tank_capacity,73,73,0,0,72.843125496248,23.5309940448466,107.209776203451
1,17,2,top8_C_D_remaining_gap,saa,7,1,electrolyzer_capacity,73,0,0,NaN,NaN,NaN,NaN
1,17,2,top8_C_D_remaining_gap,saa,7,1,ordinary_shortage_positive,73,0,0,NaN,NaN,NaN,NaN
1,17,2,top8_C_D_remaining_gap,saa,7,2,tank_capacity,73,73,0,0,94.4294807015823,61.5045366473007,122.264953768104
1,17,2,top8_C_D_remaining_gap,saa,7,2,electrolyzer_capacity,73,0,0,NaN,NaN,NaN,NaN
1,17,2,top8_C_D_remaining_gap,saa,7,2,ordinary_shortage_positive,73,0,0,NaN,NaN,NaN,NaN
1,17,2,top8_C_D_remaining_gap,saa,7,3,tank_capacity,73,73,0,0,70.4367748798337,46.9989702229312,79.0884177956927
1,17,2,top8_C_D_remaining_gap,saa,7,3,electrolyzer_capacity,73,0,0,NaN,NaN,NaN,NaN
1,17,2,top8_C_D_remaining_gap,saa,7,3,ordinary_shortage_positive,73,0,0,NaN,NaN,NaN,NaN
1,17,2,top8_C_D_remaining_gap,saa,7,4,tank_capacity,73,73,11,0.150684931506849,30.2081356174027,0,75.8107628944713
1,17,2,top8_C_D_remaining_gap,saa,7,4,electrolyzer_capacity,73,0,0,NaN,NaN,NaN,NaN
1,17,2,top8_C_D_remaining_gap,saa,7,4,ordinary_shortage_positive,73,0,0,NaN,NaN,NaN,NaN
1,17,2,top8_C_D_remaining_gap,saa,7,0,htt_aggregate_capacity,73,0,0,NaN,NaN,NaN,NaN
1,17,2,top8_C_D_remaining_gap,saa,8,1,tank_capacity,73,73,0,0,72.843125496248,23.5309940448466,107.209776203451
1,17,2,top8_C_D_remaining_gap,saa,8,1,electrolyzer_capacity,73,0,0,NaN,NaN,NaN,NaN
1,17,2,top8_C_D_remaining_gap,saa,8,1,ordinary_shortage_positive,73,0,0,NaN,NaN,NaN,NaN
1,17,2,top8_C_D_remaining_gap,saa,8,2,tank_capacity,73,73,0,0,94.4294807015823,61.5045366473007,122.264953768104
1,17,2,top8_C_D_remaining_gap,saa,8,2,electrolyzer_capacity,73,0,0,NaN,NaN,NaN,NaN
1,17,2,top8_C_D_remaining_gap,saa,8,2,ordinary_shortage_positive,73,0,0,NaN,NaN,NaN,NaN
1,17,2,top8_C_D_remaining_gap,saa,8,3,tank_capacity,73,73,0,0,70.4367748798337,46.9989702229312,79.0884177956927
1,17,2,top8_C_D_remaining_gap,saa,8,3,electrolyzer_capacity,73,0,0,NaN,NaN,NaN,NaN
1,17,2,top8_C_D_remaining_gap,saa,8,3,ordinary_shortage_positive,73,0,0,NaN,NaN,NaN,NaN
1,17,2,top8_C_D_remaining_gap,saa,8,4,tank_capacity,73,73,11,0.150684931506849,30.2081356174027,0,75.8107628944713
1,17,2,top8_C_D_remaining_gap,saa,8,4,electrolyzer_capacity,73,0,0,NaN,NaN,NaN,NaN
1,17,2,top8_C_D_remaining_gap,saa,8,4,ordinary_shortage_positive,73,0,0,NaN,NaN,NaN,NaN
1,17,2,top8_C_D_remaining_gap,saa,8,0,htt_aggregate_capacity,73,0,0,NaN,NaN,NaN,NaN
2,12,1,top8_C_D_remaining_gap,saa,1,1,tank_capacity,84,84,0,0,211.975618987629,211.975618987629,211.975618987629
2,12,1,top8_C_D_remaining_gap,saa,1,1,electrolyzer_capacity,84,84,84,1,0,0,0
2,12,1,top8_C_D_remaining_gap,saa,1,1,ordinary_shortage_positive,84,84,0,0,-0,-0,-0
2,12,1,top8_C_D_remaining_gap,saa,1,2,tank_capacity,84,84,0,0,132.117949017897,132.117949017897,132.117949017897
2,12,1,top8_C_D_remaining_gap,saa,1,2,electrolyzer_capacity,84,84,84,1,0,0,0
2,12,1,top8_C_D_remaining_gap,saa,1,2,ordinary_shortage_positive,84,84,0,0,-0,-0,-0
2,12,1,top8_C_D_remaining_gap,saa,1,3,tank_capacity,84,84,0,0,62.2836633343863,62.2836633343863,62.2836633343863
2,12,1,top8_C_D_remaining_gap,saa,1,3,electrolyzer_capacity,84,84,84,1,0,0,0
2,12,1,top8_C_D_remaining_gap,saa,1,3,ordinary_shortage_positive,84,84,0,0,-0,-0,-0
2,12,1,top8_C_D_remaining_gap,saa,1,4,tank_capacity,84,84,0,0,102.294487987409,102.294487987409,102.294487987409
2,12,1,top8_C_D_remaining_gap,saa,1,4,electrolyzer_capacity,84,84,84,1,0,0,0
2,12,1,top8_C_D_remaining_gap,saa,1,4,ordinary_shortage_positive,84,84,0,0,-0,-0,-0
2,12,1,top8_C_D_remaining_gap,saa,1,0,htt_aggregate_capacity,84,84,0,0,160,160,160
2,12,1,top8_C_D_remaining_gap,saa,2,1,tank_capacity,84,84,0,0,188.003629965802,108.779657809512,196.965327856959
2,12,1,top8_C_D_remaining_gap,saa,2,1,electrolyzer_capacity,84,84,84,1,0,0,0
2,12,1,top8_C_D_remaining_gap,saa,2,1,ordinary_shortage_positive,84,84,9,0.107142857142857,-2.15246880742818,-20.0897088693297,-0
2,12,1,top8_C_D_remaining_gap,saa,2,2,tank_capacity,84,84,0,0,121.435297188188,108.717949017897,140.675909807407
2,12,1,top8_C_D_remaining_gap,saa,2,2,electrolyzer_capacity,84,84,84,1,0,0,0
2,12,1,top8_C_D_remaining_gap,saa,2,2,ordinary_shortage_positive,84,84,9,0.107142857142857,-1.31299911268855,-12.2546583850932,-0
2,12,1,top8_C_D_remaining_gap,saa,2,3,tank_capacity,84,84,0,0,60.0810551096119,55.3361394181578,84.9482794080084
2,12,1,top8_C_D_remaining_gap,saa,2,3,electrolyzer_capacity,84,84,84,1,0,0,0
2,12,1,top8_C_D_remaining_gap,saa,2,3,ordinary_shortage_positive,84,84,9,0.107142857142857,-0.759908151832654,-7.09247608377144,-0
2,12,1,top8_C_D_remaining_gap,saa,2,4,tank_capacity,84,84,0,0,93.519932744953,70.6428397676673,95.1008238121963
2,12,1,top8_C_D_remaining_gap,saa,2,4,electrolyzer_capacity,84,84,84,1,0,0,0
2,12,1,top8_C_D_remaining_gap,saa,2,4,ordinary_shortage_positive,84,84,9,0.107142857142857,-1.10960740979861,-10.3563358247871,-0
2,12,1,top8_C_D_remaining_gap,saa,2,0,htt_aggregate_capacity,84,84,0,0,146.431051884678,69.0129848447715,157.028571428571
2,12,1,top8_C_D_remaining_gap,saa,3,1,tank_capacity,84,84,0,0,147.083429967199,86.2688788046386,183.519017768942
2,12,1,top8_C_D_remaining_gap,saa,3,1,electrolyzer_capacity,84,83,82,0.987951807228916,1.61992293630726,0,134.453603713503
2,12,1,top8_C_D_remaining_gap,saa,3,1,ordinary_shortage_positive,84,83,20,0.240963855421687,-5.21775660529729,-21.6536899119838,-0
2,12,1,top8_C_D_remaining_gap,saa,3,2,tank_capacity,84,84,0,0,117.994456683583,85.317949017897,151.862239023078
2,12,1,top8_C_D_remaining_gap,saa,3,2,electrolyzer_capacity,84,83,66,0.795180722891566,14.335235888525,0,200
2,12,1,top8_C_D_remaining_gap,saa,3,2,ordinary_shortage_positive,84,83,20,0.240963855421687,-3.34505724762404,-13.8819875776397,-0
2,12,1,top8_C_D_remaining_gap,saa,3,3,tank_capacity,84,84,0,0,71.7916881289909,49.7206847943536,84.5437590558601
2,12,1,top8_C_D_remaining_gap,saa,3,3,electrolyzer_capacity,84,83,71,0.855421686746988,8.47423189034215,0,120
2,12,1,top8_C_D_remaining_gap,saa,3,3,ordinary_shortage_positive,84,83,20,0.240963855421687,-2.03001093402309,-8.42454537619581,-0
2,12,1,top8_C_D_remaining_gap,saa,3,4,tank_capacity,84,84,0,0,82.3805585678808,47.2068422303465,90.9538540702757
2,12,1,top8_C_D_remaining_gap,saa,3,4,electrolyzer_capacity,84,83,83,1,0,0,0
2,12,1,top8_C_D_remaining_gap,saa,3,4,ordinary_shortage_positive,84,83,20,0.240963855421687,-3.03079168752186,-12.5777855032157,-0
2,12,1,top8_C_D_remaining_gap,saa,3,0,htt_aggregate_capacity,84,83,0,0,118.956051314057,67.2552141819836,154.057142857143
2,12,1,top8_C_D_remaining_gap,saa,4,1,tank_capacity,84,84,0,0,116.857111772829,72.1091108402203,179.653481478868
2,12,1,top8_C_D_remaining_gap,saa,4,1,electrolyzer_capacity,84,65,58,0.892307692307692,6.86395766344168,0,153.283913660253
