method,path_id,decision_stage,current_k,current_a,current_loc,current_lf,node_oos_path_count,node_oos_frequency,future_terminal_state_count,realized_terminal_state_probability,conditional_max_site_target_range_kg,site,archived_inventory_kg,realized_terminal_target_kg,node_conditional_mean_target_kg,saved_cut_count,active_cut_count,active_cut_rhs,chosen_active_cut_local_index,chosen_active_cut_source_iteration,chosen_marginal_value_of_1kg_inventory,chosen_marginal_value_rank,active_marginal_value_min,active_marginal_value_max,active_marginal_value_mean,envelope_update_count,last_envelope_update_iteration,iterations_since_last_envelope_update,last_forward_node_match,training_iteration_count,training_time_seconds,stop_flag,completed_backward_iterations
chi2_eta003,8092,5,125,3,2,5,20,0.002,12,0.05,252.702273520957,4,110.043963348585,139.650041540419,90.5322660916145,1198,4,38667.161265722,911,911,554.140128655286,1,481.683006917035,558.28561970088,522.019223790204,29,911,287,0,1199,3600.8621352,2,1198
chi2_eta003,8092,6,126,3,2,6,16,0.0016,8,0.0625,186.853282195031,1,240.994236400297,231.297621603105,181.436592669039,1198,9,13667.1274701295,543,543,411.5,4,411.5,411.5,411.5,13,543,655,0,1199,3600.8621352,2,1198
chi2_eta003,8092,6,126,3,2,6,16,0.0016,8,0.0625,186.853282195031,2,121.918688071935,121.918688071935,81.994913701489,1198,9,13667.1274701295,543,543,470,1,411.5,470,450.5,13,543,655,0,1199,3600.8621352,2,1198
chi2_eta003,8092,6,126,3,2,6,16,0.0016,8,0.0625,186.853282195031,3,44.7316160596873,50.0952851168181,25.6669160019945,1198,9,13667.1274701295,543,543,470,2,345.5,470,456.166666666667,13,543,655,0,1199,3600.8621352,2,1198
chi2_eta003,8092,6,126,3,2,6,16,0.0016,8,0.0625,186.853282195031,4,139.650041540419,139.650041540419,87.4312109955096,1198,9,13667.1274701295,543,543,470,3,411.5,470,444,13,543,655,0,1199,3600.8621352,2,1198
chi2_eta003,8289,5,181,4,2,5,12,0.0012,7,0.166666666666667,62.2035013267479,1,233.211096608995,231.297621603105,253.982905705253,1198,2,27027.870662143,800,800,638.940280807049,1,638.426806399786,638.940280807049,638.683543603417,16,800,398,0,1199,3600.8621352,2,1198
chi2_eta003,8289,5,181,4,2,5,12,0.0012,7,0.166666666666667,62.2035013267479,2,123.656473318218,121.918688071935,128.962001598179,1198,2,27027.870662143,800,800,615.469104123901,3,615.469104123901,616.239505018992,615.854304571446,16,800,398,0,1199,3600.8621352,2,1198
chi2_eta003,8289,5,181,4,2,5,12,0.0012,7,0.166666666666667,62.2035013267479,3,45.0275315824846,50.0952851168181,48.172334472842,1198,2,27027.870662143,800,800,475.800900566162,4,475.800900566162,668.691590659046,572.246245612604,16,800,398,0,1199,3600.8621352,2,1198
chi2_eta003,8289,5,181,4,2,5,12,0.0012,7,0.166666666666667,62.2035013267479,4,150,139.650041540419,140.195852657213,1198,2,27027.870662143,800,800,620.277840806601,2,619.154257424252,620.277840806601,619.716049115427,16,800,398,0,1199,3600.8621352,2,1198
chi2_eta003,8650,5,222,4,7,6,33,0.0033,9,0.0606060606060606,109.078997891597,1,247.336479639779,231.297621603105,237.251710425876,1198,3,33417.482566627,397,397,779.84,4,764,779.84,769.28,13,397,801,0,1199,3600.8621352,2,1198
