method,path_id,state_id,decision_stage,current_k,current_a,current_loc,current_lf,history_node_id,node_oos_path_count,future_terminal_state_count,realized_terminal_state_probability,positive_target_modal_top_site,positive_target_modal_top_site_probability,conditional_max_site_target_range_kg,actual_terminal_gap_kg,actual_I_total_dro_kg,T_total_dro_kg,actual_total_sufficient,service_preserving_max_terminal_total_kg,node_oos_frequency,late_decision_stage_5_or_6,saved_cut_audit_available
saa,2134,19,1,65,2,2,1,t1_k65,10000,31,0.0044,1,0.911530815109344,300,9.03197647235841,551.895101509697,542.961636332278,1,551.895101509697,1,False,False
chi2_eta003,2134,19,2,74,2,3,2,t2_k74,1246,28,0.0064205457463884,1,0.921130952380952,278.513576350821,9.03197647235841,551.895101509697,542.961636332278,1,551.895101509697,0.1246,False,False
saa,2134,19,2,74,2,3,2,t2_k74,1246,28,0.0064205457463884,1,0.921130952380952,278.513576350821,9.03197647235841,551.895101509697,542.961636332278,1,551.895101509697,0.1246,False,False
chi2_eta003,2134,19,3,115,3,1,3,t3_k115,37,22,0.0540540540540541,1,0.96969696969697,278.513576350821,9.03197647235841,551.895101509697,542.961636332278,1,551.895101509697,0.0037,False,False
saa,2134,19,3,115,3,1,3,t3_k115,37,22,0.0540540540540541,1,0.96969696969697,278.513576350821,9.03197647235841,551.895101509697,542.961636332278,1,551.895101509697,0.0037,False,False
chi2_eta003,2134,19,4,188,4,3,4,t4_k188,17,8,0.235294117647059,1,1,62.2035013267479,9.03197647235841,551.895101509697,542.961636332278,1,551.895101509697,0.0017,False,False
saa,2134,19,4,188,4,3,4,t4_k188,17,8,0.235294117647059,1,1,62.2035013267479,9.03197647235841,551.895101509697,542.961636332278,1,551.895101509697,0.0017,False,False
chi2_eta003,2134,19,5,197,4,4,5,t5_k197,12,8,0.166666666666667,1,1,63.3102267711805,9.03197647235841,551.895101509697,542.961636332278,1,551.895101509697,0.0012,True,True
saa,2134,19,5,197,4,4,5,t5_k197,12,8,0.166666666666667,1,1,63.3102267711805,9.03197647235841,551.895101509697,542.961636332278,1,551.895101509697,0.0012,True,True
chi2_eta003,5371,19,1,65,2,2,1,t1_k65,10000,31,0.0044,1,0.911530815109344,300,10.8552150644057,535.340426797639,542.961636332278,0,547.778280672679,1,False,False
saa,5371,19,1,65,2,2,1,t1_k65,10000,31,0.0044,1,0.911530815109344,300,10.8552150644057,535.340426797639,542.961636332278,0,547.778280672679,1,False,False
chi2_eta003,5371,19,2,66,2,2,2,t2_k66,995,27,0.0030150753768844,1,0.925049309664694,278.513576350821,10.8552150644057,535.340426797639,542.961636332278,0,547.778280672679,0.0995,False,False
saa,5371,19,2,66,2,2,2,t2_k66,995,27,0.0030150753768844,1,0.925049309664694,278.513576350821,10.8552150644057,535.340426797639,542.961636332278,0,547.778280672679,0.0995,False,False
chi2_eta003,5371,19,3,91,2,5,3,t3_k91,303,19,0.0033003300330033,1,0.881578947368421,276.300390904299,10.8552150644057,535.340426797639,542.961636332278,0,547.778280672679,0.0303,False,False
saa,5371,19,3,91,2,5,3,t3_k91,303,19,0.0033003300330033,1,0.881578947368421,276.300390904299,10.8552150644057,535.340426797639,542.961636332278,0,547.778280672679,0.0303,False,False
chi2_eta003,5371,19,4,76,2,3,4,t4_k76,203,15,0.0049261083743842,1,0.884615384615385,234.531627132872,10.8552150644057,535.340426797639,542.961636332278,0,547.778280672679,0.0203,False,False
saa,5371,19,4,76,2,3,4,t4_k76,203,15,0.0049261083743842,1,0.884615384615385,234.531627132872,10.8552150644057,535.340426797639,542.961636332278,0,547.778280672679,0.0203,False,False
chi2_eta003,5371,19,5,69,2,2,5,t5_k69,104,13,0.0096153846153846,1,0.985714285714286,234.531627132872,10.8552150644057,535.340426797639,542.961636332278,0,547.778280672679,0.0104,True,True
saa,5371,19,5,69,2,2,5,t5_k69,104,13,0.0096153846153846,1,0.985714285714286,234.531627132872,10.8552150644057,535.340426797639,542.961636332278,0,547.778280672679,0.0104,True,True
chi2_eta003,5371,19,6,142,3,4,6,t6_k142,13,8,0.0769230769230769,1,1,242.490845037318,10.8552150644057,535.340426797639,542.961636332278,0,547.778280672679,0.0013,True,True
saa,5371,19,6,142,3,4,6,t6_k142,13,8,0.0769230769230769,1,1,242.490845037318,10.8552150644057,535.340426797639,542.961636332278,0,547.778280672679,0.0013,True,True
chi2_eta003,8092,19,1,65,2,2,1,t1_k65,10000,31,0.0044,1,0.911530815109344,300,5.36366905713083,547.29458207234,542.961636332278,1,563.178409272046,1,False,False
saa,8092,19,1,65,2,2,1,t1_k65,10000,31,0.0044,1,0.911530815109344,300,5.36366905713083,547.29458207234,542.961636332278,1,563.178409272046,1,False,False
chi2_eta003,8092,19,2,82,2,4,2,t2_k82,1056,25,0.0037878787878787,1,0.897435897435897,278.513576350821,5.36366905713083,547.29458207234,542.961636332278,1,563.178409272046,0.1056,False,False
saa,8092,19,2,82,2,4,2,t2_k82,1056,25,0.0037878787878787,1,0.897435897435897,278.513576350821,5.36366905713083,547.29458207234,542.961636332278,1,563.178409272046,0.1056,False,False
chi2_eta003,8092,19,3,59,2,1,3,t3_k59,286,21,0.0069930069930069,1,0.939189189189189,266.387722760742,5.36366905713083,547.29458207234,542.961636332278,1,563.178409272046,0.0286,False,False
saa,8092,19,3,59,2,1,3,t3_k59,286,21,0.0069930069930069,1,0.939189189189189,266.387722760742,5.36366905713083,547.29458207234,542.961636332278,1,563.178409272046,0.0286,False,False
chi2_eta003,8092,19,4,84,2,4,4,t4_k84,189,17,0.0105820105820106,1,0.890625,252.702273520957,5.36366905713083,547.29458207234,542.961636332278,1,563.178409272046,0.0189,False,False
saa,8092,19,4,84,2,4,4,t4_k84,189,17,0.0105820105820106,1,0.890625,252.702273520957,5.36366905713083,547.29458207234,542.961636332278,1,563.178409272046,0.0189,False,False
chi2_eta003,8092,19,5,125,3,2,5,t5_k125,20,12,0.05,1,0.933333333333333,252.702273520957,5.36366905713083,547.29458207234,542.961636332278,1,563.178409272046,0.002,True,True
saa,8092,19,5,125,3,2,5,t5_k125,20,12,0.05,1,0.933333333333333,252.702273520957,5.36366905713083,547.29458207234,542.961636332278,1,563.178409272046,0.002,True,True
chi2_eta003,8092,19,6,126,3,2,6,t6_k126,16,8,0.0625,1,1,186.853282195031,5.36366905713083,547.29458207234,542.961636332278,1,563.178409272046,0.0016,True,True
saa,8092,19,6,126,3,2,6,t6_k126,16,8,0.0625,1,1,186.853282195031,5.36366905713083,547.29458207234,542.961636332278,1,563.178409272046,0.0016,True,True
chi2_eta003,8289,19,1,65,2,2,1,t1_k65,10000,31,0.0044,1,0.911530815109344,300,5.06775353433352,551.895101509697,542.961636332278,1,551.895101509697,1,False,False
saa,8289,19,1,65,2,2,1,t1_k65,10000,31,0.0044,1,0.911530815109344,300,5.06775353433352,551.895101509697,542.961636332278,1,551.895101509697,1,False,False
chi2_eta003,8289,19,2,58,2,1,2,t2_k58,729,24,0.0041152263374485,1,0.892682926829268,278.513576350821,5.06775353433352,551.895101509697,542.961636332278,1,551.895101509697,0.0729,False,False
saa,8289,19,2,58,2,1,2,t2_k58,729,24,0.0041152263374485,1,0.892682926829268,278.513576350821,5.06775353433352,551.895101509697,542.961636332278,1,551.895101509697,0.0729,False,False
chi2_eta003,8289,19,3,123,3,2,3,t3_k123,62,23,0.032258064516129,1,0.962264150943396,278.513576350821,5.06775353433352,551.895101509697,542.961636332278,1,551.895101509697,0.0062,False,False
saa,8289,19,3,123,3,2,3,t3_k123,62,23,0.032258064516129,1,0.962264150943396,278.513576350821,5.06775353433352,551.895101509697,542.961636332278,1,551.895101509697,0.0062,False,False
chi2_eta003,8289,19,4,188,4,3,4,t4_k188,17,8,0.235294117647059,1,1,62.2035013267479,5.06775353433352,551.895101509697,542.961636332278,1,551.895101509697,0.0017,False,False
saa,8289,19,4,188,4,3,4,t4_k188,17,8,0.235294117647059,1,1,62.2035013267479,5.06775353433352,551.895101509697,542.961636332278,1,551.895101509697,0.0017,False,False
chi2_eta003,8289,19,5,181,4,2,5,t5_k181,12,7,0.166666666666667,1,1,62.2035013267479,5.06775353433352,551.895101509697,542.961636332278,1,551.895101509697,0.0012,True,True
saa,8289,19,5,181,4,2,5,t5_k181,12,7,0.166666666666667,1,1,62.2035013267479,5.06775353433352,551.895101509697,542.961636332278,1,551.895101509697,0.0012,True,True
chi2_eta003,8650,19,1,65,2,2,1,t1_k65,10000,31,0.0044,1,0.911530815109344,300,10.9409325282769,551.895101509697,542.961636332278,1,551.895101509697,1,False,False
saa,8650,19,1,65,2,2,1,t1_k65,10000,31,0.0044,1,0.911530815109344,300,10.9409325282769,551.895101509697,542.961636332278,1,551.895101509697,1,False,False
chi2_eta003,8650,19,2,74,2,3,2,t2_k74,1246,28,0.0064205457463884,1,0.921130952380952,278.513576350821,10.9409325282769,551.895101509697,542.961636332278,1,551.895101509697,0.1246,False,False
saa,8650,19,2,74,2,3,2,t2_k74,1246,28,0.0064205457463884,1,0.921130952380952,278.513576350821,10.9409325282769,551.895101509697,542.961636332278,1,551.895101509697,0.1246,False,False
chi2_eta003,8650,19,3,115,3,1,3,t3_k115,37,22,0.0540540540540541,1,0.96969696969697,278.513576350821,10.9409325282769,551.895101509697,542.961636332278,1,551.895101509697,0.0037,False,False
saa,8650,19,3,115,3,1,3,t3_k115,37,22,0.0540540540540541,1,0.96969696969697,278.513576350821,10.9409325282769,551.895101509697,542.961636332278,1,551.895101509697,0.0037,False,False
chi2_eta003,8650,19,4,204,4,5,4,t4_k204,9,9,0.111111111111111,1,1,84.7966504203596,10.9409325282769,551.895101509697,542.961636332278,1,551.895101509697,0.0009,False,False
saa,8650,19,4,204,4,5,4,t4_k204,9,9,0.111111111111111,1,1,84.7966504203596,10.9409325282769,551.895101509697,542.961636332278,1,551.895101509697,0.0009,False,False
chi2_eta003,8650,19,5,222,4,7,6,t5_k222,33,9,0.0606060606060606,1,1,109.078997891597,10.9409325282769,551.895101509697,542.961636332278,1,551.895101509697,0.0033,True,True
saa,8650,19,5,222,4,7,6,t5_k222,33,9,0.0606060606060606,1,1,109.078997891597,10.9409325282769,551.895101509697,542.961636332278,1,551.895101509697,0.0033,True,True
chi2_eta003,9095,19,1,65,2,2,1,t1_k65,10000,31,0.0044,1,0.911530815109344,300,3.48373983883606,579.419596804063,542.961636332278,1,579.419596804063,1,False,False
saa,9095,19,1,65,2,2,1,t1_k65,10000,31,0.0044,1,0.911530815109344,300,3.48373983883606,579.419596804063,542.961636332278,1,579.419596804063,1,False,False
chi2_eta003,9095,19,2,130,3,3,2,t2_k130,84,22,0.0357142857142857,1,0.972602739726027,278.513576350821,3.48373983883606,579.419596804063,542.961636332278,1,579.419596804063,0.0084,False,False
saa,9095,19,2,130,3,3,2,t2_k130,84,22,0.0357142857142857,1,0.972602739726027,278.513576350821,3.48373983883606,579.419596804063,542.961636332278,1,579.419596804063,0.0084,False,False
chi2_eta003,9095,19,3,147,3,5,3,t3_k147,28,15,0.142857142857143,1,1,241.675536259962,3.48373983883606,579.419596804063,542.961636332278,1,579.419596804063,0.0028,False,False
saa,9095,19,3,147,3,5,3,t3_k147,28,15,0.142857142857143,1,1,241.675536259962,3.48373983883606,579.419596804063,542.961636332278,1,579.419596804063,0.0028,False,False
chi2_eta003,9095,19,4,164,3,7,4,t4_k164,42,15,0.0952380952380952,1,0.96875,276.300390904299,3.48373983883606,579.419596804063,542.961636332278,1,579.419596804063,0.0042,False,False
saa,9095,19,4,164,3,7,4,t4_k164,42,15,0.0952380952380952,1,0.96875,276.300390904299,3.48373983883606,579.419596804063,542.961636332278,1,579.419596804063,0.0042,False,False
chi2_eta003,9095,19,5,221,4,7,5,t5_k221,9,5,0.111111111111111,1,1,84.7966504203596,3.48373983883606,579.419596804063,542.961636332278,1,579.419596804063,0.0009,True,True
saa,9095,19,5,221,4,7,5,t5_k221,9,5,0.111111111111111,1,1,84.7966504203596,3.48373983883606,579.419596804063,542.961636332278,1,579.419596804063,0.0009,True,True
chi2_eta003,9913,19,1,65,2,2,1,t1_k65,10000,31,0.0044,1,0.911530815109344,300,5.36360801822399,551.895101509697,542.961636332278,1,551.895101509697,1,False,False
saa,9913,19,1,65,2,2,1,t1_k65,10000,31,0.0044,1,0.911530815109344,300,5.36360801822399,551.895101509697,542.961636332278,1,551.895101509697,1,False,False
chi2_eta003,9913,19,2,66,2,2,2,t2_k66,995,27,0.0030150753768844,1,0.925049309664694,278.513576350821,5.36360801822399,551.895101509697,542.961636332278,1,551.895101509697,0.0995,False,False
saa,9913,19,2,66,2,2,2,t2_k66,995,27,0.0030150753768844,1,0.925049309664694,278.513576350821,5.36360801822399,551.895101509697,542.961636332278,1,551.895101509697,0.0995,False,False
chi2_eta003,9913,19,3,131,3,3,3,t3_k131,63,23,0.0158730158730159,1,1,277.406850906388,5.36360801822399,551.895101509697,542.961636332278,1,551.895101509697,0.0063,False,False
saa,9913,19,3,131,3,3,3,t3_k131,63,23,0.0158730158730159,1,1,277.406850906388,5.36360801822399,551.895101509697,542.961636332278,1,551.895101509697,0.0063,False,False
chi2_eta003,9913,19,4,181,4,2,5,t4_k181,18,12,0.111111111111111,1,1,103.101978272791,5.36360801822399,551.895101509697,542.961636332278,1,551.895101509697,0.0018,False,False
saa,9913,19,4,181,4,2,5,t4_k181,18,12,0.111111111111111,1,1,103.101978272791,5.36360801822399,551.895101509697,542.961636332278,1,551.895101509697,0.0018,False,False
chi2_eta003,9913,19,5,182,4,2,6,t5_k182,32,8,0.09375,1,1,97.4045608970722,5.36360801822399,551.895101509697,542.961636332278,1,551.895101509697,0.0032,True,True
saa,9913,19,5,182,4,2,6,t5_k182,32,8,0.09375,1,1,97.4045608970722,5.36360801822399,551.895101509697,542.961636332278,1,551.895101509697,0.0032,True,True
