path_id,state,saa_terminal_loh_total_target_kg,dro_terminal_loh_total_target_kg,dro_minus_saa_target_kg,saa_max_feasible_terminal_total_kg,dro_max_feasible_terminal_total_kg,saa_capacity_gap_kg,dro_capacity_gap_kg,dro_minus_saa_capacity_gap_kg,saa_capacity_gap_share_of_target,dro_capacity_gap_share_of_target,saa_system_total_sufficient,dro_system_total_sufficient,feasibility_transition
8828,16,571.966287537845,585.059146032685,13.09285849484,473.088409272046,473.088409272046,98.8778782657983,111.970736760639,13.0928584948407,0.172873612344252,0.191383619109141,False,False,both_infeasible
8988,16,571.966287537845,585.059146032685,13.09285849484,595.791098909341,601.688280672679,0,0,0,0,0,True,True,both_feasible
9122,16,571.966287537845,585.059146032685,13.09285849484,601.688280672679,601.688280672679,0,0,0,0,0,True,True,both_feasible
9151,16,571.966287537845,585.059146032685,13.09285849484,405.267093140662,405.267093140662,166.699194397182,179.792052892023,13.092858494841,0.291449335440339,0.307305772606414,False,False,both_infeasible
9211,16,571.966287537845,585.059146032685,13.09285849484,601.688280672679,601.688280672679,0,0,0,0,0,True,True,both_feasible
9225,16,571.966287537845,585.059146032685,13.09285849484,461.805101509697,461.805101509697,110.161186028147,123.254044522988,13.092858494841,0.192600837546494,0.210669374812409,False,False,both_infeasible
9507,16,571.966287537845,585.059146032685,13.09285849484,405.267093140662,405.267093140662,166.699194397182,179.792052892023,13.092858494841,0.291449335440339,0.307305772606414,False,False,both_infeasible
9934,16,571.966287537845,585.059146032685,13.09285849484,421.508280672679,421.508280672679,150.458006865166,163.550865360006,13.09285849484,0.263053977381859,0.27954586552326,False,False,both_infeasible
73,17,562.147123803289,578.512356224272,16.365232420983,495.357093140662,495.357093140662,66.7900306626272,83.1552630836094,16.3652324209822,0.118812367500432,0.143739821957014,False,False,both_infeasible
185,17,562.147123803289,578.512356224272,16.365232420983,461.805101509697,461.805101509697,100.342022293592,116.707254714574,16.365232420982,0.178497795407568,0.20173684011916,False,False,both_infeasible
250,17,562.147123803289,578.512356224272,16.365232420983,495.357093140662,495.357093140662,66.7900306626271,83.1552630836094,16.3652324209823,0.118812367500432,0.143739821957014,False,False,both_infeasible
287,17,562.147123803289,578.512356224272,16.365232420983,473.088409272046,473.088409272046,89.0587145312431,105.423946952225,16.3652324209819,0.158425989852449,0.182232835336979,False,False,both_infeasible
405,17,562.147123803289,578.512356224272,16.365232420983,473.088409272046,473.088409272046,89.058714531243,105.423946952225,16.365232420982,0.158425989852448,0.182232835336979,False,False,both_infeasible
421,17,562.147123803289,578.512356224272,16.365232420983,405.267093140662,405.267093140662,156.880030662627,173.245263083609,16.365232420982,0.279072904618336,0.299466832850926,False,False,both_infeasible
674,17,562.147123803289,578.512356224272,16.365232420983,405.267093140662,405.267093140662,156.880030662627,173.245263083609,16.365232420982,0.279072904618336,0.299466832850926,False,False,both_infeasible
770,17,562.147123803289,578.512356224272,16.365232420983,511.598280672679,511.598280672679,50.5488431306107,66.914075551593,16.3652324209823,0.0899210206549045,0.115665767259174,False,False,both_infeasible
928,17,562.147123803289,578.512356224272,16.365232420983,473.088409272046,473.088409272046,89.0587145312431,105.423946952225,16.3652324209819,0.158425989852449,0.182232835336979,False,False,both_infeasible
