complexity_label,initial_state_id,a0,loc0,lfw0,R,rho,iteration,active_constraints_before,active_constraints_after,objective_value,solve_status,modeling_time_sec,solve_time_sec,separation_time_sec,max_violation,violated_r_count,constraints_added,converged
medium,18,4,4,0,2000,0.02,3,4173,4174,77238.6259358022,OPTIMAL,0.1649943,2.2505798,2.4867965,1419.57771392912,1,1,0
medium,18,4,4,0,2000,0.02,4,4174,4174,77239.3357246591,OPTIMAL,0.1088786,2.1432398,2.9159601,5.82076609134674e-11,0,0,1
complex,30,6,2,0,1000,0,1,1000,1999,190357.646482832,OPTIMAL,0.0156502,0.4226082,0.5787597,920305.904537064,999,999,0
complex,30,6,2,0,1000,0,2,1999,2013,190357.646482832,OPTIMAL,0.0522509,0.454076,0.5647168,116349.00030186,14,14,0
complex,30,6,2,0,1000,0,3,2013,2013,190357.646482832,OPTIMAL,0.0327155,0.3937386,0.4954579,0,0,0,1
complex,30,6,2,0,1000,0.02,1,1000,1999,190357.646482832,OPTIMAL,0.0312647,0.4499461,0.5672755,920305.904537064,999,999,0
complex,30,6,2,0,1000,0.02,2,1999,2197,321047.285220734,OPTIMAL,0.0541404,1.2492784,0.6101148,203771.533801433,198,198,0
complex,30,6,2,0,1000,0.02,3,2197,2199,330906.710741572,OPTIMAL,0.0593147,1.0810223,0.6384418,343.422315596952,2,2,0
complex,30,6,2,0,1000,0.02,4,2199,2199,330907.110410959,OPTIMAL,0.0398635,1.2157804,0.6248824,1.16415321826935e-10,0,0,1
complex,30,6,2,0,2000,0,1,2000,3999,186610.352916508,OPTIMAL,0.0307867,0.7654244,2.1820491,920305.904537064,1999,1999,0
complex,30,6,2,0,2000,0,2,3999,4038,186610.352916508,OPTIMAL,0.0611242,0.7824161,2.055022,116528.251991081,39,39,0
complex,30,6,2,0,2000,0,3,4038,4038,186610.352916508,OPTIMAL,0.0630314,0.8444731,2.075089,0,0,0,1
complex,30,6,2,0,2000,0.02,1,2000,3999,186610.352916508,OPTIMAL,0.031166,1.0213867,2.3864865,920305.904537064,1999,1999,0
complex,30,6,2,0,2000,0.02,2,3999,4558,317031.760869463,OPTIMAL,0.0617195,3.4261694,2.3337812,210835.842860862,559,559,0
complex,30,6,2,0,2000,0.02,3,4558,4568,330015.99427498,OPTIMAL,0.1140487,3.6167063,2.6494277,3875.78374976484,10,10,0
complex,30,6,2,0,2000,0.02,4,4568,4568,330021.692887523,OPTIMAL,0.1333185,3.560667,2.3325895,1.16415321826935e-10,0,0,1
