arm,penalty,first_path_id,last_path_id,path_rows,stage_rows,site_rows,hour_site_rows,grid_hour_rows,positive_htt_rows,wall_time_s
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,2101,2200,100,349,1396,11168,2792,50,224.9602066
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,2201,2300,100,363,1452,11616,2904,81,234.7752495
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,2301,2400,100,369,1476,11808,2952,82,244.7337208
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,2401,2500,100,353,1412,11296,2824,65,254.8144505
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,2501,2600,100,344,1376,11008,2752,54,264.1980918
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,2601,2700,100,379,1516,12128,3032,67,274.4843504
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,2701,2800,100,347,1388,11104,2776,62,284.3194418
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,2801,2900,100,356,1424,11392,2848,85,293.9380216
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,2901,3000,100,363,1452,11616,2904,76,303.6715384
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,3001,3100,100,344,1376,11008,2752,58,312.9645436
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,3101,3200,100,357,1428,11424,2856,65,322.6467763
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,3201,3300,100,357,1428,11424,2856,53,332.3859894
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,3301,3400,100,338,1352,10816,2704,46,341.590667
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,3401,3500,100,388,1552,12416,3104,90,352.0671444
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,3501,3600,100,356,1424,11392,2848,66,362.1046001
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,3601,3700,100,354,1416,11328,2832,53,371.6977047
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,3701,3800,100,376,1504,12032,3008,82,381.8979678
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,3801,3900,100,365,1460,11680,2920,45,391.812487
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,3901,4000,100,363,1452,11616,2904,73,402.0992918
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,4001,4100,100,352,1408,11264,2816,61,411.5882204
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,4101,4200,100,358,1432,11456,2864,59,421.2724621
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,4201,4300,100,343,1372,10976,2744,47,430.6350029
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,4301,4400,100,346,1384,11072,2768,72,440.0105356
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,4401,4500,100,348,1392,11136,2784,64,449.4367021
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,4501,4600,100,343,1372,10976,2744,45,458.804043
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,4601,4700,100,361,1444,11552,2888,64,468.5433274
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,4701,4800,100,348,1392,11136,2784,47,478.0783195
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,4801,4900,100,347,1388,11104,2776,57,487.5840998
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,4901,5000,100,367,1468,11744,2936,82,497.5910913
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,5001,5100,100,362,1448,11584,2896,57,507.9829642
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,5101,5200,100,342,1368,10944,2736,44,517.3367694
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,5201,5300,100,364,1456,11648,2912,59,527.1447396
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,5301,5400,100,339,1356,10848,2712,62,536.7678111
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,5401,5500,100,343,1372,10976,2744,53,546.0750534
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,5501,5600,100,352,1408,11264,2816,50,555.7109693
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,5601,5700,100,377,1508,12064,3016,67,565.9669286
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,5701,5800,100,361,1444,11552,2888,65,576.1481689
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,5801,5900,100,344,1376,11008,2752,86,585.8013321
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,5901,6000,100,366,1464,11712,2928,49,595.7607383
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,6001,6100,100,367,1468,11744,2936,77,606.1852639
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,6101,6200,100,353,1412,11296,2824,58,615.656791
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,6201,6300,100,339,1356,10848,2712,63,624.8454242
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,6301,6400,100,377,1508,12064,3016,56,635.0109297
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,6401,6500,100,349,1396,11168,2792,58,644.8091537
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,6501,6600,100,342,1368,10944,2736,56,654.0327153
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,6601,6700,100,357,1428,11424,2856,56,663.7763728
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,6701,6800,100,375,1500,12000,3000,93,673.9413868
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,6801,6900,100,339,1356,10848,2712,63,683.4514734
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,6901,7000,100,370,1480,11840,2960,65,693.532066
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,7001,7100,100,346,1384,11072,2768,54,704.2551323
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,7101,7200,100,364,1456,11648,2912,73,715.4722522
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,7201,7300,100,356,1424,11392,2848,42,726.639817
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,7301,7400,100,351,1404,11232,2808,71,737.7082246
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,7401,7500,100,364,1456,11648,2912,59,748.8004466
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,7501,7600,100,372,1488,11904,2976,43,760.4834815
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,7601,7700,100,359,1436,11488,2872,91,771.8202231
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,7701,7800,100,352,1408,11264,2816,55,782.5909723
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,7801,7900,100,361,1444,11552,2888,58,793.9129766
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,7901,8000,100,353,1412,11296,2824,51,803.9291108
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,8001,8100,100,354,1416,11328,2832,73,814.7490256
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,8101,8200,100,350,1400,11200,2800,68,825.9089405
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,8201,8300,100,377,1508,12064,3016,65,836.7655903
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,8301,8400,100,362,1448,11584,2896,72,847.5127945
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,8401,8500,100,357,1428,11424,2856,70,858.3715234
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,8501,8600,100,370,1480,11840,2960,51,869.112051
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,8601,8700,100,370,1480,11840,2960,82,880.7588441
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,8701,8800,100,354,1416,11328,2832,71,891.8587749
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,8801,8900,100,358,1432,11456,2864,75,902.9792585
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,8901,9000,100,340,1360,10880,2720,42,913.4561555
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,9001,9100,100,359,1436,11488,2872,60,924.5696301
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,9101,9200,100,347,1388,11104,2776,35,935.2356551
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,9201,9300,100,373,1492,11936,2984,78,946.0965485
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,9301,9400,100,362,1448,11584,2896,62,956.8889598
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,9401,9500,100,353,1412,11296,2824,37,967.5702417
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,9501,9600,100,346,1384,11072,2768,50,977.1743884
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,9601,9700,100,354,1416,11328,2832,74,987.0302204
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,9701,9800,100,346,1384,11072,2768,51,996.6706404
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,9801,9900,100,362,1448,11584,2896,65,1006.5029969
TEMPORAL3P5_SAA_BASEMSP5H_CANDIDATE,1000,9901,10000,100,364,1456,11648,2912,66,1016.4710263
