method,state,stage,site,OOS_count,active_path_share,terminal_event_path_share,mean_start_inventory_kg,mean_end_inventory_kg,median_end_inventory_kg,mean_production_kg,mean_prod_utilization,mean_storage_utilization,mean_normal_served_kg,mean_normal_shortage_kg,mean_htt_inflow_kg,mean_htt_outflow_kg,mean_net_htt_inflow_kg,mean_terminal_target_kg,mean_terminal_gap_kg
chi2_eta003,17,1,2,78,1,0,50.3081379386248,67.882050982103,67.882050982103,23.4,1,0.339410254910515,5.82608695652174,0,0,0,0,0,0
chi2_eta003,17,1,3,78,1,0,25.2621334423093,37.7163366656137,37.7163366656137,14.04,1,0.377163366656137,1.58579677669568,0,0,0,0,0,0
chi2_eta003,17,1,4,78,1,0,33.0235808462428,47.7055120125908,47.7055120125908,17.55,1,0.318036746750605,2.86806883365201,0,0,0,0,0,0
chi2_eta003,17,2,1,78,1,0,88.0243810123712,121.348676969485,103.034672143041,35.1,1,0.404495589898285,13.6506996163394,6.43900925299029,11.8749955734537,0,11.8749955734537,0,0
chi2_eta003,17,2,2,78,1,0,67.882050982103,77.7934492111022,79.0273925970099,23.4,1,0.388967246055511,8.32688326166589,3.92777512342731,0,5.16171850933494,-5.16171850933494,0,0
chi2_eta003,17,2,3,78,1,0,37.7163366656137,36.1371387665424,44.6638605818422,14.04,1,0.361371387665424,4.81924656974213,2.27322951402931,0,10.7999513293292,-10.7999513293292,0,0
chi2_eta003,17,2,4,78,1,0,47.7055120125908,62.3051888583946,54.8991761878037,17.55,1,0.41536792572263,7.03699741940662,3.31933840538048,4.08667426521042,0,4.08667426521042,0,0
chi2_eta003,17,3,1,78,1,0,121.348676969485,171.785903031364,180.775993902723,35.1,1,0.572619676771212,7.21789663732793,14.4357932746559,22.6680210780368,0.112898378830559,22.5551226992062,0,0
chi2_eta003,17,3,2,78,1,0,77.7934492111022,86.38490511024,88.5454050193701,23.4,1,0.4319245255512,4.62732919254657,9.25465838509313,0.107966654927598,10.2891815632432,-10.1812149083156,0,0
chi2_eta003,17,3,3,78,1,0,36.1371387665424,29.2915150941255,24.5800274967462,14.04,1,0.292915150941255,2.80818179206527,5.61636358413054,0.00328844815915197,18.0807303285108,-18.0774418803516,0,0
chi2_eta003,17,3,4,78,1,0,62.3051888583946,81.366127780117,84.3040939173168,17.55,1,0.542440851867447,4.19259516773857,8.38519033547713,5.70353408946101,0,5.70353408946101,0,0
chi2_eta003,17,4,1,78,0.897435897435897,0.102564102564103,171.785903031364,212.539271350906,211.700764686235,31.5,1,0.708464237836352,1.04313143412669,6.25878860476017,11.0053835125927,0.708883758924072,10.2964997536687,24.8713319462068,4.12828841642705
chi2_eta003,17,4,2,78,0.897435897435897,0.102564102564103,86.38490511024,96.2484030974405,96.0024320463297,19.7023265304381,0.938206025258955,0.481242015487202,0.5175983436853,3.1055900621118,0.334259581963314,9.65548978151557,-9.32123019955226,14.4907952501607,5.83548069069949
chi2_eta003,17,4,3,78,0.897435897435897,0.102564102564103,29.2915150941255,31.1941243495231,28.3643588926193,11.700113184705,0.928580411484523,0.311941243495231,0.756048944017573,4.53629366410544,0.444768560484697,9.48622354577448,-9.04145498528978,4.58785805740389,1.87398607252848
chi2_eta003,17,4,4,78,0.897435897435897,0.102564102564103,81.366127780117,104.644132462785,108.906471110846,15.75,1,0.697627549751897,0.538180748505796,3.22908449103478,8.06618543117336,0,8.06618543117336,15.3846153846154,5.54197511186686
chi2_eta003,17,5,1,70,0.542857142857143,0.457142857142857,213.715796714969,230.910159505984,232.942283620979,19.0542857142857,1,0.769700531686613,0.0506298726580533,2.7288942592696,0.964196859788842,2.77348991040161,-1.80929305061276,110.855079531664,9.37464169858233
chi2_eta003,17,5,2,70,0.542857142857143,0.457142857142857,97.603727228034,107.752755137967,103.284377705709,12.7028571428571,1,0.538763775689837,0,3.16273291925466,0.37801909555507,2.93184832847881,-2.55382923292374,64.5875445435735,19.2568100136372
chi2_eta003,17,5,3,70,0.542857142857143,0.457142857142857,31.7351383491789,37.8495047209513,38.6161614312656,7.62171428571429,1,0.378495047209513,0.0226542396670811,0.838206867682002,0.416363243131478,1.90105691740626,-1.48469367427478,20.448738770143,5.32647302213629
chi2_eta003,17,5,4,70,0.542857142857143,0.457142857142857,105.635948440326,120.988462800281,121.049545055025,9.52714285714286,1,0.806589752001873,0.0224444549990417,1.53450719755491,5.85816873457717,0.0103527767658836,5.84781595781128,68.5714285714286,18.8679050810645
