state,site,saa_OOS_count,dro_OOS_count,saa_terminal_target_kg,dro_terminal_target_kg,saa_mean_final_inventory_kg,dro_mean_final_inventory_kg,saa_median_final_inventory_kg,dro_median_final_inventory_kg,saa_mean_balance_inventory_minus_target_kg,dro_mean_balance_inventory_minus_target_kg,saa_mean_surplus_kg,dro_mean_surplus_kg,saa_mean_deficit_kg,dro_mean_deficit_kg,saa_deficit_path_share,dro_deficit_path_share,saa_surplus_path_share,dro_surplus_path_share,saa_at_target_path_share,dro_at_target_path_share,saa_mean_attainment,dro_mean_attainment,delta_dro_minus_saa_target_kg,delta_dro_minus_saa_mean_final_inventory_kg
14,3,188,188,9.81916373455527,9.81917939576067,24.7861385382862,27.7887437586094,23.4061365933396,24.5479067527524,14.966974803731,17.9695643628487,14.966974803731,17.9695643628487,0,0,0,0,1,1,0,0,1,1,1.56612054009742e-05,3.00260522032314
14,4,188,188,35.1853367154897,52.6417371664842,94.946169765258,98.3489374262777,91.5009298306266,94.4270254284488,59.7608330497683,45.7072002597935,59.7608330497683,45.7072002597935,0,0,0,0,1,0.98936170212766,0,0.0106382978723404,1,1,17.4564004509945,3.40276766101971
16,1,78,78,242.493794834029,245.768350802666,230.500004126995,232.162626063248,225.786513965463,231.485578750692,-11.9937907070335,-13.6057247394178,5.1816975622003,4.19414760269445,17.1754882692338,17.7998723421123,0.769230769230769,0.807692307692308,0.230769230769231,0.192307692307692,0,0,0.929171431866991,0.927574595003877,3.27455596863695,1.66262193625272
16,2,78,78,136.665030139378,136.921371377604,114.171241094691,110.987693728223,119.193737555574,112.614194625517,-22.4937890446867,-25.9336776493815,1.5480056618014,0.648369166599242,24.0417947064881,26.5820468159807,0.782051282051282,0.782051282051282,0.217948717948718,0.217948717948718,0,0,0.824082322434869,0.805859037573672,0.256341238226014,-3.18354736646882
16,3,78,78,42.8074625644382,52.3694238524147,32.5254774686041,39.6906895789907,31.4849828830056,42.9199272471081,-10.2819850958341,-12.678734273424,0.756806159363234,0.806989138156122,11.0387912551974,13.4857234115801,0.871794871794872,0.82051282051282,0.128205128205128,0.179487179487179,0,0,0.742129278543884,0.742488604618126,9.5619612879765,7.16521211038665
16,4,78,78,150,150,125.548242883027,122.850708534194,132.973324013047,122.192673667446,-24.4517571169731,-27.1492914658055,0,0,24.4517571169731,27.1492914658055,0.884615384615385,0.807692307692308,0,0,0.115384615384615,0.192307692307692,0.836988285886846,0.819004723561297,0,-2.69753434883242
17,1,78,78,241.38777514115,242.495486475516,229.888097109556,229.742930039532,227.599184572593,231.859957075008,-11.4996780315938,-12.7525564359836,3.88620822169259,2.7294416985978,15.3858862532864,15.4819981345814,0.666666666666667,0.82051282051282,0.333333333333333,0.179487179487179,0,0,0.936260706474097,0.936155520419781,1.10771133436597,-0.145167070023859
17,2,78,78,138.028802880288,141.285253689067,108.290925289654,107.264950711643,107.539285148607,102.415324417593,-29.7378775906342,-34.0203029774236,0.659985803792769,0.00737596154914108,30.397863394427,34.0276789389727,0.871794871794872,0.987179487179487,0.128205128205128,0.0128205128205128,0,0,0.779771592884197,0.759156188983041,3.25645080877899,-1.02597457801033
17,3,78,78,32.7305457818509,44.7316160596879,30.5403841250704,37.3357176852204,29.4574912036658,38.3388412873393,-2.19016165678045,-7.39589837446746,1.82995630498792,1.34079873535131,4.02011796176837,8.73669710981877,0.794871794871795,0.692307692307692,0.192307692307692,0.294871794871795,0.0128205128205128,0.0128205128205128,0.877175345973072,0.804686307372376,12.001070277837,6.79533356015
17,4,78,78,150,150,121.499523027897,119.679847613134,119.219632954706,117.887507232362,-28.5004769721032,-30.3201523868658,0,0,28.5004769721032,30.3201523868658,0.858974358974359,0.846153846153846,0,0,0.141025641025641,0.153846153846154,0.809996820185978,0.797865650754228,0,-1.81967541476257
18,1,55,55,243.569811526607,252.702273520957,223.651086147921,225.469751195219,222.840465864767,231.297621603104,-19.9187253786863,-27.2325223257377,2.01547650639767,1.01899713041673,21.934201885084,28.2515194561545,0.890909090909091,0.927272727272727,0.109090909090909,0.0727272727272727,0,0,0.9099469603905,0.888202353455235,9.13246199435,1.81866504729859
18,2,55,55,123.300057278455,124.532268421669,108.656454062558,105.704029396462,113.925949088687,102.273901324513,-14.6436032158968,-18.8282390252073,2.80004414317716,1.67934141454813,17.443647359074,20.5075804397555,0.781818181818182,0.854545454545454,0.2,0.127272727272727,0.0181818181818182,0.0181818181818182,0.858526851129679,0.835323160015713,1.232211143214,-2.9524246660965
18,3,55,55,29.4574912036658,44.7317455611508,30.6866094436628,37.1725621579472,29.4574912036657,38.9665412104087,1.22911823999703,-7.55918340320356,2.76889132075416,1.48276437476361,1.53977308075713,9.04194777796718,0.327272727272727,0.818181818181818,0.363636363636364,0.181818181818182,0.309090909090909,0,0.947728981055742,0.797862845177675,15.274254357485,6.48595271428441
18,4,55,55,150,150,120.596336095598,118.971390586317,127.09994928358,122.190165796532,-29.4036639044015,-31.0286094136833,0,0,29.4036639044015,31.0286094136833,0.927272727272727,0.890909090909091,0,0,0.0727272727272727,0.109090909090909,0.803975573970656,0.793142603908778,0,-1.62494550928179
19,1,44,44,222.840465864768,231.297621603105,228.695064829541,231.784363025137,224.586323554556,232.471140598147,5.85459896477309,0.486741422032363,11.0722126856035,8.01938170433213,5.21761372083045,7.53264028229977,0.340909090909091,0.386363636363636,0.522727272727273,0.545454545454545,0.136363636363636,0.0681818181818182,0.976585878598922,0.967433126937961,8.45715573833701,3.08929819559626
19,2,44,44,119.193737555574,121.918688071935,112.066914256435,109.19743695309,118.343008051547,111.029011002214,-7.12682329913924,-12.721251118845,6.29676935724004,3.44298539110146,13.4235926563793,16.1642365099464,0.545454545454545,0.704545454545455,0.363636363636364,0.272727272727273,0.0909090909090909,0.0227272727272727,0.887380050901411,0.867417893305995,2.72495051636099,-2.86947730334474
19,3,44,44,36.003600360036,50.0952851168181,32.5233467195754,37.08735070145,31.6515957524738,39.6867530966841,-3.48025364046062,-13.0079344153681,2.0872187620377,0.674653489484272,5.56747240249832,13.6825879048524,0.704545454545455,0.704545454545455,0.272727272727273,0.295454545454545,0.0227272727272727,0,0.845363454020609,0.726868748766561,14.0916847567821,4.56400398187459
19,4,44,44,133.376974061042,139.650041540419,122.3545586605,123.569858775972,133.376974061041,126.173740359201,-11.022415400542,-16.0801827644468,5.78685399561382,3.28990906186293,16.8092693961558,19.3700918263098,0.477272727272727,0.636363636363636,0.409090909090909,0.340909090909091,0.113636363636364,0.0227272727272727,0.87397172926968,0.86129548109942,6.273067479377,1.21530011547216
