method,state,stage,OOS_count,active_path_share,terminal_event_path_share,max_abs_inventory_conservation_residual_kg,mean_start_inventory_total_kg,median_start_inventory_total_kg,mean_end_inventory_total_kg,median_end_inventory_total_kg,mean_production_total_kg,median_production_total_kg,mean_available_production_capacity_total_kg,median_available_production_capacity_total_kg,mean_production_capacity_utilization,median_production_capacity_utilization,mean_normal_demand_total_kg,median_normal_demand_total_kg,mean_normal_served_total_kg,median_normal_served_total_kg,mean_normal_shortage_total_kg,median_normal_shortage_total_kg,mean_net_htt_inflow_total_kg,median_net_htt_inflow_total_kg,mean_terminal_target_total_kg,median_terminal_target_total_kg,mean_terminal_gap_total_kg,median_terminal_gap_total_kg
chi2_eta003,13,4,88,0.886363636363636,0.113636363636364,1.19548815291637e-12,345.278860008546,315.177093140662,404.794482796761,405.267093140662,70.5758621486734,86.8055962350083,90.09,90.09,0.883827834428144,1,22.2686838686158,22.2686838686158,11.0602393604576,12.033353763255,8.67791225036095,0,-1.68047394181899e-15,0,40.3552786755456,0,2.6112349271612,0
chi2_eta003,13,5,78,0.576923076923077,0.423076923076923,1.4530598946294e-12,409.381317792849,405.267093140662,455.420715266801,451.133648060134,49.7520893322677,80.2697703672267,90.09,90.09,0.957231155983986,1,15.4001285993677,15.4001285993677,3.71269185831572,0,5.1719977182426,0,-6.57024292521759e-15,0,150.245806761262,0,1.2345898965496,0
chi2_eta003,13,6,45,0.2,0.8,1.48503431773861e-12,476.281305181116,458.805597948825,487.869897532742,493.458478459857,14.6898400239475,0,90.09,90.09,0.81528693661602,1,49.7931791629814,49.7931791629814,3.10124767232141,0,6.85738816027488,0,-1.97372982155583e-17,0,284.101161875841,355.126452344801,0,0
chi2_eta003,13,7,9,0,1,0,514.59794520869,531.894453472972,514.59794520869,531.894453472972,0,0,90.09,90.09,,,56.538008369035,56.538008369035,0,0,0,0,0,0,355.126452344801,355.126452344801,1.34213627865797e-13,0
chi2_eta003,14,1,188,1,0,2.1316282072803e-14,166.638409272046,166.638409272046,241.328280672679,241.328280672679,90.09,90.09,90.09,90.09,1,1,15.4001285993677,15.4001285993677,15.4001285993677,15.4001285993677,0,0,0,0,0,0,0,0
chi2_eta003,14,2,188,1,0,5.11590769747272e-13,241.328280672679,241.328280672679,290.630250932789,281.625101509697,90.09,90.09,90.09,90.09,1,1,49.7931791629814,49.7931791629814,40.7880297398891,49.7931791629814,9.00514942309239,0,-3.49602143924517e-16,0,0,0,0,0
chi2_eta003,14,3,188,1,0,9.39692768042732e-13,290.630250932789,281.625101509697,344.632160484469,315.177093140662,90.09,90.09,90.09,90.09,1,1,56.538008369035,56.538008369035,36.0880904483202,56.538008369035,20.4499179207148,0,1.49245273350209e-15,0,0,0,0,0
chi2_eta003,14,4,188,0.840425531914894,0.159574468085106,1.4033219031262e-12,344.632160484469,315.177093140662,397.72399198108,377.592684215657,64.6125402308288,74.4893448666694,90.09,90.09,0.853377112577705,0.963105938669468,22.2686838686158,22.2686838686158,11.5207087342185,16.7723897426426,7.19446175110753,0,-2.48146656886963e-15,0,47.790074876219,0,2.62873457103509,0
chi2_eta003,14,5,158,0.512658227848101,0.487341772151899,1.78435044517755e-12,405.823894421182,382.998409272046,443.166198761218,435.791936505324,42.508975309243,55.9362025578601,90.09,90.09,0.920398956168715,1,15.4001285993677,15.4001285993677,5.16667096920697,0,2.72833166717776,0,1.72225103376978e-15,0,145.951291963744,0,2.06496423272916,0
chi2_eta003,14,6,81,0.160493827160494,0.839506172839506,1.53477230924182e-12,466.58736860491,440.909553944889,471.341638167923,445.147764884632,10.0675439259419,0,90.09,90.09,0.696287522734784,1,49.7931791629814,49.7931791629814,5.3132743629288,0,2.67822352742625,0,9.10108751050746e-16,0,251.419060583368,299.484469224306,0,0
chi2_eta003,14,7,13,0,1,0,477.777319620183,493.458478459856,477.777319620183,493.458478459856,0,0,90.09,90.09,,,56.538008369035,56.538008369035,0,0,0,0,0,0,299.484469224306,299.484469224306,7.01797594396899e-13,0
chi2_eta003,16,1,78,1,0,2.1316282072803e-14,166.638409272046,166.638409272046,241.328280672679,241.328280672679,90.09,90.09,90.09,90.09,1,1,15.4001285993677,15.4001285993677,15.4001285993677,15.4001285993677,0,0,0,0,0,0,0,0
chi2_eta003,16,2,78,1,0,5.11590769747272e-13,241.328280672679,241.328280672679,304.606568815688,281.625101509697,90.09,90.09,90.09,90.09,1,1,49.7931791629814,49.7931791629814,26.81171185699,49.7931791629814,22.9814673059914,0,-1.93577347883361e-15,0,0,0,0,0
chi2_eta003,16,3,78,1,0,1.01607611213694e-12,304.606568815688,281.625101509697,383.099028637425,371.715101509697,90.09,90.09,90.09,90.09,1,1,56.538008369035,56.538008369035,11.5975401782636,0,44.9404681907714,56.538008369035,1.36358161229603e-15,0,0,0,0,0
chi2_eta003,16,4,78,0.897435897435897,0.102564102564103,1.10844666778576e-12,383.099028637425,371.715101509697,461.881787710899,461.805101509697,79.9247428616079,90.09,90.09,90.09,0.988555879549881,1,22.2686838686158,22.2686838686158,1.14198378813415,0,18.8427325042134,22.2686838686158,2.04964250700029e-16,0,60.0060662597625,0,17.4128218210645,0
chi2_eta003,16,5,70,0.457142857142857,0.542857142857143,1.70707892266364e-12,467.207233931881,461.805101509697,507.456399383695,511.598280672678,41.184,0,90.09,90.09,1,1,15.4001285993677,15.4001285993677,0.934834548185899,0,6.1052242400965,0,-3.01980662698043e-15,0,317.603536417743,585.059146032685,64.4125845332175,73.4608653600064
chi2_eta003,16,6,32,0.34375,0.65625,2.18780549232633e-12,556.205666404432,551.895101509698,574.947321825872,582.166721930835,29.3549564360498,0,90.09,90.09,0.947899177543259,1,49.7931791629814,49.7931791629814,10.6133010146099,0,6.50310432266496,0,-1.04083408558608e-16,0,383.945064583949,585.059146032685,20.7809658875654,0.0004401418102588
chi2_eta003,16,7,11,0,1,0,606.649339107533,626.306417455334,606.649339107533,626.306417455334,0,0,90.09,90.09,,,56.538008369035,56.538008369035,0,0,0,0,0,0,585.059146032685,585.059146032685,9.02262972700027,0
chi2_eta003,17,1,78,1,0,2.1316282072803e-14,166.638409272046,166.638409272046,241.328280672679,241.328280672679,90.09,90.09,90.09,90.09,1,1,15.4001285993677,15.4001285993677,15.4001285993677,15.4001285993677,0,0,0,0,0,0,0,0
chi2_eta003,17,2,78,1,0,5.11590769747272e-13,241.328280672679,241.328280672679,297.584453805524,281.625101509697,90.09,90.09,90.09,90.09,1,1,49.7931791629814,49.7931791629814,33.8338268671541,49.7931791629814,15.9593522958274,0,1.58277949151689e-15,0,0,0,0,0
chi2_eta003,17,3,78,1,0,1.08002495835535e-12,297.584453805524,281.625101509697,368.828451015846,371.715101509697,90.09,90.09,90.09,90.09,1,1,56.538008369035,56.538008369035,18.8460027896783,0,37.6920055793567,56.538008369035,3.85624580700731e-15,0,0,0,0,0
chi2_eta003,17,4,78,0.897435897435897,0.102564102564103,9.9475983006414e-13,368.828451015846,371.715101509697,444.625931260654,461.805101509697,78.6524397151431,90.09,90.09,90.09,0.972819291467447,1,22.2686838686158,22.2686838686158,2.85495947033536,0,17.1297568220122,22.2686838686158,-2.35851224590242e-15,0,59.3346006383868,0,17.3797302915219,0
chi2_eta003,17,5,70,0.542857142857143,0.457142857142857,1.4495071809506e-12,448.690610732508,461.805101509697,497.500882165184,495.357093140662,48.906,90.09,90.09,90.09,1,1,15.4001285993677,15.4001285993677,0.0957285673241761,0,8.26434124376117,15.4001285993677,-3.90957107957287e-15,0,264.46279141681,0,52.8258298154204,0
chi2_eta003,17,6,38,0.157894736842105,0.842105263157895,1.389111048411e-12,526.537252836344,551.895101509696,538.018493711214,551.895101509697,13.8041835898087,0,90.09,90.09,0.970435076798625,1,49.7931791629814,49.7931791629814,2.32294271493844,0,5.53913820553231,0,-1.63611814155286e-15,0,487.168299978333,578.512356224271,47.3564652192011,26.6173157534806
chi2_eta003,17,7,6,0,1,0,596.27126468385,604.749106345173,596.27126468385,604.749106345173,0,0,90.09,90.09,,,56.538008369035,56.538008369035,0,0,0,0,0,0,578.512356224271,578.512356224271,9.20272405514775,2.54493862046125
chi2_eta003,18,1,55,1,0,2.1316282072803e-14,166.638409272046,166.638409272046,241.328280672679,241.328280672679,90.09,90.09,90.09,90.09,1,1,15.4001285993677,15.4001285993677,15.4001285993677,15.4001285993677,0,0,0,0,0,0,0,0
chi2_eta003,18,2,55,1,0,5.11590769747272e-13,241.328280672679,241.328280672679,303.353034235362,281.625101509697,90.09,90.09,90.09,90.09,1,1,49.7931791629814,49.7931791629814,28.0652464373168,49.7931791629814,21.7279327256646,0,8.39732324080118e-16,0,0,0,0,0
chi2_eta003,18,3,55,1,0,7.66942065411058e-13,303.353034235362,281.625101509697,373.911722253332,371.715101509697,90.09,90.09,90.09,90.09,1,1,56.538008369035,56.538008369035,19.5313119820303,0,37.0066963870047,56.538008369035,-2.62264957226224e-15,0,0,0,0,0
chi2_eta003,18,4,55,0.854545454545454,0.145454545454545,1.10844666778576e-12,373.911722253332,371.715101509697,444.984566478862,461.805101509697,74.650835608515,90.09,90.09,90.09,0.969667674752747,1,22.2686838686158,22.2686838686158,3.57799138298444,0,15.4516111956509,22.2686838686158,-3.63446646515926e-15,0,83.1950963641857,0,23.6954620540863,0
chi2_eta003,18,5,47,0.51063829787234,0.48936170212766,1.12632125848222e-12,451.099388708127,461.805101509697,495.872055978844,495.357093140663,45.7757562620906,79.3905443182573,90.09,90.09,0.995051496798691,1,15.4001285993677,15.4001285993677,1.00308899137283,0,6.86080646362346,0,-2.15430510310243e-15,0,279.898396012487,0,48.7857036719527,0
chi2_eta003,18,6,24,0.166666666666667,0.833333333333333,4.05009359383257e-13,517.890367340796,495.357093140663,527.224067983122,495.837633236394,14.5196665917035,0,90.09,90.09,0.967010762018216,1,49.7931791629814,49.7931791629814,5.18596594937775,0,3.11289724445249,0,2.14643118094197e-15,0,476.638572919814,571.966287503777,49.044834061187,48.3401901785968
chi2_eta003,18,7,4,0,1,0,572.754018167672,582.313715105631,572.754018167672,582.313715105631,0,0,90.09,90.09,,,56.538008369035,56.538008369035,0,0,0,0,0,0,571.966287503777,571.966287503777,28.0941591976987,18.3642613095722
chi2_eta003,19,1,44,1,0,2.1316282072803e-14,166.638409272046,166.638409272046,241.328280672679,241.328280672679,90.09,90.09,90.09,90.09,1,1,15.4001285993677,15.4001285993677,15.4001285993677,15.4001285993677,0,0,0,0,0,0,0,0
chi2_eta003,19,2,44,1,0,5.11590769747272e-13,241.328280672679,241.328280672679,297.468385788827,281.625101509697,90.09,90.09,90.09,90.09,1,1,49.7931791629815,49.7931791629814,33.949894883851,49.7931791629814,15.8432842791305,0,6.45947941600091e-16,0,0,0,0,0
chi2_eta003,19,3,44,1,0,8.86402062860725e-13,297.468385788827,281.625101509697,370.853974225249,371.715101509697,90.09,90.09,90.09,90.09,1,1,56.538008369035,56.538008369035,16.7044115635785,0,39.8335968054565,56.538008369035,3.47197018610049e-15,0,0,0,0,0
chi2_eta003,19,4,44,0.909090909090909,0.0909090909090909,1.19371179607697e-12,370.853974225249,371.715101509697,442.399716697716,461.805101509697,77.1870842022009,90.09,90.09,90.09,0.942455240564114,1,22.2686838686158,22.2686838686158,5.64134172973389,0,14.6029163326441,22.2686838686158,-5.29879170843825e-16,0,49.3601487574797,0,15.5678668020528,0
chi2_eta003,19,5,40,0.625,0.375,1.10844666778576e-12,449.468178216518,461.805101509697,504.619418571566,503.47768690667,56.30625,90.09,90.09,90.09,1,1,15.4001285993677,15.4001285993677,1.15500964495258,0,8.47007072965226,15.4001285993677,-6.49133524710521e-15,0,203.610613624604,0,28.6258993933817,0
chi2_eta003,19,6,25,0.24,0.76,8.20676859802916e-13,527.133933980374,551.895101509697,543.153104666261,551.895101509698,20.3994285877977,0,90.09,90.09,0.943474515660157,1,49.7931791629814,49.7931791629814,4.38025790191086,0,7.57010509720468,0,4.90274487674469e-15,0,412.650843612531,542.961636332277,23.9200929792267,0
chi2_eta003,19,7,6,0,1,0,559.892283959472,560.528292904497,559.892283959472,560.528292904497,0,0,90.09,90.09,,,56.538008369035,56.538008369035,0,0,0,0,0,0,542.961636332277,542.961636332277,11.4926745872874,2.68183452856541
saa,12,1,117,1,0,2.1316282072803e-14,166.638409272046,166.638409272046,241.328280672679,241.328280672679,90.09,90.09,90.09,90.09,1,1,15.4001285993677,15.4001285993677,15.4001285993677,15.4001285993677,0,0,0,0,0,0,0,0
saa,12,2,117,1,0,5.85753667792233e-13,241.328280672679,241.328280672679,288.860007883805,281.625101509697,90.09,90.09,90.09,90.09,1,1,49.7931791629814,49.7931791629814,42.558272788873,49.7931791629814,7.23490637410841,0,-1.33036981241408e-15,0,0,0,0,0
saa,12,3,117,0.991452991452991,0.00854700854700855,1.22213350550737e-12,288.860007883805,281.625101509697,337.493901193568,315.177093140662,87.2923605706405,90.09,90.09,90.09,0.977299155515456,1,56.538008369035,56.538008369035,38.6584672608786,56.538008369035,17.3963102673954,0,-7.66030164277157e-15,0,2.78349513273005,0,0.830602114579348,0
saa,12,4,116,0.844827586206897,0.155172413793103,1.24877885809838e-12,337.975528777049,315.177093140662,385.831154486963,366.309358208536,59.1723723194647,52.7333811238655,90.09,90.09,0.777453293764955,0.907375673973223,22.2686838686158,22.2686838686158,11.3167466095507,14.0026614371765,7.49645183117646,0,-1.97607248751435e-15,0,50.534834047668,0,5.84815589221726,0
saa,12,5,98,0.520408163265306,0.479591836734694,1.12798659301916e-12,393.824675821462,373.20040105869,429.366910762631,420.265387071075,40.645740266654,38.7139916457232,90.09,90.09,0.866950597579347,1,15.4001285993677,15.4001285993677,5.10350532548545,0,2.91084731296103,0,-4.84872912795477e-16,0,156.188160560026,0,4.13137093633542,0
saa,12,6,51,0.176470588235294,0.823529411764706,9.9120711638534e-13,445.921361421263,434.888768839029,455.57624329997,439.536417641081,14.4181260722771,0,90.09,90.09,0.906901036847269,1,49.7931791629814,49.7931791629814,4.7632441935704,0,4.02378742342633,0,1.20165315606488e-15,0,268.197942788931,325.668930529416,1.49479240047318,0
saa,12,7,9,0,1,0,501.221054957341,504.765347567737,501.221054957341,504.765347567737,0,0,90.09,90.09,,,56.538008369035,56.538008369035,0,0,0,0,0,0,325.668930529416,325.668930529416,0.454590913636925,0
saa,13,1,89,1,0,2.1316282072803e-14,166.638409272046,166.638409272046,241.328280672679,241.328280672679,90.09,90.09,90.09,90.09,1,1,15.4001285993677,15.4001285993677,15.4001285993677,15.4001285993677,0,0,0,0,0,0,0,0
saa,13,2,89,1,0,5.54001289287953e-13,241.328280672679,241.328280672679,291.695632126929,281.625101509697,90.09,90.09,90.09,90.09,1,1,49.7931791629814,49.7931791629814,39.7226485457492,49.7931791629814,10.0705306172322,0,4.86502224273945e-16,0,0,0,0,0
saa,13,3,89,0.98876404494382,0.0112359550561798,1.09423581307055e-12,291.695632126929,281.625101509697,342.160974944046,315.177093140662,86.6944328086383,90.09,90.09,90.09,0.973244497922382,1,56.538008369035,56.538008369035,36.2290899915222,56.538008369035,19.6736598565124,0,-8.40838010953468e-15,0,2.70302821906297,0,0.139316011048852,0
saa,13,4,88,0.886363636363636,0.113636363636364,1.10844666778576e-12,342.848882596709,315.177093140662,392.851029442034,380.091443908838,61.9657318695447,53.5934139712741,90.09,90.09,0.776002402799471,1,22.2686838686158,22.2686838686158,11.9635850242195,22.2061584506768,7.77456658659912,0,8.08065735536833e-16,0,27.3374444882505,0,0.00123713466524658,0
saa,13,5,78,0.576923076923077,0.423076923076923,1.28608235172578e-12,396.866652469567,387.579691198572,438.902822214453,435.648409272046,46.6574301385139,56.7383749571378,90.09,90.09,0.897689853554861,1,15.4001285993677,15.4001285993677,4.62126039362812,0,4.26342918293019,0,2.19731640290396e-15,0,101.779408710102,0,0,0
saa,13,6,45,0.2,0.8,7.8159700933611e-13,456.359483496769,435.734798627689,467.209592827486,479.956964541293,14.3965714422641,0,90.09,90.09,0.799010514056172,1,49.7931791629814,49.7931791629814,3.54646211154682,0,6.41217372104947,0,1.1348946473946e-15,0,192.455609197284,240.569511496605,0,0
saa,13,7,9,0,1,0,484.574403524684,504.765347567737,484.574403524684,504.765347567737,0,0,90.09,90.09,,,56.538008369035,56.538008369035,0,0,0,0,0,0,240.569511496605,240.569511496605,0,0
saa,14,1,188,1,0,2.1316282072803e-14,166.638409272046,166.638409272046,241.328280672679,241.328280672679,90.09,90.09,90.09,90.09,1,1,15.4001285993677,15.4001285993677,15.4001285993677,15.4001285993677,0,0,0,0,0,0,0,0
saa,14,2,188,1,0,5.11812814352197e-13,241.328280672679,241.328280672679,290.630250932789,281.625101509697,90.09,90.09,90.09,90.09,1,1,49.7931791629814,49.7931791629814,40.7880297398891,49.7931791629814,9.00514942309239,0,-5.03143626053528e-16,0,0,0,0,0
saa,14,3,188,1,0,1.22213350550737e-12,290.630250932789,281.625101509697,342.218509339299,315.177093140662,87.6956531547013,90.09,90.09,90.09,0.973422723439908,1,56.538008369035,56.538008369035,36.1073947481921,56.538008369035,20.4306136208429,0,-2.21099734265776e-15,0,0,0,0,0
saa,14,4,188,0.840425531914894,0.159574468085106,1.49213974509621e-12,342.218509339299,315.177093140662,385.952859164645,347.430371158362,56.2535817767653,52.65,90.09,90.09,0.742975264821808,0.585068502889601,22.2686838686158,22.2686838686158,12.5192319514188,22.2686838686158,6.19593853390729,0,1.26617281966497e-15,0,29.6402947838303,0,0,0
saa,14,5,158,0.512658227848101,0.487341772151899,1.72661884789704e-12,393.382530989253,347.430371158362,424.980552757047,405.267093140663,37.3570342409128,36.3557562765893,90.09,90.09,0.808849779858581,1,15.4001285993677,15.4001285993677,5.75901247311868,0,2.13599016326605,0,1.58558117409283e-15,0,90.5217103988878,0,0,0
saa,14,6,81,0.160493827160494,0.839506172839506,1.12976294985856e-12,441.730325814543,425.734937130077,445.09183119718,428.236525538829,9.12901326313506,0,90.09,90.09,0.631377233291443,1,49.7931791629814,49.7931791629814,5.76750788049736,0,2.22399000985769,0,-3.0989442836277e-17,0,155.934785397731,185.745847312003,0,0
saa,14,7,13,0,1,0,439.373320843471,439.946579333687,439.373320843471,439.946579333687,0,0,90.09,90.09,,,56.538008369035,56.538008369035,0,0,0,0,0,0,185.745847312003,185.745847312003,0,0
saa,16,1,78,1,0,2.1316282072803e-14,166.638409272046,166.638409272046,241.328280672679,241.328280672679,90.09,90.09,90.09,90.09,1,1,15.4001285993677,15.4001285993677,15.4001285993677,15.4001285993677,0,0,0,0,0,0,0,0
saa,16,2,78,1,0,6.25277607468888e-13,241.328280672679,241.328280672679,304.606568815688,281.625101509697,90.09,90.09,90.09,90.09,1,1,49.7931791629814,49.7931791629814,26.81171185699,49.7931791629814,22.9814673059914,0,-1.78489701651275e-15,0,0,0,0,0
saa,16,3,78,1,0,1.06137321154165e-12,304.606568815688,281.625101509697,382.63513130551,371.715101509698,89.6505472343087,90.09,90.09,90.09,0.995122069422896,1,56.538008369035,56.538008369035,11.6219847444871,0,44.9160236245479,56.538008369035,1.20843506141892e-15,0,0,0,0,0
saa,16,4,78,0.897435897435897,0.102564102564103,1.61283486566077e-12,382.63513130551,371.715101509698,460.077175115388,461.805101509697,79.2297455820348,90.09,90.09,90.09,0.979959747458687,1,22.2686838686158,22.2686838686158,1.78770177215673,0,18.1970145201908,22.2686838686158,2.23290047420604e-16,0,58.6632089782405,0,16.0699645395424,0
saa,16,5,70,0.457142857142857,0.542857142857143,2.04636307898909e-12,465.196379896884,461.805101509698,505.170337123303,511.598280672679,41.0739664120886,0,90.09,90.09,0.997328244271771,1,15.4001285993677,15.4001285993677,1.10000918566912,0,5.94004960261327,0,1.27992854410357e-15,0,310.495984663402,571.966287537845,57.9071375469281,60.3680068651659
saa,16,6,32,0.34375,0.65625,1.19371179607697e-12,552.52200938994,551.895101509698,569.08171719835,572.111681855346,28.2376435242766,0,90.09,90.09,0.911820091804007,1,49.7931791629814,49.7931791629814,11.6779357158662,0,5.43846962140872,0,3.33066907387547e-16,0,375.352876196711,571.966287537845,17.0737289237167,5.97237235526919
saa,16,7,11,0,1,0,594.637464762939,616.538909460416,594.637464762939,616.538909460416,0,0,90.09,90.09,,,56.538008369035,56.538008369035,0,0,0,0,0,0,571.966287537845,571.966287537845,11.8086052006686,2.40657729363298
saa,17,1,78,1,0,2.1316282072803e-14,166.638409272046,166.638409272046,241.328280672679,241.328280672679,90.09,90.09,90.09,90.09,1,1,15.4001285993677,15.4001285993677,15.4001285993677,15.4001285993677,0,0,0,0,0,0,0,0
saa,17,2,78,1,0,5.11812814352197e-13,241.328280672679,241.328280672679,297.584453805524,281.625101509697,90.09,90.09,90.09,90.09,1,1,49.7931791629814,49.7931791629814,33.8338268671541,49.7931791629814,15.9593522958274,0,3.64380890133385e-16,0,0,0,0,0
saa,17,3,78,1,0,1.22213350550737e-12,297.584453805524,281.625101509697,368.221232144757,371.715101509697,89.4827811289107,90.09,90.09,90.09,0.993259863790773,1,56.538008369035,56.538008369035,18.8460027896783,0,37.6920055793567,56.538008369035,-5.50058574187682e-15,0,0,0,0,0
saa,17,4,78,0.897435897435897,0.102564102564103,1.26121335597418e-12,368.221232144757,371.715101509697,441.409121013479,461.805101509697,76.1819691189478,90.09,90.09,90.09,0.942263068879997,1,22.2686838686158,22.2686838686158,2.99408025022533,0,16.9906360421222,22.2686838686158,5.62940007999038e-16,0,57.6561152618758,0,15.7158531645317,0
saa,17,5,70,0.542857142857143,0.457142857142857,2.02504679691629e-12,445.106165028513,461.805101509697,493.572161354246,495.357093140662,48.906,90.09,90.09,90.09,1,1,15.4001285993677,15.4001285993677,0.44000367426765,0,7.9200661368177,15.4001285993677,1.47818265564378e-15,0,256.981542310075,0,45.929251859996,0
saa,17,6,38,0.157894736842105,0.842105263157895,1.00897068477934e-12,520.117841631857,551.895101509696,531.02692908494,551.895101509697,14.0086902686637,0,90.09,90.09,0.984811910698971,1,49.7931791629814,49.7931791629814,3.09960281558063,0,4.76247810489012,0,3.10862446895044e-15,0,473.387051623822,562.147123803289,42.734989095397,11.4562369372942
saa,17,7,6,0,1,0,588.497712310539,601.414408699849,588.497712310539,601.414408699849,0,0,90.09,90.09,,,56.538008369035,56.538008369035,0,0,0,0,0,0,562.147123803289,562.147123803289,7.15418578423083,1.64582628991674
saa,18,1,55,1,0,2.1316282072803e-14,166.638409272046,166.638409272046,241.328280672679,241.328280672679,90.09,90.09,90.09,90.09,1,1,15.4001285993677,15.4001285993677,15.4001285993677,15.4001285993677,0,0,0,0,0,0,0,0
saa,18,2,55,1,0,5.85753667792233e-13,241.328280672679,241.328280672679,303.353034235362,281.625101509697,90.09,90.09,90.09,90.09,1,1,49.7931791629814,49.7931791629814,28.0652464373168,49.7931791629814,21.7279327256646,0,2.38193303465034e-16,0,0,0,0,0
saa,18,3,55,1,0,1.26831878333178e-12,303.353034235362,281.625101509697,373.714435417412,371.715101509697,89.9245151546892,90.09,90.09,90.09,0.998163116380166,1,56.538008369035,56.538008369035,19.563113972639,0,36.974894396396,56.538008369035,-2.1094237467878e-15,0,0,0,0,0
saa,18,4,55,0.854545454545454,0.145454545454545,1.38022926421399e-12,373.714435417412,371.715101509697,442.194880366944,461.699072542757,72.6384458480127,90.09,90.09,90.09,0.943527990128241,1,22.2686838686158,22.2686838686158,4.15800089848064,0,14.8716016801547,22.2686838686158,-3.45985866219549e-15,0,79.4657978194513,0,20.0630450431903,0
saa,18,5,47,0.51063829787234,0.48936170212766,1.46105350040671e-12,447.834862406946,461.805101509697,492.069000774965,495.357093140663,45.5842696071152,70.3906715344146,90.09,90.09,0.990889051473718,1,15.4001285993677,15.4001285993677,1.35013123909652,0,6.51376421589978,0,8.27706697507776e-15,0,267.351686812782,0,37.0690064303095,0
saa,18,6,24,0.166666666666667,0.833333333333333,4.9737991503207e-13,511.586013910153,495.357093140663,519.825755275024,495.357093140663,14.202229484751,0,90.09,90.09,0.945869429553845,0.974870099145851,49.7931791629814,49.7931791629814,5.96248811988004,0,2.33637507395021,0,-4.07081775695891e-16,0,455.272800007273,546.327360008728,37.1567980225788,32.2022172906275
