path_id,checkpoint_relative_hour,failure_type,arrival_stage,final_intensity,final_location,final_gap,tail_group,current_inventory_kg,target_total_kg,real_remaining_hour_count,expected_remaining_hour_count,hydrogen_side_recovered,required_extra_H2_kg,alpha_required_uniform,required_total_added_kW_proxy,site1_increment_necessary,site2_increment_necessary,site3_increment_necessary,site4_increment_necessary,joint_grid_feasible,full_candidate_stress_feasible,partially_clipped,grid_aware_identifiable,grid_aware_recovery_supported,classification,grid_clipped_hours,critical_bus,critical_branch,minimum_voltage,minimum_voltage_margin,joint_grid_hostable_extra_H2_kg,grid_aware_recovery_margin_kg,site1_effective_increment_summary,site2_effective_increment_summary,site3_effective_increment_summary,site4_effective_increment_summary,not_identifiable_reason
1320,-16,pure_quantity,5,4,4,191.219045631,extreme1,182.014475204,423.861526765,16,16,YES,1.607051461,0.0267574335831,5.15080596474,NO,NO,NO,NO,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,5,18,1,0.9,0,47.6168953841,46.0098438231,min=75;mean=75;max=75;sum=1200 kW,min=20.3598;mean=47.1979;max=50;sum=755.166 kW,min=-120;mean=-7.07961;max=30;sum=-113.274 kW,min=37.5;mean=37.5;max=37.5;sum=600 kW,
1628,-16,pure_quantity,6,5,2,116.858719011,extreme1,251.186343625,543.056863022,16,16,YES,51.630519297,0.859649005944,165.482433644,YES,YES,YES,YES,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,1,18,1,0.9,0,59.1787158777,7.54819648068,min=75;mean=75;max=75;sum=1200 kW,min=34.8059;mean=49.0504;max=50;sum=784.806 kW,min=0;mean=28.125;max=30;sum=450 kW,min=37.5;mean=37.5;max=37.5;sum=600 kW,
1666,-16,mixed,5,5,2,57.1249121551,difficult4,302.134475204,543.056863022,16,16,YES,0.682387718,0.0113617668665,2.1871401218,NO,NO,NO,NO,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,5,18,1,0.9,0,38.7116502305,38.0292624125,min=8.25366e-11;mean=56.25;max=75;sum=900 kW,min=0;mean=36.5504;max=50;sum=584.806 kW,min=-94.5592;mean=3.15043;max=30;sum=50.4069 kW,min=0;mean=28.125;max=37.5;sum=450 kW,
2000,-16,pure_quantity,5,4,4,160.561358653,extreme1,182.014475204,423.861526765,16,16,YES,1.607051461,0.0267574335831,5.15080596474,NO,NO,NO,NO,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,5,18,1,0.9,0,47.6168953841,46.0098438231,min=75;mean=75;max=75;sum=1200 kW,min=20.3598;mean=47.1979;max=50;sum=755.166 kW,min=-120;mean=-7.07961;max=30;sum=-113.274 kW,min=37.5;mean=37.5;max=37.5;sum=600 kW,
2052,-16,mixed,5,5,4,66.8006773112,difficult4,302.134475204,546.93138762,16,16,YES,4.556912316,0.0758726659341,14.6054881923,NO,NO,NO,NO,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,5,18,1,0.9,0,38.7116502305,34.1547378145,min=8.25366e-11;mean=56.25;max=75;sum=900 kW,min=0;mean=36.5504;max=50;sum=584.806 kW,min=-94.5592;mean=3.15043;max=30;sum=50.4069 kW,min=0;mean=28.125;max=37.5;sum=450 kW,
2103,-16,mixed,5,5,2,58.1179800353,difficult4,302.134475204,543.056863022,16,16,YES,0.682387718,0.0113617668665,2.1871401218,NO,NO,NO,NO,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,5,18,1,0.9,0,38.7116502305,38.0292624125,min=8.25366e-11;mean=56.25;max=75;sum=900 kW,min=0;mean=36.5504;max=50;sum=584.806 kW,min=-94.5592;mean=3.15043;max=30;sum=50.4069 kW,min=0;mean=28.125;max=37.5;sum=450 kW,
2268,-16,pure_quantity,6,4,4,168.727629244,extreme1,160.308409272,423.861526765,16,16,YES,23.313117393,0.388163792757,74.7215301058,NO,NO,NO,NO,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,1,18,1,0.9,0,59.1787158777,35.8655983847,min=75;mean=75;max=75;sum=1200 kW,min=34.8059;mean=49.0504;max=50;sum=784.806 kW,min=0;mean=28.125;max=30;sum=450 kW,min=37.5;mean=37.5;max=37.5;sum=600 kW,
2316,-16,pure_quantity,6,4,4,130.592051561,extreme1,151.533409272,423.861526765,16,16,YES,32.088117393,0.534267688861,102.846530106,NO,NO,NO,NO,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,1,18,1,0.9,0,59.1787158777,27.0905983847,min=75;mean=75;max=75;sum=1200 kW,min=34.8059;mean=49.0504;max=50;sum=784.806 kW,min=0;mean=28.125;max=30;sum=450 kW,min=37.5;mean=37.5;max=37.5;sum=600 kW,
2420,-16,mixed,6,5,2,76.7876870092,difficult4,251.186343625,543.056863022,16,16,YES,51.630519297,0.859649005944,165.482433644,YES,YES,YES,YES,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,1,18,1,0.9,0,59.1787158777,7.54819648068,min=75;mean=75;max=75;sum=1200 kW,min=34.8059;mean=49.0504;max=50;sum=784.806 kW,min=0;mean=28.125;max=30;sum=450 kW,min=37.5;mean=37.5;max=37.5;sum=600 kW,
2435,-16,pure_quantity,5,5,4,94.5159721332,difficult4,302.134475204,546.93138762,16,16,YES,4.556912316,0.0758726659341,14.6054881923,NO,NO,NO,NO,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,5,18,1,0.9,0,38.7116502305,34.1547378145,min=8.25366e-11;mean=56.25;max=75;sum=900 kW,min=0;mean=36.5504;max=50;sum=584.806 kW,min=-94.5592;mean=3.15043;max=30;sum=50.4069 kW,min=0;mean=28.125;max=37.5;sum=450 kW,
2467,-16,mixed,5,5,3,86.7099746942,difficult4,302.134475204,552.327963649,16,16,YES,9.953488345,0.16572574667,31.902206234,NO,NO,NO,NO,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,5,18,1,0.9,0,45.3467040545,35.3932156095,min=8.25366e-11;mean=70.3125;max=75;sum=1125 kW,min=0;mean=44.0729;max=50;sum=705.166 kW,min=-120;mean=-4.19961;max=30;sum=-67.1938 kW,min=0;mean=35.1562;max=37.5;sum=562.5 kW,
2501,-16,mixed,6,4,2,50.4349409882,difficult4,151.533409272,395.525364721,16,16,YES,3.751955349,0.062470119031,12.0254979135,NO,NO,NO,NO,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,1,18,1,0.9,0,59.1787158777,55.4267604287,min=75;mean=75;max=75;sum=1200 kW,min=34.8059;mean=49.0504;max=50;sum=784.806 kW,min=0;mean=28.125;max=30;sum=450 kW,min=37.5;mean=37.5;max=37.5;sum=600 kW,
2962,-16,mixed,6,5,5,121.318635594,extreme1,160.308409272,455.499334558,16,16,YES,54.950925186,0.914933819281,176.124760212,YES,YES,YES,YES,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,1,18,1,0.9,0,59.1787158777,4.22779059168,min=75;mean=75;max=75;sum=1200 kW,min=34.8059;mean=49.0504;max=50;sum=784.806 kW,min=0;mean=28.125;max=30;sum=450 kW,min=37.5;mean=37.5;max=37.5;sum=600 kW,
3349,-16,pure_quantity,5,5,3,51.7498731097,difficult4,302.134475204,552.327963649,16,16,YES,9.953488345,0.16572574667,31.902206234,NO,NO,NO,NO,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,5,18,1,0.9,0,38.7116502305,28.7581617855,min=8.25366e-11;mean=56.25;max=75;sum=900 kW,min=0;mean=36.5504;max=50;sum=584.806 kW,min=-94.5592;mean=3.15043;max=30;sum=50.4069 kW,min=0;mean=28.125;max=37.5;sum=450 kW,
3724,-16,pure_quantity,5,5,5,100.803445608,extreme1,182.014475204,455.499334558,16,16,YES,33.244859254,0.553527460107,106.554036071,NO,NO,NO,NO,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,5,18,1,0.9,0,38.7116502305,5.4667908765,min=8.25366e-11;mean=56.25;max=75;sum=900 kW,min=0;mean=36.5504;max=50;sum=584.806 kW,min=-94.5592;mean=3.15043;max=30;sum=50.4069 kW,min=0;mean=28.125;max=37.5;sum=450 kW,
3909,-16,pure_quantity,6,4,4,201.358259651,extreme1,160.308409272,423.861526765,16,16,YES,23.313117393,0.388163792757,74.7215301058,NO,NO,NO,NO,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,1,18,1,0.9,0,59.1787158777,35.8655983847,min=75;mean=75;max=75;sum=1200 kW,min=34.8059;mean=49.0504;max=50;sum=784.806 kW,min=0;mean=28.125;max=30;sum=450 kW,min=37.5;mean=37.5;max=37.5;sum=600 kW,
4007,-16,pure_quantity,5,4,4,91.5661112779,difficult4,182.014475204,423.861526765,16,16,YES,1.607051461,0.0267574335831,5.15080596474,NO,NO,NO,NO,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,5,18,1,0.9,0,38.7116502305,37.1045986695,min=8.25366e-11;mean=56.25;max=75;sum=900 kW,min=0;mean=36.5504;max=50;sum=584.806 kW,min=-94.5592;mean=3.15043;max=30;sum=50.4069 kW,min=0;mean=28.125;max=37.5;sum=450 kW,
4689,-16,pure_quantity,5,5,5,84.1929909333,difficult4,182.014475204,455.499334558,16,16,YES,33.244859254,0.553527460107,106.554036071,NO,NO,NO,NO,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,5,18,1,0.9,0,38.7116502305,5.4667908765,min=8.25366e-11;mean=56.25;max=75;sum=900 kW,min=0;mean=36.5504;max=50;sum=584.806 kW,min=-94.5592;mean=3.15043;max=30;sum=50.4069 kW,min=0;mean=28.125;max=37.5;sum=450 kW,
4711,-16,mixed,5,5,3,29.631447778,difficult4,302.134475204,552.327963649,16,16,YES,9.953488345,0.16572574667,31.902206234,NO,NO,NO,NO,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,5,18,1,0.9,0,38.7116502305,28.7581617855,min=8.25366e-11;mean=56.25;max=75;sum=900 kW,min=0;mean=36.5504;max=50;sum=584.806 kW,min=-94.5592;mean=3.15043;max=30;sum=50.4069 kW,min=0;mean=28.125;max=37.5;sum=450 kW,
4723,-16,pure_quantity,5,4,4,168.070694858,extreme1,182.014475204,423.861526765,16,16,YES,1.607051461,0.0267574335831,5.15080596474,NO,NO,NO,NO,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,5,18,1,0.9,0,47.6168953841,46.0098438231,min=75;mean=75;max=75;sum=1200 kW,min=20.3598;mean=47.1979;max=50;sum=755.166 kW,min=-120;mean=-7.07961;max=30;sum=-113.274 kW,min=37.5;mean=37.5;max=37.5;sum=600 kW,
5152,-16,mixed,6,4,4,79.4180631879,difficult4,160.308409272,423.861526765,16,16,YES,23.313117393,0.388163792757,74.7215301058,NO,NO,NO,NO,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,1,18,1,0.9,0,59.1787158777,35.8655983847,min=75;mean=75;max=75;sum=1200 kW,min=34.8059;mean=49.0504;max=50;sum=784.806 kW,min=0;mean=28.125;max=30;sum=450 kW,min=37.5;mean=37.5;max=37.5;sum=600 kW,
5212,-16,mixed,6,4,4,79.8866068466,difficult4,154.458409272,423.861526765,16,16,YES,29.163117393,0.48556639016,93.4715301058,NO,NO,NO,NO,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,1,18,1,0.9,0,59.1787158777,30.0155983847,min=75;mean=75;max=75;sum=1200 kW,min=34.8059;mean=49.0504;max=50;sum=784.806 kW,min=0;mean=28.125;max=30;sum=450 kW,min=37.5;mean=37.5;max=37.5;sum=600 kW,
5265,-16,pure_quantity,6,4,4,168.727629244,extreme1,160.308409272,423.861526765,16,16,YES,23.313117393,0.388163792757,74.7215301058,NO,NO,NO,NO,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,1,18,1,0.9,0,59.1787158777,35.8655983847,min=75;mean=75;max=75;sum=1200 kW,min=34.8059;mean=49.0504;max=50;sum=784.806 kW,min=0;mean=28.125;max=30;sum=450 kW,min=37.5;mean=37.5;max=37.5;sum=600 kW,
5592,-16,pure_quantity,6,4,4,135.272051561,extreme1,163.233409272,423.861526765,16,16,YES,20.388117393,0.339462494056,65.3465301058,NO,NO,NO,NO,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,1,18,1,0.9,0,59.1787158777,38.7905983847,min=75;mean=75;max=75;sum=1200 kW,min=34.8059;mean=49.0504;max=50;sum=784.806 kW,min=0;mean=28.125;max=30;sum=450 kW,min=37.5;mean=37.5;max=37.5;sum=600 kW,
5685,-16,pure_quantity,5,4,4,91.5661112779,difficult4,182.014475204,423.861526765,16,16,YES,1.607051461,0.0267574335831,5.15080596474,NO,NO,NO,NO,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,5,18,1,0.9,0,38.7116502305,37.1045986695,min=8.25366e-11;mean=56.25;max=75;sum=900 kW,min=0;mean=36.5504;max=50;sum=584.806 kW,min=-94.5592;mean=3.15043;max=30;sum=50.4069 kW,min=0;mean=28.125;max=37.5;sum=450 kW,
6098,-16,mixed,5,5,2,30.665857873,difficult4,302.134475204,543.056863022,16,16,YES,0.682387718,0.0113617668665,2.1871401218,NO,NO,NO,NO,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,5,18,1,0.9,0,38.7116502305,38.0292624125,min=8.25366e-11;mean=56.25;max=75;sum=900 kW,min=0;mean=36.5504;max=50;sum=584.806 kW,min=-94.5592;mean=3.15043;max=30;sum=50.4069 kW,min=0;mean=28.125;max=37.5;sum=450 kW,
6260,-16,pure_quantity,5,5,5,84.1929909333,difficult4,182.014475204,455.499334558,16,16,YES,33.244859254,0.553527460107,106.554036071,NO,NO,NO,NO,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,5,18,1,0.9,0,38.7116502305,5.4667908765,min=8.25366e-11;mean=56.25;max=75;sum=900 kW,min=0;mean=36.5504;max=50;sum=584.806 kW,min=-94.5592;mean=3.15043;max=30;sum=50.4069 kW,min=0;mean=28.125;max=37.5;sum=450 kW,
6266,-16,mixed,5,5,4,42.1319777437,difficult4,302.134475204,546.93138762,16,16,YES,4.556912316,0.0758726659341,14.6054881923,NO,NO,NO,NO,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,5,18,1,0.9,0,38.7116502305,34.1547378145,min=8.25366e-11;mean=56.25;max=75;sum=900 kW,min=0;mean=36.5504;max=50;sum=584.806 kW,min=-94.5592;mean=3.15043;max=30;sum=50.4069 kW,min=0;mean=28.125;max=37.5;sum=450 kW,
6663,-16,mixed,5,5,2,88.1847364306,difficult4,302.134475204,543.056863022,16,16,YES,0.682387718,0.0113617668665,2.1871401218,NO,NO,NO,NO,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,5,18,1,0.9,0,38.7116502305,38.0292624125,min=8.25366e-11;mean=56.25;max=75;sum=900 kW,min=0;mean=36.5504;max=50;sum=584.806 kW,min=-94.5592;mean=3.15043;max=30;sum=50.4069 kW,min=0;mean=28.125;max=37.5;sum=450 kW,
6698,-16,mixed,6,5,4,65.977207099,difficult4,254.111343625,546.93138762,16,16,YES,52.580043895,0.87545860631,168.525781715,YES,YES,YES,YES,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,1,18,1,0.9,0,59.1787158777,6.59867188268,min=75;mean=75;max=75;sum=1200 kW,min=34.8059;mean=49.0504;max=50;sum=784.806 kW,min=0;mean=28.125;max=30;sum=450 kW,min=37.5;mean=37.5;max=37.5;sum=600 kW,
6960,-16,mixed,6,5,2,61.3984513178,difficult4,251.186343625,543.056863022,16,16,YES,51.630519297,0.859649005944,165.482433644,YES,YES,YES,YES,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,1,18,1,0.9,0,59.1787158777,7.54819648068,min=75;mean=75;max=75;sum=1200 kW,min=34.8059;mean=49.0504;max=50;sum=784.806 kW,min=0;mean=28.125;max=30;sum=450 kW,min=37.5;mean=37.5;max=37.5;sum=600 kW,
7564,-16,mixed,7,5,2,81.7378544269,difficult4,251.008038481,543.056863022,16,16,YES,51.808824441,0.86261778956,166.05392449,YES,YES,YES,YES,YES,NO,YES,YES,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT,4,18,1,0.9,0,39.5929343528,-12.2158901882,min=8.25366e-11;mean=56.25;max=75;sum=900 kW,min=0;mean=37.5;max=50;sum=600 kW,min=-94.5592;mean=5.02543;max=30;sum=80.4069 kW,min=0;mean=28.125;max=37.5;sum=450 kW,
7669,-16,mixed,5,5,4,41.0614092413,difficult4,302.134475204,546.93138762,16,16,YES,4.556912316,0.0758726659341,14.6054881923,NO,NO,NO,NO,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,5,18,1,0.9,0,38.7116502305,34.1547378145,min=8.25366e-11;mean=56.25;max=75;sum=900 kW,min=0;mean=36.5504;max=50;sum=584.806 kW,min=-94.5592;mean=3.15043;max=30;sum=50.4069 kW,min=0;mean=28.125;max=37.5;sum=450 kW,
7786,-16,mixed,5,5,3,67.7390173926,difficult4,302.134475204,552.327963649,16,16,YES,9.953488345,0.16572574667,31.902206234,NO,NO,NO,NO,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,5,18,1,0.9,0,38.7116502305,28.7581617855,min=8.25366e-11;mean=56.25;max=75;sum=900 kW,min=0;mean=36.5504;max=50;sum=584.806 kW,min=-94.5592;mean=3.15043;max=30;sum=50.4069 kW,min=0;mean=28.125;max=37.5;sum=450 kW,
7862,-16,mixed,5,4,4,72.9173932171,difficult4,182.014475204,423.861526765,16,16,YES,1.607051461,0.0267574335831,5.15080596474,NO,NO,NO,NO,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,5,18,1,0.9,0,38.7116502305,37.1045986695,min=8.25366e-11;mean=56.25;max=75;sum=900 kW,min=0;mean=36.5504;max=50;sum=584.806 kW,min=-94.5592;mean=3.15043;max=30;sum=50.4069 kW,min=0;mean=28.125;max=37.5;sum=450 kW,
8332,-16,pure_quantity,5,4,4,149.283117493,extreme1,182.014475204,423.861526765,16,16,YES,1.607051461,0.0267574335831,5.15080596474,NO,NO,NO,NO,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,5,18,1,0.9,0,47.6168953841,46.0098438231,min=75;mean=75;max=75;sum=1200 kW,min=20.3598;mean=47.1979;max=50;sum=755.166 kW,min=-120;mean=-7.07961;max=30;sum=-113.274 kW,min=37.5;mean=37.5;max=37.5;sum=600 kW,
8716,-16,mixed,5,5,4,42.5638992717,difficult4,302.134475204,546.93138762,16,16,YES,4.556912316,0.0758726659341,14.6054881923,NO,NO,NO,NO,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,5,18,1,0.9,0,38.7116502305,34.1547378145,min=8.25366e-11;mean=56.25;max=75;sum=900 kW,min=0;mean=36.5504;max=50;sum=584.806 kW,min=-94.5592;mean=3.15043;max=30;sum=50.4069 kW,min=0;mean=28.125;max=37.5;sum=450 kW,
8747,-16,mixed,5,4,4,63.1664616747,difficult4,182.014475204,423.861526765,16,16,YES,1.607051461,0.0267574335831,5.15080596474,NO,NO,NO,NO,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,5,18,1,0.9,0,38.7116502305,37.1045986695,min=8.25366e-11;mean=56.25;max=75;sum=900 kW,min=0;mean=36.5504;max=50;sum=584.806 kW,min=-94.5592;mean=3.15043;max=30;sum=50.4069 kW,min=0;mean=28.125;max=37.5;sum=450 kW,
8916,-16,mixed,6,4,4,87.496595664,difficult4,145.293409272,423.861526765,16,16,YES,38.328117393,0.638163792757,122.846530106,YES,NO,NO,NO,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,1,18,1,0.9,0,59.2686904652,20.9405729722,min=75;mean=75;max=75;sum=1200 kW,min=50;mean=50;max=50;sum=800 kW,min=-10.58;mean=27.4638;max=30;sum=439.42 kW,min=37.5;mean=37.5;max=37.5;sum=600 kW,
9063,-16,mixed,6,4,4,85.7837225155,difficult4,154.458409272,423.861526765,16,16,YES,29.163117393,0.48556639016,93.4715301058,NO,NO,NO,NO,YES,NO,YES,YES,YES,PARTIALLY_GRID_CLIPPED_BUT_STILL_SUPPORTED,1,18,1,0.9,0,59.1787158777,30.0155983847,min=75;mean=75;max=75;sum=1200 kW,min=34.8059;mean=49.0504;max=50;sum=784.806 kW,min=0;mean=28.125;max=30;sum=450 kW,min=37.5;mean=37.5;max=37.5;sum=600 kW,
