path_id,saa_ordinary_shortage,eta_ordinary_shortage,ordinary_shortage_delta,saa_final_inventory,eta_final_inventory,final_inventory_delta,eta_leaves_more_inventory,saa_production,eta_production,production_delta,eta_produces_more,saa_htt,eta_htt,htt_delta,eta_uses_more_htt,saa_terminal_target,eta_terminal_target,target_delta,saa_terminal_gap,eta_terminal_gap,gap_delta,saa_relative_gap,eta_relative_gap,saa_reported_objective,eta_reported_objective,reported_objective_delta
5316,26.852985271067,37.6688124679836,10.8158271969166,484.541265943745,495.357093140662,10.8158271969166,1,450.45,450.45,0,0,74.7775770815925,70.5507279919786,-4.22684908961388,0,325.668930529416,382.364473540397,56.6955430109806,0,0,0,0,0,20842.7663348509,23070.6525845125,2227.88624966159
5324,106.331187532016,114.319432398167,7.98824486615031,473.929468204695,508.227386137635,34.2979179329402,1,360.36,386.66967306679,26.3096730667899,1,49.1645846894606,49.0689697330986,-0.0956149563619775,0,185.745847312004,299.484469224306,113.738621912302,0,0,0,0,0,32598.8281836972,35100.5402301894,2501.7120464922
5414,104.608655321535,106.331187532016,1.72253221048155,487.607064593581,489.329596804063,1.72253221048146,1,360.36,360.36,0,0,38.5347356154064,60.5241226825629,21.9893870671564,1,240.569511496604,355.126452344801,114.556940848197,0,0,0,0,0,33903.388640565,34767.5093083269,864.120667761883
5439,119.831179071277,128.599871400632,8.76869232935499,573.339704216924,586.288152073311,12.948447856387,1,446.270244472968,450.45,4.17975552703183,1,72.6053757543693,88.5364730727184,15.931097318349,1,355.126421733082,396.04045228592,40.914030552838,0,0,0,0,0,39293.6609775878,41496.5454770924,2202.88449950456
5479,78.8066922376509,89.0866448045203,10.2799525668694,536.494972910329,546.774925477199,10.2799525668695,1,450.45,450.45,0,0,76.9895713453523,86.8027456817055,9.81317433635321,1,405.313258598587,434.497947905568,29.1846893069812,0,0,0,0,0,31414.272355309,33822.0672711647,2407.79491585575
5488,139.04576093192,144,4.95423906808,596.734041604599,601.688280672679,4.95423906808003,1,450.45,450.45,0,0,84.5550462866504,80.2921256852383,-4.26292060141213,0,562.147123803289,578.512356224272,16.3652324209822,0,1.38866089571653,1.38866089571653,0,0.00240039971623041,43435.2728576988,47264.4412749398,3829.16841724094
5491,8.83893402632307,15.4001285993677,6.56119457304467,425.734937130076,440.909553944889,15.1746168148124,1,409.657722431075,418.271144672842,8.61342224176781,1,48.7928882799458,58.8471495825121,10.0542613025663,1,185.745847312004,299.484469224306,113.738621912302,0,0,0,0,0,15274.1146850084,17071.778526319,1797.66384131053
5510,119.831179071277,128.599871400632,8.76869232935498,487.429459743956,496.198152073311,8.76869232935496,1,360.36,360.36,0,0,64.1293482750972,60.6750212884888,-3.45432698660839,0,0,79.4853371037635,79.4853371037635,0,0,0,NaN,0,37607.0401286333,39249.2350005992,1642.1948719659
5579,74.3826627988715,86.3819928568507,11.9993300579792,572.367764308569,584.367094366548,11.9993300579794,1,540.54,540.54,0,0,95.5484974166063,106.668957574859,11.1204601582524,1,382.129122003109,405.313274925785,23.1841529226753,0,0,0,0,0,34248.6420746259,37016.3494958809,2767.70742125501
5601,106.331187532016,107.164316712833,0.83312918081613,489.329596804063,490.162725984879,0.833129180816059,1,360.36,360.36,0,0,59.8276455371966,65.6817310190346,5.85408548183802,1,405.313258598587,434.497947905568,29.1846893069812,0,0,0,0,0,34944.8915649666,35244.0868948032,299.195329836606
5652,106.331187532016,112.385547041896,6.05435950987925,489.329596804063,495.383956313942,6.05435950987919,1,360.36,360.36,0,0,64.4779495353282,73.9375159809461,9.45956644561798,1,382.129122003109,405.313274925785,23.1841529226753,0,0,0,0,0,34875.5191715408,36345.2049079369,1469.68573639612
5655,122.702689637295,128.599871400632,5.89718176333707,580.390970309974,586.288152073311,5.89718176333713,1,450.45,450.45,0,0,71.2974841794821,69.1266551315352,-2.1708290479469,0,511.414777841421,542.961636332278,31.5468584908569,0,0,0,0,0,39536.0193017794,41016.7810543362,1480.7617525568
5692,87.0349696924997,94.2068208370186,7.17185114451893,544.723250365178,551.895101509697,7.171851144519,1,450.45,450.45,0,0,81.9748745558883,90.3739912878047,8.39911673191639,1,185.745847312004,299.484469224306,113.738621912302,0,0,0,0,0,33131.7329980035,34901.8968235299,1770.1638255264
5709,106.331187532016,110.528997370362,4.19780983834521,489.329596804063,493.527406642408,4.19780983834528,1,360.36,360.36,0,0,95.3067308492647,82.0932817195129,-13.2134491297518,0,240.569511496604,355.126452344801,114.556940848197,0,0,0,0,0,35885.211234288,36313.4784952262,428.267260938243
5717,110.854271129576,114.996112180898,4.14184105132125,568.542551802255,572.684392853576,4.14184105132119,1,450.45,450.45,0,0,55.6019880401598,47.6811497602634,-7.92083827989647,0,427.406377001336,491.859710751919,64.4533337505822,0,0,0,0,0,37102.6700515969,37692.0087140156,589.338662418668
5728,8.83893402632307,15.4001285993677,6.56119457304467,425.734937130076,440.909553944889,15.1746168148124,1,409.657722431075,418.271144672842,8.61342224176781,1,48.7928882799458,58.8471495825121,10.0542613025663,1,185.745847312004,299.484469224306,113.738621912302,0,0,0,0,0,15274.1146850084,17071.778526319,1797.66384131053
5736,78.8066922376509,88.2308035729152,9.42411133526436,573.789846533784,586.215905082612,12.4260585488281,1,537.538052786436,540.54,3.00194721356388,1,74.7926633280205,78.9970237988238,4.20436047080328,1,325.668930529416,382.364473540397,56.6955430109806,0,0,0,0,0,34333.2943157051,36439.8968472532,2106.60253154808
5750,106.331187532016,111.269416274084,4.93822874206731,489.329596804063,494.26782554613,4.93822874206739,1,360.36,360.36,0,0,99.0558541585461,117.129122347358,18.0732681888122,1,185.745847312004,299.484469224306,113.738621912302,0,0,0,0,0,36058.6016728916,37548.1584357897,1489.55676289806
5798,78.8066922376509,84.0499385544789,5.24324631682801,536.49497291033,541.738219227158,5.24324631682794,1,450.45,450.45,0,0,60.7346440563826,67.0641016382343,6.32945758185167,1,0,0,0,0,0,0,NaN,NaN,30906.9879455696,32097.7100378477,1190.72209227811
5819,60.7358182073802,78.8066922376509,18.0708740302706,443.734227479427,461.805101509697,18.0708740302704,1,360.36,360.36,0,0,78.4378362500124,97.7315177166771,19.2936814666647,1,0,30.2757519474911,30.2757519474911,0,0,0,NaN,0,26543.7708105898,30652.0826062909,4108.31179570113
5826,119.805280821197,128.705832715055,8.90055189385791,617.790382330895,626.690934224753,8.90055189385794,1,540.54,540.54,0,0,85.2317360056342,70.0643932762871,-15.1673427293471,0,615.046504650465,629.790794569232,14.7442899187673,3.05132063442764,6.47154271115909,3.42022207673145,0.00496112181982357,0.0102757022918786,49137.8819062565,57259.605963669,8121.72405741247
5834,122.702689637295,128.599871400632,5.89718176333707,505.701098909342,511.598280672679,5.89718176333702,1,360.36,360.36,0,0,57.6605150614352,51.0076901498159,-6.65282491161928,0,372.309958268554,405.313258646956,33.0033003784022,0,0,0,0,0,38005.2930189241,38905.137954853,899.844935928908
5842,129.961177169712,144,14.0388228302882,616.856046032129,622.683667186076,5.82762115394735,1,529.44976735272,521.238565676379,-8.21120167634047,0,79.0167448989808,71.6591605308023,-7.35758436817852,0,405.313258598587,434.497947905568,29.1846893069812,0,0,0,0,0,44347.6168278388,46677.122066129,2329.50523829016
5864,22.2686838686158,35.7701977871787,13.5015139185629,479.956964541295,493.458478459857,13.5015139185627,1,450.45,450.45,0,0,92.9757465198647,79.9895804848737,-12.986166034991,0,325.668930529416,382.364473540397,56.6955430109806,0,0,0,0,0,20550.1636090244,22892.8964461631,2342.73283713868
5869,22.2686838686158,35.7701977871787,13.5015139185629,479.956964541295,493.458478459857,13.5015139185627,1,450.45,450.45,0,0,92.9757465198647,79.9895804848737,-12.986166034991,0,185.745847312004,299.484469224306,113.738621912302,0,0,0,0,0,20550.1636090244,22892.8964461631,2342.73283713868
5930,22.2686838686158,35.7701977871788,13.501513918563,479.956964541294,493.458478459857,13.501513918563,1,450.45,450.45,0,0,79.9351051539033,81.0150214684433,1.07991631454,1,185.745847312004,299.484469224306,113.738621912302,0,0,0,0,0,20121.1256885671,23013.6413552347,2892.51566666761
6021,130.432620513696,144,13.5673794863036,588.120901186375,601.688280672679,13.5673794863035,1,450.45,450.45,0,0,87.9782942415478,79.8197210203522,-8.15857322119557,0,571.966287537845,585.059146032685,13.0928584948405,6.36949005847172,0.000440141810258865,-6.36904991666146,0.0111361284698974,7.52303101735078e-07,54375.0904090658,44425.584276348,-9949.50613271781
6049,70.6991225209513,82.390212662502,11.6910901415507,528.38740319363,540.07849333518,11.6910901415507,1,450.45,450.45,0,0,69.9668599055292,75.3423329289556,5.37547302342638,1,371.491694624008,405.313265587416,33.8215709634079,0,0,0,0,0,29649.3528436782,32103.6314835358,2454.27863985754
6083,7.98824486615032,15.4001285993677,7.41188373321742,428.236525538829,445.147764884632,16.9112393458032,1,413.01,422.509355612586,9.49935561258576,1,46.5316289037484,61.2574091673636,14.7257802636151,1,185.745847312004,299.484469224306,113.738621912302,0,0,0,0,0,15057.5743533307,17319.5120654764,2261.93771214568
6136,106.331187532016,110.666366492745,4.33517896072867,489.329596804063,493.664775764791,4.33517896072851,1,360.36,360.36,0,0,70.5390082765242,65.769614141616,-4.76939413490821,0,0,0,0,0,0,0,NaN,NaN,35262.1872140437,35805.9241217533,543.736907709579
6160,78.8066922376509,88.2308035729152,9.42411133526436,576.791793747348,586.215905082612,9.42411133526434,1,540.54,540.54,0,0,82.913513896574,76.2585796652932,-6.65493423128082,0,371.491694624008,405.313265587416,33.8215709634079,0,0,0,0,0,34703.9701384951,36388.5999847198,1684.62984622479
6165,22.2686838686158,35.7701977871786,13.5015139185627,479.956964541294,493.458478459857,13.5015139185629,1,450.45,450.45,0,0,85.9963269415305,80.677243800563,-5.31908314096749,0,325.668930529416,382.364473540397,56.6955430109806,0,0,0,0,0,20461.0773322908,22999.0113895278,2537.934057237
6181,123.630077162402,130.852050049363,7.22197288696066,621.615178672099,628.83715155906,7.22197288696077,1,540.54,540.54,0,0,133.249944082794,108.826096941245,-24.4238471415489,0,562.147123803289,578.512356224272,16.3652324209822,2.85702500190988,1.47573319225879,-1.38129180965109,0.00508234389349936,0.00255091041078246,50742.4939688309,48631.0004127733,-2111.49355605759
6193,104.582078048534,106.331187532016,1.7491094834823,397.49048732058,434.339596804063,36.8491094834823,1,270.27,305.37,35.1,1,60.1205554679327,34.559457478154,-25.5610979897787,0,372.309958268554,405.313258646956,33.0033003784022,23.7658360199193,5.00932505272741,-18.7565109671919,0.0638334685713041,0.0123591443059373,78338.3789791712,41904.3174544543,-36434.0615247169
6195,69.2209825345505,78.8066922376509,9.58570970310035,526.909263207229,536.494972910329,9.58570970310029,1,450.45,450.45,0,0,60.4390937487236,83.0830115689731,22.6439178202495,1,0,0,0,0,0,0,NaN,NaN,28970.6251393598,31488.0716092548,2517.44646989504
6233,22.3985922395296,37.6688124679836,15.270220228454,480.086872912208,495.357093140662,15.270220228454,1,450.45,450.45,0,0,84.5233779765297,79.6837307628156,-4.83964721371409,0,372.309958268554,405.313258646956,33.0033003784022,0,0,0,0,0,20299.6911602343,23317.878940976,3018.18778074171
6249,106.331187532016,108.635464987741,2.30427745572501,489.329596804063,491.633874259788,2.30427745572507,1,360.36,360.36,0,0,35.1073002598507,36.7068098117437,1.59950955189304,1,576.875869405122,586.147377878832,9.27150847370922,87.5462726010596,96.7473252243264,9.20105262326679,0.151759290419511,0.1650563132679,209251.117393708,228054.466742039,18803.3493483314
6294,22.4082542609148,37.6688124679836,15.2605582070688,480.096534933593,495.357093140662,15.2605582070685,1,450.45,450.45,0,0,97.119177003435,79.4397988910918,-17.6793781123432,0,0,0,0,0,0,0,NaN,NaN,20783.9169293693,23360.7540873956,2576.83715802632
6337,142.250890516518,144,1.74910948348233,599.939171189196,601.688280672679,1.74910948348213,1,450.45,450.45,0,0,72.0858265107261,73.9169003319897,1.83107382126359,1,546.327360008728,571.966287503776,25.6389274950485,0,0,0,0,0,44068.0181510482,44493.4661041261,425.447953077863
6381,106.331187532016,108.478945041177,2.14775750916051,564.019468204695,566.034525554848,2.0150573501528,1,450.45,450.317299840992,-0.132700159007641,0,75.3077530798741,56.7514166077002,-18.5563364721739,0,405.313258598587,434.497947905568,29.1846893069812,0,0,0,0,0,36746.152197815,36592.4527921297,-153.699405685307
6403,120.014158461138,128.599871400632,8.58571293949385,577.702439133817,586.288152073311,8.58571293949376,1,450.45,450.45,0,0,62.7197337020857,70.6347618375912,7.91502813550549,1,382.129122003109,405.313274925785,23.1841529226753,0,0,0,0,0,39180.5159845952,40995.4830251638,1814.96704056866
6404,126.693195235196,137.294027190806,10.60083195561,617.432473036775,630.528027511971,13.0955544751962,1,533.294176291882,535.788898811468,2.4947225195865,1,82.3910904665701,79.1337435054378,-3.25734696113231,0,571.966287537845,585.059146032685,13.0928584948405,1.03995810703282,0,-1.03995810703282,0.00181821574049328,0,46190.5142212544,45830.6112282654,-359.902992988995
6438,121.731316131384,129.867741317572,8.13642518618822,579.419596804063,587.556021990251,8.13642518618826,1,450.45,450.45,0,0,101.842479416452,86.1282494996683,-15.7142299167834,0,185.745847312004,299.484469224306,113.738621912302,0,0,0,0,0,40562.999686957,41902.856637522,1339.85695056499
6505,22.2686838686158,35.7701977871788,13.5015139185629,479.956964541294,493.458478459857,13.5015139185629,1,450.45,450.45,0,0,86.2763569815451,80.6941195166781,-5.58223746486703,0,240.569511496604,355.126452344801,114.556940848197,0,0,0,0,0,20480.3470839929,23158.32620276,2677.97911876711
