case_id,state_id,state_label,method_label,eta,TerminalLOH_total_kg,local_hydrogen_preparation_cost_yuan,nominal_expected_outage_loss_yuan,nominal_total_economic_cost_yuan,robust_training_objective_yuan,worst_expected_outage_loss_yuan,secondary_expected_service_distance
37,19,a0=4|loc0=5|lfw0=0,SAA,0.0,511.4147778414206,16631.90794603935,7939.399999999994,24571.307946039346,24571.30794604175,7939.399999999996,870.2141871514234
38,19,a0=4|loc0=5|lfw0=0,ETA_0.03,0.03,542.9616363322775,17657.854925165084,7079.488075591062,24737.343000756147,29482.829261435105,11824.97433627002,876.2899655618139
39,20,a0=4|loc0=6|lfw0=0,SAA,0.0,427.4063770013364,13899.839867436616,7088.619999999999,20988.459867436613,20988.459867438636,7088.620000000001,648.2628170784417
40,20,a0=4|loc0=6|lfw0=0,ETA_0.03,0.03,491.8597107519186,15995.950422316662,5493.854686383147,21489.80510869981,25697.066824293863,9701.1164019772,647.1283420183412
41,21,a0=4|loc0=7|lfw0=0,SAA,0.0,405.3132585985871,13181.341444167718,4602.173333333332,17783.51477750105,17783.514777502423,4602.173333333335,452.8529915073047
42,21,a0=4|loc0=7|lfw0=0,ETA_0.03,0.03,434.49794790556825,14130.467451116976,4009.777121776919,18140.24457289389,22038.99720573675,7908.529754619802,441.2334369690788
43,22,a0=5|loc0=1|lfw0=0,SAA,0.0,607.9698878978807,19772.012166251578,35062.02455,54834.036716251576,54834.03671629272,35062.02454999999,2887.1561524226327
44,22,a0=5|loc0=1|lfw0=0,ETA_0.03,0.03,610.1568302371827,19843.134521816057,35019.07973988019,54862.214261696245,64286.38575780841,44443.25123599236,2878.7728029378927
45,23,a0=5|loc0=2|lfw0=0,SAA,0.0,615.0465046504648,20002.153420470237,36655.50116666667,56657.6545871369,56657.65458718509,36655.501166666654,2978.12350018992
46,23,a0=5|loc0=2|lfw0=0,ETA_0.03,0.03,629.7907945692322,20481.65789176006,36222.13779757028,56703.795689330334,66227.79152844833,45746.13363668828,2965.205190737842
47,24,a0=5|loc0=3|lfw0=0,SAA,0.0,613.4249788615225,19949.419184342663,34863.96655,54813.38573434266,54813.385734376985,34863.96654999999,2835.650068667923
