"process_label","process_type","exit_code","started_at","ended_at","runtime_sec","log_path","pass"
"case-013-state007-saa","PYTHON","0","2026-08-04T08:29:34.5135388+08:00","2026-08-04T08:29:35.3607141+08:00","0.8471753","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-013-state007-saa.txt","True"
"case-014-state007-eta003","PYTHON","0","2026-08-04T08:29:35.3805371+08:00","2026-08-04T08:29:36.3005178+08:00","0.9199807","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-014-state007-eta003.txt","True"
"case-015-state008-saa","PYTHON","0","2026-08-04T08:29:36.3143171+08:00","2026-08-04T08:29:43.3042530+08:00","6.9899359","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-015-state008-saa.txt","True"
"case-016-state008-eta003","PYTHON","0","2026-08-04T08:29:43.3251139+08:00","2026-08-04T08:31:00.2761400+08:00","76.9510261","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-016-state008-eta003.txt","True"
"case-017-state009-saa","PYTHON","0","2026-08-04T08:31:00.3004124+08:00","2026-08-04T08:31:07.7063777+08:00","7.4059653","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-017-state009-saa.txt","True"
"case-018-state009-eta003","PYTHON","0","2026-08-04T08:31:07.7206695+08:00","2026-08-04T08:32:23.2701977+08:00","75.5495282","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-018-state009-eta003.txt","True"
"case-019-state010-saa","PYTHON","0","2026-08-04T08:32:23.2907975+08:00","2026-08-04T08:32:29.9784956+08:00","6.6876981","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-019-state010-saa.txt","True"
"case-020-state010-eta003","PYTHON","0","2026-08-04T08:32:29.9990115+08:00","2026-08-04T08:33:42.9045852+08:00","72.9055737","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-020-state010-eta003.txt","True"
"case-021-state011-saa","PYTHON","0","2026-08-04T08:33:42.9109333+08:00","2026-08-04T08:33:48.9670152+08:00","6.0560819","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-021-state011-saa.txt","True"
"case-022-state011-eta003","PYTHON","0","2026-08-04T08:33:48.9861806+08:00","2026-08-04T08:34:55.8137008+08:00","66.8275202","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-022-state011-eta003.txt","True"
"case-023-state012-saa","PYTHON","0","2026-08-04T08:34:55.8329378+08:00","2026-08-04T08:35:01.0111262+08:00","5.1781884","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-023-state012-saa.txt","True"
"case-024-state012-eta003","PYTHON","0","2026-08-04T08:35:01.0289082+08:00","2026-08-04T08:35:47.3411574+08:00","46.3122492","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-024-state012-eta003.txt","True"
"case-025-state013-saa","PYTHON","0","2026-08-04T08:35:47.3609091+08:00","2026-08-04T08:35:51.0914340+08:00","3.7305249","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-025-state013-saa.txt","True"
"case-026-state013-eta003","PYTHON","0","2026-08-04T08:35:51.1117179+08:00","2026-08-04T08:36:21.7505605+08:00","30.6388426","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-026-state013-eta003.txt","True"
"case-027-state014-saa","PYTHON","0","2026-08-04T08:36:21.7549062+08:00","2026-08-04T08:36:24.5799800+08:00","2.8250738","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-027-state014-saa.txt","True"
"case-028-state014-eta003","PYTHON","0","2026-08-04T08:36:24.5958181+08:00","2026-08-04T08:36:45.1115340+08:00","20.5157159","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-028-state014-eta003.txt","True"
"case-029-state015-saa","PYTHON","0","2026-08-04T08:36:45.1337582+08:00","2026-08-04T08:37:22.6480279+08:00","37.5142697","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-029-state015-saa.txt","True"
"case-030-state015-eta003","PYTHON","0","2026-08-04T08:37:22.6753963+08:00","2026-08-04T08:43:19.2929943+08:00","356.617598","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-030-state015-eta003.txt","True"
"case-031-state016-saa","PYTHON","0","2026-08-04T08:43:19.2976531+08:00","2026-08-04T08:43:58.0409902+08:00","38.7433371","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-031-state016-saa.txt","True"
"case-032-state016-eta003","PYTHON","0","2026-08-04T08:43:58.0621438+08:00","2026-08-04T08:50:31.7511098+08:00","393.688966","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-032-state016-eta003.txt","True"
"case-033-state017-saa","PYTHON","0","2026-08-04T08:50:31.7703467+08:00","2026-08-04T08:51:09.4955941+08:00","37.7252474","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-033-state017-saa.txt","True"
"case-034-state017-eta003","PYTHON","0","2026-08-04T08:51:09.5173240+08:00","2026-08-04T08:56:49.3431231+08:00","339.8257991","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-034-state017-eta003.txt","True"
"case-035-state018-saa","PYTHON","0","2026-08-04T08:56:49.3678422+08:00","2026-08-04T08:57:24.4339163+08:00","35.0660741","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-035-state018-saa.txt","True"
"case-036-state018-eta003","PYTHON","0","2026-08-04T08:57:24.4518062+08:00","2026-08-04T09:02:58.3463132+08:00","333.894507","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-036-state018-eta003.txt","True"
"case-039-state020-saa","PYTHON","0","2026-08-04T09:02:58.3679095+08:00","2026-08-04T09:03:18.9366339+08:00","20.5687244","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-039-state020-saa.txt","True"
"case-040-state020-eta003","PYTHON","0","2026-08-04T09:03:18.9581547+08:00","2026-08-04T09:07:39.7999638+08:00","260.8418091","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-040-state020-eta003.txt","True"
"case-041-state021-saa","PYTHON","0","2026-08-04T09:07:39.8236491+08:00","2026-08-04T09:07:53.8200328+08:00","13.9963837","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-041-state021-saa.txt","True"
"case-042-state021-eta003","PYTHON","0","2026-08-04T09:07:53.8377499+08:00","2026-08-04T09:10:40.4726996+08:00","166.6349497","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-042-state021-eta003.txt","True"
"case-043-state022-saa","PYTHON","0","2026-08-04T09:10:40.4905480+08:00","2026-08-04T09:12:07.2917602+08:00","86.8012122","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-043-state022-saa.txt","True"
"case-044-state022-eta003","PYTHON","0","2026-08-04T09:12:07.2947047+08:00","2026-08-04T09:27:12.7571936+08:00","905.4624889","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-044-state022-eta003.txt","True"
"case-045-state023-saa","PYTHON","0","2026-08-04T09:27:12.7791530+08:00","2026-08-04T09:28:35.9851969+08:00","83.2060439","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-045-state023-saa.txt","True"
"case-046-state023-eta003","PYTHON","0","2026-08-04T09:28:36.0014783+08:00","2026-08-04T09:43:06.7417853+08:00","870.740307","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-046-state023-eta003.txt","True"
"case-047-state024-saa","PYTHON","0","2026-08-04T09:43:06.7664280+08:00","2026-08-04T09:44:23.2184792+08:00","76.4520512","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-047-state024-saa.txt","True"
"case-048-state024-eta003","PYTHON","0","2026-08-04T09:44:23.2428339+08:00","2026-08-04T09:58:35.2588906+08:00","852.0160567","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-048-state024-eta003.txt","True"
"case-049-state025-saa","PYTHON","0","2026-08-04T09:58:35.2828829+08:00","2026-08-04T09:59:51.9611868+08:00","76.6783039","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-049-state025-saa.txt","True"
"case-050-state025-eta003","PYTHON","0","2026-08-04T09:59:51.9841880+08:00","2026-08-04T10:12:39.9598779+08:00","767.9756899","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-050-state025-eta003.txt","True"
"case-051-state026-saa","PYTHON","0","2026-08-04T10:12:39.9793712+08:00","2026-08-04T10:13:43.7951857+08:00","63.8158145","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-051-state026-saa.txt","True"
"case-052-state026-eta003","PYTHON","0","2026-08-04T10:13:43.8131679+08:00","2026-08-04T10:23:49.6262769+08:00","605.813109","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-052-state026-eta003.txt","True"
"case-053-state027-saa","PYTHON","0","2026-08-04T10:23:49.6484693+08:00","2026-08-04T10:24:36.2001672+08:00","46.5516979","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-053-state027-saa.txt","True"
"case-054-state027-eta003","PYTHON","0","2026-08-04T10:24:36.2120808+08:00","2026-08-04T10:31:43.1456637+08:00","426.9335829","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-054-state027-eta003.txt","True"
"case-055-state028-saa","PYTHON","0","2026-08-04T10:31:43.1635760+08:00","2026-08-04T10:32:15.5748398+08:00","32.4112638","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-055-state028-saa.txt","True"
"case-056-state028-eta003","PYTHON","0","2026-08-04T10:32:15.5964965+08:00","2026-08-04T10:39:29.6606234+08:00","434.0641269","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-056-state028-eta003.txt","True"
"case-057-state029-saa","PYTHON","0","2026-08-04T10:39:29.6875528+08:00","2026-08-04T10:40:57.9125979+08:00","88.2250451","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-057-state029-saa.txt","True"
"case-058-state029-eta003","PYTHON","0","2026-08-04T10:40:57.9210641+08:00","2026-08-04T10:53:51.7308022+08:00","773.8097381","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-058-state029-eta003.txt","True"
"case-059-state030-saa","PYTHON","0","2026-08-04T10:53:51.7551634+08:00","2026-08-04T10:55:16.2740583+08:00","84.5188949","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-059-state030-saa.txt","True"
"case-060-state030-eta003","PYTHON","0","2026-08-04T10:55:16.2772171+08:00","2026-08-04T11:04:39.8793272+08:00","563.6021101","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-060-state030-eta003.txt","True"
"case-061-state031-saa","PYTHON","0","2026-08-04T11:04:39.9022579+08:00","2026-08-04T11:05:59.5675344+08:00","79.6652765","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-061-state031-saa.txt","True"
"case-062-state031-eta003","PYTHON","0","2026-08-04T11:05:59.5912164+08:00","2026-08-04T11:15:12.8978786+08:00","553.3066622","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-062-state031-eta003.txt","True"
"case-063-state032-saa","PYTHON","0","2026-08-04T11:15:12.9187989+08:00","2026-08-04T11:16:29.3611982+08:00","76.4423993","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-063-state032-saa.txt","True"
"case-064-state032-eta003","PYTHON","0","2026-08-04T11:16:29.3850500+08:00","2026-08-04T11:24:49.0350112+08:00","499.6499612","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-064-state032-eta003.txt","True"
"case-065-state033-saa","PYTHON","0","2026-08-04T11:24:49.0604151+08:00","2026-08-04T11:26:00.4819620+08:00","71.4215469","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-065-state033-saa.txt","True"
"case-066-state033-eta003","PYTHON","0","2026-08-04T11:26:00.5088214+08:00","2026-08-04T11:33:02.6620103+08:00","422.1531889","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-066-state033-eta003.txt","True"
"case-067-state034-saa","PYTHON","0","2026-08-04T11:33:02.6898896+08:00","2026-08-04T11:34:04.5102319+08:00","61.8203423","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-067-state034-saa.txt","True"
"case-068-state034-eta003","PYTHON","0","2026-08-04T11:34:04.5325000+08:00","2026-08-04T11:40:42.4957724+08:00","397.9632724","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-068-state034-eta003.txt","True"
"case-069-state035-saa","PYTHON","0","2026-08-04T11:40:42.5125780+08:00","2026-08-04T11:41:33.3357699+08:00","50.8231919","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-069-state035-saa.txt","True"
"case-070-state035-eta003","PYTHON","0","2026-08-04T11:41:33.3553867+08:00","2026-08-04T11:46:17.6227251+08:00","284.2673384","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\case-070-state035-eta003.txt","True"
"finalize","PYTHON","0","2026-08-08T15:04:39.3551623+08:00","2026-08-08T15:04:58.9881129+08:00","19.6329506","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\process_logs\finalize.txt","True"
