"process_label","process_type","started_at","ended_at","runtime_sec","exit_code","status","log_path"
"fixed_T_seed002_dist006","MATLAB","2026-08-02T17:52:12.6814972+08:00","2026-08-02T17:52:40.0935554+08:00","27.4120582","0","PASS","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\48-markov-transition-perturbation\run-001\process_logs\seed-002_dist-006_process.txt"
"fixed_T_seed002_dist007","MATLAB","2026-08-02T17:52:40.7400588+08:00","2026-08-02T17:53:13.2772578+08:00","32.537199","0","PASS","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\48-markov-transition-perturbation\run-001\process_logs\seed-002_dist-007_process.txt"
"fixed_T_seed003_dist001","MATLAB","2026-08-02T17:53:13.8477776+08:00","2026-08-02T17:53:38.0337548+08:00","24.1859772","0","PASS","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\48-markov-transition-perturbation\run-001\process_logs\seed-003_dist-001_process.txt"
"fixed_T_seed003_dist002","MATLAB","2026-08-02T17:53:38.6260513+08:00","2026-08-02T17:54:04.1673062+08:00","25.5412549","0","PASS","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\48-markov-transition-perturbation\run-001\process_logs\seed-003_dist-002_process.txt"
"fixed_T_seed003_dist003","MATLAB","2026-08-02T17:54:04.7214964+08:00","2026-08-02T17:54:30.5902429+08:00","25.8687465","0","PASS","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\48-markov-transition-perturbation\run-001\process_logs\seed-003_dist-003_process.txt"
"fixed_T_seed003_dist004","MATLAB","2026-08-02T17:54:31.1785000+08:00","2026-08-02T17:54:56.1686793+08:00","24.9901793","0","PASS","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\48-markov-transition-perturbation\run-001\process_logs\seed-003_dist-004_process.txt"
"fixed_T_seed003_dist005","MATLAB","2026-08-02T17:54:56.7449240+08:00","2026-08-02T17:55:22.5125752+08:00","25.7676512","0","PASS","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\48-markov-transition-perturbation\run-001\process_logs\seed-003_dist-005_process.txt"
"fixed_T_seed003_dist006","MATLAB","2026-08-02T17:55:23.1564623+08:00","2026-08-02T17:55:53.1317643+08:00","29.975302","0","PASS","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\48-markov-transition-perturbation\run-001\process_logs\seed-003_dist-006_process.txt"
"fixed_T_seed003_dist007","MATLAB","2026-08-02T17:55:53.7044269+08:00","2026-08-02T17:56:25.4245098+08:00","31.7200829","0","PASS","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\48-markov-transition-perturbation\run-001\process_logs\seed-003_dist-007_process.txt"
"finalize_outputs","PYTHON","2026-08-02T17:56:26.0568055+08:00","2026-08-02T17:56:39.0672194+08:00","13.0104139","0","PASS","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\48-markov-transition-perturbation\run-001\process_logs\finalize_process.txt"
