seed_id,distribution_id,distribution_label,decision_id,decision_label,eta,solver_status,exitflag,sample_count,sample_weight,weight_sum,max_demand_balance_error,max_site_capacity_violation,objective_reconstruction_abs_error,maximum_mechanical_residual,solve_runtime_sec,certificate_pass
3,5,combined-mild,2,ETA_0.003,0.003,OPTIMAL,1,15000,6.66666666666667e-05,1,1.77635683940025e-15,5.6843418860808e-14,2.80141830444336e-06,5.6843418860808e-14,4.9396368,1
3,5,combined-mild,3,ETA_0.01,0.01,OPTIMAL,1,15000,6.66666666666667e-05,1,1.77635683940025e-15,5.6843418860808e-14,2.62260437011719e-06,5.6843418860808e-14,4.7154311,1
1,6,combined-medium,1,SAA,0.0,OPTIMAL,1,15000,6.66666666666667e-05,1,9.76996261670138e-14,5.11590769747272e-13,6.41345977783203e-05,5.11590769747272e-13,5.5354469,1
1,6,combined-medium,2,ETA_0.003,0.003,OPTIMAL,1,15000,6.66666666666667e-05,1,1.77635683940025e-15,5.6843418860808e-14,6.32405281066895e-05,1.48119993175339e-13,5.3392474,1
1,6,combined-medium,3,ETA_0.01,0.01,OPTIMAL,1,15000,6.66666666666667e-05,1,1.77635683940025e-15,5.6843418860808e-14,6.06179237365723e-05,1.42402718650012e-13,5.2321676,1
2,6,combined-medium,1,SAA,0.0,OPTIMAL,1,15000,6.66666666666667e-05,1,9.05941988094128e-14,5.11590769747272e-13,1.44839286804199e-05,5.11590769747272e-13,5.5259551,1
2,6,combined-medium,2,ETA_0.003,0.003,OPTIMAL,1,15000,6.66666666666667e-05,1,3.5527136788005e-15,5.6843418860808e-14,1.35898590087891e-05,5.6843418860808e-14,5.4655105,1
2,6,combined-medium,3,ETA_0.01,0.01,OPTIMAL,1,15000,6.66666666666667e-05,1,1.77635683940025e-15,5.6843418860808e-14,1.13248825073242e-05,5.6843418860808e-14,5.4015364,1
3,6,combined-medium,1,SAA,0.0,OPTIMAL,1,15000,6.66666666666667e-05,1,3.5527136788005e-15,5.684341886080799e-13,3.83257865905762e-05,5.684341886080799e-13,5.9493657,1
3,6,combined-medium,2,ETA_0.003,0.003,OPTIMAL,1,15000,6.66666666666667e-05,1,1.77635683940025e-15,5.6843418860808e-14,3.76701354980469e-05,9.217485776256281e-14,5.852401,1
3,6,combined-medium,3,ETA_0.01,0.01,OPTIMAL,1,15000,6.66666666666667e-05,1,1.77635683940025e-15,5.6843418860808e-14,3.61800193786621e-05,8.87687448670445e-14,5.4900625,1
1,7,combined-strong,1,SAA,0.0,OPTIMAL,1,15000,6.66666666666667e-05,1,9.76996261670138e-14,5.11590769747272e-13,0.0003159046173095,5.11590769747272e-13,6.4571655,1
1,7,combined-strong,2,ETA_0.003,0.003,OPTIMAL,1,15000,6.66666666666667e-05,1,3.5527136788005e-15,5.6843418860808e-14,0.0003124475479125,4.3746641140706197e-13,6.3353362,1
1,7,combined-strong,3,ETA_0.01,0.01,OPTIMAL,1,15000,6.66666666666667e-05,1,1.77635683940025e-15,5.6843418860808e-14,0.000309944152832,4.35260144110181e-13,6.7855396,1
2,7,combined-strong,1,SAA,0.0,OPTIMAL,1,15000,6.66666666666667e-05,1,8.88178419700125e-14,5.11590769747272e-13,0.0002312660217285,5.11590769747272e-13,7.2225805,1
2,7,combined-strong,2,ETA_0.003,0.003,OPTIMAL,1,15000,6.66666666666667e-05,1,1.77635683940025e-15,5.6843418860808e-14,0.0002276897430419,3.3912453431193996e-13,6.5374948,1
2,7,combined-strong,3,ETA_0.01,0.01,OPTIMAL,1,15000,6.66666666666667e-05,1,3.5527136788005e-15,1.13686837721616e-13,0.0002256631851196,3.37003679837291e-13,6.4174461,1
3,7,combined-strong,1,SAA,0.0,OPTIMAL,1,15000,6.66666666666667e-05,1,9.14823772291129e-14,5.11590769747272e-13,0.0002404451370239,5.11590769747272e-13,6.7148395,1
3,7,combined-strong,2,ETA_0.003,0.003,OPTIMAL,1,15000,6.66666666666667e-05,1,3.5527136788005e-15,5.6843418860808e-14,0.0002371072769165,3.52074604509139e-13,6.6255336,1
3,7,combined-strong,3,ETA_0.01,0.01,OPTIMAL,1,15000,6.66666666666667e-05,1,3.5527136788005e-15,5.6843418860808e-14,0.0002319812774658,3.45598178296152e-13,6.46106,1
