distribution_id,distribution_label,matrix_name,from_state,delta,nominal_support_size,deterministic_row,row_sum_error,minimum_probability,support_violation,contamination_formula_error,deterministic_unchanged_error,row_L1_change,audit_pass
3,location-only,location,9,0.05,5,0,1.11022302462516e-15,0,0,0,0,0.0951219512195122,1
3,location-only,location,10,0.05,4,0,8.88178419700125e-16,0,0,0,0,0.0925925925925926,1
3,location-only,lfw,0,0,3,0,0,0,0,0,0,0,1
3,location-only,lfw,1,0,4,0,0,0.02,0,0,0,0,1
3,location-only,lfw,2,0,3,0,0,0,0,0,0,0,1
3,location-only,lfw,3,0,2,0,0,0,0,0,0,0,1
4,lfw-only,intensity,1,0,1,1,0,0,0,0,0,0,1
4,lfw-only,intensity,2,0,4,0,0,0,0,0,0,0,1
4,lfw-only,intensity,3,0,5,0,0,0,0,0,0,0,1
4,lfw-only,intensity,4,0,5,0,0,0,0,0,0,0,1
4,lfw-only,intensity,5,0,4,0,0,0,0,0,0,0,1
4,lfw-only,intensity,6,0,3,0,0,0,0,0,0,0,1
4,lfw-only,location,-2,0,4,0,0,0,0,0,0,0,1
4,lfw-only,location,-1,0,5,0,9.99200722162641e-16,0,0,0,0,0,1
4,lfw-only,location,0,0,6,0,1.11022302462516e-15,0,0,0,0,0,1
4,lfw-only,location,1,0,7,0,0,0,0,0,0,0,1
4,lfw-only,location,2,0,7,0,0,0,0,0,0,0,1
4,lfw-only,location,3,0,7,0,0,0,0,0,0,0,1
4,lfw-only,location,4,0,7,0,0,0,0,0,0,0,1
4,lfw-only,location,5,0,7,0,0,0,0,0,0,0,1
4,lfw-only,location,6,0,7,0,0,0,0,0,0,0,1
4,lfw-only,location,7,0,7,0,0,0,0,0,0,0,1
4,lfw-only,location,8,0,6,0,3.33066907387547e-16,0,0,0,0,0,1
4,lfw-only,location,9,0,5,0,9.99200722162641e-16,0,0,0,0,0,1
4,lfw-only,location,10,0,4,0,8.88178419700125e-16,0,0,0,0,0,1
4,lfw-only,lfw,0,0.05,3,0,0,0,0,0,0,0.0980000000000001,1
4,lfw-only,lfw,1,0.05,4,0,2.22044604925031e-16,0.0475,0,0,0,0.0980000000000001,1
4,lfw-only,lfw,2,0.05,3,0,0,0,0,0,0,0.025,1
4,lfw-only,lfw,3,0.05,2,0,0,0,0,0,0,0.00500000000000006,1
5,combined-mild,intensity,1,0.02,1,1,0,0,0,0,0,0,1
5,combined-mild,intensity,2,0.02,4,0,1.11022302462516e-16,0,0,0,0,0.0398000000000001,1
5,combined-mild,intensity,3,0.02,5,0,0,0,0,0,0,0.0398,1
5,combined-mild,intensity,4,0.02,5,0,0,0,0,0,0,0.0398,1
5,combined-mild,intensity,5,0.02,4,0,0,0,0,0,0,0.03976,1
5,combined-mild,intensity,6,0.02,3,0,0,0,0,0,0,0.0248,1
5,combined-mild,location,-2,0.02,4,0,0,0,0,0,0,0.036875,1
5,combined-mild,location,-1,0.02,5,0,1.11022302462516e-15,0,0,0,0,0.0376744186046512,1
5,combined-mild,location,0,0.02,6,0,1.33226762955019e-15,0,0,0,0,0.0379166666666667,1
5,combined-mild,location,1,0.02,7,0,0,0,0,0,0,0.0348,1
5,combined-mild,location,2,0.02,7,0,0,0,0,0,0,0.0288,1
5,combined-mild,location,3,0.02,7,0,0,0,0,0,0,0.0328,1
5,combined-mild,location,4,0.02,7,0,1.11022302462516e-16,0,0,0,0,0.0312,1
5,combined-mild,location,5,0.02,7,0,0,0,0,0,0,0.036,1
5,combined-mild,location,6,0.02,7,0,0,0,0,0,0,0.0384,1
5,combined-mild,location,7,0.02,7,0,0,0,0,0,0,0.0384,1
5,combined-mild,location,8,0.02,6,0,3.33066907387547e-16,0,0,0,0,0.0383157894736842,1
5,combined-mild,location,9,0.02,5,0,9.99200722162641e-16,0,0,0,0,0.0380487804878049,1
5,combined-mild,location,10,0.02,4,0,8.88178419700125e-16,0,0,0,0,0.037037037037037,1
5,combined-mild,lfw,0,0.02,3,0,0,0,0,0,0,0.0392,1
5,combined-mild,lfw,1,0.02,4,0,1.11022302462516e-16,0.0396,0,0,0,0.0392,1
5,combined-mild,lfw,2,0.02,3,0,0,0,0,0,0,0.01,1
5,combined-mild,lfw,3,0.02,2,0,0,0,0,0,0,0.002,1
6,combined-medium,intensity,1,0.05,1,1,0,0,0,0,0,0,1
6,combined-medium,intensity,2,0.05,4,0,1.11022302462516e-16,0,0,0,0,0.0995,1
6,combined-medium,intensity,3,0.05,5,0,0,0,0,0,0,0.0995,1
6,combined-medium,intensity,4,0.05,5,0,1.11022302462516e-16,0,0,0,0,0.0995000000000001,1
6,combined-medium,intensity,5,0.05,4,0,1.11022302462516e-16,0,0,0,0,0.0994,1
6,combined-medium,intensity,6,0.05,3,0,0,0,0,0,0,0.062,1
6,combined-medium,location,-2,0.05,4,0,0,0,0,0,0,0.0921875000000001,1
6,combined-medium,location,-1,0.05,5,0,1.11022302462516e-15,0,0,0,0,0.0941860465116279,1
6,combined-medium,location,0,0.05,6,0,1.11022302462516e-15,0,0,0,0,0.0947916666666668,1
6,combined-medium,location,1,0.05,7,0,1.11022302462516e-16,0,0,0,0,0.087,1
6,combined-medium,location,2,0.05,7,0,1.11022302462516e-16,0,0,0,0,0.072,1
6,combined-medium,location,3,0.05,7,0,1.11022302462516e-16,0,0,0,0,0.082,1
6,combined-medium,location,4,0.05,7,0,1.11022302462516e-16,0,0,0,0,0.078,1
6,combined-medium,location,5,0.05,7,0,1.11022302462516e-16,0,0,0,0,0.0900000000000001,1
6,combined-medium,location,6,0.05,7,0,1.11022302462516e-16,0,0,0,0,0.096,1
6,combined-medium,location,7,0.05,7,0,1.11022302462516e-16,0,0,0,0,0.096,1
6,combined-medium,location,8,0.05,6,0,2.22044604925031e-16,0,0,0,0,0.0957894736842105,1
6,combined-medium,location,9,0.05,5,0,1.11022302462516e-15,0,0,0,0,0.0951219512195122,1
6,combined-medium,location,10,0.05,4,0,8.88178419700125e-16,0,0,0,0,0.0925925925925926,1
6,combined-medium,lfw,0,0.05,3,0,0,0,0,0,0,0.0980000000000001,1
6,combined-medium,lfw,1,0.05,4,0,2.22044604925031e-16,0.0475,0,0,0,0.0980000000000001,1
6,combined-medium,lfw,2,0.05,3,0,0,0,0,0,0,0.025,1
6,combined-medium,lfw,3,0.05,2,0,0,0,0,0,0,0.00500000000000006,1
7,combined-strong,intensity,1,0.1,1,1,0,0,0,0,0,0,1
7,combined-strong,intensity,2,0.1,4,0,0,0,0,0,0,0.199,1
7,combined-strong,intensity,3,0.1,5,0,0,0,0,0,0,0.199,1
7,combined-strong,intensity,4,0.1,5,0,0,0,0,0,0,0.199,1
7,combined-strong,intensity,5,0.1,4,0,0,0,0,0,0,0.1988,1
7,combined-strong,intensity,6,0.1,3,0,0,0,0,0,0,0.124,1
7,combined-strong,location,-2,0.1,4,0,0,0,0,0,0,0.184375,1
7,combined-strong,location,-1,0.1,5,0,8.88178419700125e-16,0,0,0,0,0.188372093023256,1
7,combined-strong,location,0,0.1,6,0,1.33226762955019e-15,0,0,0,0,0.189583333333333,1
7,combined-strong,location,1,0.1,7,0,0,0,0,0,0,0.174,1
7,combined-strong,location,2,0.1,7,0,0,0,0,0,0,0.144,1
7,combined-strong,location,3,0.1,7,0,0,0,0,0,0,0.164,1
7,combined-strong,location,4,0.1,7,0,0,0,0,0,0,0.156,1
7,combined-strong,location,5,0.1,7,0,0,0,0,0,0,0.18,1
7,combined-strong,location,6,0.1,7,0,0,0,0,0,0,0.192,1
7,combined-strong,location,7,0.1,7,0,0,0,0,0,0,0.192,1
7,combined-strong,location,8,0.1,6,0,4.44089209850063e-16,0,0,0,0,0.191578947368421,1
7,combined-strong,location,9,0.1,5,0,8.88178419700125e-16,0,0,0,0,0.190243902439024,1
7,combined-strong,location,10,0.1,4,0,7.7715611723761e-16,0,0,0,0,0.185185185185185,1
7,combined-strong,lfw,0,0.1,3,0,2.22044604925031e-16,0,0,0,0,0.196,1
7,combined-strong,lfw,1,0.1,4,0,2.22044604925031e-16,0.045,0,0,0,0.196,1
7,combined-strong,lfw,2,0.1,3,0,0,0,0,0,0,0.05,1
7,combined-strong,lfw,3,0.1,2,0,0,0,0,0,0,0.01,1
