candidate_label,eta,seed_id,metric,difference_direction,nominal_difference,intensity_only_delta005_difference,location_only_delta005_difference,lfw_only_delta005_difference,combined_mild_delta002_difference,combined_medium_delta005_difference,combined_strong_delta010_difference,combined_advantage_monotonic_nonincreasing,combined_strong_improves
ETA_0.003,0.003,2,operating_loss_CVaR995,candidate_minus_SAA_negative_is_improvement,-0.3430195940309204,-68.23896917502861,0.47540152398869395,-118.0114319260465,0.6314261380466633,-104.42985255899839,-139.70150309300516,False,True
ETA_0.003,0.003,3,operating_loss_CVaR995,candidate_minus_SAA_negative_is_improvement,-177.4951093950076,-0.01095671602524817,-127.77577937900787,-128.05391056701774,-35.26887127599912,-35.19080205995124,35.137620456982404,False,False
ETA_0.003,0.003,1,operating_loss_q995,candidate_minus_SAA_negative_is_improvement,0.0,13.670406785036903,0.0,0.0,-6289.474870058009,0.0,0.0,False,False
ETA_0.003,0.003,2,operating_loss_q995,candidate_minus_SAA_negative_is_improvement,-0.21818270796211436,0.0,0.0,0.0,0.0,0.0,0.0,False,False
ETA_0.003,0.003,3,operating_loss_q995,candidate_minus_SAA_negative_is_improvement,-4394.6664976750035,0.0,0.0,0.0,0.0,0.0,0.0,False,False
ETA_0.01,0.01,1,mean_operating_loss,candidate_minus_SAA_negative_is_improvement,-27.116283221499543,-102.31017812760183,-27.150787553400733,-50.28000668459936,-67.43865811159776,-127.97834927829899,-220.23485199070274,True,True
ETA_0.01,0.01,2,mean_operating_loss,candidate_minus_SAA_negative_is_improvement,-27.960901453021506,-94.20745895790242,-29.70794316860156,-44.087592037500144,-65.93811972920048,-115.11726985299902,-188.23681835489697,True,True
ETA_0.01,0.01,3,mean_operating_loss,candidate_minus_SAA_negative_is_improvement,-23.91123185095057,-84.52963660380192,-28.223581247601032,-41.05993371539989,-57.92438652710189,-109.94653198889864,-217.94289194549492,True,True
ETA_0.01,0.01,1,mean_shortage_kg,candidate_minus_SAA_negative_is_improvement,-0.013508384252030048,-0.05147853145730075,-0.013469239960320678,-0.02516606336530991,-0.033853006914171146,-0.06441374340120021,-0.11068069620529997,True,True
ETA_0.01,0.01,2,mean_shortage_kg,candidate_minus_SAA_negative_is_improvement,-0.013847443544269922,-0.04722437746490016,-0.014733516096939958,-0.021974091749929592,-0.0329282620214606,-0.05773487633729957,-0.09437623694130082,True,True
ETA_0.01,0.01,3,mean_shortage_kg,candidate_minus_SAA_negative_is_improvement,-0.011817331442150802,-0.04226089044789916,-0.013960678126810677,-0.020462725381500846,-0.02885490415386993,-0.055130401962498965,-0.10953027632679735,True,True
ETA_0.01,0.01,1,mean_total_cost,candidate_minus_SAA_negative_is_improvement,6.957458288699854,-68.23643661730239,6.922953956800484,-16.206265174299915,-33.36491660120009,-93.90460776810141,-186.1611104814001,True,True
ETA_0.01,0.01,2,mean_total_cost,candidate_minus_SAA_negative_is_improvement,6.112840057299763,-60.13371744750111,4.365798341699701,-10.013850527198883,-31.86437821889922,-81.04352834269957,-154.16307684549975,True,True
ETA_0.01,0.01,3,mean_total_cost,candidate_minus_SAA_negative_is_improvement,10.162509659299758,-50.45589509340061,5.850160262800273,-6.986192205100451,-23.850645016802446,-75.8727904785992,-183.86915043610497,True,True
ETA_0.01,0.01,1,operating_loss_CVaR995,candidate_minus_SAA_negative_is_improvement,-406.6965302999597,-482.10762457503006,-602.1157970310305,-1476.0144267859869,-825.3511219329666,-1008.6131970820716,-661.5330769449938,False,True
ETA_0.01,0.01,2,operating_loss_CVaR995,candidate_minus_SAA_negative_is_improvement,-82.04703102400526,-243.59465689607896,-79.33637300599366,-1421.6885309860227,-460.84915187198203,-1086.0605851940345,-723.8403803700348,False,True
ETA_0.01,0.01,3,operating_loss_CVaR995,candidate_minus_SAA_negative_is_improvement,-530.888999052986,-0.05678778199944645,-630.0925815370283,-821.4254714889685,-465.5885712339659,-274.08149040699936,-120.84570781106595,False,True
ETA_0.01,0.01,1,operating_loss_q995,candidate_minus_SAA_negative_is_improvement,0.0,-22.1157019729726,-2247.9350254689925,-1081.3166596659576,-6293.437581293983,-1289.0228579760296,0.0,False,False
ETA_0.01,0.01,2,operating_loss_q995,candidate_minus_SAA_negative_is_improvement,-1.1308235409669578,0.0,0.0,0.0,0.0,-257.633448684006,0.0,False,False
ETA_0.01,0.01,3,operating_loss_q995,candidate_minus_SAA_negative_is_improvement,-4585.276581037004,0.0,0.0,0.0,-3556.1146950260154,-2402.5228103729896,0.0,False,False
