seed_id,distribution_id,distribution_label,candidate_label,eta,paired_sample_count,difference_direction,total_cost_paired_mean_difference,total_cost_improved_share,total_cost_worsened_share,total_cost_equal_share,total_cost_paired_CI95_lower,total_cost_paired_CI95_upper,operating_loss_paired_mean_difference,operating_loss_improved_share,operating_loss_worsened_share,operating_loss_equal_share,operating_loss_paired_CI95_lower,operating_loss_paired_CI95_upper,shortage_kg_paired_mean_difference,shortage_kg_improved_share,shortage_kg_worsened_share,shortage_kg_equal_share,shortage_kg_paired_CI95_lower,shortage_kg_paired_CI95_upper
2,3,location-only,ETA_0.003,0.003,15000,candidate_minus_SAA_negative_is_improvement,2.5253641270218368,0.003933333333333333,0.9960666666666667,0.0,-1.8755315819694602,6.926259836013134,-6.718307286748793,0.05806666666666667,0.006333333333333333,0.9356,-11.119202995740093,-2.3174115777574924,-0.003376157286388244,0.0013333333333333333,0.00046666666666666666,0.9982,-0.005610529231124298,-0.0011417853416521907
2,3,location-only,ETA_0.01,0.01,15000,candidate_minus_SAA_negative_is_improvement,4.365798341539292,0.0068,0.9932,0.0,-7.866855916850606,16.59845259992919,-29.707943168660826,0.0644,0.0,0.9356,-41.94059742705072,-17.475288910270933,-0.014733516096939275,0.0018,0.0,0.9982,-0.02094174013304182,-0.008525292060836728
3,3,location-only,ETA_0.003,0.003,15000,candidate_minus_SAA_negative_is_improvement,-0.3370692972520024,0.004333333333333333,0.9956666666666667,0.0,-5.003286935271828,4.329148340767824,-9.58074071102352,0.0596,0.006933333333333333,0.9334666666666667,-14.246958349043243,-4.914523073003797,-0.004824846277863464,0.0018,0.0002666666666666667,0.9979333333333333,-0.007199280013696489,-0.002450412542030439
3,3,location-only,ETA_0.01,0.01,15000,candidate_minus_SAA_negative_is_improvement,5.850160262613324,0.006666666666666667,0.9933333333333333,0.0,-5.224712311689908,16.925032836916557,-28.22358124758816,0.06653333333333333,0.0,0.9334666666666667,-39.298453821891414,-17.148708673284908,-0.013960678126809935,0.002,0.0,0.998,-0.019587316737837215,-0.008334039515782654
1,4,lfw-only,ETA_0.003,0.003,15000,candidate_minus_SAA_negative_is_improvement,-10.462916317045122,0.006066666666666666,0.9939333333333333,0.0,-17.130267657929423,-3.795564976160822,-19.706587730815496,0.06133333333333333,0.005866666666666667,0.9328,-26.373939071699834,-13.039236389931158,-0.009932642456479115,0.0030666666666666668,0.00013333333333333334,0.9968,-0.013320898894061461,-0.00654438601889677
1,4,lfw-only,ETA_0.01,0.01,15000,candidate_minus_SAA_negative_is_improvement,-16.2062651744099,0.008866666666666667,0.9911333333333333,0.0,-31.760729038566016,-0.6518013102537843,-50.280006684610306,0.06713333333333334,0.0,0.9328666666666666,-65.83447054876652,-34.725542820454095,-0.025166063365313133,0.0032,0.0,0.9968,-0.03306861001702174,-0.01726351671360452
2,4,lfw-only,ETA_0.003,0.003,15000,candidate_minus_SAA_negative_is_improvement,-3.342543607183585,0.005666666666666667,0.9943333333333333,0.0,-9.019314807938708,2.3342275935715375,-12.586215020954107,0.065,0.0068,0.9282,-18.262986221709248,-6.909443820198968,-0.0063099125097975765,0.0022,0.0003333333333333333,0.9974666666666666,-0.009190817321242425,-0.0034290076983527276
2,4,lfw-only,ETA_0.01,0.01,15000,candidate_minus_SAA_negative_is_improvement,-10.013850527275041,0.008333333333333333,0.9916666666666667,0.0,-25.17085616160236,5.143155107052278,-44.087592037475154,0.07166666666666667,0.0,0.9283333333333333,-59.244597671802495,-28.930586403147814,-0.021974091749927954,0.002533333333333333,0.0,0.9974666666666666,-0.029671192987431323,-0.014276990512424587
3,4,lfw-only,ETA_0.003,0.003,15000,candidate_minus_SAA_negative_is_improvement,-3.7739504621063813,0.005333333333333333,0.9946666666666667,0.0,-9.248105708099738,1.7002047838869747,-13.01762187587747,0.06473333333333334,0.0076,0.9276666666666666,-18.49177712187076,-7.543466629884178,-0.006543299944242182,0.0023333333333333335,0.0002666666666666667,0.9974,-0.009323507767996956,-0.0037630921204874082
3,4,lfw-only,ETA_0.01,0.01,15000,candidate_minus_SAA_negative_is_improvement,-6.986192205241821,0.007866666666666666,0.9921333333333333,0.0,-21.38387236587806,7.411487955394417,-41.05993371544338,0.07213333333333333,0.0,0.9278666666666666,-55.457613876079634,-26.662253554807123,-0.020462725381504076,0.002533333333333333,0.0,0.9974666666666666,-0.027772207998546163,-0.01315324276446199
1,5,combined-mild,ETA_0.003,0.003,15000,candidate_minus_SAA_negative_is_improvement,-16.86267810443464,0.008133333333333333,0.9918666666666667,0.0,-24.523994517081984,-9.201361691787294,-26.106349518203917,0.064,0.007933333333333334,0.9280666666666667,-33.76766593085128,-18.445033105556558,-0.013205893498817373,0.004333333333333333,0.0002666666666666667,0.9954,-0.017104272080422294,-0.00930751491721245
1,5,combined-mild,ETA_0.01,0.01,15000,candidate_minus_SAA_negative_is_improvement,-33.364916601338756,0.0114,0.9886,0.0,-50.43260514432063,-16.29722805835688,-67.43865811153864,0.07186666666666666,0.0,0.9281333333333334,-84.50634665452058,-50.3709695685567,-0.03385300691417174,0.0046,0.0,0.9954,-0.04254168227870654,-0.025164331549636945
2,5,combined-mild,ETA_0.003,0.003,15000,candidate_minus_SAA_negative_is_improvement,-12.267396131682267,0.0076,0.9924,0.0,-19.804180559090693,-4.730611704273842,-21.511067545453308,0.06653333333333333,0.009266666666666666,0.9242,-29.04785197286173,-13.974283118044887,-0.010840827723790513,0.0034666666666666665,0.0008666666666666666,0.9956666666666667,-0.0146704848139644,-0.007011170633616626
2,5,combined-mild,ETA_0.01,0.01,15000,candidate_minus_SAA_negative_is_improvement,-31.864378219029046,0.0124,0.9876,0.0,-49.50088132006758,-14.22787511799051,-65.93811972922947,0.0758,0.0,0.9242,-83.57462283026801,-48.30161662819093,-0.032928262021459015,0.004266666666666667,0.0,0.9957333333333334,-0.04188545509958441,-0.023971068943333614
3,5,combined-mild,ETA_0.003,0.003,15000,candidate_minus_SAA_negative_is_improvement,-12.322210340924107,0.008933333333333333,0.9910666666666667,0.0,-19.238052639862655,-5.4063680419855595,-21.565881754695482,0.06873333333333333,0.008133333333333333,0.9231333333333334,-28.481724053634014,-14.65003945575695,-0.01082463733351334,0.0038,0.0004,0.9958,-0.014339264985139103,-0.007310009681887576
3,5,combined-mild,ETA_0.01,0.01,15000,candidate_minus_SAA_negative_is_improvement,-23.850645016818564,0.012066666666666667,0.9879333333333333,0.0,-39.85964894446252,-7.841641089174608,-57.92438652702117,0.07653333333333333,0.0,0.9234666666666667,-73.93339045466527,-41.91538259937707,-0.028854904153864387,0.0041333333333333335,0.0,0.9958666666666667,-0.036983977320780105,-0.02072583098694867
1,6,combined-medium,ETA_0.003,0.003,15000,candidate_minus_SAA_negative_is_improvement,-33.72361019227611,0.0138,0.9862,0.0,-43.92435144964672,-23.5228689349055,-42.967281606046825,0.08626666666666667,0.0122,0.9015333333333333,-53.168022863417434,-32.766540348676216,-0.021730212881969316,0.007533333333333334,0.0011333333333333334,0.9913333333333333,-0.026923111912715167,-0.016537313851223465
