a0,loc0,lfw0,seed_id,base_seed,derived_seed,mode,a6_Vmax_mps,N,contains_a6_path_count,contains_a6_path_share,D_mean_kg,D_q95_kg,D_q99_kg,full_loss_probability,A0_pair_share,reachable_pair_share,C_reachable_mean_km,C_reachable_q95_km,W3_failed_lines_mean,W3_failed_lines_q95,W3_closed_roads_mean,W3_closed_roads_q95,D_upper_bound_hit_share,D_min_kg,D_max_kg,nonfinite_count,negative_value_count,invalid_A_or_C_count
2,6,0,2,20260724,20860742,M6_Q90,75,2000,0,0,1.80113465892044,0,8.18263644546273,0,0.000460858585858586,0.999539141414141,19.0196088246897,19.0137618887991,0.0655,0,0.0235,0,0,0,384.583912936748,0,0,0
2,6,0,2,20260724,20860742,M6_Q95,80,2000,0,0,1.80113465892044,0,8.18263644546273,0,0.000460858585858586,0.999539141414141,19.0196088246897,19.0137618887991,0.0655,0,0.0235,0,0,0,384.583912936748,0,0,0
2,1,0,2,20260724,20360727,M0,55.5,2000,1,0.0005,2.49570411586613,0,112.102119302839,0,0.000549242424242424,0.999450757575758,19.0228851364996,19.0137618887991,0.074,0,0.0315,0,0,0,405.313258598587,0,0,0
2,1,0,2,20260724,20360727,M6_MEDIAN,60,2000,1,0.0005,2.49570411586613,0,112.102119302839,0,0.000646464646464646,0.999353535353535,19.0220576724887,19.0137618887991,0.076,0,0.034,0,0,0,405.313258598587,0,0,0
2,1,0,2,20260724,20360727,M6_Q90,75,2000,1,0.0005,2.49570411586613,0,112.102119302839,0,0.000684343434343434,0.999315656565657,19.0221482850861,19.0137618887991,0.078,0,0.0395,0,0,0,405.313258598587,0,0,0
2,1,0,2,20260724,20360727,M6_Q95,80,2000,1,0.0005,2.49570411586613,0,112.102119302839,0,0.000685606060606061,0.999314393939394,19.0222016369036,19.0137618887991,0.0805,0,0.0405,0,0,0,405.313258598587,0,0,0
4,4,0,2,20260724,22060778,M0,55.5,2000,26,0.013,158.006300630063,473.774650192292,607.969887897881,0.019,0.0407222222222222,0.959277777777778,19.8561692713784,23.0353164962868,4.49,16,1.963,10,0.019,0,607.969887897881,0,0,0
4,4,0,2,20260724,22060778,M6_MEDIAN,60,2000,26,0.013,158.116766222077,473.774650192292,607.969887897881,0.02,0.0418396464646465,0.958160353535354,19.8570987340555,23.0353164962868,4.518,16,2.0245,10,0.02,0,607.969887897881,0,0,0
4,4,0,2,20260724,22060778,M6_Q90,75,2000,26,0.013,158.243051577885,473.774650192292,607.969887897881,0.021,0.0436527777777778,0.956347222222222,19.7636168160547,22.9402415554437,4.579,16,2.1675,11,0.021,0,607.969887897881,0,0,0
4,4,0,2,20260724,22060778,M6_Q95,80,2000,26,0.013,158.257916700761,473.774650192292,607.969887897881,0.0215,0.0437992424242424,0.956200757575758,19.7547172829065,22.9402415554437,4.586,16,2.2005,11,0.0215,0,607.969887897881,0,0,0
6,7,0,2,20260724,23760829,M0,55.5,2000,769,0.3845,267.936475465728,607.969887897881,607.969887897881,0.059,0.110335858585859,0.889664141414142,20.7858225870161,26.9874863633797,7.767,21,4.0765,15,0.059,0,607.969887897881,0,0,0
6,7,0,2,20260724,23760829,M6_MEDIAN,60,2000,769,0.3845,294.414532362327,607.969887897881,607.969887897881,0.0885,0.137140151515152,0.862859848484849,21.1643082432958,28.5978292977759,8.566,23,4.752,17,0.0885,0,607.969887897881,0,0,0
6,7,0,2,20260724,23760829,M6_Q90,75,2000,769,0.3845,338.602132940566,607.969887897881,607.969887897881,0.1895,0.266583333333333,0.733416666666667,21.0261953195522,32.9299824720211,11.884,31,8.1735,28,0.1895,0,607.969887897881,0,0,0
6,7,0,2,20260724,23760829,M6_Q95,80,2000,769,0.3845,344.95935957232,607.969887897881,607.969887897881,0.231,0.310450757575758,0.689549242424243,19.8835036732693,32.0566385103039,13.0065,32,9.5055,33,0.231,0,607.969887897881,0,0,0
5,4,0,3,20260725,22760800,M0,55.5,2000,34,0.017,342.114529634781,607.969887897881,607.969887897881,0.0955,0.144843434343434,0.855156565656566,21.4013913450618,27.475006501138,9.9825,21,5.4695,15,0.0955,0,607.969887897881,0,0,0
5,4,0,3,20260725,22760800,M6_MEDIAN,60,2000,34,0.017,342.344325341625,607.969887897881,607.969887897881,0.0955,0.14555303030303,0.85444696969697,21.4089052194585,27.5554151994053,10.0285,21,5.5375,15,0.0955,0,607.969887897881,0,0,0
5,4,0,3,20260725,22760800,M6_Q90,75,2000,34,0.017,342.696451463328,607.969887897881,607.969887897881,0.0985,0.147968434343434,0.852031565656566,21.3460487967295,27.4321047346725,10.1455,22,5.721,16,0.0985,0,607.969887897881,0,0,0
5,4,0,3,20260725,22760800,M6_Q95,80,2000,34,0.017,342.794915855222,607.969887897881,607.969887897881,0.0985,0.148324494949495,0.851675505050505,21.3341261625517,27.4569449647868,10.171,22,5.7655,16,0.0985,0,607.969887897881,0,0,0
2,6,0,3,20260725,20860743,M0,55.5,2000,0,0,2.27763685459455,0,43.6407277091345,0,0.000446969696969697,0.99955303030303,19.0231778422057,19.0137618887991,0.067,0,0.0225,0,0,0,410.222840465865,0,0,0
2,6,0,3,20260725,20860743,M6_MEDIAN,60,2000,0,0,2.27763685459455,0,43.6407277091345,0,0.000446969696969697,0.99955303030303,19.0231778422057,19.0137618887991,0.067,0,0.0225,0,0,0,410.222840465865,0,0,0
2,6,0,3,20260725,20860743,M6_Q90,75,2000,0,0,2.27763685459455,0,43.6407277091345,0,0.000446969696969697,0.99955303030303,19.0231778422057,19.0137618887991,0.067,0,0.0225,0,0,0,410.222840465865,0,0,0
2,6,0,3,20260725,20860743,M6_Q95,80,2000,0,0,2.27763685459455,0,43.6407277091345,0,0.000446969696969697,0.99955303030303,19.0231778422057,19.0137618887991,0.067,0,0.0225,0,0,0,410.222840465865,0,0,0
2,1,0,3,20260725,20360728,M0,55.5,2000,0,0,3.00289119821073,0,102.282955568284,0.0005,0.000448232323232323,0.999551767676768,19.0282274376423,19.0137618887991,0.077,0,0.031,0,0.0005,0,607.969887897881,0,0,0
2,1,0,3,20260725,20360728,M6_MEDIAN,60,2000,0,0,3.00289119821073,0,102.282955568284,0.0005,0.000448232323232323,0.999551767676768,19.0282274376423,19.0137618887991,0.077,0,0.031,0,0.0005,0,607.969887897881,0,0,0
2,1,0,3,20260725,20360728,M6_Q90,75,2000,0,0,3.00289119821073,0,102.282955568284,0.0005,0.000448232323232323,0.999551767676768,19.0282274376423,19.0137618887991,0.077,0,0.031,0,0.0005,0,607.969887897881,0,0,0
2,1,0,3,20260725,20360728,M6_Q95,80,2000,0,0,3.00289119821073,0,102.282955568284,0.0005,0.000448232323232323,0.999551767676768,19.0282274376423,19.0137618887991,0.077,0,0.031,0,0.0005,0,607.969887897881,0,0,0
4,4,0,3,20260725,22060779,M0,55.5,2000,33,0.0165,161.6954422715,509.778250552328,607.969887897881,0.021,0.0467474747474748,0.953252525252526,19.8886296827093,23.5399495467879,4.7135,18,2.107,11,0.021,0,607.969887897881,0,0,0
4,4,0,3,20260725,22060779,M6_MEDIAN,60,2000,33,0.0165,162.101573793743,513.051305130513,607.969887897881,0.0225,0.0481729797979798,0.951827020202021,19.8693083688327,23.334675209658,4.7545,18,2.1675,11,0.0225,0,607.969887897881,0,0,0
4,4,0,3,20260725,22060779,M6_Q90,75,2000,33,0.0165,162.452336142705,514.142323323241,607.969887897881,0.028,0.0507613636363637,0.949238636363637,19.7665985341523,23.271190094945,4.859,18,2.3585,11,0.028,0,607.969887897881,0,0,0
4,4,0,3,20260725,22060779,M6_Q95,80,2000,33,0.0165,162.452336142705,514.142323323241,607.969887897881,0.028,0.0513573232323232,0.948642676767677,19.7208369903734,23.2131074869175,4.871,18,2.4065,11,0.028,0,607.969887897881,0,0,0
6,7,0,3,20260725,23760830,M0,55.5,2000,788,0.394,261.402913018575,607.969887897881,607.969887897881,0.065,0.11110101010101,0.88889898989899,20.8405382024422,27.4227992530246,7.591,22,4.0685,15,0.065,0,607.969887897881,0,0,0
6,7,0,3,20260725,23760830,M6_MEDIAN,60,2000,788,0.394,289.142323323241,607.969887897881,607.969887897881,0.0965,0.140294191919192,0.859705808080809,21.1496426162518,28.858217203165,8.4265,23,4.79,17,0.0965,0,607.969887897881,0,0,0
6,7,0,3,20260725,23760830,M6_Q90,75,2000,788,0.394,337.025066142977,607.969887897881,607.969887897881,0.1975,0.275907828282828,0.724092171717172,20.6385521268391,31.5561729968873,11.917,31,8.283,28,0.1975,0,607.969887897881,0,0,0
6,7,0,3,20260725,23760830,M6_Q95,80,2000,788,0.394,343.342061478875,607.969887897881,607.969887897881,0.244,0.319222222222222,0.680777777777778,19.5712632229506,31.214652434076,13.0785,32,9.637,34,0.244,0,607.969887897881,0,0,0
