delta_i_bin_kg,feature,n,mean,median,q25,q75,q95,min,max
1-10,high_intensity_state_count_ge5,487,0.10061601642710473,0.0,0.0,0.0,1.0,0.0,4.0
1-10,intensity_change_count,487,0.7987679671457906,0.0,0.0,1.5,3.0,0.0,4.0
1-10,net_intensity_change,487,0.5482546201232033,0.0,0.0,1.0,2.0,0.0,3.0
1-10,loc_change_count,487,3.320328542094456,3.0,3.0,4.0,6.0,0.0,6.0
1-10,loc_span,487,4.687885010266941,5.0,4.0,5.0,6.0,0.0,6.0
1-10,terminal_hit_loc,356,5.134831460674158,5.0,4.0,7.0,7.0,1.0,7.0
1-10,preparation_stage_count,487,4.114989733059549,4.0,4.0,5.0,6.0,3.0,6.0
1-10,production_opportunity_count,487,4.114989733059549,4.0,4.0,5.0,6.0,3.0,6.0
1-10,saa_ordinary_shortage,487,39.79590379322103,0.0,0.0,106.331187532016,127.0347536576032,0.0,144.0
1-10,saa_production,487,350.1183399685529,320.848477131083,270.27,360.36,540.1323166734206,260.684352621062,540.54
1-10,saa_final_inventory,487,409.07028023797534,344.036836362977,335.810087207055,503.849128514187,616.4948418195714,305.591445761725,622.057067374429
1-10,saa_operating_cost,487,20246.111895508428,11310.9519876372,10564.822603922,34810.876083118754,43695.28746671134,8547.37096001889,47899.7907566183
1-10,saa_surplus_total_kg,356,246.26916714028846,306.0754266485661,138.8355670848377,341.53235123502924,412.56349578636866,0.0,544.723250365178
1-10,offline_saa_terminal_loh_total_kg,356,189.3910049840531,0.0,0.0,382.1291220031094,607.9698878978804,0.0,615.0465046504648
1-10,offline_delta_terminal_loh_total_kg,356,38.002974847193286,29.18468930698117,0.7136787584260904,67.64313058466331,113.73862191230194,0.0,114.55694084819706
1-10,offline_saa_mean_eens_kwh,356,74.29741556179792,44.28200000000001,28.32,57.81133333333334,337.90534166666663,19.020333333333333,523.6500166666667
1-10,offline_saa_q95_shortage_kg,356,12.404842373920742,0.0,0.0,0.0,98.87352371600798,0.0,117.5572102664812
1-10,offline_saa_q99_5_shortage_kg,356,145.27857280110035,150.56051059651415,106.37427379101548,195.56501104655925,226.65902953931752,61.64252788915254,248.2066388457028
1-10,offline_saa_max_shortage_kg,356,415.5384894975705,405.3132585985873,333.03330333033307,423.58781332678734,607.9698878978803,267.84496631481335,607.9698878978803
10-20,path_max_intensity,1093,2.2442817932296433,2.0,2.0,2.0,3.0,2.0,5.0
10-20,path_mean_intensity,1093,2.1030083213523287,2.0,2.0,2.0,2.6666666666666665,2.0,3.857142857142857
10-20,preterminal_intensity,1093,2.151875571820677,2.0,2.0,2.0,3.0,2.0,5.0
10-20,appeared_intensity_ge5,1093,0.0036596523330283625,0.0,0.0,0.0,0.0,0.0,1.0
10-20,high_intensity_state_count_ge5,1093,0.007319304666056725,0.0,0.0,0.0,0.0,0.0,3.0
10-20,intensity_change_count,1093,0.30649588289112534,0.0,0.0,0.0,2.0,0.0,4.0
10-20,net_intensity_change,1093,0.15187557182067704,0.0,0.0,0.0,1.0,0.0,3.0
10-20,loc_change_count,1093,3.3677950594693504,3.0,3.0,4.0,5.0,0.0,6.0
10-20,loc_span,1093,3.7721866422689843,4.0,3.0,5.0,5.0,0.0,6.0
10-20,terminal_hit_loc,856,4.261682242990654,4.0,3.0,6.0,7.0,1.0,7.0
10-20,preparation_stage_count,1093,4.064043915827996,4.0,4.0,4.0,5.0,3.0,6.0
10-20,production_opportunity_count,1093,4.064043915827996,4.0,4.0,4.0,5.0,3.0,6.0
10-20,saa_ordinary_shortage,1093,10.545932564408592,0.0,0.0,0.0,106.331187532016,0.0,144.0
10-20,saa_production,1093,336.82993061586575,323.086277869569,313.396476223573,343.943703481948,450.45,231.113232728806,540.54
10-20,saa_final_inventory,1093,368.61176337209974,365.313263700022,336.638238696798,366.582112753994,525.738409272046,295.348711239116,619.183281799197
10-20,saa_operating_cost,1093,14064.41775925612,12624.3538541294,10979.4971958875,12684.0835800765,32407.541343384917,8227.30664439715,48116.5009968853
10-20,saa_surplus_total_kg,856,310.89640236909474,345.5584092720468,325.6677079862153,366.3093582085421,379.90163586892794,0.0,577.3660188074276
10-20,offline_saa_terminal_loh_total_kg,856,67.12470312451809,0.0,0.0,0.0,382.1291220031094,0.0,607.9698878978807
10-20,offline_delta_terminal_loh_total_kg,856,54.23760816149668,67.64313058466331,13.09285849484047,79.48533710376347,112.16669662640508,0.0,114.55694084819706
10-20,offline_saa_mean_eens_kwh,856,46.8305562869937,50.810666666666656,32.145,53.83766666666666,57.81133333333334,19.020333333333333,500.886065
10-20,offline_saa_q95_shortage_kg,856,1.922629603657053,0.0,0.0,0.0,0.0,0.0,116.73894662193491
10-20,offline_saa_q99_5_shortage_kg,856,166.14480054632534,195.56501104655925,123.83056487466932,220.11292038294727,226.65902953931752,61.64252788915254,226.65902953931752
10-20,offline_saa_max_shortage_kg,856,495.65587399861454,532.6896325996237,405.3132585985873,607.9698878978803,607.9698878978803,267.84496631481335,607.9698878978803
20-30,path_max_intensity,1545,2.1359223300970873,2.0,2.0,2.0,3.0,2.0,4.0
20-30,path_mean_intensity,1545,2.036190476190474,2.0,2.0,2.0,2.333333333333333,2.0,2.7142857142857144
20-30,preterminal_intensity,1545,2.0459546925566343,2.0,2.0,2.0,2.0,2.0,4.0
20-30,appeared_intensity_ge5,1545,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20-30,high_intensity_state_count_ge5,1545,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20-30,intensity_change_count,1545,0.1786407766990291,0.0,0.0,0.0,2.0,0.0,3.0
20-30,net_intensity_change,1545,0.045954692556634306,0.0,0.0,0.0,0.0,0.0,2.0
20-30,loc_change_count,1545,3.32168284789644,3.0,3.0,4.0,5.0,1.0,6.0
20-30,loc_span,1545,3.8970873786407765,4.0,3.0,5.0,6.0,1.0,6.0
20-30,terminal_hit_loc,1150,4.439130434782609,5.0,3.0,6.0,7.0,1.0,7.0
20-30,preparation_stage_count,1545,4.028478964401295,4.0,4.0,4.0,5.0,3.0,6.0
20-30,production_opportunity_count,1545,4.028478964401295,4.0,4.0,4.0,5.0,3.0,6.0
20-30,saa_ordinary_shortage,1545,3.441568260988752,0.0,0.0,0.0,22.2686838686158,0.0,113.681808578671
20-30,saa_production,1545,324.6774500147534,326.321122387088,313.820249665812,338.761367069241,399.698309577926,240.342346949503,540.54
20-30,saa_final_inventory,1545,350.49569830887555,350.356147424766,341.142941046613,361.39977634129,414.675347567737,285.344324661182,562.627622390662
20-30,saa_operating_cost,1545,11998.29595452509,11704.3178119698,11044.3226661992,12428.8273399721,16942.85922314078,7631.63194492225,35894.4464823157
20-30,saa_surplus_total_kg,1150,319.96054542514736,350.06058001452305,329.40682716586144,361.3997763412878,391.6201481679218,0.0,562.6276223906614
20-30,offline_saa_terminal_loh_total_kg,1150,36.338732687498,0.0,0.0,0.0,364.12732182309054,0.0,571.9662875378446
20-30,offline_delta_terminal_loh_total_kg,1150,50.86414521940568,33.00330037840212,0.7136787584260904,110.4657213304822,112.16669662640508,0.0,114.55694084819706
20-30,offline_saa_mean_eens_kwh,1150,41.18601561449254,44.28200000000001,28.32,53.83766666666666,57.81133333333334,19.020333333333333,148.05670333333333
20-30,offline_saa_q95_shortage_kg,1150,0.5222656653017079,0.0,0.0,0.0,0.0,0.0,50.7323459618689
20-30,offline_saa_q99_5_shortage_kg,1150,157.23208684504786,145.1054196328724,123.83056487466932,220.11292038294727,226.65902953931752,61.64252788915254,226.65902953931752
20-30,offline_saa_max_shortage_kg,1150,494.6185527643656,532.6896325996237,405.3132585985873,607.9698878978803,607.9698878978803,267.84496631481335,607.9698878978803
30-50,path_max_intensity,2288,2.138986013986014,2.0,2.0,2.0,3.0,2.0,5.0
30-50,path_mean_intensity,2288,2.0300074925074894,2.0,2.0,2.0,2.2,2.0,2.857142857142857
30-50,preterminal_intensity,2288,2.023164335664336,2.0,2.0,2.0,2.0,2.0,4.0
30-50,appeared_intensity_ge5,2288,0.00043706293706293706,0.0,0.0,0.0,0.0,0.0,1.0
30-50,high_intensity_state_count_ge5,2288,0.00043706293706293706,0.0,0.0,0.0,0.0,0.0,1.0
30-50,intensity_change_count,2288,0.20410839160839161,0.0,0.0,0.0,2.0,0.0,3.0
30-50,net_intensity_change,2288,0.023164335664335664,0.0,0.0,0.0,0.0,0.0,2.0
30-50,loc_change_count,2288,4.0100524475524475,4.0,3.0,5.0,6.0,0.0,6.0
30-50,loc_span,2288,4.013548951048951,4.0,3.0,5.0,6.0,0.0,6.0
30-50,terminal_hit_loc,1881,4.451887293992558,4.0,3.0,6.0,7.0,1.0,7.0
30-50,preparation_stage_count,2288,4.8277972027972025,5.0,4.0,5.0,6.0,3.0,6.0
30-50,production_opportunity_count,2288,4.8277972027972025,5.0,4.0,5.0,6.0,3.0,6.0
30-50,saa_ordinary_shortage,2288,3.800402707846744,0.0,0.0,0.0,49.7931791629814,0.0,106.331187532016
30-50,saa_production,2288,363.31162563935544,373.254314041338,324.640550072979,384.649926890844,422.351659245481,227.59308762827,503.1
30-50,saa_final_inventory,2288,372.9042343414593,377.7555235149555,355.126421733071,389.44660429956,411.872773097115,277.737093140662,525.738409272046
30-50,saa_operating_cost,2288,12634.760690141828,12117.2213404278,11497.358454643,12520.4270250961,20557.34934025206,7301.7349745085,34641.9085089218
30-50,saa_surplus_total_kg,1881,344.2577593832597,370.72416149185767,345.5584092720466,388.62286980878105,405.9129958115785,0.0,525.738409272047
30-50,offline_saa_terminal_loh_total_kg,1881,30.118279335545573,0.0,0.0,0.0,355.1264217330823,0.0,613.4249788615225
30-50,offline_delta_terminal_loh_total_kg,1881,50.62845276103611,56.6955430109806,0.7136787584260904,79.48533710376347,112.16669662640508,0.0,114.55694084819706
30-50,offline_saa_mean_eens_kwh,1881,40.87544243044455,50.810666666666656,28.32,51.214333333333336,57.81133333333334,19.020333333333333,498.056665
30-50,offline_saa_q95_shortage_kg,1881,0.2668093400611628,0.0,0.0,0.0,0.0,0.0,115.64792842920654
30-50,offline_saa_q99_5_shortage_kg,1881,158.19821796591663,159.2886561383411,123.83056487466932,220.11292038294727,226.65902953931752,61.64252788915254,227.47729318386385
30-50,offline_saa_max_shortage_kg,1881,501.2916834673038,532.6896325996237,405.3132585985873,607.9698878978803,607.9698878978803,267.84496631481335,607.9698878978803
50-100,path_max_intensity,179,2.2458100558659218,2.0,2.0,2.0,3.0,2.0,3.0
50-100,path_mean_intensity,179,2.045730247406226,2.0,2.0,2.0,2.1666666666666665,2.0,2.333333333333333
50-100,preterminal_intensity,179,2.011173184357542,2.0,2.0,2.0,2.0,2.0,3.0
50-100,appeared_intensity_ge5,179,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50-100,high_intensity_state_count_ge5,179,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50-100,intensity_change_count,179,0.4301675977653631,0.0,0.0,0.0,2.0,0.0,3.0
50-100,net_intensity_change,179,0.0111731843575419,0.0,0.0,0.0,0.0,0.0,1.0
50-100,loc_change_count,179,3.8491620111731844,4.0,3.0,5.0,5.099999999999994,1.0,6.0
50-100,loc_span,179,4.944134078212291,5.0,5.0,5.0,6.0,1.0,6.0
50-100,terminal_hit_loc,168,5.398809523809524,6.0,4.0,7.0,7.0,1.0,7.0
50-100,preparation_stage_count,179,5.111731843575419,5.0,5.0,5.0,6.0,4.0,6.0
50-100,production_opportunity_count,179,5.111731843575419,5.0,5.0,5.0,6.0,4.0,6.0
50-100,saa_ordinary_shortage,179,8.553951618854045,0.0,0.0,0.0,56.538008369035,0.0,106.331187532016
50-100,saa_production,179,354.6669905825986,353.088258051394,349.15682038678904,369.38996891645854,397.9591662662063,296.506280290428,467.119651169225
50-100,saa_final_inventory,179,360.8608002758327,358.645354010113,355.126421733081,364.564776180153,398.8977960907219,325.238087639761,439.946579333686
50-100,saa_operating_cost,179,13188.627138161923,11321.2636527858,11146.54024101885,12824.817172115701,22079.35988673695,10067.5392685896,31665.7806011232
50-100,saa_surplus_total_kg,168,336.08156665836714,358.64535401011324,355.1264217330714,361.7887444084399,388.4595444281861,0.0,410.07574849512287
50-100,offline_saa_terminal_loh_total_kg,168,24.908334989343082,0.0,0.0,0.0,185.7458473120039,0.0,382.1291220031094
50-100,offline_delta_terminal_loh_total_kg,168,35.64426509330346,0.7136787584260904,0.0,67.64313058466331,113.73862191230194,0.0,114.55694084819706
50-100,offline_saa_mean_eens_kwh,168,34.21075793650792,28.32,19.020333333333333,51.214333333333336,57.60541666666666,19.020333333333333,57.81133333333334
50-100,offline_saa_q95_shortage_kg,168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50-100,offline_saa_q99_5_shortage_kg,168,131.72745846013171,123.83056487466932,61.64252788915254,214.3850748711235,225.79985271254398,61.64252788915254,226.65902953931752
50-100,offline_saa_max_shortage_kg,168,478.9504924518427,423.58781332678734,405.3132585985873,576.8758694051222,607.9698878978803,267.84496631481335,607.9698878978803
>100,path_max_intensity,0,,,,,,,
>100,path_mean_intensity,0,,,,,,,
>100,preterminal_intensity,0,,,,,,,
>100,appeared_intensity_ge5,0,,,,,,,
>100,high_intensity_state_count_ge5,0,,,,,,,
>100,intensity_change_count,0,,,,,,,
>100,net_intensity_change,0,,,,,,,
>100,loc_change_count,0,,,,,,,
>100,loc_span,0,,,,,,,
>100,terminal_hit_loc,0,,,,,,,
>100,preparation_stage_count,0,,,,,,,
>100,production_opportunity_count,0,,,,,,,
>100,saa_ordinary_shortage,0,,,,,,,
>100,saa_production,0,,,,,,,
>100,saa_final_inventory,0,,,,,,,
>100,saa_operating_cost,0,,,,,,,
>100,saa_surplus_total_kg,0,,,,,,,
>100,offline_saa_terminal_loh_total_kg,0,,,,,,,
>100,offline_delta_terminal_loh_total_kg,0,,,,,,,
>100,offline_saa_mean_eens_kwh,0,,,,,,,
>100,offline_saa_q95_shortage_kg,0,,,,,,,
>100,offline_saa_q99_5_shortage_kg,0,,,,,,,
>100,offline_saa_max_shortage_kg,0,,,,,,,
