comparison_group,path_count,feature,n,mean,median,q25,q75,q95,min,max
delta_i_30_50,2288,saa_surplus_total_kg,1881,344.2577593832597,370.72416149185767,345.5584092720466,388.62286980878105,405.9129958115785,0.0,525.738409272047
delta_i_30_50,2288,offline_saa_terminal_loh_total_kg,1881,30.118279335545573,0.0,0.0,0.0,355.1264217330823,0.0,613.4249788615225
delta_i_30_50,2288,offline_delta_terminal_loh_total_kg,1881,50.62845276103611,56.6955430109806,0.7136787584260904,79.48533710376347,112.16669662640508,0.0,114.55694084819706
delta_i_30_50,2288,offline_saa_mean_eens_kwh,1881,40.87544243044455,50.810666666666656,28.32,51.214333333333336,57.81133333333334,19.020333333333333,498.056665
delta_i_30_50,2288,offline_saa_q99_5_shortage_kg,1881,158.19821796591663,159.2886561383411,123.83056487466932,220.11292038294727,226.65902953931752,61.64252788915254,227.47729318386385
delta_i_20_50_combined,3833,path_max_intensity,3833,2.137751108792069,2.0,2.0,2.0,3.0,2.0,5.0
delta_i_20_50_combined,3833,path_mean_intensity,3833,2.032499720472586,2.0,2.0,2.0,2.2,2.0,2.857142857142857
delta_i_20_50_combined,3833,appeared_intensity_ge5,3833,0.00026089225150013044,0.0,0.0,0.0,0.0,0.0,1.0
delta_i_20_50_combined,3833,high_intensity_state_count_ge5,3833,0.00026089225150013044,0.0,0.0,0.0,0.0,0.0,1.0
delta_i_20_50_combined,3833,preparation_stage_count,3833,4.505609183407253,4.0,4.0,5.0,6.0,3.0,6.0
delta_i_20_50_combined,3833,saa_ordinary_shortage,3833,3.6557642470078116,0.0,0.0,0.0,49.7931791629814,0.0,113.681808578671
delta_i_20_50_combined,3833,saa_production,3833,347.73901897616423,338.814642728872,322.92,381.390136051315,417.8745075396122,227.59308762827,540.54
delta_i_20_50_combined,3833,saa_final_inventory,3833,363.8718346100861,361.659748190202,345.558409272046,387.525976554421,414.675347567737,277.737093140662,562.627622390662
delta_i_20_50_combined,3833,saa_operating_cost,3833,12378.215421024262,11953.206564963,11301.1809623757,12457.4025041243,19287.408523978276,7301.7349745085,35894.4464823157
delta_i_20_50_combined,3833,saa_surplus_total_kg,3031,335.0390869808053,361.3997763412948,345.5573662442091,382.80828067267913,401.69784958415465,0.0,562.6276223906614
delta_i_20_50_combined,3833,offline_saa_terminal_loh_total_kg,3031,32.47839855519099,0.0,0.0,0.0,355.1264217330823,0.0,613.4249788615225
delta_i_20_50_combined,3833,offline_delta_terminal_loh_total_kg,3031,50.71787748130215,40.91403055283792,0.7136787584260904,79.48533710376347,112.16669662640508,0.0,114.55694084819706
delta_i_20_50_combined,3833,offline_saa_mean_eens_kwh,3031,40.99327785164461,44.97700000000001,28.32,51.214333333333336,57.81133333333334,19.020333333333333,498.056665
delta_i_20_50_combined,3833,offline_saa_q99_5_shortage_kg,3031,157.8316555149123,150.56051059651415,123.83056487466932,220.11292038294727,226.65902953931752,61.64252788915254,227.47729318386385
