a0,loc0,lfw0,seed_id,base_seed,N,reference_N,metric,value_at_N,value_at_N15000,absolute_error,relative_error,reference_is_zero,reference_definition,relative_error_definition
2,1,0,1,20260723,15000,15000,W3_closed_roads_mean,0.0279333333333333,0.0279333333333333,0,0,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,1,20260723,15000,15000,W3_closed_roads_q95,0,0,0,NaN,1,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,500,15000,D_mean_kg,2.26822682268227,3.01384683922938,0.74562001654711,0.24739811155691,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,500,15000,D_q95_kg,0,0,0,NaN,1,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,500,15000,D_q99_kg,29.4574912036658,120.01200120012,90.5545099964542,0.754545454545455,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,500,15000,full_loss_probability,0,0,0,NaN,1,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,500,15000,A0_pair_share,0.000757575757575758,0.000337037037037037,0.000420538720538721,1.24775224775225,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,500,15000,reachable_pair_share,0.999242424242424,0.999662962962963,0.00042053872053871,0.000420680505449806,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,500,15000,C_reachable_mean_km,19.0178935544926,19.0261194998882,0.00822594539560129,0.000432350138221806,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,500,15000,C_reachable_q95_km,19.0137618887991,19.0137618887991,0,0,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,500,15000,W3_failed_lines_mean,0.08,0.0808,0.000799999999999995,0.00990099009900984,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,500,15000,W3_failed_lines_q95,0,0,0,NaN,1,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,500,15000,W3_closed_roads_mean,0.024,0.0269333333333333,0.00293333333333333,0.108910891089109,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,500,15000,W3_closed_roads_q95,0,0,0,NaN,1,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,1000,15000,D_mean_kg,2.32550527780051,3.01384683922938,0.68834156142887,0.228393013363902,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,1000,15000,D_q95_kg,0,0,0,NaN,1,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,1000,15000,D_q99_kg,67.6431279491586,120.01200120012,52.3688732509615,0.436363636363636,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,1000,15000,full_loss_probability,0,0,0,NaN,1,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,1000,15000,A0_pair_share,0.00078030303030303,0.000337037037037037,0.000443265993265993,1.31518481518482,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,1000,15000,reachable_pair_share,0.999219696969697,0.999662962962963,0.00044326599326594,0.000443415440692247,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
2,1,0,2,20260724,1000,15000,C_reachable_mean_km,19.0195436164392,19.0261194998882,0.00657588344906657,0.000345623995954887,0,same-state same-seed N15000 prefix reference,relative error is NaN when the N15000 reference is zero
