a0,loc0,lfw0,seed_id,base_seed,derived_seed,N,D_mean_kg,D_q95_kg,D_q99_kg,full_loss_probability,A0_pair_share,reachable_pair_share,C_reachable_mean_km,C_reachable_q95_km,W3_failed_lines_mean,W3_failed_lines_q95,W3_closed_roads_mean,W3_closed_roads_q95,D_min_kg,D_max_kg,A0_min,A0_max,C_mean_min_km,C_mean_max_km,D_nonfinite_count,C_nonfinite_count,D_negative_count,C_negative_count,A_invalid_scenario_count,C_invalid_value_count
2,5,0,3,20260725,20760740,2000,1.99069906990699,0,67.6431279491586,0,0.000353535353535354,0.999646464646465,19.0226855503827,19.0137618887991,0.0655,0,0.0195,0,0,374.764749202193,0,0.20959595959596,18.9076678785426,26.3056651007639,0,0,0,0,0,0
2,5,0,3,20260725,20760740,5000,1.74786569566048,0,49.0958186727764,0,0.0002,0.9998,19.020214878291,19.0137618887991,0.0504,0,0.014,0,0,433.13422251316,0,0.232323232323232,18.9076678785426,26.3056651007639,0,0,0,0,0,0
2,5,0,3,20260725,20760740,10000,1.80836265444726,0,46.9137822873196,0,0.000148989898989899,0.99985101010101,19.0212156852114,19.0137618887991,0.0533,0,0.014,0,0,433.13422251316,0,0.232323232323232,18.6880425135557,26.3056651007639,0,0,0,0,0,0
2,5,0,3,20260725,20760740,15000,1.73186409550046,0,40.3676731309495,0,0.000193434343434343,0.999806565656566,19.0208488427002,19.0137618887991,0.0536,0,0.0145333333333333,0,0,433.13422251316,0,0.303030303030303,18.6880425135557,26.3056651007639,0,0,0,0,0,0
2,6,0,1,20260723,20860741,500,0.926274445626381,0,4.90958186727764,0,0,1,19.018258762934,19.0137618887991,0.032,0,0.01,0,0,157.106619752884,0,0,19.0137618887991,20.1433125815115,0,0,0,0,0,0
2,6,0,1,20260723,20860741,1000,0.878815154242697,0,0,0,0.000368686868686869,0.999631313131313,19.0187553020153,19.0137618887991,0.032,0,0.023,0,0,394.403076671303,0,0.368686868686869,19.0137618887991,21.758738037582,0,0,0,0,0,0
2,6,0,1,20260723,20860741,2000,0.86490467228541,0,0,0,0.000236111111111111,0.999763888888889,19.0171303627163,19.0137618887991,0.028,0,0.015,0,0,394.403076671303,0,0.368686868686869,18.8158744021423,21.758738037582,0,0,0,0,0,0
2,6,0,1,20260723,20860741,5000,1.27343643455255,0,0,0,0.000218686868686869,0.999781313131313,19.0191584461978,19.0137618887991,0.042,0,0.016,0,0,405.313258598587,0,0.368686868686869,18.8158744021423,23.8886919986554,0,0,0,0,0,0
2,6,0,1,20260723,20860741,10000,1.3454163598178,0,8.18263644546273,0,0.00024469696969697,0.999755303030303,19.0187188232796,19.0137618887991,0.0427,0,0.0143,0,0,429.861167934975,0,0.368686868686869,18.4367117067532,23.8886919986554,0,0,0,0,0,0
2,6,0,1,20260723,20860741,15000,1.49804071316222,0,14.7287456018329,0,0.000239057239057239,0.999760942760943,19.0202614376261,19.0137618887991,0.0456666666666667,0,0.0148666666666667,0,0,429.861167934975,0,0.368686868686869,18.4367117067532,24.8372041868999,0,0,0,0,0,0
2,6,0,2,20260724,20860742,500,1.62288956168344,0,0,0,8.08080808080808e-05,0.999919191919192,19.0214577138236,19.0137618887991,0.044,0,0.006,0,0,355.126421733082,0,0.0404040404040404,19.0137618887991,22.246310368248,0,0,0,0,0,0
2,6,0,2,20260724,20860742,1000,2.23822382238224,0,49.0958186727764,0,0.000623737373737374,0.999376262626263,19.0236590414575,19.0137618887991,0.082,0,0.038,0,0,355.126421733082,0,0.242424242424242,18.4278615464994,22.246310368248,0,0,0,0,0,0
2,6,0,2,20260724,20860742,2000,1.80113465892044,0,8.18263644546273,0,0.000460858585858586,0.999539141414141,19.0196088246897,19.0137618887991,0.0655,0,0.0235,0,0,384.583912936748,0,0.242424242424242,18.4278615464994,22.246310368248,0,0,0,0,0,0
2,6,0,2,20260724,20860742,5000,1.83711098382566,0,24.5479093363882,0,0.000341919191919192,0.999658080808081,19.0205902790917,19.0137618887991,0.055,0,0.0172,0,0,384.583912936748,0,0.242424242424242,18.4278615464994,23.2475690225832,0,0,0,0,0,0
2,6,0,2,20260724,20860742,10000,1.73493713007664,0,27.8209639145733,0,0.000290151515151515,0.999709848484848,19.0205872013683,19.0137618887991,0.0585,0,0.0181,0,0,405.313258598587,0,0.338383838383838,18.4278615464994,23.3337368294375,0,0,0,0,0,0
2,6,0,2,20260724,20860742,15000,1.55671930829447,0,14.7287456018329,0,0.000257407407407407,0.999742592592593,19.0200211028795,19.0137618887991,0.0512666666666667,0,0.016,0,0,433.13422251316,0,0.338383838383838,18.0738493689174,24.0643027961416,0,0,0,0,0,0
2,6,0,3,20260725,20860743,500,1.52742546981971,0,0,0,0,1,19.022136363056,19.0137618887991,0.048,0,0.01,0,0,322.395875951231,0,0,19.0137618887991,21.6977900108588,0,0,0,0,0,0
2,6,0,3,20260725,20860743,1000,1.74153779014265,0,22.9113820472956,0,0.000305555555555556,0.999694444444444,19.0203242826751,19.0137618887991,0.049,0,0.011,0,0,322.395875951231,0,0.176767676767677,19.0137618887991,21.6977900108588,0,0,0,0,0,0
2,6,0,3,20260725,20860743,2000,2.27763685459455,0,43.6407277091345,0,0.000446969696969697,0.99955303030303,19.0231778422057,19.0137618887991,0.067,0,0.0225,0,0,410.222840465865,0,0.414141414141414,18.902617603579,23.9320830142748,0,0,0,0,0,0
2,6,0,3,20260725,20860743,5000,1.52197037885607,0,22.9113820472956,0,0.00028030303030303,0.999719696969697,19.0201801566454,19.0137618887991,0.0512,0,0.0152,0,0,410.222840465865,0,0.414141414141414,18.902617603579,24.4068163600817,0,0,0,0,0,0
2,6,0,3,20260725,20860743,10000,1.63238141996018,0,27.8209639145733,0,0.000287373737373737,0.999712626262626,19.0213630771606,19.0137618887991,0.0497,0,0.0161,0,0,410.222840465865,0,0.414141414141414,18.8423879397599,24.7770798688187,0,0,0,0,0,0
2,6,0,3,20260725,20860743,15000,1.45970960732437,0,22.9113820472956,0,0.000255555555555556,0.999744444444444,19.0207756307158,19.0137618887991,0.0448,0,0.0158666666666667,0,0,410.222840465865,0,0.414141414141414,18.7687525761603,25.3151308390045,0,0,0,0,0,0
2,7,0,1,20260723,20960744,500,2.87756048332106,0,105.556010146469,0,4.04040404040404e-05,0.999959595959596,19.0209959930974,19.0137618887991,0.054,0,0.01,0,0,405.313258598587,0,0.0202020202020202,19.0137618887991,20.9558354929621,0,0,0,0,0,0
2,7,0,1,20260723,20960744,1000,1.86236805498732,0,24.5479093363882,0,0.000116161616161616,0.999883838383838,19.0180756776962,19.0137618887991,0.041,0,0.01,0,0,405.313258598587,0,0.095959595959596,19.0137618887991,20.9558354929621,0,0,0,0,0,0
2,7,0,1,20260723,20960744,2000,1.23462346234623,0,0,0,6.81818181818182e-05,0.999931818181818,19.0190234543245,19.0137618887991,0.035,0,0.009,0,0,405.313258598587,0,0.095959595959596,19.0137618887991,24.191133370678,0,0,0,0,0,0
2,7,0,1,20260723,20960744,5000,1.15658838611134,0,0,0,0.000231313131313131,0.999768686868687,19.0191047274951,19.0137618887991,0.0428,0,0.0138,0,0,405.313258598587,0,0.590909090909091,17.5716081597328,24.264606659113,0,0,0,0,0,0
2,7,0,1,20260723,20960744,10000,0.911545700024548,0,0,0,0.000223484848484848,0.999776515151515,19.0172351247142,19.0137618887991,0.0343,0,0.0126,0,0,405.313258598587,0,0.590909090909091,17.5716081597328,24.264606659113,0,0,0,0,0,0
2,7,0,1,20260723,20960744,15000,0.975570284301158,0,0,0,0.000210606060606061,0.999789393939394,19.0178573502499,19.0137618887991,0.0376666666666667,0,0.0133333333333333,0,0,405.313258598587,0,0.590909090909091,17.5716081597328,24.456298768997,0,0,0,0,0,0
2,7,0,2,20260724,20960745,500,1.78599678149633,0,0,0,6.06060606060606e-05,0.999939393939394,19.0154449809571,19.0137618887991,0.042,0,0.016,0,0,250.388675231159,0,0.0202020202020202,19.0137618887991,19.5434135602817,0,0,0,0,0,0
2,7,0,2,20260724,20960745,1000,1.02419332842375,0,0,0,3.03030303030303e-05,0.999969696969697,19.014603434878,19.0137618887991,0.026,0,0.008,0,0,250.388675231159,0,0.0202020202020202,19.0137618887991,19.5434135602817,0,0,0,0,0,0
