method,path_id,stage,markov_state,a,loc,lf,status,site,beginning_inventory_kg,production_kg,ending_inventory_kg,ordinary_demand_kg,ordinary_demand_served_kg,shortage_kg,htt_in_kg,htt_out_kg,net_htt_kg
saa,1,5,48,1,6,8,post_absorb,3,17.4257203911538,0,17.4257203911538,1.58579677669568,0,0,0,0,0
saa,1,5,48,1,6,8,post_absorb,4,74.1727896926923,0,74.1727896926923,2.86806883365201,0,0,0,0,0
saa,1,6,56,1,7,8,post_absorb,1,170.195545772725,0,170.195545772725,20.0897088693297,0,0,0,0,0
saa,1,6,56,1,7,8,post_absorb,2,72.4450143352727,0,72.4450143352727,12.2546583850932,0,0,0,0,0
saa,1,6,56,1,7,8,post_absorb,3,17.4257203911538,0,17.4257203911538,7.09247608377144,0,0,0,0,0
saa,1,6,56,1,7,8,post_absorb,4,74.1727896926923,0,74.1727896926923,10.3563358247871,0,0,0,0,0
saa,1,7,56,1,7,8,post_absorb,1,170.195545772725,0,170.195545772725,21.6536899119838,0,0,0,0,0
saa,1,7,56,1,7,8,post_absorb,2,72.4450143352727,0,72.4450143352727,13.8819875776397,0,0,0,0,0
saa,1,7,56,1,7,8,post_absorb,3,17.4257203911538,0,17.4257203911538,8.42454537619581,0,0,0,0,0
saa,1,7,56,1,7,8,post_absorb,4,74.1727896926923,0,74.1727896926923,12.5777855032157,0,0,0,0,0
saa,1,8,32,1,4,8,post_absorb,1,170.195545772725,0,170.195545772725,8.13642518618822,0,0,0,0,0
saa,1,8,32,1,4,8,post_absorb,2,72.4450143352727,0,72.4450143352727,4.03726708074534,0,0,0,0,0
saa,1,8,32,1,4,8,post_absorb,3,17.4257203911538,0,17.4257203911538,5.89718176333707,0,0,0,0,0
saa,1,8,32,1,4,8,post_absorb,4,74.1727896926923,0,74.1727896926923,4.19780983834521,0,0,0,0,0
saa,2,1,65,2,2,1,normal,1,58.0445570448695,46.8,99.7243810123712,5.12017603249831,5.12017603249831,0,0,0,0
saa,2,1,65,2,2,1,normal,2,50.3081379386248,31.2,75.682050982103,5.82608695652174,5.82608695652174,0,0,0,0
saa,2,1,65,2,2,1,normal,3,25.2621334423093,18.72,42.3963366656137,1.58579677669568,1.58579677669568,0,0,0,0
saa,2,1,65,2,2,1,normal,4,33.0235808462428,23.4,53.5555120125908,2.86806883365201,2.86806883365201,0,0,0,0
saa,2,2,58,2,1,2,normal,1,99.7243810123712,46.8,126.434672143041,20.0897088693297,20.0897088693297,0,0,0,0
saa,2,2,58,2,1,2,normal,2,75.682050982103,23.4,86.8273925970099,12.2546583850932,12.2546583850932,0,0,0,0
saa,2,2,58,2,1,2,normal,3,42.3963366656137,14.04,49.3438605818422,7.09247608377144,7.09247608377144,0,0,0,0
saa,2,2,58,2,1,2,normal,4,53.5555120125908,23.4,66.5991761878037,10.3563358247871,10.3563358247871,0,0,0,0
saa,2,3,83,2,4,3,normal,1,126.434672143041,23.4,128.180982231058,21.6536899119838,21.6536899119838,0,0,0,0
saa,2,3,83,2,4,3,normal,2,86.8273925970099,7.8,80.7454050193701,13.8819875776397,13.8819875776397,0,0,0,0
saa,2,3,83,2,4,3,normal,3,49.3438605818422,3.65697705118212,44.5762922568285,8.42454537619581,8.42454537619581,0,0,0,0
saa,2,3,83,2,4,3,normal,4,66.5991761878037,8.775,62.796390684588,12.5777855032157,12.5777855032157,0,0,0,0
saa,2,4,92,2,5,4,normal,1,128.180982231058,46.8,197.143261343653,8.13642518618822,8.13642518618822,0,30.2987042987834,0,30.2987042987834
saa,2,4,92,2,5,4,normal,2,80.7454050193701,27.3,102.962176966801,4.03726708074534,4.03726708074534,0,0,1.04596097182389,-1.04596097182389
saa,2,4,92,2,5,4,normal,3,44.5762922568285,16.38,25.8063671665319,5.89718176333707,5.89718176333707,0,0,29.2527433269595,-29.2527433269595
saa,2,4,92,2,5,4,normal,4,62.796390684588,20.475,79.0735808462428,4.19780983834521,4.19780983834521,0,0,0,0
saa,2,5,101,2,6,5,normal,1,197.143261343653,0,202.586725873711,5.12017603249831,5.12017603249831,0,10.5636405625568,0,10.5636405625568
saa,2,5,101,2,6,5,normal,2,102.962176966801,0,88.7662981561405,5.82608695652174,5.82608695652174,0,0,8.36979185413865,-8.36979185413865
saa,2,5,101,2,6,5,normal,3,25.8063671665319,0,22.0267216814181,1.58579677669568,1.58579677669568,0,0,2.19384870841819,-2.19384870841819
saa,2,5,101,2,6,5,normal,4,79.0735808462428,0,76.2055120125908,2.86806883365201,2.86806883365201,0,0,0,0
saa,2,6,110,2,7,6,normal,1,202.586725873711,5.85,198.292556528377,20.0897088693297,20.0897088693297,0,9.94553952399534,0,9.94553952399534
saa,2,6,110,2,7,6,normal,2,88.7662981561405,0,61.151039329327,12.2546583850932,12.2546583850932,0,0,15.3606004417204,-15.3606004417204
saa,2,6,110,2,7,6,normal,3,22.0267216814181,1.43102729327856,16.3652728909252,7.09247608377144,7.09247608377144,0,0,0,0
saa,2,6,110,2,7,6,normal,4,76.2055120125908,2.925,74.1892371055287,10.3563358247871,10.3563358247871,0,5.41506091772503,0,5.41506091772503
saa,2,7,111,2,7,7,loh_demand_stage,1,198.292556528377,0,198.292556528377,21.6536899119838,0,0,0,0,0
saa,2,7,111,2,7,7,loh_demand_stage,2,61.151039329327,0,61.151039329327,13.8819875776397,0,0,0,0,0
saa,2,7,111,2,7,7,loh_demand_stage,3,16.3652728909252,0,16.3652728909252,8.42454537619581,0,0,0,0,0
saa,2,7,111,2,7,7,loh_demand_stage,4,74.1892371055287,0,74.1892371055287,12.5777855032157,0,0,0,0,0
saa,2,8,112,2,7,8,post_absorb,1,198.292556528377,0,198.292556528377,8.13642518618822,0,0,0,0,0
saa,2,8,112,2,7,8,post_absorb,2,61.151039329327,0,61.151039329327,4.03726708074534,0,0,0,0,0
saa,2,8,112,2,7,8,post_absorb,3,16.3652728909252,0,16.3652728909252,5.89718176333707,0,0,0,0,0
saa,2,8,112,2,7,8,post_absorb,4,74.1892371055287,0,74.1892371055287,4.19780983834521,0,0,0,0,0
saa,3,1,65,2,2,1,normal,1,58.0445570448695,46.8,99.7243810123712,5.12017603249831,5.12017603249831,0,0,0,0
saa,3,1,65,2,2,1,normal,2,50.3081379386248,31.2,75.682050982103,5.82608695652174,5.82608695652174,0,0,0,0
saa,3,1,65,2,2,1,normal,3,25.2621334423093,18.72,42.3963366656137,1.58579677669568,1.58579677669568,0,0,0,0
saa,3,1,65,2,2,1,normal,4,33.0235808462428,23.4,53.5555120125908,2.86806883365201,2.86806883365201,0,0,0,0
saa,3,2,66,2,2,2,normal,1,99.7243810123712,46.8,126.434672143041,20.0897088693297,20.0897088693297,0,0,0,0
saa,3,2,66,2,2,2,normal,2,75.682050982103,23.4,86.8273925970099,12.2546583850932,12.2546583850932,0,0,0,0
saa,3,2,66,2,2,2,normal,3,42.3963366656137,14.04,49.3438605818422,7.09247608377144,7.09247608377144,0,0,0,0
saa,3,2,66,2,2,2,normal,4,53.5555120125908,23.4,66.5991761878037,10.3563358247871,10.3563358247871,0,0,0,0
saa,3,3,84,2,4,4,normal,1,126.434672143041,29.25,167.17643138954,21.6536899119838,21.6536899119838,0,33.1454491584826,0,33.1454491584826
saa,3,3,84,2,4,4,normal,2,86.8273925970099,9.63240720889282,75.3711699123628,13.8819875776397,13.8819875776397,0,0,7.20664231590016,-7.20664231590016
saa,3,3,84,2,4,4,normal,3,49.3438605818422,3.65697705118212,18.6374854142461,8.42454537619581,8.42454537619581,0,0,25.9388068425824,-25.9388068425824
saa,3,3,84,2,4,4,normal,4,66.5991761878037,14.625,68.646390684588,12.5777855032157,12.5777855032157,0,0,0,0
saa,3,4,93,2,5,5,normal,1,167.17643138954,38.9607503804706,198.484346973769,8.13642518618822,8.13642518618822,0,0.483590389946755,0,0.483590389946755
saa,3,4,93,2,5,5,normal,2,75.3711699123628,15.6,84.7996166377925,4.03726708074534,4.03726708074534,0,0,2.13428619382495,-2.13428619382495
saa,3,4,93,2,5,5,normal,3,18.6374854142461,11.7,24.440303650909,5.89718176333707,5.89718176333707,0,0,0,0
saa,3,4,93,2,5,5,normal,4,68.646390684588,17.55,83.649276650121,4.19780983834521,4.19780983834521,0,1.65069580387819,0,1.65069580387819
saa,3,5,88,2,4,8,absorbing_lfNc,1,198.484346973769,0,198.484346973769,5.12017603249831,0,0,0,0,0
saa,3,5,88,2,4,8,absorbing_lfNc,2,84.7996166377925,0,84.7996166377925,5.82608695652174,0,0,0,0,0
saa,3,5,88,2,4,8,absorbing_lfNc,3,24.440303650909,0,24.440303650909,1.58579677669568,0,0,0,0,0
saa,3,5,88,2,4,8,absorbing_lfNc,4,83.649276650121,0,83.649276650121,2.86806883365201,0,0,0,0,0
saa,3,6,112,2,7,8,post_absorb,1,198.484346973769,0,198.484346973769,20.0897088693297,0,0,0,0,0
saa,3,6,112,2,7,8,post_absorb,2,84.7996166377925,0,84.7996166377925,12.2546583850932,0,0,0,0,0
saa,3,6,112,2,7,8,post_absorb,3,24.440303650909,0,24.440303650909,7.09247608377144,0,0,0,0,0
saa,3,6,112,2,7,8,post_absorb,4,83.649276650121,0,83.649276650121,10.3563358247871,0,0,0,0,0
saa,3,7,112,2,7,8,post_absorb,1,198.484346973769,0,198.484346973769,21.6536899119838,0,0,0,0,0
saa,3,7,112,2,7,8,post_absorb,2,84.7996166377925,0,84.7996166377925,13.8819875776397,0,0,0,0,0
saa,3,7,112,2,7,8,post_absorb,3,24.440303650909,0,24.440303650909,8.42454537619581,0,0,0,0,0
saa,3,7,112,2,7,8,post_absorb,4,83.649276650121,0,83.649276650121,12.5777855032157,0,0,0,0,0
saa,3,8,112,2,7,8,post_absorb,1,198.484346973769,0,198.484346973769,8.13642518618822,0,0,0,0,0
saa,3,8,112,2,7,8,post_absorb,2,84.7996166377925,0,84.7996166377925,4.03726708074534,0,0,0,0,0
saa,3,8,112,2,7,8,post_absorb,3,24.440303650909,0,24.440303650909,5.89718176333707,0,0,0,0,0
saa,3,8,112,2,7,8,post_absorb,4,83.649276650121,0,83.649276650121,4.19780983834521,0,0,0,0,0
