path_id,path_type,t,k,a,loc,lf,status,site_id,x_before,production_r,electrolyzer_power_e,normal_demand,normal_served,normal_shortage,transport_in,transport_out,x_after,delta_x,balance_residual,TerminalLOH_site,terminal_shortage_site,terminal_surplus_site
2017,Reference_08_saa,6,160,3,6,8,post_absorb,1,156.458890450879,0,0,20.0897088693297,0,0,0,0,156.458890450879,0,0,0,0,156.458890450879
2017,Reference_08_saa,6,160,3,6,8,post_absorb,2,76.3733216312793,0,0,12.2546583850932,0,0,0,0,76.3733216312793,0,0,0,0,76.3733216312793
2017,Reference_08_saa,6,160,3,6,8,post_absorb,3,22.0014069858253,0,0,7.09247608377144,0,0,0,0,22.0014069858253,0,0,0,0,22.0014069858253
2017,Reference_08_saa,6,160,3,6,8,post_absorb,4,77.421390684588,0,0,10.3563358247871,0,0,0,0,77.421390684588,0,0,0,0,77.421390684588
2017,Reference_08_saa,7,168,3,7,8,post_absorb,1,156.458890450879,0,0,21.6536899119838,0,0,0,0,156.458890450879,0,0,0,0,156.458890450879
2017,Reference_08_saa,7,168,3,7,8,post_absorb,2,76.3733216312793,0,0,13.8819875776397,0,0,0,0,76.3733216312793,0,0,0,0,76.3733216312793
2017,Reference_08_saa,7,168,3,7,8,post_absorb,3,22.0014069858253,0,0,8.42454537619581,0,0,0,0,22.0014069858253,0,0,0,0,22.0014069858253
2017,Reference_08_saa,7,168,3,7,8,post_absorb,4,77.421390684588,0,0,12.5777855032157,0,0,0,0,77.421390684588,0,0,0,0,77.421390684588
2017,Reference_08_saa,8,160,3,6,8,post_absorb,1,156.458890450879,0,0,8.13642518618822,0,0,0,0,156.458890450879,0,0,0,0,156.458890450879
2017,Reference_08_saa,8,160,3,6,8,post_absorb,2,76.3733216312793,0,0,4.03726708074534,0,0,0,0,76.3733216312793,0,0,0,0,76.3733216312793
2017,Reference_08_saa,8,160,3,6,8,post_absorb,3,22.0014069858253,0,0,5.89718176333707,0,0,0,0,22.0014069858253,0,0,0,0,22.0014069858253
2017,Reference_08_saa,8,160,3,6,8,post_absorb,4,77.421390684588,0,0,4.19780983834521,0,0,0,0,77.421390684588,0,0,0,0,77.421390684588
5380,Reference_08_saa,1,65,2,2,1,normal,1,58.0445570448695,46.8,300,5.12017603249831,5.12017603249831,0,0,0,99.7243810123712,41.6798239675017,0,0,0,58.0445570448695
5380,Reference_08_saa,1,65,2,2,1,normal,2,50.3081379386248,31.2,200,5.82608695652174,5.82608695652174,0,0,0,75.682050982103,25.3739130434783,0,0,0,50.3081379386248
5380,Reference_08_saa,1,65,2,2,1,normal,3,25.2621334423093,18.72,120,1.58579677669568,1.58579677669568,0,0,0,42.3963366656137,17.1342032233043,0,0,0,25.2621334423093
5380,Reference_08_saa,1,65,2,2,1,normal,4,33.0235808462428,23.4,150,2.86806883365201,2.86806883365201,0,0,0,53.5555120125908,20.531931166348,0,0,0,33.0235808462428
5380,Reference_08_saa,2,66,2,2,2,normal,1,99.7243810123712,46.8,300,20.0897088693297,20.0897088693297,0,0,0,126.434672143041,26.7102911306703,-1.4210854715202e-14,0,0,99.7243810123712
5380,Reference_08_saa,2,66,2,2,2,normal,2,75.682050982103,24.2102292467184,155.193777222554,12.2546583850932,12.2546583850932,0,0,0,87.6376218437282,11.9555708616252,0,0,0,75.682050982103
5380,Reference_08_saa,2,66,2,2,2,normal,3,42.3963366656137,0,0,7.09247608377144,7.09247608377144,0,0,0,35.3038605818422,-7.09247608377144,0,0,0,42.3963366656137
5380,Reference_08_saa,2,66,2,2,2,normal,4,53.5555120125908,23.4,150,10.3563358247871,10.3563358247871,0,0,0,66.5991761878037,13.0436641752129,0,0,0,53.5555120125908
5380,Reference_08_saa,3,117,3,1,5,normal,1,126.434672143041,46.8,300,21.6536899119838,0,21.6536899119838,25.6845140882337,0,198.919186231275,72.4845140882337,0,0,0,126.434672143041
5380,Reference_08_saa,3,117,3,1,5,normal,2,87.6376218437282,31.2,200,13.8819875776397,0,13.8819875776397,0,10.8967784406804,107.940843403048,20.3032215593196,0,0,0,87.6376218437282
5380,Reference_08_saa,3,117,3,1,5,normal,3,35.3038605818422,18.72,120,8.42454537619581,0,8.42454537619581,0,25.7982401494283,28.2256204324138,-7.07824014942844,-9.9475983006414e-14,0,0,35.3038605818422
5380,Reference_08_saa,3,117,3,1,5,normal,4,66.5991761878037,23.4,150,12.5777855032157,0,12.5777855032157,11.010504501875,0,101.009680689679,34.410504501875,0,0,0,66.5991761878037
5380,Reference_08_saa,4,150,3,5,6,normal,1,198.919186231275,46.8,300,8.13642518618822,3.93077856979406,4.20564661639416,0,0,241.788407661481,42.869221430206,0,0,0,198.919186231275
5380,Reference_08_saa,4,150,3,5,6,normal,2,107.940843403048,31.2,200,4.03726708074534,2.16232779145215,1.8749392892932,0,13.8336483525649,123.144867259031,15.204023855983,0,0,0,107.940843403048
5380,Reference_08_saa,4,150,3,5,6,normal,3,28.2256204324138,18.72,120,5.89718176333707,5.89718176333707,0,0,11.5909474654109,29.4574912036658,1.23187077125207,-3.5527136788005e-15,0,0,28.2256204324138
5380,Reference_08_saa,4,150,3,5,6,normal,4,101.009680689679,23.4,150,4.19780983834521,0,4.19780983834521,25.4245958179757,0,149.834276507654,48.8245958179757,0,0,0,101.009680689679
5380,Reference_08_saa,5,167,3,7,7,loh_demand_stage,1,241.788407661481,0,0,5.12017603249831,0,0,0,0,241.788407661481,0,0,121.103019392848,0,120.685388268633
5380,Reference_08_saa,5,167,3,7,7,loh_demand_stage,2,123.144867259031,0,0,5.82608695652174,0,0,0,0,123.144867259031,0,0,19.6383274691105,0,103.50653978992
5380,Reference_08_saa,5,167,3,7,7,loh_demand_stage,3,29.4574912036658,0,0,1.58579677669568,0,0,0,0,29.4574912036658,0,0,9.81916373455527,0,19.6383274691106
5380,Reference_08_saa,5,167,3,7,7,loh_demand_stage,4,149.834276507654,0,0,2.86806883365201,0,0,0,0,149.834276507654,0,0,35.1853367154897,0,114.648939792165
5380,Reference_08_saa,6,112,2,7,8,post_absorb,1,241.788407661481,0,0,20.0897088693297,0,0,0,0,241.788407661481,0,0,0,0,241.788407661481
5380,Reference_08_saa,6,112,2,7,8,post_absorb,2,123.144867259031,0,0,12.2546583850932,0,0,0,0,123.144867259031,0,0,0,0,123.144867259031
5380,Reference_08_saa,6,112,2,7,8,post_absorb,3,29.4574912036658,0,0,7.09247608377144,0,0,0,0,29.4574912036658,0,0,0,0,29.4574912036658
5380,Reference_08_saa,6,112,2,7,8,post_absorb,4,149.834276507654,0,0,10.3563358247871,0,0,0,0,149.834276507654,0,0,0,0,149.834276507654
5380,Reference_08_saa,7,80,2,3,8,post_absorb,1,241.788407661481,0,0,21.6536899119838,0,0,0,0,241.788407661481,0,0,0,0,241.788407661481
5380,Reference_08_saa,7,80,2,3,8,post_absorb,2,123.144867259031,0,0,13.8819875776397,0,0,0,0,123.144867259031,0,0,0,0,123.144867259031
5380,Reference_08_saa,7,80,2,3,8,post_absorb,3,29.4574912036658,0,0,8.42454537619581,0,0,0,0,29.4574912036658,0,0,0,0,29.4574912036658
5380,Reference_08_saa,7,80,2,3,8,post_absorb,4,149.834276507654,0,0,12.5777855032157,0,0,0,0,149.834276507654,0,0,0,0,149.834276507654
5380,Reference_08_saa,8,64,2,1,8,post_absorb,1,241.788407661481,0,0,8.13642518618822,0,0,0,0,241.788407661481,0,0,0,0,241.788407661481
5380,Reference_08_saa,8,64,2,1,8,post_absorb,2,123.144867259031,0,0,4.03726708074534,0,0,0,0,123.144867259031,0,0,0,0,123.144867259031
5380,Reference_08_saa,8,64,2,1,8,post_absorb,3,29.4574912036658,0,0,5.89718176333707,0,0,0,0,29.4574912036658,0,0,0,0,29.4574912036658
5380,Reference_08_saa,8,64,2,1,8,post_absorb,4,149.834276507654,0,0,4.19780983834521,0,0,0,0,149.834276507654,0,0,0,0,149.834276507654
6826,Reference_08_saa,1,65,2,2,1,normal,1,58.0445570448695,46.8,300,5.12017603249831,5.12017603249831,0,0,0,99.7243810123712,41.6798239675017,0,0,0,58.0445570448695
6826,Reference_08_saa,1,65,2,2,1,normal,2,50.3081379386248,31.2,200,5.82608695652174,5.82608695652174,0,0,0,75.682050982103,25.3739130434783,0,0,0,50.3081379386248
6826,Reference_08_saa,1,65,2,2,1,normal,3,25.2621334423093,18.72,120,1.58579677669568,1.58579677669568,0,0,0,42.3963366656137,17.1342032233043,0,0,0,25.2621334423093
6826,Reference_08_saa,1,65,2,2,1,normal,4,33.0235808462428,23.4,150,2.86806883365201,2.86806883365201,0,0,0,53.5555120125908,20.531931166348,0,0,0,33.0235808462428
6826,Reference_08_saa,2,75,2,3,3,normal,1,99.7243810123712,46.8,300,20.0897088693297,20.0897088693297,0,0,0,126.434672143041,26.7102911306703,-1.4210854715202e-14,0,0,99.7243810123712
6826,Reference_08_saa,2,75,2,3,3,normal,2,75.682050982103,30.6208832540825,196.287713167196,12.2546583850932,12.2546583850932,0,0,0,94.0482758510924,18.3662248689893,0,0,0,75.682050982103
6826,Reference_08_saa,2,75,2,3,3,normal,3,42.3963366656137,0,0,7.09247608377144,7.09247608377144,0,0,0,35.3038605818422,-7.09247608377144,0,0,0,42.3963366656137
6826,Reference_08_saa,2,75,2,3,3,normal,4,53.5555120125908,23.4,150,10.3563358247871,10.3563358247871,0,0,0,66.5991761878037,13.0436641752129,0,0,0,53.5555120125908
6826,Reference_08_saa,3,117,3,1,5,normal,1,126.434672143041,46.8,300,21.6536899119838,0,21.6536899119838,25.9978761232076,0,199.232548266249,72.7978761232076,0,0,0,126.434672143041
6826,Reference_08_saa,3,117,3,1,5,normal,2,94.0482758510924,31.2,200,13.8819875776397,0,13.8819875776397,0,10.6994072099968,114.548868641096,20.5005927900032,0,0,0,94.0482758510924
6826,Reference_08_saa,3,117,3,1,5,normal,3,35.3038605818422,18.72,120,8.42454537619581,0,8.42454537619581,0,27.9325052317677,26.0913553500743,-9.21250523176791,-1.59872115546023e-13,0,0,35.3038605818422
6826,Reference_08_saa,3,117,3,1,5,normal,4,66.5991761878037,23.4,150,12.5777855032157,0,12.5777855032157,12.6340363185569,0,102.633212506361,36.0340363185569,0,0,0,66.5991761878037
