path_id,path_type,t,k,a,loc,lf,status,beta,stage_cost,ordinary_stage_cost,loh_demand_cost,theta_value,x_total_before,x_total_after,delta_x_total,production_total,normal_served_total,normal_shortage_total,htt_in_total,htt_out_total,htt_transport_total,TerminalLOH_total,terminal_shortage_total,terminal_surplus_total
5380,H02_chi2_eta003,6,112,2,7,8,post_absorb,0.2,0,0,0,0,561.758923201945,561.758923201945,0,0,0,0,0,0,0,0,0,561.758923201945
5380,H02_chi2_eta003,7,80,2,3,8,post_absorb,0.153333333333333,0,0,0,0,561.758923201945,561.758923201945,0,0,0,0,0,0,0,0,0,561.758923201945
5380,H02_chi2_eta003,8,64,2,1,8,post_absorb,0.13,0,0,0,0,561.758923201945,561.758923201945,0,0,0,0,0,0,0,0,0,561.758923201945
6826,H02_chi2_eta003,1,65,2,2,1,normal,0,2328.18791403364,2328.18791403364,0,12549.939923665,166.638409272046,271.358280672679,104.719871400632,120.12,15.4001285993677,0,0,0,0,0,0,166.638409272046
6826,H02_chi2_eta003,2,75,2,3,3,normal,0.0438095238095238,4926.60425507548,4926.60425507548,0,7835.21528375763,271.358280672679,341.685101509697,70.3268208370186,120.12,49.7931791629814,0,0,0,0,0,0,271.358280672679
6826,H02_chi2_eta003,3,117,3,1,5,normal,0.148571428571429,16643.3518460909,16643.3518460909,0,24349.573361344,341.685101509697,461.805101509697,120.12,120.12,0,56.538008369035,85.1576577124644,85.1576577124644,85.1576577124644,0,0,341.685101509697
6826,H02_chi2_eta003,4,134,3,3,6,normal,0.219047619047619,7108.87224072337,7108.87224072337,0,1666.36477318623,461.805101509697,581.925101509697,120.12,120.12,0,22.2686838686158,40.4803368495268,40.4803368495268,40.4803368495268,0,0,461.805101509697
6826,H02_chi2_eta003,5,143,3,4,7,loh_demand_stage,0.282857142857143,0,0,0,0,581.925101509697,581.925101509697,0,0,0,0,0,0,0,396.04045228592,0,185.884649223777
6826,H02_chi2_eta003,6,184,4,2,8,post_absorb,0.425,0,0,0,0,581.925101509697,581.925101509697,0,0,0,0,0,0,0,0,0,581.925101509697
6826,H02_chi2_eta003,7,192,4,3,8,post_absorb,0.46,0,0,0,0,581.925101509697,581.925101509697,0,0,0,0,0,0,0,0,0,581.925101509697
6826,H02_chi2_eta003,8,208,4,5,8,post_absorb,0.53,0,0,0,0,581.925101509697,581.925101509697,0,0,0,0,0,0,0,0,0,581.925101509697
9114,H02_chi2_eta003,1,65,2,2,1,normal,0,2328.18791403364,2328.18791403364,0,12549.939923665,166.638409272046,271.358280672679,104.719871400632,120.12,15.4001285993677,0,0,0,0,0,0,166.638409272046
9114,H02_chi2_eta003,2,58,2,1,2,normal,0.0185714285714286,4926.60425507548,4926.60425507548,0,7461.3236548238,271.358280672679,341.685101509697,70.3268208370186,120.12,49.7931791629814,0,0,0,0,0,0,271.358280672679
9114,H02_chi2_eta003,3,67,2,2,3,normal,0.0404761904761905,2774.46735465703,2774.46735465703,0,4455.72418074343,341.685101509697,355.347093140662,13.661991630965,70.2,56.538008369035,0,0,0,0,0,0,341.685101509697
9114,H02_chi2_eta003,4,116,3,1,4,normal,0.111428571428571,6882.59249199563,6882.59249199563,0,12658.9794524263,355.347093140662,475.467093140662,120.12,120.12,0,22.2686838686158,14.2117079354864,14.2117079354864,14.2117079354864,0,0,355.347093140662
9114,H02_chi2_eta003,5,134,3,3,6,normal,0.219047619047619,5701.9512202505,5701.9512202505,0,1433.23890304444,475.467093140662,583.31565142148,107.848558280818,120.12,12.2714417191824,3.12868688018531,17.6893057739588,17.6893057739588,17.6893057739588,0,0,475.467093140662
9114,H02_chi2_eta003,6,71,2,2,7,loh_demand_stage,0.121428571428571,0,0,0,0,583.31565142148,583.31565142148,0,0,0,0,0,0,0,110.465721330482,0,472.849930090998
9114,H02_chi2_eta003,7,40,1,5,8,post_absorb,0,0,0,0,0,583.31565142148,583.31565142148,0,0,0,0,0,0,0,0,0,583.31565142148
9114,H02_chi2_eta003,8,16,1,2,8,post_absorb,0,0,0,0,0,583.31565142148,583.31565142148,0,0,0,0,0,0,0,0,0,583.31565142148
