evaluation_id,pair_id,pair_group,initial_state_id,scenario_id,path_id,scenario_role,T_source,replay_case,T1,T2,T3,T4,Q_agg,Q_period,Q_period_minus_Q_agg,absolute_difference,relative_difference,relative_difference_ge_10pct,direction,period_service_cost,period_shortage_kg,period_shortage_loss,W1_service_kg,W2_service_kg,W3_service_kg,W1_shortage_kg,W2_shortage_kg,W3_shortage_kg,W1_service_cost,W2_service_cost,W3_service_cost,period_reachable_agg_masked_relation_count,partially_reachable_critical_site_node_count,period_reachable_but_agg_node_unreachable_demand_kg,period_service_on_agg_unreachable_relations_kg,period_service_cost_on_agg_unreachable_relations,temporal_masking_used_by_solution,large_difference_with_temporal_masking
14,4,STEP03T_CONTROL,7,13663,13663,xi_s,T_r,T_R_ON_S,4.90958186727257,0,0,0,113.274713248072,113.274713248072,3.97903932025656e-13,3.97903932025656e-13,3.51273395991075e-15,0,NUMERICALLY_EQUAL,113.274713248072,0,0,0,0,4.90958186727764,0,0,0,0,0,113.274713248072,0,0,0,0,0,0,0
15,4,STEP03T_CONTROL,7,224,224,xi_r,T_s,T_S_ON_R,4.90958186727257,0,0,0,45936.7545879684,45936.7545879684,-7.27595761418343e-12,7.27595761418343e-12,1.58390763114317e-16,0,NUMERICALLY_EQUAL,113.990493377118,22.9113820472956,45822.7640945913,0,0,4.90958186727764,0,0,22.9113820472956,0,0,113.990493377118,0,0,0,0,0,0,0
16,4,STEP03T_CONTROL,7,13663,13663,xi_s,T_s,T_S_ON_S,4.90958186727257,0,0,0,113.274713248072,113.274713248072,3.97903932025656e-13,3.97903932025656e-13,3.51273395991075e-15,0,NUMERICALLY_EQUAL,113.274713248072,0,0,0,0,4.90958186727764,0,0,0,0,0,113.274713248072,0,0,0,0,0,0,0
17,5,STEP03T_TIER1,18,7951,7951,xi_r,T_r,T_R_ON_R,260.207838965715,120.284755792876,99.8281645900711,96.5551100564602,4347.99168540002,4347.99168540002,3.63797880709171e-12,3.63797880709171e-12,8.36703257576955e-16,0,NUMERICALLY_EQUAL,4347.99168540002,0,0,192.291956468374,192.291956468374,192.291956468374,0,0,0,1449.33056180667,1449.33056179667,1449.33056179667,0,0,0,0,0,0,0
18,5,STEP03T_TIER1,18,8139,8139,xi_s,T_r,T_R_ON_S,260.207838965715,120.284755792876,99.8281645900711,96.5551100564602,4400.04659741122,4232.741049201,-167.30554821022,167.30554821022,0.0380235855476291,0,AGGREGATE_OVERESTIMATES,4232.741049201,0,0,192.291956468374,192.291956468374,192.291956468374,0,0,0,1407.34190017984,1395.68242386769,1429.71672515347,0,0,0,0,0,0,0
19,5,STEP03T_TIER1,18,7951,7951,xi_r,T_s,T_S_ON_R,283.67973161572,66.2793552082481,76.9167825873496,149.999999993805,5102.74680961233,5102.74680961233,-1.81898940354586e-12,1.81898940354586e-12,3.56472596312113e-16,0,NUMERICALLY_EQUAL,5102.74680961233,0,0,192.291956468374,192.291956468374,192.291956468374,0,0,0,1759.30004876745,1700.40440755712,1643.04235328776,0,0,0,0,0,0,0
20,5,STEP03T_TIER1,18,8139,8139,xi_s,T_s,T_S_ON_S,283.67973161572,66.2793552082481,76.9167825873496,149.999999993805,3748.29202406609,3730.93634372553,-17.3556803405554,17.3556803405554,0.00463029033733829,0,AGGREGATE_OVERESTIMATES,3730.93634372553,0,0,192.291956468374,192.291956468374,192.291956468374,0,0,0,1195.57076023609,1231.17942411954,1304.1861593699,0,0,0,0,0,0,0
21,6,STEP03T_TIER1,18,5578,5578,xi_r,T_r,T_R_ON_R,198.322559533546,200,99.9999999951345,24.5479093363882,5250.61809336239,5232.85532709425,-17.7627662681398,17.7627662681398,0.00338298576516062,0,AGGREGATE_OVERESTIMATES,5232.85532709425,0,0,167.744047131986,177.563210866541,177.563210866541,0,0,0,1547.99031136471,1842.43250786477,1842.43250786477,0,0,0,0,0,0,0
22,6,STEP03T_TIER1,18,6733,6733,xi_s,T_r,T_R_ON_S,198.322559533546,200,99.9999999951345,24.5479093363882,176955.382268363,103584.997719213,-73370.3845491496,73370.3845491496,0.414626464641122,1,AGGREGATE_OVERESTIMATES,4302.34218093241,49.6413277691405,99282.655538281,177.563210866541,148.65122875924,156.833865204702,0,28.9119821073016,20.7293456618389,1746.15268542801,1270.09430308309,1286.09519242131,35,44,0,37.0946185527644,850.90845044952,1,1
23,6,STEP03T_TIER1,18,5578,5578,xi_r,T_s,T_S_ON_R,216.021602160216,105.556010191036,99.8281645900781,111.283855658293,157091.679959659,157029.817287209,-61.8626724501664,61.8626724501664,0.000393799801912187,0,AGGREGATE_OVERESTIMATES,3196.2521125088,76.91678258735,153833.5651747,148.651228759239,148.65122875924,148.65122875924,19.0928183727467,28.9119821073016,28.9119821073016,1095.72703865099,1050.26253692891,1050.26253692891,0,0,0,0,0,0,0
24,6,STEP03T_TIER1,18,6733,6733,xi_s,T_s,T_S_ON_S,216.021602160216,105.556010191036,99.8281645900781,111.283855658293,3755.54522201191,3736.89936318596,-18.6458588259534,18.6458588259534,0.00496488731294373,0,AGGREGATE_OVERESTIMATES,3736.89936318596,0,0,177.563210866541,177.563210866541,177.563210866541,0,0,0,985.593520317988,1375.71745668863,1375.58838617934,35,44,0,0,0,0,0
25,7,STEP03T_TIER1,18,8902,8902,xi_r,T_r,T_R_ON_R,137.468292283774,200,100,149.999999999995,46891.5140179017,46882.143705011,-9.3703128906709,9.3703128906709,0.000199829608553343,0,AGGREGATE_OVERESTIMATES,5878.95247678744,20.5015956141118,41003.1912282236,202.338870250656,197.747047432016,187.382374601096,0.317759048637064,4.90958186727764,15.2742546981971,2144.41697898108,2005.1565011523,1729.37899665406,0,3,0,0,0,0,0
26,7,STEP03T_TIER1,18,1303,1303,xi_s,T_r,T_R_ON_S,137.468292283774,200,100,149.999999999995,46057.4053929254,46040.0329772958,-17.3724156296448,17.3724156296448,0.00037719049697735,0,AGGREGATE_OVERESTIMATES,5036.84174907237,20.5015956141117,41003.1912282234,202.656629299294,199.62632626899,185.185336715485,0,3.03030303030309,17.4712925838086,1806.02111773581,1698.57842124266,1532.2422100939,0,4,0,0,0,0,0
27,7,STEP03T_TIER1,18,8902,8902,xi_r,T_s,T_S_ON_R,291.301857458473,76.0985189850612,99.8281645923875,140.741346861959,310323.773204567,310323.773204567,-2.3283064365387e-10,2.3283064365387e-10,7.50282974615633e-16,0,NUMERICALLY_EQUAL,2656.64285516822,153.833565174699,307667.130349399,151.37877424106,151.37877424106,151.37877424106,51.2778550582331,51.2778550582331,51.2778550582331,877.681266939315,878.041746234014,900.919841994895,0,3,0,0,0,0,0
28,7,STEP03T_TIER1,18,1303,1303,xi_s,T_s,T_S_ON_S,291.301857458473,76.0985189850612,99.8281645923875,140.741346861959,3988.46789557295,3988.46789556957,-3.38286554324441e-09,3.38286554324441e-09,8.48161658013911e-13,0,NUMERICALLY_EQUAL,3988.46789556957,0,0,202.656629299294,202.656629299294,202.656629299294,0,0,0,1289.18673386304,1331.86586533415,1367.41529637238,0,4,0,0,0,0,0
29,8,STEP03T_CONTROL,18,4847,4847,xi_r,T_r,T_R_ON_R,252.025202520252,58.7431471037698,99.9999999382071,148.105719662875,103426.226293145,103104.012124513,-322.214168631952,322.214168631952,0.00311540099818288,0,AGGREGATE_OVERESTIMATES,4912.37477895965,49.0958186727767,98191.6373455534,202.656629299294,180.563510896544,175.653929029266,0,22.0931184027494,27.0027002700273,1455.1137239824,1609.15269047926,1848.108364498,16,20,16.3652728909255,16.3652728909255,277.710885037034,1,0
30,8,STEP03T_CONTROL,18,6256,6256,xi_s,T_r,T_R_ON_S,252.025202520252,58.7431471037698,99.9999999382071,148.105719662875,101835.746457455,101373.792471246,-461.953986208682,461.953986208682,0.0045362655283494,0,AGGREGATE_OVERESTIMATES,3182.15512569285,49.0958186727767,98191.6373455535,197.747047432016,194.473992853831,166.653028939257,4.90958186727764,8.18263644546272,36.0036003600364,1201.54825532839,1149.08076437145,831.526105993013,24,12,32.7305457818509,19.6383274691106,243.820239230767,1,0
31,8,STEP03T_CONTROL,18,4847,4847,xi_r,T_s,T_S_ON_R,212.748547582031,96.1255216963756,99.9999999466978,150,103732.326562986,103346.272539826,-386.054023159915,386.054023159915,0.00372163660019236,0,AGGREGATE_OVERESTIMATES,5154.63519427342,49.0958186727763,98191.6373455527,202.656629299294,180.563510896544,175.653929029267,0,22.0931184027494,27.002700270027,1574.86015134264,1612.06155774494,1967.71348518584,16,20,16.3652728909255,16.3652728909255,340.874940139151,1,0
32,8,STEP03T_CONTROL,18,6256,6256,xi_s,T_s,T_S_ON_S,212.748547582031,96.1255216963756,99.9999999466978,150,101498.456793673,101398.379396119,-100.077397554123,100.077397554123,0.000985999203490961,0,AGGREGATE_OVERESTIMATES,3206.74205056645,49.0958186727762,98191.6373455524,192.837465564738,192.837465564738,173.199138095628,9.81916373455527,9.81916373455527,29.4574912036657,1133.07934984392,1133.27934170601,940.383359016521,24,12,32.7305457818509,13.0922183127404,133.274948714205,1,0
33,9,STEP03T_TIER1,30,3991,3991,xi_r,T_r,T_R_ON_R,137.468292283774,49.0958186727764,14.7287456018329,24.5479093363833,764664.304125603,764659.28972508,-5.01440052303951,5.01440052303951,6.55764954109307e-06,0,AGGREGATE_OVERESTIMATES,401.045718851956,382.129122003114,764258.244006228,80.1898371655298,75.2802552982571,70.3706734309797,122.466792133764,127.376374001036,132.285955868314,136.715573051588,143.596103069384,120.734042730984,36,38,95.1913373155497,4.90958186727276,17.8476598060098,1,0
34,9,STEP03T_TIER1,30,5821,5821,xi_s,T_r,T_R_ON_S,137.468292283774,49.0958186727764,14.7287456018329,24.5479093363833,901838.053772853,765870.229149424,-135967.824623429,135967.824623429,0.150767451045789,1,AGGREGATE_OVERESTIMATES,1611.98514319613,382.129122003114,764258.244006228,121.103019392844,52.3688732509614,52.3688732509614,81.5536099064499,150.287756048332,150.287756048332,1536.78981493293,36.32215458732,38.8731736758839,50,35,140.195837765595,68.7341461418871,1500.46766034561,1,1
35,9,STEP03T_TIER1,30,3991,3991,xi_r,T_s,T_S_ON_R,68.7341461418869,49.0958186727764,14.7287456018329,91.6455281891776,901837.255754463,768736.617073456,-133100.638681007,133100.638681007,0.14758831244963,1,AGGREGATE_OVERESTIMATES,1205.31848904216,383.765649292207,767531.298584414,119.466492103751,52.3688732509614,52.3688732509614,83.1901371955427,150.287756048332,150.287756048332,1131.50551272846,36.9064881568475,36.9064881568475,36,38,95.1913373155497,67.0976188527894,1094.59902457162,1,1
36,9,STEP03T_TIER1,30,5821,5821,xi_s,T_s,T_S_ON_S,68.7341461418869,49.0958186727764,14.7287456018329,91.6455281891776,767866.070466693,767866.070466693,3.49245965480804e-10,3.49245965480804e-10,4.54826666932346e-16,0,NUMERICALLY_EQUAL,334.771882289463,383.765649292202,767531.298584404,74.7347462018929,74.7347462018929,74.7347462018929,127.921883097401,127.921883097401,127.921883097401,104.826783728535,111.900674807625,118.044423753303,50,35,140.195837765595,0,0,0,0
37,10,STEP03T_TIER1,30,2508,2508,xi_r,T_r,T_R_ON_R,260.207838965715,19.6383274691105,14.7287456018329,24.5479093363832,490383.675013845,490160.106867374,-223.568146471342,223.568146471342,0.000455904545486816,0,AGGREGATE_OVERESTIMATES,4111.50200687833,243.024302430248,486048.604860495,139.104819572867,90.009000900085,90.00900090009,48.2775550282298,97.3733737010114,97.3733737010064,2600.63390281979,755.434052029272,755.434052029272,67,75,76.0985189428034,39.2766549382213,1429.80883355377,1,0
38,10,STEP03T_TIER1,30,6378,6378,xi_s,T_r,T_R_ON_S,260.207838965715,19.6383274691105,14.7287456018329,24.5479093363832,723017.301229838,710053.345152022,-12963.9560778164,12963.9560778164,0.0179303538874727,0,AGGREGATE_OVERESTIMATES,1437.02897493943,354.308158088541,708616.316177082,70.3706734309795,70.3706734309794,67.0976188527894,117.011701170117,117.011701170117,120.284755748307,496.52550673476,496.52550673476,443.977961469909,2,1,6.54610915637018,6.54610915637018,128.262234923443,1,0
39,10,STEP03T_TIER1,30,2508,2508,xi_r,T_s,T_S_ON_R,142.377874151051,83.4628917437198,24.5479093363882,76.9167825873446,722026.955732867,492271.148094745,-229755.807638122,229755.807638122,0.318209459929258,1,AGGREGATE_OVERESTIMATES,2949.48865606301,244.660829719341,489321.659438682,181.654529089267,70.370673430979,65.4610915637018,5.72784551182898,117.011701170117,121.921283037395,2709.37049060574,153.50109939003,86.617066067238,67,75,76.0985189428034,116.193437525566,2629.62553211864,1,1
40,10,STEP03T_TIER1,30,6378,6378,xi_s,T_s,T_S_ON_S,142.377874151051,83.4628917437198,24.5479093363882,76.9167825873446,472516.169164726,472482.171302638,-33.9978620882612,33.9978620882612,7.19506850916017e-05,0,AGGREGATE_OVERESTIMATES,2798.83933307627,234.841665984781,469683.331969561,110.738346561928,112.374873851021,104.192237405559,76.644028039168,75.007500750075,83.1901371955377,960.049707169884,999.929368986462,838.860256919924,2,1,6.54610915637018,6.54610915637018,128.262234923443,1,0
41,11,STEP03T_TIER1,30,10710,10710,xi_r,T_r,T_R_ON_R,98.1916373455527,19.6383274691105,14.7287456018329,149.999999999995,561614.89071148,560419.925780222,-1194.96493125847,1194.96493125847,0.00212773014217025,0,AGGREGATE_OVERESTIMATES,1243.09900662515,279.588413386798,559176.826773596,120.542508796329,98.7371464419169,63.2790551782451,66.8398658047673,88.6452281591796,124.103319422851,595.894234803334,500.040395693936,147.164376127885,51,32,94.1003191228214,55.6419278291465,220.40571567051,1,0
42,11,STEP03T_TIER1,30,9931,9931,xi_s,T_r,T_R_ON_S,98.1916373455527,19.6383274691105,14.7287456018329,149.999999999995,810185.387631448,562847.557633163,-247337.829998285,247337.829998285,0.305285473885636,1,AGGREGATE_OVERESTIMATES,3670.73085956675,279.588413386798,559176.826773597,174.290156288356,42.8074625644332,65.4610915637018,13.0922183127404,144.574912036663,121.921283037395,3587.17801088886,0.929512531627298,82.6233361462592,66,74,85.9176826773586,125.452090663607,3508.87244502504,1,1
43,11,STEP03T_TIER1,30,10710,10710,xi_r,T_s,T_S_ON_R,216.021602160216,19.6383274691105,14.7287456018329,24.5479093363833,810809.235350508,577420.363200394,-233388.872150115,233388.872150115,0.287846834957697,1,AGGREGATE_OVERESTIMATES,2999.28472890014,287.210539235747,574421.078471493,116.73894662193,105.828764694651,52.3688732509614,70.6434279791664,81.5536099064452,135.013501350135,1540.9711837796,1166.64016469108,291.673380429461,51,32,94.1003191228214,117.829964814663,2271.05747921205,1,1
44,11,STEP03T_TIER1,30,9931,9931,xi_s,T_s,T_S_ON_S,216.021602160216,19.6383274691105,14.7287456018329,24.5479093363833,576314.180267849,576314.180267858,9.42964106798172e-09,9.42964106798172e-09,1.63619799596099e-14,0,NUMERICALLY_EQUAL,1893.10179636526,287.210539235747,574421.078471493,91.6455281891776,91.6455281891826,91.6455281891826,95.7368464119188,95.7368464119139,95.7368464119139,595.944598906735,648.578598729265,648.578598729263,66,74,85.9176826773586,-4.88142859467189e-12,-1.25590795007412e-11,0,0
45,12,STEP03T_CONTROL,30,11691,11691,xi_r,T_r,T_R_ON_R,68.7341461418869,200,100,24.5479093363832,439607.263720648,438680.900547877,-926.363172771467,926.363172771467,0.00210725174313801,0,AGGREGATE_OVERESTIMATES,9305.23570865547,214.687832419611,429375.664839221,144.559910536508,127.103619452854,121.618525488908,58.0967187627854,75.5530098464392,81.038103810386,3871.07570124116,2822.71593553926,2611.44407187506,34,37,43.6407277091345,17.4562910836588,698.248845889659,1,0
46,12,STEP03T_CONTROL,30,9716,9716,xi_s,T_r,T_R_ON_S,68.7341461418869,200,100,24.5479093363832,433197.6735879,433137.989111908,-59.684475992166,59.684475992166,0.000137776538589964,0,AGGREGATE_OVERESTIMATES,3762.32427268682,214.687832419611,429375.664839221,153.560810626512,122.466792133759,117.254452717999,49.0958186727813,80.1898371655347,85.4021765812944,1701.73268553096,1090.63615676213,969.955430393729,68,70,33.8215639745793,-4.9809045776783e-12,-1.14943951792576e-11,0,0
47,12,STEP03T_CONTROL,30,11691,11691,xi_r,T_s,T_S_ON_R,68.7341461418869,200,100,24.5479093363831,439607.263720648,438680.900547877,-926.363172771235,926.363172771235,0.00210725174313748,0,AGGREGATE_OVERESTIMATES,9305.23570865547,214.687832419611,429375.664839221,144.559910536508,127.103619452854,121.618525488907,58.0967187627854,75.5530098464392,81.0381038103861,3871.07570124116,2822.71593553926,2611.44407187506,34,37,43.6407277091345,17.4562910836589,698.248845889663,1,0
48,12,STEP03T_CONTROL,30,9716,9716,xi_s,T_s,T_S_ON_S,68.7341461418869,200,100,24.5479093363831,433197.6735879,433137.989111908,-59.6844759919331,59.6844759919331,0.000137776538589427,0,AGGREGATE_OVERESTIMATES,3762.32427268682,214.687832419611,429375.664839221,153.560810626512,122.466792133759,117.254452717999,49.0958186727814,80.1898371655347,85.4021765812944,1701.73268553096,1090.63615676213,969.955430393729,68,70,33.8215639745793,-5.08038056068472e-12,-1.17239551400417e-11,0,0
49,13,STEP03T_TIER1,31,3295,3295,xi_r,T_r,T_R_ON_R,68.7341461418869,39.2766549382211,14.7287456018329,91.6455281891775,787460.894200831,787460.894200841,1.02445483207703e-08,1.02445483207703e-08,1.30095962811804e-14,0,AGGREGATE_UNDERESTIMATES,291.268147316659,393.584813026762,787169.626053525,71.4616916237028,71.4616916237078,71.4616916237078,131.194937675591,131.194937675586,131.194937675586,88.3643850136698,99.0079263750874,103.895835927902,104,54,216.56711125658,-5.04307706705731e-12,-3.16655278909507e-11,0,0
50,13,STEP03T_TIER1,31,3225,3225,xi_s,T_r,T_R_ON_S,68.7341461418869,39.2766549382211,14.7287456018329,91.6455281891775,872438.823454954,807770.403723228,-64668.4197317262,64668.4197317262,0.0741237299317242,0,AGGREGATE_OVERESTIMATES,962.450200592615,403.403976761318,806807.953522635,90.009000900085,57.2784551182391,57.2784551182391,112.647628399209,145.378174181054,145.378174181054,843.972206053286,59.2389972696648,59.2389972696648,23,24,112.647628399204,32.7305457818459,792.671831965631,1,0
51,13,STEP03T_TIER1,31,3295,3295,xi_r,T_s,T_S_ON_R,137.468292283774,29.4574912036658,14.7287456018329,58.9149824073267,872399.149838741,872398.397007898,-0.752830843324773,0.752830843324773,8.62943118942666e-07,0,AGGREGATE_OVERESTIMATES,129.351921560917,436.134522543168,872269.045086337,58.3694733109625,56.7329460218749,56.7329460218749,144.287155988331,145.923683277419,145.923683277419,43.6793592826652,42.2063181168913,43.4662441613604,104,54,216.56711125658,0,0,0,0
52,13,STEP03T_TIER1,31,3225,3225,xi_s,T_s,T_S_ON_S,137.468292283774,29.4574912036658,14.7287456018329,58.9149824073267,735270.704561884,735270.704561894,1.01281329989433e-08,1.01281329989433e-08,1.37746994897316e-14,0,AGGREGATE_UNDERESTIMATES,469.951759331241,367.400376401281,734800.752802563,80.1898371655347,80.1898371655347,80.1898371655298,122.466792133759,122.466792133759,122.466792133764,137.709632946784,166.12106319224,166.121063192218,23,24,112.647628399204,0,0,0,0
53,14,STEP03T_TIER1,31,11336,11336,xi_r,T_r,T_R_ON_R,68.7341461418869,200,14.7287456018329,136.306357908513,380475.816436605,380050.280715279,-425.535721326014,425.535721326014,0.00111843040462183,0,AGGREGATE_OVERESTIMATES,3649.00422398333,188.200638245648,376401.276491296,160.106919782882,145.378174181054,114.284155688296,42.5497095164113,57.2784551182391,88.3724736109975,1318.99094835327,1449.68854046832,880.324735161738,104,55,125.467092163762,46.3682731909504,960.396747393366,1,0
54,14,STEP03T_TIER1,31,6188,6188,xi_s,T_r,T_R_ON_S,68.7341461418869,200,14.7287456018329,136.306357908513,532836.064221373,381778.405904792,-151057.658316581,151057.658316581,0.283497436565822,1,AGGREGATE_OVERESTIMATES,5377.12941349653,188.200638245648,376401.276491296,170.471592613802,135.013501350135,114.284155688296,32.1850366854918,67.6431279491586,88.3724736109975,2801.18208022408,1326.64200417619,1249.30532909626,65,57,76.3712734909855,76.9167825873445,2653.48889907132,1,1
55,14,STEP03T_TIER1,31,11336,11336,xi_r,T_s,T_S_ON_R,166.92578348744,128.467392194899,14.7287456018329,130.92218312627,532513.568846209,336510.022581261,-196003.546264948,196003.546264948,0.368072398022884,1,AGGREGATE_OVERESTIMATES,2658.45560638324,166.925783487439,333851.566974878,187.382374601096,160.106919782888,93.5548100264572,15.2742546981971,42.5497095164054,109.101819272836,1196.41444923917,1018.48651618894,443.554640955128,104,55,125.467092163762,111.283855658293,871.386080092801,1,1
56,14,STEP03T_TIER1,31,6188,6188,xi_s,T_s,T_S_ON_S,166.92578348744,128.467392194899,14.7287456018329,130.92218312627,337201.233247636,337009.707883047,-191.52536458883,191.52536458883,0.000567985362165553,0,AGGREGATE_OVERESTIMATES,3158.14090816961,166.925783487439,333851.566974878,157.924883397431,153.560810626518,129.558410386493,44.7317459018625,49.0958186727758,73.0982189128004,1141.77398696735,1059.65861345311,956.708307749142,65,57,76.3712734909855,20.7293456607057,364.178562798957,1,0
57,15,STEP03T_TIER1,31,11578,11578,xi_r,T_r,T_R_ON_R,68.7341461418869,200,14.7287456018329,24.5479093363831,511951.343560645,511669.900525456,-281.44303518883,281.44303518883,0.000549745671593281,0,AGGREGATE_OVERESTIMATES,3397.25507909345,254.136322723181,508272.645446363,126.830864904672,90.6254261789816,90.5545099964542,60.5515096964242,96.7569484221149,96.8278646046423,1733.49395755993,811.953132431133,851.807989102387,33,41,54.005400540054,16.3652728909255,419.629483259818,1,0
58,15,STEP03T_TIER1,31,5253,5253,xi_s,T_r,T_R_ON_S,68.7341461418869,200,14.7287456018329,24.5479093363831,849384.267448228,849384.267448228,2.3283064365387e-10,2.3283064365387e-10,2.74116972231371e-16,0,NUMERICALLY_EQUAL,26.6044091869084,424.678831519521,849357.663039041,45.8227640945913,45.8227640945862,45.8227640945913,141.559610506505,141.55961050651,141.559610506505,8.86813639563614,8.86813639563614,8.86813639563614,38,23,212.203038485667,0,0,0,0
