candidate,stage,hour_in_stage,global_hour,Vmin_pu,critical_bus,bus18_voltage_pu,voltage_binding,max_line_mva,critical_line,line_utilization,branch_binding,substation_import_kW,substation_utilization,substation_binding,HTT_kg,HTT_capacity_kg,HTT_utilization
ARM-B0001,3,2,18,0.934719750392014,18,0.934719750392014,0,3.5648728686945,1,0.594145478115749,0,2990.98147,0.612463007291857,0,0,160,0
ARM-B0001,3,3,19,0.929315773171461,18,0.929315773171461,0,3.74073835966949,1,0.623456393278249,0,3168.77041,0.648868832586265,0,0,160,0
ARM-B0001,3,4,20,0.918067572956939,18,0.918067572956939,0,4.26349874969047,1,0.710583124948412,0,3625.00041,0.742291008758009,0,0,160,0
ARM-B0001,3,5,21,0.915940163768486,18,0.915940163768486,0,4.36935063825278,1,0.728225106375464,0,3715,0.760720216728473,0,0,160,0
ARM-B0001,3,6,22,0.918067572956939,18,0.918067572956939,0,4.26349874969047,1,0.710583124948412,0,3625.00041,0.742291008758009,0,0,160,0
ARM-B0001,3,7,23,0.919105863079785,18,0.919105863079785,0,4.211748160731,1,0.701958026788501,0,3580.99995,0.733281038511077,0,0,160,0
ARM-B0001,3,8,24,0.911291328897434,18,0.911291328897434,0,4.48160641758557,1,0.746934402930928,0,3988.5004,0.816724869100835,0,0,160,0
ARM-B0001,4,1,25,0.934819904639515,18,0.934819904639515,0,3.42138506247874,1,0.570230843746456,0,2909.00103,0.595675879947497,0,0,160,0
ARM-B0001,4,2,26,0.938707313677102,18,0.938707313677102,0,3.22379428791567,1,0.537299047985945,0,2741.0013,0.561274590306602,0,0,160,0
ARM-B0001,4,3,27,0.939976499462418,18,0.939976499462418,0,3.15910605171634,1,0.526517675286056,0,2686.000725,0.550012127497937,0,0,160,0
ARM-B0001,4,4,28,0.941266987498855,18,0.941266987498855,0,3.09324246019531,1,0.515540410032552,0,2630.000815,0.538545030950972,0,0,160,0
ARM-B0001,4,5,29,0.942049629506017,18,0.942049629506017,0,3.05325416315402,1,0.508875693859004,0,2596.001135,0.531582919527473,0,0,160,0
ARM-B0001,4,6,30,0.943842670248739,18,0.943842670248739,0,2.96151527715327,1,0.493585879525545,0,2518.000995,0.515610837857042,0,0,160,0
ARM-B0001,4,7,31,0.945127879387662,18,0.945127879387662,0,2.89565168563225,1,0.482608614272041,0,2462.001085,0.504143741310077,0,0,160,0
ARM-B0001,4,8,32,0.941266987498855,18,0.941266987498855,0,3.09324246019531,1,0.515540410032552,0,2630.000815,0.538545030950972,0,0,160,0
ARM-B0001,5,1,33,0.933695183382614,18,0.933695183382614,0,3.49001019097837,1,0.581668365163062,0,2964.025855,0.606943308426487,0,0,160,0
ARM-B0001,5,2,34,0.934506838151662,18,0.934506838151662,0,3.47082660621506,1,0.578471101035844,0,2941.413855,0.602313051215002,0,0,160,0
ARM-B0001,5,3,35,0.932348215697739,18,0.932348215697739,0,3.62045027682417,1,0.603408379470696,0,3057.01027,0.625983718744433,0,0,160,0
