initial_state_id,sample_id_r,path_id_r,sample_id_s,path_id_s,d_D_aggregate,d_Ctilde_aggregate,d_aggregate,raw_D_l1_aggregate_kg,raw_D_l1_W1_kg,raw_D_l1_W2_kg,raw_D_l1_W3_kg,d_D_W1,d_D_W2,d_D_W3,d_Ctilde_W1,d_Ctilde_W2,d_Ctilde_W3,d_D_period_mean,d_Ctilde_period_mean,d_period_mean,d_period_sum
7,6,6,224,224,0.0656793303282416,0.0304234928982965,0.0515769953562636,27.8209639145733,0,0,27.8209639145733,0,0,0.0656793303282416,0,0,0.0305318933999564,0.0218931101094139,0.0101772977999855,0.0172067851856425,0.0516203555569275
7,7,7,224,224,0.0656793303282416,0.0304234928982965,0.0515769953562636,27.8209639145733,0,0,27.8209639145733,0,0,0.0656793303282416,0,0,0.0305318933999564,0.0218931101094139,0.0101772977999855,0.0172067851856425,0.0516203555569275
7,8,8,224,224,0.0656793303282416,0.0304234928982965,0.0515769953562636,27.8209639145733,0,0,27.8209639145733,0,0,0.0656793303282416,0,0,0.0305318933999564,0.0218931101094139,0.0101772977999855,0.0172067851856425,0.0516203555569275
7,35,35,224,224,0.353509336766712,0.0393918820984706,0.227862354899416,149.742246951968,0,0,149.742246951968,0,0,0.353509336766712,0,0,0.0406449616500702,0.117836445588904,0.0135483205500234,0.0761211955733518,0.228363586720055
7,155,155,224,224,0.388280746940487,0.327995736300387,0.364166742684447,164.470992553801,0,0,164.470992553801,0,0,0.388280746940487,0,0,0.328105284870438,0.129426915646829,0.109368428290146,0.121403520704156,0.364210562112467
7,1,1,322,322,0.131358660656483,4.70990799783635e-19,0.0788151963938899,55.6419278291465,0,27.8209639145733,27.8209639145733,0,0.0656793303282416,0.0656793303282416,0,0,0,0.0437862202188277,0,0.0262717321312966,0.0788151963938899
7,2,2,322,322,0.131358660656483,4.70990799783635e-19,0.0788151963938899,55.6419278291465,0,27.8209639145733,27.8209639145733,0,0.0656793303282416,0.0656793303282416,0,0,0,0.0437862202188277,0,0.0262717321312966,0.0788151963938899
7,3,3,322,322,0.131358660656483,4.70990799783635e-19,0.0788151963938899,55.6419278291465,0,27.8209639145733,27.8209639145733,0,0.0656793303282416,0.0656793303282416,0,0,0,0.0437862202188277,0,0.0262717321312966,0.0788151963938899
7,4,4,322,322,0.131358660656483,4.70990799783635e-19,0.0788151963938899,55.6419278291465,0,27.8209639145733,27.8209639145733,0,0.0656793303282416,0.0656793303282416,0,0,0,0.0437862202188277,0,0.0262717321312966,0.0788151963938899
7,5,5,322,322,0.131358660656483,4.70990799783635e-19,0.0788151963938899,55.6419278291465,0,27.8209639145733,27.8209639145733,0,0.0656793303282416,0.0656793303282416,0,0,0,0.0437862202188277,0,0.0262717321312966,0.0788151963938899
7,6,6,322,322,0.131358660656483,4.70990799783635e-19,0.0788151963938899,55.6419278291465,0,27.8209639145733,27.8209639145733,0,0.0656793303282416,0.0656793303282416,0,0,0,0.0437862202188277,0,0.0262717321312966,0.0788151963938899
7,7,7,322,322,0.131358660656483,4.70990799783635e-19,0.0788151963938899,55.6419278291465,0,27.8209639145733,27.8209639145733,0,0.0656793303282416,0.0656793303282416,0,0,0,0.0437862202188277,0,0.0262717321312966,0.0788151963938899
7,8,8,322,322,0.131358660656483,4.70990799783635e-19,0.0788151963938899,55.6419278291465,0,27.8209639145733,27.8209639145733,0,0.0656793303282416,0.0656793303282416,0,0,0,0.0437862202188277,0,0.0262717321312966,0.0788151963938899
7,35,35,322,322,0.287830006438471,0.00927458061566422,0.176407836109348,121.921283037395,0,27.8209639145733,94.1003191228214,0,0.0656793303282416,0.222150676110229,0,0,0.0108740923924686,0.0959433354794902,0.00362469746415619,0.0590158802733566,0.17704764082007
7,155,155,322,322,0.453960077268729,0.313101491163719,0.397616642826725,192.291956468374,0,27.8209639145733,164.470992553801,0,0.0656793303282416,0.388280746940487,0,0,0.313306370402352,0.151320025756243,0.104435456800784,0.132566198174059,0.397698594522178
7,224,224,322,322,0.197037990984725,0.0304234928982965,0.130392191750153,83.4628917437198,0,27.8209639145733,55.6419278291465,0,0.0656793303282416,0.131358660656483,0,0,0.0305318933999564,0.0656793303282416,0.0101772977999855,0.0434785173169391,0.130435551950817
7,1,1,424,424,0.575660012876941,0.00213191902923183,0.346248775337857,243.842566074789,0,121.921283037395,121.921283037395,0,0.287830006438471,0.287830006438471,0,0.00236489331283412,0.00236489331283412,0.19188667095898,0.00157659554188941,0.115762640792144,0.347287922376432
7,2,2,424,424,0.575660012876941,0.00213191902923183,0.346248775337857,243.842566074789,0,121.921283037395,121.921283037395,0,0.287830006438471,0.287830006438471,0,0.00236489331283412,0.00236489331283412,0.19188667095898,0.00157659554188941,0.115762640792144,0.347287922376432
7,3,3,424,424,0.575660012876941,0.00213191902923183,0.346248775337857,243.842566074789,0,121.921283037395,121.921283037395,0,0.287830006438471,0.287830006438471,0,0.00236489331283412,0.00236489331283412,0.19188667095898,0.00157659554188941,0.115762640792144,0.347287922376432
7,4,4,424,424,0.575660012876941,0.00213191902923183,0.346248775337857,243.842566074789,0,121.921283037395,121.921283037395,0,0.287830006438471,0.287830006438471,0,0.00236489331283412,0.00236489331283412,0.19188667095898,0.00157659554188941,0.115762640792144,0.347287922376432
7,5,5,424,424,0.575660012876941,0.00213191902923183,0.346248775337857,243.842566074789,0,121.921283037395,121.921283037395,0,0.287830006438471,0.287830006438471,0,0.00236489331283412,0.00236489331283412,0.19188667095898,0.00157659554188941,0.115762640792144,0.347287922376432
7,6,6,424,424,0.575660012876941,0.00213191902923183,0.346248775337857,243.842566074789,0,121.921283037395,121.921283037395,0,0.287830006438471,0.287830006438471,0,0.00236489331283412,0.00236489331283412,0.19188667095898,0.00157659554188941,0.115762640792144,0.347287922376432
7,7,7,424,424,0.575660012876941,0.00213191902923183,0.346248775337857,243.842566074789,0,121.921283037395,121.921283037395,0,0.287830006438471,0.287830006438471,0,0.00236489331283412,0.00236489331283412,0.19188667095898,0.00157659554188941,0.115762640792144,0.347287922376432
7,8,8,424,424,0.575660012876941,0.00213191902923183,0.346248775337857,243.842566074789,0,121.921283037395,121.921283037395,0,0.287830006438471,0.287830006438471,0,0.00236489331283412,0.00236489331283412,0.19188667095898,0.00157659554188941,0.115762640792144,0.347287922376432
7,35,35,424,424,0.380553766901871,0.00754791829763298,0.231351427460176,161.197937975616,0,121.921283037395,39.2766549382211,0,0.287830006438471,0.0927237604633999,0,0.00236489331283412,0.00893048453980785,0.126851255633957,0.00376512595088066,0.0776168037607263,0.232850411282179
7,155,155,424,424,0.477141017384579,0.312275063312274,0.411194635755657,202.111120202929,0,121.921283037395,80.1898371655347,0,0.287830006438471,0.189311010946108,0,0.00236489331283412,0.312371227357244,0.15904700579486,0.104912040223359,0.137393019566259,0.412179058698778
7,224,224,424,424,0.618158403089333,0.0323073998373717,0.383818001788548,261.844366254807,0,121.921283037395,139.923083217413,0,0.287830006438471,0.330328396650862,0,0.00236489331283412,0.0325158365236215,0.206052801029778,0.0116269099454852,0.128282444596061,0.384847333788182
7,322,322,424,424,0.444301352220458,0.00213191902923183,0.267433578943967,188.200638245643,0,94.1003191228214,94.1003191228214,0,0.222150676110229,0.222150676110229,0,0.00236489331283412,0.00236489331283412,0.148100450740153,0.00157659554188941,0.0894909086608473,0.268472725982542
7,1,1,508,508,0.95685769478203,0.123357216163868,0.623457503334765,405.313258598587,0,202.656629299294,202.656629299294,0,0.478428847391015,0.478428847391015,0,0.123357216163868,0.123357216163868,0.318952564927343,0.0822381441092457,0.224266796600104,0.672800389800313
7,2,2,508,508,0.95685769478203,0.123357216163868,0.623457503334765,405.313258598587,0,202.656629299294,202.656629299294,0,0.478428847391015,0.478428847391015,0,0.123357216163868,0.123357216163868,0.318952564927343,0.0822381441092457,0.224266796600104,0.672800389800313
7,3,3,508,508,0.95685769478203,0.123357216163868,0.623457503334765,405.313258598587,0,202.656629299294,202.656629299294,0,0.478428847391015,0.478428847391015,0,0.123357216163868,0.123357216163868,0.318952564927343,0.0822381441092457,0.224266796600104,0.672800389800313
7,4,4,508,508,0.95685769478203,0.123357216163868,0.623457503334765,405.313258598587,0,202.656629299294,202.656629299294,0,0.478428847391015,0.478428847391015,0,0.123357216163868,0.123357216163868,0.318952564927343,0.0822381441092457,0.224266796600104,0.672800389800313
7,5,5,508,508,0.95685769478203,0.123357216163868,0.623457503334765,405.313258598587,0,202.656629299294,202.656629299294,0,0.478428847391015,0.478428847391015,0,0.123357216163868,0.123357216163868,0.318952564927343,0.0822381441092457,0.224266796600104,0.672800389800313
7,6,6,508,508,0.95685769478203,0.123357216163868,0.623457503334765,405.313258598587,0,202.656629299294,202.656629299294,0,0.478428847391015,0.478428847391015,0,0.123357216163868,0.123357216163868,0.318952564927343,0.0822381441092457,0.224266796600104,0.672800389800313
7,7,7,508,508,0.95685769478203,0.123357216163868,0.623457503334765,405.313258598587,0,202.656629299294,202.656629299294,0,0.478428847391015,0.478428847391015,0,0.123357216163868,0.123357216163868,0.318952564927343,0.0822381441092457,0.224266796600104,0.672800389800313
7,8,8,508,508,0.95685769478203,0.123357216163868,0.623457503334765,405.313258598587,0,202.656629299294,202.656629299294,0,0.478428847391015,0.478428847391015,0,0.123357216163868,0.123357216163868,0.318952564927343,0.0822381441092457,0.224266796600104,0.672800389800313
7,35,35,508,508,0.669027688343559,0.130727249398795,0.453707512765653,283.391975561192,0,202.656629299294,80.7353462618989,0,0.478428847391015,0.190598840952544,0,0.123357216163868,0.131014250799918,0.223009229447853,0.0847904889879288,0.167721733263883,0.50316519979165
7,155,155,508,508,0.502897617513301,0.373119933534784,0.450986543921894,213.021302130213,0,202.656629299294,10.3646728309195,0,0.478428847391015,0.0244687701222861,0,0.123357216163868,0.373092280111394,0.1676325391711,0.165483165425087,0.166772789672695,0.500318369018086
7,224,224,508,508,0.891178364453788,0.0930229021866912,0.571916179546949,377.492294684014,0,202.656629299294,174.83566538472,0,0.478428847391015,0.412749517062773,0,0.123357216163868,0.092960334838397,0.297059454817929,0.0721058503340885,0.207078013024393,0.621234039073179
7,322,322,508,508,0.825499034125546,0.123357216163868,0.544642306940875,349.671330769441,0,174.83566538472,174.83566538472,0,0.412749517062773,0.412749517062773,0,0.123357216163868,0.123357216163868,0.275166344708515,0.0822381441092457,0.197995064468808,0.593985193406423
7,424,424,508,508,0.381197681905089,0.124485933271507,0.278512982451656,161.470692523798,0,80.7353462618989,80.7353462618989,0,0.190598840952544,0.190598840952544,0,0.124624649311135,0.124624649311135,0.127065893968363,0.0830830995407567,0.10947277619732,0.328418328591961
7,1,1,755,755,0.544752092722474,0.00677324672014739,0.329560554321544,230.750347762049,0,115.375173881024,115.375173881024,0,0.272376046361237,0.272376046361237,0,0.00791236197894899,0.00791236197894899,0.181584030907491,0.005274907985966,0.111060381738881,0.333181145216644
7,2,2,755,755,0.544752092722474,0.00677324672014739,0.329560554321544,230.750347762049,0,115.375173881024,115.375173881024,0,0.272376046361237,0.272376046361237,0,0.00791236197894899,0.00791236197894899,0.181584030907491,0.005274907985966,0.111060381738881,0.333181145216644
7,3,3,755,755,0.544752092722474,0.00677324672014739,0.329560554321544,230.750347762049,0,115.375173881024,115.375173881024,0,0.272376046361237,0.272376046361237,0,0.00791236197894899,0.00791236197894899,0.181584030907491,0.005274907985966,0.111060381738881,0.333181145216644
7,4,4,755,755,0.544752092722474,0.00677324672014739,0.329560554321544,230.750347762049,0,115.375173881024,115.375173881024,0,0.272376046361237,0.272376046361237,0,0.00791236197894899,0.00791236197894899,0.181584030907491,0.005274907985966,0.111060381738881,0.333181145216644
7,5,5,755,755,0.544752092722474,0.00677324672014739,0.329560554321544,230.750347762049,0,115.375173881024,115.375173881024,0,0.272376046361237,0.272376046361237,0,0.00791236197894899,0.00791236197894899,0.181584030907491,0.005274907985966,0.111060381738881,0.333181145216644
7,6,6,755,755,0.544752092722474,0.00677324672014739,0.329560554321544,230.750347762049,0,115.375173881024,115.375173881024,0,0.272376046361237,0.272376046361237,0,0.00791236197894899,0.00791236197894899,0.181584030907491,0.005274907985966,0.111060381738881,0.333181145216644
7,7,7,755,755,0.544752092722474,0.00677324672014739,0.329560554321544,230.750347762049,0,115.375173881024,115.375173881024,0,0.272376046361237,0.272376046361237,0,0.00791236197894899,0.00791236197894899,0.181584030907491,0.005274907985966,0.111060381738881,0.333181145216644
7,8,8,755,755,0.544752092722474,0.00677324672014739,0.329560554321544,230.750347762049,0,115.375173881024,115.375173881024,0,0.272376046361237,0.272376046361237,0,0.00791236197894899,0.00791236197894899,0.181584030907491,0.005274907985966,0.111060381738881,0.333181145216644
7,35,35,755,755,0.287830006438471,0.00950665164040767,0.176500664519245,121.921283037395,0,115.375173881024,6.54610915637018,0,0.272376046361237,0.0154539600772333,0,0.00791236197894899,0.00982980315989362,0.0959433354794902,0.00591405504628087,0.0599316233062064,0.179794869918619
7,155,155,755,755,0.453960077268729,0.311354261513816,0.396917750966764,192.291956468374,0,115.375173881024,76.9167825873496,0,0.272376046361237,0.181584030907492,0,0.00791236197894899,0.311711646813146,0.151320025756243,0.106541336264032,0.133408549959358,0.400225649878075
7,224,224,755,755,0.610431423050716,0.0368937332778354,0.381016347141564,258.571311676622,0,115.375173881024,143.196137795598,0,0.272376046361237,0.338055376689479,0,0.00791236197894899,0.037919259049515,0.203477141016905,0.015277207009488,0.128197167413938,0.384591502241815
7,322,322,755,755,0.413393432065991,0.00677324672014739,0.250745357927654,175.108419932902,0,87.5542099664512,87.5542099664512,0,0.206696716032996,0.206696716032996,0,0.00791236197894899,0.00791236197894899,0.137797810688664,0.005274907985966,0.0847886496075846,0.254365948822754
7,424,424,755,755,0.154539600772333,0.00668281280131382,0.0953968855839255,65.4610915637018,0,32.7305457818509,32.7305457818509,0,0.0772698003861666,0.0772698003861666,0,0.00785601421197231,0.00785601421197231,0.0515132002574444,0.00523734280798154,0.0330028572776593,0.0990085718329778
7,508,508,755,755,0.412105602059555,0.126891770256925,0.298020069338503,174.562910836538,0,87.2814554182691,87.2814554182691,0,0.206052801029778,0.206052801029778,0,0.127226299907821,0.127226299907821,0.137368534019852,0.0848175332718807,0.116348133720663,0.34904440116199
7,1,1,1136,1136,0.100450740502017,3.20273743852872e-19,0.0602704443012099,42.5497095164062,0,21.2748547582031,21.2748547582031,0,0.0502253702510083,0.0502253702510083,0,0,0,0.0334835801673389,0,0.0200901481004033,0.0602704443012099
7,2,2,1136,1136,0.100450740502017,3.20273743852872e-19,0.0602704443012099,42.5497095164062,0,21.2748547582031,21.2748547582031,0,0.0502253702510083,0.0502253702510083,0,0,0,0.0334835801673389,0,0.0200901481004033,0.0602704443012099
7,3,3,1136,1136,0.100450740502017,3.20273743852872e-19,0.0602704443012099,42.5497095164062,0,21.2748547582031,21.2748547582031,0,0.0502253702510083,0.0502253702510083,0,0,0,0.0334835801673389,0,0.0200901481004033,0.0602704443012099
7,4,4,1136,1136,0.100450740502017,3.20273743852872e-19,0.0602704443012099,42.5497095164062,0,21.2748547582031,21.2748547582031,0,0.0502253702510083,0.0502253702510083,0,0,0,0.0334835801673389,0,0.0200901481004033,0.0602704443012099
