scope,initial_state_id,T_id,T_label,distance_metric,pair_count,zero_distance_pair_count,positive_distance_pair_count,spearman_distance_abs_loss,low_positive_distance_q25,low_positive_pair_count,low_positive_large_mismatch_count,low_positive_large_mismatch_share,loss_slope_median,loss_slope_q90,loss_slope_maximum,nearest_neighbor_pair_count,nearest_neighbor_relative_loss_median,nearest_neighbor_relative_loss_q90,nearest_neighbor_relative_loss_maximum
STATE,9,2,HALF_CAPACITY,period,1540,49,1491,0.880248975032395,0.0379542395692512,386,356,0.922279792746114,383423.522997228,1964776.96705186,5921715.00952701,102,0,1,1
STATE,9,3,FULL_CAPACITY,aggregate,1540,49,1491,0.854789534165671,0.113862718707753,395,364,0.921518987341772,8091.00562078607,374065.495235138,2450663.81772038,103,0,1,1
STATE,9,3,FULL_CAPACITY,period,1540,49,1491,0.915464378218364,0.0379542395692512,386,356,0.922279792746114,23270.2435198596,736897.377159974,2567476.52029914,102,0,1,1
STATE,9,4,STEP03YF_PERIOD_R2000,aggregate,1540,49,1491,0.857195584296581,0.113862718707753,395,365,0.924050632911392,8220.08539024271,379958.46431217,2442746.20921459,103,0,1,1
STATE,9,4,STEP03YF_PERIOD_R2000,period,1540,49,1491,0.916566531681549,0.0379542395692512,386,357,0.924870466321243,23336.4193454954,753301.620160307,2479972.71017991,102,0,1,1
STATE,11,1,ZERO,aggregate,1596,43,1553,0.822361877801919,0.113950525823203,389,332,0.853470437017995,1205414.10390524,2026566.29299627,2026566.29299627,101,0,1,1
STATE,11,1,ZERO,period,1596,43,1553,0.786445227028228,0.0381770217283878,389,340,0.874035989717224,3147262.39098962,6079698.87898881,6079698.87898881,99,0,1,1
STATE,11,2,HALF_CAPACITY,aggregate,1596,43,1553,0.87036062300442,0.113950525823203,389,364,0.93573264781491,64327.2884279432,620136.801124088,2725556.41464746,101,0,1,1
STATE,11,2,HALF_CAPACITY,period,1596,43,1553,0.901300355145634,0.0381770217283878,389,364,0.93573264781491,186046.662902012,1406804.88285617,6000952.99606756,99,0,1,1
STATE,11,3,FULL_CAPACITY,aggregate,1596,43,1553,0.865505454112401,0.113950525823203,389,363,0.933161953727506,7470.6228028118,314624.119352748,2634570.0419814,101,0,1,1
STATE,11,3,FULL_CAPACITY,period,1596,43,1553,0.877010959532502,0.0381770217283878,389,363,0.933161953727506,22381.4449072551,820151.096983907,4352655.44066799,99,0,1,1
STATE,11,4,STEP03YF_PERIOD_R2000,aggregate,1596,43,1553,0.869786638970429,0.113950525823203,389,363,0.933161953727506,8099.94946675777,313694.969269401,2634570.0419814,101,0,1,1
STATE,11,4,STEP03YF_PERIOD_R2000,period,1596,43,1553,0.876316461372506,0.0381770217283878,389,363,0.933161953727506,24181.0591418987,819583.198062631,4352655.44066799,99,0,1,1
STATE,19,1,ZERO,aggregate,1711,31,1680,0.85473156778688,0.197139519040538,420,327,0.778571428571429,1224523.00271496,2023448.05199585,2026566.29299627,82,0,0.686666666666667,1
STATE,19,1,ZERO,period,1711,31,1680,0.75556453432095,0.0746477932370276,420,359,0.854761904761905,2996183.76537122,6051800.6604615,6079698.87898881,84,0,0.682222222222222,1
STATE,19,2,HALF_CAPACITY,aggregate,1711,31,1680,0.856169028825727,0.197139519040538,420,358,0.852380952380952,417741.795263499,799022.571198393,2605591.28029573,82,0.0691028766413295,0.998400100216253,1
STATE,19,2,HALF_CAPACITY,period,1711,31,1680,0.861408233577251,0.0746477932370276,420,376,0.895238095238095,957636.584021555,2012340.50220112,5893458.69786688,84,0.0177623826497458,0.996747207705849,1
STATE,19,3,FULL_CAPACITY,aggregate,1711,31,1680,0.662058080153682,0.197139519040538,420,378,0.9,119232.871800105,619362.362313445,9221860.07093884,82,0.279310051778365,0.998400100216253,1
STATE,19,3,FULL_CAPACITY,period,1711,31,1680,0.788242258473039,0.0746477932370276,420,381,0.907142857142857,307954.966832178,1188487.45495313,6110846.52911603,84,0.0718093058807047,0.996747207705849,1
STATE,19,4,STEP03YF_PERIOD_R2000,aggregate,1711,31,1680,0.678280464240511,0.197139519040538,420,377,0.897619047619048,132760.920045438,629995.386096206,9221860.07093884,82,0.321762212376868,0.998400100216253,1
STATE,19,4,STEP03YF_PERIOD_R2000,period,1711,31,1680,0.813660395015255,0.0746477932370276,420,382,0.90952380952381,356350.35569206,1216177.91150658,6096667.08379612,84,0.0718637550946357,0.996747207705849,1
