state,intensity,loc,mode,eta,q_g_sum,p_g_sum,p_g_min,pearson_divergence,adversary_method,probability_qa
12,3,5,DRO,0.03,1.0,1.0,6.573364860011963e-05,0.029999999999999992,kkt_active_set,PASS
12,3,5,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
13,3,6,DRO,0.03,1.0,1.0,6.588355117702236e-05,0.03,kkt_active_set,PASS
13,3,6,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
14,3,7,DRO,0.03,1.0,0.9999999999999999,6.630792698895765e-05,0.03000000000000006,kkt_active_set,PASS
14,3,7,SAA,0.0,1.0,1.0,6.666666666666664e-05,0.0,eta_zero_direct_saa,PASS
15,4,1,DRO,0.03,1.0,0.9999999999999999,6.50320508815708e-05,0.03000000000000002,kkt_active_set,PASS
15,4,1,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
16,4,2,DRO,0.03,1.0,1.0000000000000004,6.482098587835465e-05,0.030000000000000037,kkt_active_set,PASS
16,4,2,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
17,4,3,DRO,0.03,1.0,0.9999999999999999,6.484119850606316e-05,0.02999999999999999,kkt_active_set,PASS
17,4,3,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
18,4,4,DRO,0.03,1.0,1.0000000000000004,6.484504526644584e-05,0.03000000000000003,kkt_active_set,PASS
18,4,4,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
19,4,5,DRO,0.03,1.0,1.0,6.528545890200396e-05,0.03000000000000002,kkt_active_set,PASS
19,4,5,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
20,4,6,DRO,0.03,1.0,1.0,6.557399666843515e-05,0.03,kkt_active_set,PASS
20,4,6,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
21,4,7,DRO,0.03,1.0,0.9999999999999999,6.5814530488345e-05,0.029999999999999992,kkt_active_set,PASS
21,4,7,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
22,5,1,DRO,0.03,1.0,1.0,6.367984618800265e-05,0.03000000000000001,kkt_active_set,PASS
22,5,1,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
23,5,2,DRO,0.03,1.0,1.0,6.322150199877341e-05,0.03000000000000001,kkt_active_set,PASS
23,5,2,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
24,5,3,DRO,0.03,1.0,0.9999999999999999,6.309708563183717e-05,0.030000000000000006,kkt_active_set,PASS
24,5,3,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
25,5,4,DRO,0.03,1.0,0.9999999999999996,6.318266212219355e-05,0.029999999999999964,kkt_active_set,PASS
25,5,4,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
26,5,5,DRO,0.03,1.0,1.0,6.393638175559746e-05,0.03,kkt_active_set,PASS
26,5,5,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
27,5,6,DRO,0.03,1.0,0.9999999999999998,6.504311961752921e-05,0.030000000000000013,kkt_active_set,PASS
27,5,6,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
28,5,7,DRO,0.03,1.0,1.0000000000000004,6.56578795965515e-05,0.03000000000000005,kkt_active_set,PASS
28,5,7,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
29,6,1,DRO,0.03,1.0,1.0,6.203145571381489e-05,0.030000000000000002,kkt_active_set,PASS
29,6,1,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
30,6,2,DRO,0.03,1.0,1.0000000000000002,6.114641358361827e-05,0.029999999999999985,kkt_active_set,PASS
30,6,2,SAA,0.0,1.0,1.0,6.666666666666664e-05,0.0,eta_zero_direct_saa,PASS
31,6,3,DRO,0.03,1.0,1.0,6.0632748328562614e-05,0.029999999999999992,kkt_active_set,PASS
31,6,3,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
32,6,4,DRO,0.03,1.0,0.9999999999999999,6.112784063387592e-05,0.030000000000000023,kkt_active_set,PASS
32,6,4,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
33,6,5,DRO,0.03,1.0,1.0000000000000002,6.245319822984522e-05,0.030000000000000006,kkt_active_set,PASS
33,6,5,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
34,6,6,DRO,0.03,1.0,1.0000000000000004,6.400173842405413e-05,0.030000000000000034,kkt_active_set,PASS
34,6,6,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
35,6,7,DRO,0.03,1.0,0.9999999999999998,6.52886984620872e-05,0.03000000000000002,kkt_active_set,PASS
35,6,7,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
