state,intensity,loc,mode,solver_status,objective,T1,T2,T3,T4,T_total,LB,UB,absolute_gap,relative_gap,iterations,cuts,runtime_sec,case_pass
11,3,4,DRO,OPTIMAL,10896.68941922851,70.87773956351243,47.77054488327426,22.91133885663834,39.27665496533001,180.83627826875505,10896.689381562479,10896.68941922851,3.7666031857952476e-05,3.4566491168855615e-09,55,57,61.6704429,1
11,3,4,SAA,OPTIMAL,6145.185794344311,19.092818372746365,6.546109156370182,6.546109156370182,16.365272890925453,48.55030957641218,6145.185794344311,6145.185794344311,0.0,0.0,1,0,5.1586473,1
12,3,5,DRO,OPTIMAL,6856.190250846322,19.638331299653128,8.727978055057477,8.182636810913209,21.64674173127229,58.1956878968961,6856.190184090122,6856.190250846322,6.675619988527615e-05,9.736631779877435e-09,50,52,41.7185969,1
12,3,5,SAA,OPTIMAL,2837.074210854751,3.273054578185091,0.0,0.0,0.0,3.273054578185091,2837.074210854751,2837.074210854751,0.0,0.0,1,0,3.1339724,1
13,3,6,DRO,OPTIMAL,3413.3330655882846,0.0,0.0,0.0,0.0,0.0,3413.3330655882846,3413.3330655882846,0.0,0.0,1,3,3.2492946,1
13,3,6,SAA,OPTIMAL,960.4466666666865,0.0,0.0,0.0,0.0,0.0,960.4466666666865,960.4466666666865,0.0,0.0,1,0,2.3621507,1
14,3,7,DRO,OPTIMAL,829.3797464677324,0.0,0.0,0.0,0.0,0.0,829.3797464677324,829.3797464677324,0.0,0.0,1,3,3.0426193,1
14,3,7,SAA,OPTIMAL,126.13999999999992,0.0,0.0,0.0,0.0,0.0,126.13999999999992,126.13999999999992,0.0,0.0,1,0,2.2683041,1
15,4,1,DRO,OPTIMAL,19201.058517223424,157.10648585077968,49.91394151094373,31.912611986950207,135.83173905714276,374.7647784058164,19201.058454014557,19201.058517223424,6.320886677713133e-05,3.291946989299196e-09,58,60,225.9823719,1
15,4,1,SAA,OPTIMAL,15152.451789354245,149.46949240378572,44.18623680549873,27.82096391457343,127.10361945285436,348.58031257671223,15152.451789354245,15152.451789354245,0.0,0.0,1,0,20.0345558,1
16,4,2,DRO,OPTIMAL,20965.86860224408,168.32149889128638,60.2781032686581,34.36707295817927,132.55868960326845,395.5253647213922,20965.868548459257,20965.86860224408,5.378482455853373e-05,2.5653515997318075e-09,63,65,218.5999354,1
16,4,2,SAA,OPTIMAL,16453.01617696079,158.74314704197695,44.18623680549873,29.457491203665818,132.55871041649618,364.94558546763767,16453.01617696079,16453.01617696079,0.0,0.0,1,0,27.149881599999997,1
17,4,3,DRO,OPTIMAL,20676.05131987689,184.29844979067113,82.45597478494416,34.3670602262326,85.64444574838282,386.7659305502307,20676.051184450218,20676.05131987689,0.0001354266714770347,6.549929161127709e-09,63,65,221.57405070000002,1
17,4,3,SAA,OPTIMAL,16208.084948534695,172.65362899926356,79.37157352098842,32.45779123366883,76.91678258734964,361.39977634127047,16208.084948534695,16208.084948534695,0.0,0.0,1,0,18.5740233,1
18,4,4,DRO,OPTIMAL,20825.2241818827,168.5629804404292,132.55898856690476,40.91318221270838,81.82637554514085,423.86152676518316,20825.224105076184,20825.2241818827,7.680651469854638e-05,3.688148277672116e-09,60,62,192.35574450000001,1
18,4,4,SAA,OPTIMAL,16479.662843627615,137.19553773559164,129.8311649346752,32.730545781850964,65.1883370155198,364.94558546763756,16479.662843627615,16479.662843627615,0.0,0.0,1,0,17.4838557,1
19,4,5,DRO,OPTIMAL,15772.003852437972,169.26816371710586,50.75501685972449,29.457472476362053,67.46007844072838,316.9407314939208,15772.00378082448,15772.003852437972,7.161349276429974e-05,4.540544970335524e-09,67,69,104.8695129,1
19,4,5,SAA,OPTIMAL,11765.54967248724,126.01260126012605,29.457491203665832,22.911382047295625,54.55090963641819,232.9323841475057,11765.54967248724,11765.54967248724,0.0,0.0,1,0,8.0227419,1
20,4,6,DRO,OPTIMAL,10891.26608532233,105.8300632001106,19.63841766505301,22.911358148697754,40.97548224997815,189.3553212638395,10891.265983344707,10891.26608532233,0.00010197762276220601,9.363247758645496e-09,60,62,61.02901000000001,1
20,4,6,SAA,OPTIMAL,6790.623868787376,42.54970951640618,9.819163734555273,11.455691023647821,27.275454818209084,91.10001909281837,6790.623868787376,6790.623868787376,0.0,0.0,1,0,4.1905484,1
21,4,7,DRO,OPTIMAL,4862.0222512143255,3.2730501418122198,0.0,0.0,7.910306458106844,11.183356599919064,4862.022152121232,4862.0222512143255,9.909309392241994e-05,2.0381044923780577e-08,17,19,12.3115722,1
21,4,7,SAA,OPTIMAL,1559.413333333377,0.0,0.0,0.0,0.0,0.0,1559.413333333377,1559.413333333377,0.0,0.0,1,0,2.1896613,1
22,5,1,DRO,OPTIMAL,35757.90903947667,213.67250824040363,99.82923580320612,42.55003620492227,172.65225429285837,528.7040345413903,35757.90883162717,35757.90903947667,0.0002078495017485693,5.8126861254416145e-09,69,71,491.6500321,1
22,5,1,SAA,OPTIMAL,28260.147068527698,206.20243842566074,94.91858276736762,36.003600360035996,171.017101710171,508.14172326323535,28260.147068527698,28260.147068527698,0.0,0.0,1,0,33.729327,1
23,5,2,DRO,OPTIMAL,43071.3524898075,229.66368647483338,96.28484127796864,44.18632874642721,172.92200652298985,543.0568630222191,43071.352087420426,43071.3524898075,0.00040238707151729614,9.342336570752402e-09,65,67,621.2038528999999,1
23,5,2,SAA,OPTIMAL,33723.51075537061,225.8407658947712,92.46379183372882,43.367973160952396,172.65362899926365,534.326159888716,33723.51075537061,33723.51075537061,0.0,0.0,1,0,52.5446821,1
24,5,3,DRO,OPTIMAL,40003.51533692419,222.56773427122053,130.10390228078654,58.91498053506694,140.741346562064,552.3279636491379,40003.51532895833,40003.51533692419,7.965856639202684e-06,1.9912891584930313e-10,65,67,495.96912729999997,1
24,5,3,SAA,OPTIMAL,32045.044615834755,221.20393857567578,130.10391948285738,48.823064124594275,142.37787415105126,542.5087963341787,32045.044615834755,32045.044615834755,0.0,0.0,1,0,41.576735899999996,1
25,5,4,DRO,OPTIMAL,38163.72489213303,220.3868017186024,137.4078320133077,70.1586416901174,118.97811219846659,546.9313876204942,38163.72459668589,38163.72489213303,0.000295447141979821,7.741569849769137e-09,69,71,438.8487261,1
25,5,4,SAA,OPTIMAL,30646.712333657677,216.0216021602159,140.19583776559475,56.18743692551073,115.37517388102447,527.7800507323459,30646.712333657677,30646.712333657677,0.0,0.0,1,0,34.137638599999995,1
26,5,5,DRO,OPTIMAL,29243.515873882025,222.56658102533873,72.55272459079237,44.18626274628781,116.19376619566334,455.49933455808224,29243.51564158192,29243.515873882025,0.00023230010629049502,7.943644919179057e-09,64,66,211.19416660000002,1
26,5,5,SAA,OPTIMAL,22763.90547827143,200.2018383656548,57.82396421460327,36.003600360036,101.46469192373779,395.49409486403187,22763.90547827143,22763.90547827143,0.0,0.0,1,0,17.9881288,1
27,5,6,DRO,OPTIMAL,18248.303371324742,181.1105317256639,39.276655049707735,30.365605166256646,81.82636417084827,332.57915611247654,18248.303195439337,18248.303371324742,0.00017588540504220873,9.638452488607452e-09,70,72,107.057457,1
27,5,6,SAA,OPTIMAL,13621.420377415741,145.10541963287235,29.457491203665818,24.547909336388184,65.46109156370181,264.5719117366282,13621.420377415741,13621.420377415741,0.0,0.0,1,0,8.0421398,1
28,5,7,DRO,OPTIMAL,10162.738129471989,98.05066632385615,13.09226619348058,18.0016621128455,32.73064031474119,161.87523494492342,10162.73803074263,10162.738129471989,9.872935879684519e-05,9.714838416482422e-09,51,53,34.9664332,1
28,5,7,SAA,OPTIMAL,5948.58404242043,36.003600360035996,6.546109156370182,11.45569102364782,19.092818372746365,73.09821891280036,5948.58404242043,5948.58404242043,0.0,0.0,1,0,3.4549236999999997,1
29,6,1,DRO,OPTIMAL,63686.733676110656,223.6535388617262,108.97350674286635,49.0958186211534,191.48316374117374,573.2060279669197,63686.73344227705,63686.733676110656,0.00023383360530715436,3.6716218874774384e-09,68,70,785.0457506,1
29,6,1,SAA,OPTIMAL,50088.072688246524,220.93118402749366,104.73774650192287,44.73174590186291,193.92848375746655,564.329160188746,50088.072688246524,50088.072688246524,0.0,0.0,1,0,52.458816999999996,1
30,6,2,DRO,OPTIMAL,81846.58040301812,240.16444051935298,104.04990290174926,54.00508628626244,188.4750463494415,586.6944760568061,81846.58000459684,81846.58040301812,0.000398421281715855,4.867903823886124e-09,62,64,848.9481898,1
30,6,2,SAA,OPTIMAL,65131.91882982494,237.2964569184191,100.64642827919157,49.09581867277632,189.83716553473522,576.8758694051222,65131.91882982494,65131.91882982494,0.0,0.0,1,0,74.60980740000001,1
31,6,3,DRO,OPTIMAL,86847.74530481553,255.55377462446657,124.11413852701722,78.11580387333615,174.18447792439275,631.9681949492126,86847.74451473326,86847.74530481553,0.000790082267485559,9.097326185182502e-09,81,83,975.3911344999999,1
31,6,3,SAA,OPTIMAL,70301.18795646424,255.025502550255,120.5575102964842,70.37067343097947,169.10781987289627,615.061506150615,70301.18795646424,70301.18795646424,0.0,0.0,1,0,77.9368289,1
32,6,4,DRO,OPTIMAL,77804.54297870617,253.05358091100223,126.62086656800822,77.94487716162122,153.82965852032763,611.4489831609593,77804.54257306128,77804.54297870617,0.000405644896090962,5.2136402395163525e-09,77,79,767.7085531,1
32,6,4,SAA,OPTIMAL,62398.59751586592,251.47969342388788,122.87592395603201,69.68878706052425,151.24239696696935,595.2868014074135,62398.59751586592,62398.59751586592,0.0,0.0,1,0,55.3031744,1
33,6,5,DRO,OPTIMAL,53083.067715712634,261.11748277994593,90.08359379113791,49.0963034325765,145.55992947271378,545.8573094763741,53083.067479024234,53083.067715712634,0.00023668840003665537,4.458830474987703e-09,80,82,501.6783043,1
33,6,5,SAA,OPTIMAL,41669.21198332384,257.2075389357117,86.46319177372283,44.186236805498716,144.8326650846902,532.6896325996235,41669.21198332384,41669.21198332384,0.0,0.0,1,0,33.7443995,1
34,6,6,DRO,OPTIMAL,29492.008344163703,244.66085999126307,68.73498680801302,34.367073119808325,120.28590235597589,468.04882227506033,29492.008178638112,29492.008344163703,0.00016552559100091457,5.612557445029718e-09,59,61,200.0817077,1
34,6,6,SAA,OPTIMAL,23130.4721470171,221.74944767203985,56.46019147369281,34.36707307094344,103.64672830919457,416.2234405258706,23130.4721470171,23130.4721470171,0.0,0.0,1,0,17.2580354,1
35,6,7,DRO,OPTIMAL,17334.126492318734,201.6983627616998,37.64058872465344,31.093402847164192,76.42733183308661,346.85968616660404,17334.12631980359,17334.126492318734,0.0001725151450955309,9.95234142152923e-09,71,73,104.9866362,1
35,6,7,SAA,OPTIMAL,13081.0707283204,147.01470147014697,29.457491203665818,24.54790933638818,63.82456427460926,264.8446662848103,13081.0707283204,13081.0707283204,0.0,0.0,1,0,7.4891325,1
